BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1656.7600139467477,49.7028004184025
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3889.9790398789046,116.69937119636721
Switzerland,Austria,2030-2035,277.80465450467045,1477.8046545046705,66510898.96803587,6536.722908687598,196.10168726062867
Switzerland,Austria,2035-2040,722.1951280500527,2199.9997825381483,124208352.05769083,9861.820360119855,295.85461080359596
Switzerland,Austria,2040-2045,1000.0001358216973,3199.999918205577,119155015.44031197,16380.85576640341,491.425672992103
Switzerland,Austria,2045-2050,2.386359052997032e-07,3199.9999184400936,0.018556220732273906,14621.141614654964,438.6342484396489
Switzerland,Austria,2050-2055,2.8145676896818037e-07,3199.9999186325945,0.012757065557338272,14238.796994927281,427.1639098478192
Switzerland,Austria,2055-2060,1.0223788986430679e-06,3199.9999198353107,0.020357525437736616,16634.63665590726,499.0390996772176
CzechR,Austria,2020-2025,0.0,900.0,0.0,4571.881524899246,137.1564457469771
CzechR,Austria,2025-2030,0.0,900.0,0.0,3406.352183822986,102.19056551468944
CzechR,Austria,2030-2035,999.9998950858812,1899.9998950858812,87917381.78508961,8362.871816406438,250.88615449219313
CzechR,Austria,2035-2040,5.642594793707043e-05,1899.9999514951846,3.5636627788076907,8118.950572416068,243.5685171724818
CzechR,Austria,2040-2045,3.5329518632526634e-07,1899.9999518318348,0.015458647003256491,7739.42194207629,232.18265826228864
CzechR,Austria,2045-2050,9.373606321675377e-06,1899.9999611887959,0.2676590566992236,11287.676361157122,338.63029083471406
CzechR,Austria,2050-2055,1.4300246993134743e-07,1899.9999613151538,0.0023801488613371716,7793.543428831319,233.80630286493908
CzechR,Austria,2055-2060,4.574457868849088e-07,1899.999961755955,0.003344831408489079,11120.840190735884,333.6252057220768
Germany,Austria,2020-2025,0.0,5000.0,0.0,15105.762506037292,453.172875181119
Germany,Austria,2025-2030,1999.9992900026382,6999.999290002638,891259.6382348273,18194.561151330305,545.836834539909
Germany,Austria,2030-2035,500.0006824325717,7499.999971700776,149745.53488264847,34969.205546532474,1049.0761663959709
Germany,Austria,2035-2040,8.608041604803923e-07,7499.99997326184,0.00018519556717752544,36084.862813247026,1082.5458843974095
