Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,2.966290594486054e-06,3503.0000029662906,2.560147549957037e-06,124704.00000256015,3.383420616955841,1923.2685684504465,480.81715090090336
Austria,HydroPumpStorage,2025-2030,1.6721927804064931e-06,3503.0000046225505,1.9661392173753673e-06,124704.00000449442,1.5374718987615463,2401.7273739856532,600.4318427082834
Austria,HydroPumpStorage,2030-2035,1358.879271392206,4861.879275998727,9.677712739184276e-07,124704.00000543032,875945694.4653418,7497.5484723508425,1874.3871184312588
Austria,HydroPumpStorage,2035-2040,392.6206186672987,5254.499894585852,9.420626262281213e-07,124704.0000063405,198300092.22170693,9592.37022675882,2398.0925567885615
Austria,HydroPumpStorage,2040-2045,3.782453995214318e-07,5254.499894693237,7.828377873024128e-07,124704.0000070915,0.1597476123594617,11235.950739329759,2808.9876848997983
Austria,HydroPumpStorage,2045-2050,4.667064834890853e-06,5254.499897102441,4.582071128519128e-06,124704.00000911343,1.170372808365837,10151.105034745207,2537.7762587567145
Austria,HydroPumpStorage,2050-2055,2.5516250527906647e-06,5254.499897592783,1.7890163260419102e-06,124704.00000893627,0.363445321189615,9800.847408839352,2450.211852230145
Austria,HydroPumpStorage,2055-2060,1358.8789472883466,5254.499573488767,4.795042795054915e-06,124704.00001276357,79459796.20388609,10250.178703539033,2562.544675888934
Austria,Li-Ion_BESS,2020-2025,0.0005532440974674711,0.0005532440974674711,0.0011064881949349422,0.0011064881949349422,326.58915136598415,0.00159462018740522,0.0001771788614973041
Austria,Li-Ion_BESS,2025-2030,0.004534050339975367,0.0050872785041572366,0.00906810067996285,0.010174557008314473,1705.57042981446,0.004132891233705673,0.00045920893039886755
Austria,Li-Ion_BESS,2030-2035,2.3810166537424776e-06,0.00508964358751788,4.762033276130693e-06,0.01017928717503576,0.691240856447458,0.006933902133071683,0.000770432375862069
Austria,Li-Ion_BESS,2035-2040,278.6987049008123,278.7032410772987,557.3974104945615,557.4064821545974,63395061.10709028,204.26971943566636,22.6966354916159
Austria,Li-Ion_BESS,2040-2045,3803.162765961586,4081.8614732223414,7606.32553113677,8163.722946444683,677827041.7137264,2954.0495773538246,328.22773081758703
Austria,Li-Ion_BESS,2045-2050,9255.195352506073,13337.056823415158,18510.390705261023,26674.113646830316,1292447982.7641184,9994.047412287293,1110.449712469053
Austria,Li-Ion_BESS,2050-2055,5492.860572835618,18551.218691233047,10985.721145798498,37102.437382466094,447106935.2224081,13014.259782871743,1446.0288647545908
Austria,Li-Ion_BESS,2055-2060,8.675063766268813e-06,14748.05593421268,1.7362410766986778e-05,29496.11186842536,0.31040617380163554,9899.323630033374,1099.9248477805058
BosniaH,HydroPumpStorage,2020-2025,3.472359253464674e-07,440.0000003472359,3.4380673241685145e-07,2199.340000343807,0.40069742851755963,20.67608574064873,5.169021430857801
BosniaH,HydroPumpStorage,2025-2030,2.1187180639778143e-07,440.00000054317843,7.527684378189138e-07,2199.340001064709,0.23623790513596488,289.8208533605891,72.45521333600306
BosniaH,HydroPumpStorage,2030-2035,3.924920682183957e-08,440.000000566482,6.701513594745113e-05,2199.340068047978,4.34515580399931,541.1684395157424,135.29210987477998
BosniaH,HydroPumpStorage,2035-2040,4.6257051770033875e-08,440.00000059681287,219.9338295981305,2419.2738981014695,11108152.934322238,562.6980320724299,140.67450801388657
BosniaH,HydroPumpStorage,2040-2045,6.98246296656058e-08,440.0000006507053,2.340862798438493e-06,2419.2739001776204,0.10634378803574307,593.8071684407062,148.45179210590703
BosniaH,HydroPumpStorage,2045-2050,1.3840156293713771e-07,440.0000004418723,1.6629192759620866e-06,2419.2739005836575,0.06957776676871859,661.7432582466724,165.43581455787532
BosniaH,HydroPumpStorage,2050-2055,8.179846834445244e-08,440.00000031179786,6.732650018337663e-06,2419.273907222274,0.10050232686071849,633.1190068795908,158.27975171555784
BosniaH,HydroPumpStorage,2055-2060,3.410077484208452e-07,440.0000006135563,1.7086705635209032e-05,2419.273858665486,0.11985395845446609,623.1716568675888,155.79291421266956
BosniaH,Li-Ion_BESS,2020-2025,0.0005435902631006278,0.0005435902631006278,0.0010871805262012556,0.0010871805262012556,320.89033309078235,0.0015278465332979009,0.00016975975785929516
BosniaH,Li-Ion_BESS,2025-2030,0.0005149358072745717,0.0010585101370835382,0.0010298716145292195,0.0021170202741670765,193.70302936009185,0.002138059229558489,0.00023756118615107054
BosniaH,Li-Ion_BESS,2030-2035,0.0057905314418489374,0.006849025645631135,0.011581062883700964,0.01369805129126227,1681.0684335534427,0.008440016352483459,0.0009377786540672488
BosniaH,Li-Ion_BESS,2035-2040,565.3137466432343,565.3200513623216,1130.6274932842855,1130.6401027246432,128590836.06636767,358.4474324125269,39.82749248932181
BosniaH,Li-Ion_BESS,2040-2045,9.543816491244164e-05,565.3196325807367,0.00019087724508778388,1130.6392651614733,17.009748541166534,398.84911856493034,44.31656872848286
BosniaH,Li-Ion_BESS,2045-2050,2.5638319575724683e-05,565.3138676883758,5.127742430762423e-05,1130.6277353767516,3.580328692891046,403.1647847736031,44.79608719616023
BosniaH,Li-Ion_BESS,2050-2055,641.7688016008634,641.7689226509009,1283.5376032007591,1283.5378453018018,52238588.29059476,463.1669484720604,51.462994273706286
BosniaH,Li-Ion_BESS,2055-2060,2.9627628318587913e-05,641.7688568348643,5.925536791308338e-05,1283.5377136697286,1.0594597370428547,451.9514656900789,50.21682952018646
Belgium,HydroPumpStorage,2020-2025,1.5865380191826262e-06,1308.000001586538,2.789020072668791e-07,7762.500000278902,1.6951496309047775,1168.7059536985694,292.1764884200207
Belgium,HydroPumpStorage,2025-2030,4.059257308737422e-07,1308.0000019765307,5.962495575704312e-07,7762.500000843287,0.3830097020322064,595.1759230558137,148.79398075867596
Belgium,HydroPumpStorage,2030-2035,1.18648320873504e-06,1308.0000031470802,2.699361440717987e-06,7762.5000035107805,0.9388209005714405,1180.8390099489848,295.20975248206423
Belgium,HydroPumpStorage,2035-2040,2.1044680985119066e-07,1308.000003341594,776.2496249762817,8538.749630141214,39205881.01632085,1785.5465988263572,446.3866497013892
Belgium,HydroPumpStorage,2040-2045,6.244589078799546e-07,1308.0000039501197,6.1272782228092e-06,8538.749635236187,0.43291346008350134,1905.3187224015198,476.3296805947575
Belgium,HydroPumpStorage,2045-2050,7.974234327286542e-07,1308.000003161005,0.00011226831202217304,8538.749746775398,2.745778333148839,1890.9833446271257,472.745836141477
