Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999723279809,0.0,12404.159542335838
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7261451789687191,0.0,7390.540293872097
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6391317325000738,0.0,4370.50471350446
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.00344959784231668,0.0,16.457447527596486
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,3.6653177364321766e-08,0.0,0.00012124050040944663
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.6531502243554357e-07,0.0,0.00013670626591293843
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2841249911134747,0.0,30755.768833057446
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.47011934741142586,0.0,31316.405807652718
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.550926489027286,0.0,24657.3229426074
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.0037830060142336843,0.0,118.12507574558022
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0002692045614180004,0.0,5.828134461054786
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,3.5414977660707066e-08,0.0,0.00019167882098157065
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999899514846,0.0,47632.49936181856
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7366120810553433,0.0,28789.066626353717
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6478211347587167,0.0,17011.097803332876
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.019313439522273882,0.0,353.82592617104166
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,9.923107444483217e-09,0.0,0.00012604331075982545
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.2586582989990624e-08,0.0,0.00013523369428471553
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499960497959988,0.0,125525.7588600448
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7441008735088432,0.0,76639.44104241073
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6396149188035044,0.0,44261.64808009957
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04850244363723079,0.0,2341.668504243592
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.019547790354052e-09,0.0,0.00013454918510454812
