Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.009868881635944612,0.009868881635944612
EnergyhubEU,2025-2030,0.0016047502754526568,0.011473610279065755
EnergyhubEU,2030-2035,25697.389322692576,25697.40079566788
EnergyhubEU,2035-2040,20728.102950145883,46425.50374821923
EnergyhubEU,2040-2045,16877.1100743537,63302.613822737054
EnergyhubEU,2045-2050,1.7164700129310242e-06,63302.613820929204
EnergyhubEU,2050-2055,4.628327997442538e-07,63302.61382349443
EnergyhubEU,2055-2060,4.2350677944739224e-07,63302.6138284379
EnergyhubNorth,2020-2025,0.009075277463352729,0.009075277463352729
EnergyhubNorth,2025-2030,0.0010666163275961113,0.010141872158634569
EnergyhubNorth,2030-2035,0.02184971269494795,0.0319915632212777
EnergyhubNorth,2035-2040,300.2209669138019,300.2529584554649
EnergyhubNorth,2040-2045,52173.47496476333,52473.72763301039
EnergyhubNorth,2045-2050,8454.114428542607,60927.8422783522
EnergyhubNorth,2050-2055,5.380492506707371e-07,60927.842277704665
EnergyhubNorth,2055-2060,5.324867934057056e-07,60927.842269494045
EnergyhubCentral,2020-2025,0.010601550866559423,0.010601550866559423
EnergyhubCentral,2025-2030,0.0017418444496752786,0.01234337368392625
EnergyhubCentral,2030-2035,44265.60934281312,44265.621613188814
EnergyhubCentral,2035-2040,3862.2081459264814,48127.82970613526
EnergyhubCentral,2040-2045,13231.58786756967,61359.417638959996
EnergyhubCentral,2045-2050,1.9654969444859843e-06,61359.4176389367
EnergyhubCentral,2050-2055,4.609302397396149e-07,61359.41764602773
EnergyhubCentral,2055-2060,3.9351256824243844e-07,61359.417642762986
