BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1669.8880848993838,50.096642546981606
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3899.395743158219,116.9818722947468
Switzerland,Austria,2030-2035,377.64714964158225,1577.6471496415822,90414796.90166862,6483.086819092012,194.49260457275997
Switzerland,Austria,2035-2040,622.3526330482904,2199.9997826681224,107036716.18279797,9894.421943867683,296.8326583160321
Switzerland,Austria,2040-2045,1000.0001235203189,3199.9999068305206,119155013.97454125,16470.40649572462,494.1121948717392
Switzerland,Austria,2045-2050,2.664284966536605e-07,3199.9999064065587,0.020717360143538182,14490.026604472754,434.7007981341828
Switzerland,Austria,2050-2055,3.1959622232554736e-07,3199.9999061475455,0.014485741362807999,14684.026695410234,440.5208008623067
Switzerland,Austria,2055-2060,8.593838907736515e-07,3199.999907547378,0.01711198210411568,16470.95408058518,494.12862241755454
CzechR,Austria,2020-2025,0.0,900.0,0.0,4598.263385346086,137.9479015603824
CzechR,Austria,2025-2030,0.0,900.0,0.0,3364.4044699128553,100.93213409738574
CzechR,Austria,2030-2035,999.9998898968861,1899.999889896886,87917381.32888669,8285.306867332029,248.559206019961
CzechR,Austria,2035-2040,5.8946295943404014e-05,1899.9999488215499,3.7228390214439697,8118.079560819165,243.54238682457483
CzechR,Austria,2040-2045,4.159258168614191e-07,1899.999949215843,0.018199088556169103,7820.838398725386,234.6251519617615
CzechR,Austria,2045-2050,7.94103622712122e-06,1899.9999571352466,0.22675267051174078,11140.899624279607,334.2269887283879
CzechR,Austria,2050-2055,1.7900399789219166e-07,1899.9999572926188,0.0029793622583053443,7753.9422913736735,232.61826874121078
CzechR,Austria,2055-2060,6.096901699823645e-07,1899.9999578806762,0.004458038282287512,11170.637148564647,335.11911445694005
Germany,Austria,2020-2025,0.0,5000.0,0.0,15114.522827911927,453.43568483735874
Germany,Austria,2025-2030,1999.9989808964592,6999.998980896459,891259.5004878477,18363.889410739852,550.9166823221946
Germany,Austria,2030-2035,500.0009740439042,7499.999950930998,149745.62221751918,33549.25443771504,1006.4776331314537
Germany,Austria,2035-2040,1.8348357236556779e-07,7499.999955077116,3.9475116190233464e-05,36057.08427176659,1081.7125281530004
Germany,Austria,2040-2045,699.9999876490833,8199.99993739082,104337.4660134728,40839.672423405325,1225.1901727021616
Germany,Austria,2045-2050,9.537107469347903e-07,8199.999943584417,9.276847180560095e-05,38034.440603176816,1141.0332180953042
Germany,Austria,2050-2055,8.594961265655597e-08,8199.999943610886,4.8731861109495985e-06,31545.07030189593,946.3521090568801
Germany,Austria,2055-2060,1.5940091216030105e-07,8199.999943837332,3.970396647948379e-06,39507.41428352954,1185.222428505887
Hungary,Austria,2020-2025,0.0,800.0,0.0,3634.4517856661873,109.03355356998563
Hungary,Austria,2025-2030,0.0,800.0,0.0,4133.112074908798,123.99336224726352
Hungary,Austria,2030-2035,1999.9999119081804,2799.9999119081804,149305052.62696046,10541.553716040136,316.24661148120566
Hungary,Austria,2035-2040,4.606769665963233e-05,2799.999957954246,2.470494960818231,14481.442448697471,434.4432734609248
Hungary,Austria,2040-2045,1.5132710965014473e-07,2799.99995808394,0.005622380503595734,15458.710955389784,463.76132866169354
Hungary,Austria,2045-2050,1.566527548708535e-07,2799.9999582189603,0.0037982452784615754,14715.623002038736,441.46869006116384
