Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00032022425580283316,40897.516942979004,7.829919265008263e-07
Austria,Hydrorun-of-the-river,2025-2030,168.25391666477574,41460.583485350784,0.40581656725652376
Austria,Hydrorun-of-the-river,2030-2035,13122.681483793946,53791.520803975225,24.395446136604065
Austria,Hydrorun-of-the-river,2035-2040,12479.540559389701,54193.47219707319,23.02775602568547
Austria,Hydrorun-of-the-river,2040-2045,14936.606403571526,55557.17230390839,26.885109130222514
Austria,Hydrorun-of-the-river,2045-2050,15374.280814094167,55497.30290791954,27.702753122260717
Austria,Hydrorun-of-the-river,2050-2055,14231.68406687259,54669.252232238265,26.032337165351272
Austria,Hydrorun-of-the-river,2055-2060,11240.86580486633,53212.27810793724,21.124571630000595
Belgium,Hydrorun-of-the-river,2020-2025,410.68236581432546,881.4823657642527,46.58996955183107
Belgium,Hydrorun-of-the-river,2025-2030,45.787320350200886,516.5873203683993,8.863423190013277
Belgium,Hydrorun-of-the-river,2030-2035,258.1169744966558,728.9169744573235,35.41102533506277
Belgium,Hydrorun-of-the-river,2035-2040,239.96034226903848,710.7603422659647,33.76107641346792
Belgium,Hydrorun-of-the-river,2040-2045,566.428270122907,1037.2282701349945,54.60979867519294
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841271531848,1879.9841271096686,74.95723537409314
Belgium,Hydrorun-of-the-river,2050-2055,818.115157846217,1288.9151578314422,63.473158250591844
Belgium,Hydrorun-of-the-river,2055-2060,515.7963100117959,986.5963090763908,52.28038107041595
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.497577821918,6836.323336996808,41.9011424213924
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3271833928457,5523.441236174871,52.21974961012382
Bulgaria,Hydrorun-of-the-river,2030-2035,4624.872974934327,7434.066967398047,62.211882072311376
Bulgaria,Hydrorun-of-the-river,2035-2040,4075.105309468675,5931.506879705053,68.70269886075411
Bulgaria,Hydrorun-of-the-river,2040-2045,4214.385839810765,6112.502434696144,68.94698014169813
Bulgaria,Hydrorun-of-the-river,2045-2050,5455.388224322199,7066.370593240877,77.20212451835438
Bulgaria,Hydrorun-of-the-river,2050-2055,4845.5520519010815,6488.368388368894,74.6805939777905
Bulgaria,Hydrorun-of-the-river,2055-2060,4247.007596875884,5667.7636264277335,74.9326873314348
Switzerland,Hydrorun-of-the-river,2020-2025,0.00020789363326186578,1347.1248810729217,1.5432395034993954e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00014995366010197298,19731.60436079152,7.599668904772105e-07
Switzerland,Hydrorun-of-the-river,2030-2035,3.2961747553896004,19379.38867565108,0.017008662195474852
Switzerland,Hydrorun-of-the-river,2035-2040,0.0013181964571687054,17539.12325022605,7.515748868186533e-06
Switzerland,Hydrorun-of-the-river,2040-2045,0.004572621089243057,19918.021897736682,2.2957204850561248e-05
Switzerland,Hydrorun-of-the-river,2045-2050,212.52656099096953,13012.330528298824,1.633270539268682
Switzerland,Hydrorun-of-the-river,2050-2055,144.85682221691528,19271.656918037905,0.7516573319719699
Switzerland,Hydrorun-of-the-river,2055-2060,16.29711353644126,17078.5122060562,0.09542466779197635
CzechR,Hydrorun-of-the-river,2020-2025,85.05706218720664,1340.1125369182826,6.347008914848564
CzechR,Hydrorun-of-the-river,2025-2030,151.37564504875994,1372.6125264162654,11.028286725896672
CzechR,Hydrorun-of-the-river,2030-2035,300.19331192214923,1453.7941022433927,20.6489565103416
CzechR,Hydrorun-of-the-river,2035-2040,419.1389568426028,1951.9958133356045,21.472328679146642
CzechR,Hydrorun-of-the-river,2040-2045,300.51211948029237,1769.2863937125912,16.984933617768416
CzechR,Hydrorun-of-the-river,2045-2050,563.2194323260256,1766.4206637892098,31.884785083856766
CzechR,Hydrorun-of-the-river,2050-2055,279.68044146982413,1606.0631346783853,17.414037806541785
CzechR,Hydrorun-of-the-river,2055-2060,263.2251519372564,1735.3241632971296,15.168644424170669
Germany,Hydrorun-of-the-river,2020-2025,0.0003706754552714097,22743.060035878192,1.6298398486687922e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0001449879709756082,21792.578345348036,6.653089353539395e-07
Germany,Hydrorun-of-the-river,2030-2035,441.745616621281,23254.42768843514,1.8996193866382243
Germany,Hydrorun-of-the-river,2035-2040,0.0013236321852613366,22720.140511297283,5.825809856251454e-06
Germany,Hydrorun-of-the-river,2040-2045,493.3869626246005,23008.454626977535,2.1443724518816736
Germany,Hydrorun-of-the-river,2045-2050,877.0426901064634,23652.132054129463,3.7080914654936534
Germany,Hydrorun-of-the-river,2050-2055,1036.3880084414604,23733.124647679873,4.366841803709891
Germany,Hydrorun-of-the-river,2055-2060,30.375250666799506,22085.227468944366,0.13753650810032336
Denmark,Hydrorun-of-the-river,2020-2025,0.00021091550508458787,21.248422144765296,0.0009926172571667795
Denmark,Hydrorun-of-the-river,2025-2030,0.0005249165752838452,26.92523481454977,0.0019495338811314378
Denmark,Hydrorun-of-the-river,2030-2035,0.003572286600372547,23.140855098381486,0.015437141735624105
Denmark,Hydrorun-of-the-river,2035-2040,0.004215951079982413,20.717532603302065,0.020349677544663082
Denmark,Hydrorun-of-the-river,2040-2045,0.011033905887022792,18.941977094935048,0.05825107818324403
Denmark,Hydrorun-of-the-river,2045-2050,0.01764433319871485,30.28293474337991,0.058264938151584005
Denmark,Hydrorun-of-the-river,2050-2055,0.018318239413928565,22.954038450476475,0.07980399376541221
Denmark,Hydrorun-of-the-river,2055-2060,0.03621441208086697,24.85571365596064,0.1456985407143295
Estonia,Hydrorun-of-the-river,2020-2025,0.0004096682927737339,32.100409534087234,0.0012762089291686748
Estonia,Hydrorun-of-the-river,2025-2030,2.4050200513060087,34.5050199850306,6.970058421497464
Estonia,Hydrorun-of-the-river,2030-2035,12.52824692571939,44.62824684351981,28.072460407524474
Estonia,Hydrorun-of-the-river,2035-2040,22.971318454456366,55.07131846411737,41.71194570078018
Estonia,Hydrorun-of-the-river,2040-2045,27.135898206558725,59.23589776460312,45.80988763670599
Estonia,Hydrorun-of-the-river,2045-2050,32.825006966409354,64.92500636455925,50.55834231589327
Estonia,Hydrorun-of-the-river,2050-2055,31.806330045191412,63.90632939720803,49.77023456862941
