Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1058983638.6561636,-1.0785072524524557e-08,1100000000.0,3343799.715262634,0.316700678519275,39.52848055067567,23197.437668802697,8680.983436260187,17693.013673681056
2020-2025,scenario2,1099999999.5630007,-0.014978035177039006,1100000000.0,3510957.405886577,0.3133048546014334,46.22136540910509,13866.518495249402,8177.582174595407,16254.8868414243
2020-2025,scenario3,1072924560.3167253,-2.6787145775756344e-09,1100000000.0,3396975.911528075,0.3158469733846767,39.47804990150423,27812.362698553265,6451.644215128054,17118.51486761324
2025-2030,scenario1,990000000.0144223,-0.35479639512833355,990000000.0,4469299.881103201,0.22151120451778372,43.03936207387799,54647.8642020168,13089.086871303803,22415.652917572574
2025-2030,scenario2,990000000.021085,-12.86560291067972,990000000.0,4634062.707411107,0.2136354345049763,43.28520484940484,52277.19516984575,15453.578835765979,23017.246876616344
2025-2030,scenario3,989999999.9773849,-37.86949317280703,990000000.0,4547774.56225524,0.21768889078056247,57.14463437669169,59310.766003383826,9204.503584408298,21583.743386519596
2030-2035,scenario1,770000000.0035511,-33.46195781959355,770000000.0,5463867.881248121,0.14092580873820287,42.631634174067685,55208.721249724804,17539.627361108935,51972.784226592696
2030-2035,scenario2,736128198.5911987,-2.7747569502760852e-08,770000000.0,5728580.779560418,0.1285009720413922,26.48693452224947,155537.21002604577,28358.063648144478,58129.56974891189
2030-2035,scenario3,678877075.5957189,-2.2605165673759413e-09,770000000.0,5534305.743616537,0.12266707100140481,151.7781866778,204400.11751223612,26666.941788708587,58771.28883505977
2035-2040,scenario1,330000000.00240064,-63.663061245970695,330000000.0,6687900.399639242,0.049342840096749635,184.10313588181407,105457.45371244378,39026.8782921776,65945.03935260104
2035-2040,scenario2,330000000.0062684,-35.66314465019417,330000000.0,6577960.67135197,0.05016752402358902,31.188287524591072,190467.54556441688,35968.10407558831,65710.9937849935
2035-2040,scenario3,330000000.0066968,-37.81783257678572,330000000.0,6792390.024334006,0.04858378256025662,173.3154629033787,183674.56658369376,35115.646040493724,69048.71210339494
2040-2045,scenario1,66000000.00635963,-50.538730838864105,66000000.0,7305514.440867987,0.009034271376858662,20.549769656625113,633096.9675431972,42452.30729034715,95376.88111796569
2040-2045,scenario2,66000000.00631587,-103.7069974915921,66000000.0,7465056.755194285,0.008841191992330279,29.761079226740286,329701.00325887185,48416.48253640212,96311.26665242619
2040-2045,scenario3,66000000.00694301,-293.67977112160884,66000000.0,7406303.807952428,0.008911327663343797,34.34783553333457,257179.03587422683,50040.139121157896,95798.29591011796
2045-2050,scenario1,55000000.00517572,-47.823959231775724,55000000.0,7956572.182250555,0.006912524482322561,11.03973811179363,656943.7463224753,56473.72797268061,101140.93692303829
2045-2050,scenario2,55000000.005195715,-47.82396075453209,55000000.0,8242645.404558849,0.0066726150775303986,15.892397819701776,457837.1753522838,54321.56366156099,101798.68343530346
2045-2050,scenario3,55000000.00351506,-773.5084971579175,55000000.0,8029276.391688312,0.0068499323376702915,62.5748890269232,514097.53228414786,61742.38373841548,99351.27240477086
2050-2055,scenario1,33000000.00396263,-47.67133133820594,33000000.0,8092185.02298987,0.00407800858608773,18.22292789071533,485526.3823553317,66225.42610194342,97713.98543149212
2050-2055,scenario2,33000000.001649085,-61.7501340943096,33000000.0,8181297.499462956,0.00403359002698707,23.378965291368157,465101.74566336477,54495.65568066847,98719.4699893631
2050-2055,scenario3,33000000.003851127,-44.85437723487753,33000000.0,7966405.75962997,0.004142395077473875,13.316798085318865,479090.0234867629,68810.64372830496,97853.74916917479
2055-2060,scenario1,22000000.003920548,-37.3517630544973,22000000.0,8377213.25522958,0.0026261716556142864,47.93185751169557,440539.6569609425,63721.55951460557,102871.94834554735
2055-2060,scenario2,22000000.005405053,-37.3520411935031,22000000.0,7903457.84930716,0.0027835917423578256,8.670224901901207,432136.8294447408,68608.1188696924,97291.9952410812
2055-2060,scenario3,22000000.001472488,-58.580917002191676,22000000.0,7967104.394987801,0.002761354553771444,11.70699594816646,483174.3677097641,58005.00636304292,103157.41047513772
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352066.85666504654
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223333.45750221453
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136516.03222903202
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4674.786585026307
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.396070325286296
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.098877575581195
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28746.92995801329,28746.92995801329,71164572323.4408,200967.14472897432
Lignite,2025-2030,4.639915048735824e-05,28746.93000403709,85.88190836824027,197659.89748746276
Lignite,2030-2035,0.000390546467176499,28746.930394208084,531.7421094582103,180675.6089115666
Lignite,2035-2040,2.8281760862736634e-06,28746.930396660657,2.766162769692479,77461.20183133149
Lignite,2040-2045,2.621242692173655e-06,28746.93039890619,1.776210943722715,2.728495152613235
Lignite,2045-2050,8.050895379812403e-06,28746.93040658188,3.5601882715351745,7.325008704624044
Lignite,2050-2055,1.4772962168674573e-05,28746.930420979366,3.8078665149794224,0.0018651510516857325
Lignite,2055-2060,1.9498270702602748e-05,28746.930440102173,2.2079246341094927,187.27998046032317
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,359641.50044267887
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246881.16833909397
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,135361.38896345146
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6934.058449795092
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,18.91542005881665
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,11.632137628356379
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.018824240960441087,0.018824240960441087,40307.146957490775,0.0914588299074599
Coal,2025-2030,0.0022979326707373614,0.02112130969526083,3678.9269908114698,0.09953536293010766
Coal,2030-2035,0.0004270790727543081,0.021547525200451407,502.954668984973,0.08586319614807317
Coal,2035-2040,3.436897246930945e-05,0.02158103091947399,29.075691127596848,0.016709584062798946
Coal,2040-2045,1.6598916607048017e-05,0.021596766084266833,9.728799750850254,0.0029514220697482857
Coal,2045-2050,2.256064491118734e-05,0.02161846334632475,8.629239138939722,0.0033150540317258034
Coal,2050-2055,0.00015063528194282467,0.021768235057091752,33.584048405853196,0.004714638096012616
Coal,2055-2060,0.00031501307536138646,0.022082384547029103,30.853820063842857,0.005029037113821343
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,187732.80718366784
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116447.8836962983
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51265.70458942507
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10302.491405989018
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1177.2970096860784
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.013611874846936576,0.013611874846936576,10001.337767832749,0.008626256879260413
GasOCGT,2025-2030,9594.800816126182,9594.81442670899,5523694046.6518135,1593.0025916252396
GasOCGT,2030-2035,83078.10436825531,92672.91878166469,37474317761.554085,10609.574486335474
