Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0002924907240528634,40897.51695021506,7.151796633739774e-07
Austria,Hydrorun-of-the-river,2025-2030,164.53653744265392,41456.86610246298,0.3968860961076812
Austria,Hydrorun-of-the-river,2030-2035,13025.266207008386,53695.837493046114,24.257497070783607
Austria,Hydrorun-of-the-river,2035-2040,12492.852549205934,54206.78413674173,23.046658731297423
Austria,Hydrorun-of-the-river,2040-2045,14936.79236565351,55557.172312659124,26.885443847994487
Austria,Hydrorun-of-the-river,2045-2050,15369.533394622787,55497.30291648213,27.69419879332225
Austria,Hydrorun-of-the-river,2050-2055,14231.684066638245,54669.25224076647,26.03233716086166
Austria,Hydrorun-of-the-river,2055-2060,11240.865777011277,53212.27811624675,21.124571574354793
Belgium,Hydrorun-of-the-river,2020-2025,410.68236465794234,881.4823646088852,46.5899694817108
Belgium,Hydrorun-of-the-river,2025-2030,45.787319327423006,516.5873193368515,8.863423009724796
Belgium,Hydrorun-of-the-river,2030-2035,258.11697304454697,728.9169730067872,35.41102520631572
Belgium,Hydrorun-of-the-river,2035-2040,247.61540181545575,718.4154018055491,34.46688381027735
Belgium,Hydrorun-of-the-river,2040-2045,577.5995210023226,1048.3995210062465,55.09345525529682
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841653178278,1879.9841652769771,74.95723588236784
Belgium,Hydrorun-of-the-river,2050-2055,818.1151835919761,1288.9151835753528,63.47315898029743
Belgium,Hydrorun-of-the-river,2055-2060,515.7963290613341,986.5963281924089,52.2803819882798
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.4973011280663,6836.323336996808,41.90113837398507
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3272922180668,5523.441236174871,52.219751580366946
Bulgaria,Hydrorun-of-the-river,2030-2035,4635.398615938776,7434.066967398047,62.353468650029974
Bulgaria,Hydrorun-of-the-river,2035-2040,4083.5377112279148,5931.506879705053,68.84486175342633
Bulgaria,Hydrorun-of-the-river,2040-2045,4238.251966104267,6112.502434696144,69.33742786009954
Bulgaria,Hydrorun-of-the-river,2045-2050,5451.32905603283,7066.370593240877,77.1446810509363
Bulgaria,Hydrorun-of-the-river,2050-2055,4835.676079525965,6488.368388368894,74.52838356395486
Bulgaria,Hydrorun-of-the-river,2055-2060,4237.384124642554,5667.7636264277335,74.76289421958981
Switzerland,Hydrorun-of-the-river,2020-2025,0.0001718296712628084,1347.1248794558494,1.2755288977530902e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0001377091641561857,19731.60437452781,6.979116423698373e-07
Switzerland,Hydrorun-of-the-river,2030-2035,4.589482326903038,19379.388687947256,0.023682286375510925
Switzerland,Hydrorun-of-the-river,2035-2040,0.001369809775994941,17539.123261817884,7.810024227248427e-06
Switzerland,Hydrorun-of-the-river,2040-2045,0.005002052187173424,19918.02191044903,2.5113197533683494e-05
Switzerland,Hydrorun-of-the-river,2045-2050,192.24511697553086,13012.330537217687,1.477407267096959
Switzerland,Hydrorun-of-the-river,2050-2055,119.28210552382465,19271.656929549543,0.6189509597429969
Switzerland,Hydrorun-of-the-river,2055-2060,14.39112491723044,17078.512216562194,0.08426451165502806
CzechR,Hydrorun-of-the-river,2020-2025,85.05706356382174,1340.1125369078836,6.347009017621658
CzechR,Hydrorun-of-the-river,2025-2030,146.51662318111136,1372.6125264057866,10.674288654844792
CzechR,Hydrorun-of-the-river,2030-2035,295.9422356226786,1443.230823495534,20.505537354440683
CzechR,Hydrorun-of-the-river,2035-2040,419.1389667694715,1951.9958198616623,21.472329115908444
CzechR,Hydrorun-of-the-river,2040-2045,300.512038815108,1769.2863997374945,16.984929000736926
CzechR,Hydrorun-of-the-river,2045-2050,576.298281524976,1766.4206697973918,32.62520029224281
CzechR,Hydrorun-of-the-river,2050-2055,279.6803477308759,1606.0631401254893,17.414031910913735
CzechR,Hydrorun-of-the-river,2055-2060,263.22117031773786,1735.3241690868977,15.168414928274816
Germany,Hydrorun-of-the-river,2020-2025,0.0003349661728265937,22743.06000022539,1.472828075128299e-06
Germany,Hydrorun-of-the-river,2025-2030,0.00013412606548924324,21792.578348967756,6.154667122974751e-07
Germany,Hydrorun-of-the-river,2030-2035,441.74561745003075,23254.42769219596,1.8996193898948448
Germany,Hydrorun-of-the-river,2035-2040,0.001522557015382841,22720.140514733394,6.701353868808619e-06
Germany,Hydrorun-of-the-river,2040-2045,493.3869376013093,23008.454630480763,2.144372342798235
Germany,Hydrorun-of-the-river,2045-2050,877.0426863253082,23652.132057703875,3.708091448946741
Germany,Hydrorun-of-the-river,2050-2055,1036.3880433676368,23733.12465127979,4.366841950209664
Germany,Hydrorun-of-the-river,2055-2060,29.171968183309016,22085.227472255254,0.13208814905781044
Denmark,Hydrorun-of-the-river,2020-2025,0.00019446223560710437,21.248422105819063,0.0009151843588133973
Denmark,Hydrorun-of-the-river,2025-2030,0.0006033817937877736,26.92522624117313,0.002240953477542569
Denmark,Hydrorun-of-the-river,2030-2035,0.004277202554068498,23.14084771099296,0.018483344290091113
Denmark,Hydrorun-of-the-river,2035-2040,0.005381638682227107,20.717525944240368,0.025976261338884647
Denmark,Hydrorun-of-the-river,2040-2045,0.013093203444460867,18.94197097861685,0.06912270882075301
Denmark,Hydrorun-of-the-river,2045-2050,0.021537554182698697,30.282926521022322,0.07112111231306323
Denmark,Hydrorun-of-the-river,2050-2055,0.019703231687860746,22.954032199982134,0.08583778011723832
Denmark,Hydrorun-of-the-river,2055-2060,0.04199614522997842,24.855706904524997,0.16895977004915919
Estonia,Hydrorun-of-the-river,2020-2025,0.0003759956527642325,32.10037586194833,0.0011713123060653515
Estonia,Hydrorun-of-the-river,2025-2030,2.381000579114799,34.48100050633484,6.905253745979217
Estonia,Hydrorun-of-the-river,2030-2035,12.384041499981832,44.48404141743851,27.839290463224582
Estonia,Hydrorun-of-the-river,2035-2040,22.08412333414445,54.18412333412342,40.75755401257287
Estonia,Hydrorun-of-the-river,2040-2045,27.135896003587657,59.23589552424784,45.80988565029755
