Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1089755197.3848243,-4.686825613869075e-09,1100000000.0,3427904.077078575,0.31790714468110376,42.05787454019303,17177.068789799505,9836.817597401594,16656.58653888512
2020-2025,scenario2,1065204486.9608157,-1.890459689281265e-09,1100000000.0,3444542.674722636,0.3092440964014562,41.32799844497905,21456.950842077214,8887.529026767628,18634.110389123907
2020-2025,scenario3,1093880119.922121,-7.659083563406017e-09,1100000000.0,3387039.4939786945,0.32296054470777197,42.83706891872634,20909.993480917747,7918.189072825766,17348.876684412684
2025-2030,scenario1,990000000.0217866,-13.154391754843624,990000000.0,4513653.336936874,0.21933452264050207,44.17729785173833,41751.863195290694,12351.537728463403,21662.397216318757
2025-2030,scenario2,987308063.8325411,-1.5164386139224486e-08,990000000.0,4525447.431525506,0.21816805493191582,37.22200666489519,45622.347393422264,14083.774955900131,23877.958244564354
2025-2030,scenario3,989999999.9851781,-41.21737039470314,990000000.0,4602341.479427433,0.21510789766697364,196.93841243784473,26257.720334232272,6953.361377140861,18854.74290566037
2030-2035,scenario1,723660872.6900913,-5.391588873508779e-08,770000000.0,5496066.548898773,0.13166887013678763,24.823214703047803,146922.56059254342,31091.118428420807,47551.08552380897
2030-2035,scenario2,762371057.9899302,-1.4303329481126313e-08,770000000.0,5652756.807649277,0.13486712482629268,26.723059847367608,123384.78986528712,23958.803178597675,40770.54202705603
2030-2035,scenario3,770000000.0159497,-36.4440176963281,770000000.0,5543791.591384446,0.13889411016325853,46.71585971005886,68106.452906763,19159.40448775079,40702.20354219977
2035-2040,scenario1,330000000.0162025,-49.18603722278847,330000000.0,6720263.484219466,0.04910521749498454,30.021260185326327,145510.5286023602,37124.11929939732,54357.13132659823
2035-2040,scenario2,330000000.0162129,-54.68830498434999,330000000.0,6656752.884023417,0.049573719464369836,202.4771186061027,104155.11261886511,39174.59598100151,53274.770834313924
2035-2040,scenario3,330000000.01590484,-42.37893479908972,330000000.0,6643141.222530117,0.049675295009039326,185.80547526310548,211664.81251879098,37430.10669305571,52872.653120312774
2040-2045,scenario1,66000000.03119076,-50.65414042373668,66000000.0,7389167.977151478,0.008931993457893306,19.965430969893383,252514.5585290356,81110.03063489906,68127.19531609898
2040-2045,scenario2,66000000.01600675,-54.35191398691889,66000000.0,7384828.933908163,0.008937241553824162,22.56525630649748,454754.6275461802,72601.73707646488,69753.74690120772
2040-2045,scenario3,66000000.014083445,-202.48750517880939,66000000.0,7420227.176943197,0.008894606383369117,35.564169629740725,323974.1627470168,82506.86180803686,70004.24278087865
2045-2050,scenario1,55000000.01316491,-47.823959122200336,55000000.0,7742714.549918115,0.007103451852521622,13.196263028410872,546797.09399818,94850.62692572514,77033.25676807048
2045-2050,scenario2,55000000.01464211,-221.4796780786359,55000000.0,8283163.010242907,0.006639975568105304,27.39850668205988,357443.1767508703,85196.26424078333,82554.2044855325
2045-2050,scenario3,55000000.0138398,-105.05116834334275,55000000.0,8220431.652652683,0.00669064622611288,29.585124903779086,283018.6147570386,70730.75130116771,80153.01566149012
2050-2055,scenario1,33000000.009651184,-47.67131742167675,33000000.0,7857348.8333034525,0.004199889900494235,11.601595711033783,608676.7123499142,116980.35263882576,76295.87189520973
2050-2055,scenario2,33000000.009761676,-235.32642038887462,33000000.0,8247476.084567672,0.004001224092242027,23.856174979642933,695432.0580720707,89783.23964782388,77621.34836916135
2050-2055,scenario3,33000000.00994743,-79.09805152994919,33000000.0,8194414.537844692,0.00402713334278396,13.8754121678959,710933.0783029482,104623.73308053735,79361.09646211233
2055-2060,scenario1,22000000.009454645,-37.3517736160456,22000000.0,7948024.707964247,0.0027679833440137362,6.583523828189545,787225.6593078971,69851.76592534753,83258.34354420967
2055-2060,scenario2,22000000.01021456,-240.05801165343732,22000000.0,8067926.578236748,0.002726846829464217,27.75542879674424,711756.4600876668,73401.04925752073,81297.1462325281
2055-2060,scenario3,22000000.009510998,-39.62710006292341,22000000.0,8198926.463879586,0.0026832781226216102,9.634056510541832,852001.6919237807,68387.22025212883,83119.45052936152
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,357452.94431522914
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,225899.02449215326
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,140207.40741328857
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,6997.0878073069125
Liginiteexisting,2040-2045,0.0,12263.0,0.0,6.455309638993723
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.005263461885084979
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,31992.217047054968,31992.217047054968,79198455179.65366,223705.29841375453
Lignite,2025-2030,0.0003993892849867591,31992.21744546252,739.2444390945304,219649.85933943462
Lignite,2030-2035,0.0019047599166006834,31992.2193492407,2593.3944900004967,207141.52292196843
Lignite,2035-2040,0.00013814328753361123,31992.21948640225,135.11422457499086,32200.20651458756
Lignite,2040-2045,0.00013217215105884624,31992.219617592666,89.56271842628047,56.61216232231287
Lignite,2045-2050,0.00014514541622077972,31992.219761756347,64.18478742029713,0.004071314443338116
Lignite,2050-2055,0.00023789046862470093,31992.219998665074,61.31845051560399,0.004080767099154987
Lignite,2055-2060,0.0005385307069874153,31992.22053621404,60.98157279266799,14.05046968409105
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,350976.67109804373
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,211693.66739374655
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,131320.10470932597
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,7502.408256822437
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,75.26713076415534
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,4.625969471575611
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.10392296694979773,0.10392296694979773,222523.62312545546,0.5140016737252233
Coal,2025-2030,0.013031048903834695,0.11695175786582483,20862.350817057926,0.5286725499326289
Coal,2030-2035,0.0026608784480171865,0.11961037831249635,3133.614649860489,0.4968976528640338
Coal,2035-2040,0.0007810146707880712,0.12038913498872461,660.7279677690043,0.07296735889017433
Coal,2040-2045,0.0006931022321115251,0.12107997922605411,406.23451413794174,0.017545200632808417
Coal,2045-2050,0.0012649244953653776,0.12234264572709644,483.8219832003919,0.011597576904327058
Coal,2050-2055,0.0017330023971266315,0.12407339012957931,386.371875445829,0.011783525950601927
Coal,2055-2060,0.003823473601094456,0.12789460573611033,374.4884759836923,0.01634961412962223
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,177730.82690856943
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,86707.5341406554
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,59477.26162555106
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,11903.543143658871
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,411.80784585403586
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.06543178206985124,0.06543178206985124,48076.063039845125,0.04191458270964806
GasOCGT,2025-2030,20260.25325542997,20260.31868405978,11663758574.600594,819.0425313859474
GasOCGT,2030-2035,2552.759552020989,22813.078290822792,1151481769.4592273,3203.5102007130745
GasOCGT,2035-2040,138147.61103380073,160960.68923437808,44764473533.10498,6467.625319150683
GasOCGT,2040-2045,0.0008616305357670021,160960.69011429555,193.43150312100838,568.7261686641252
