BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2019.332523592398,60.579975707772235
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4719.864794770158,141.59594384310478
Switzerland,Austria,2030-2035,999.983364940852,2199.983364940852,239412088.59111962,7107.47768860999,213.22433065829946
Switzerland,Austria,2035-2040,0.01660559795262997,2199.999970525436,2855.9510809740405,13804.053105338353,414.1215931601512
Switzerland,Austria,2040-2045,999.9999800374125,3199.9999505915202,119154996.87783563,17158.48409847865,514.7545229543592
Switzerland,Austria,2045-2050,5.707146664656701e-07,3199.9999512069203,0.044378515935322764,18575.492012921448,557.2647603876422
Switzerland,Austria,2050-2055,4.765167318348823e-07,3199.999951804773,0.021598184365832114,16249.14007354088,487.47420220622695
Switzerland,Austria,2055-2060,7.569585683072612e-07,3199.999952313279,0.015072497417620916,19711.267066260203,591.3380119878054
CzechR,Austria,2020-2025,0.0,900.0,0.0,4496.796035965354,134.90388107896135
CzechR,Austria,2025-2030,0.0,900.0,0.0,2730.1645134075525,81.90493540222663
CzechR,Austria,2030-2035,999.9999765401049,1899.9999765401049,87917388.94633244,8705.819852827064,261.1745955848125
CzechR,Austria,2035-2040,1.2511226484225044e-05,1899.9999890379622,0.7901646984963464,9373.431654807893,281.20294964423636
CzechR,Austria,2040-2045,4.7400925586348957e-07,1899.9999894986079,0.02074056496179873,9979.861203178878,299.39583609536567
CzechR,Austria,2045-2050,1.0504478302773998e-07,1899.999989590279,0.0029995059074930503,10574.575484513816,317.23726453541434
CzechR,Austria,2050-2055,1.5184229904427806e-07,1899.9999897287469,0.0025272799508047725,10755.523019868318,322.66569059604933
CzechR,Austria,2055-2060,1.6112416606852084e-07,1899.9999898765075,0.0011781356103476189,11759.787860891434,352.79363582674216
Germany,Austria,2020-2025,0.0,5000.0,0.0,16174.53404399893,485.23602131996876
Germany,Austria,2025-2030,1999.9999149947344,6999.999914994734,891259.916750041,18685.934970022136,560.5780491006637
Germany,Austria,2030-2035,500.0000610415915,7499.999975564018,149745.34878185307,30926.0141630548,927.780424891646
Germany,Austria,2035-2040,2.8737823126542684e-07,7499.999976296317,6.182727381797672e-05,37528.52846708408,1125.855854012523
Germany,Austria,2040-2045,700.0000015260902,8199.999979329681,104337.4680818896,38816.467671089515,1164.494030132684
Germany,Austria,2045-2050,1.082369473655884e-06,8199.999978846978,0.00010528324476032617,37152.47368862555,1114.574210658765
Germany,Austria,2050-2055,8.741558622754188e-08,8199.999978948508,4.956304135852097e-06,43273.60316017105,1298.2080948051334
Germany,Austria,2055-2060,1.0596402721050127e-07,8199.999979010545,2.6393777346555586e-06,44733.54160772888,1342.0062482318658
Hungary,Austria,2020-2025,0.0,800.0,0.0,2884.0075197851543,86.52022559355467
Hungary,Austria,2025-2030,0.0,800.0,0.0,3889.25628413341,116.67768852400225
Hungary,Austria,2030-2035,1999.9999792704252,2799.9999792704252,149305057.65572244,12911.014028667154,387.33042086001376
Hungary,Austria,2035-2040,4.06189049327725e-06,2799.999983318946,0.2178289934740795,15749.68690297876,472.4906070893635
Hungary,Austria,2040-2045,1.8048725893026664e-07,2799.999983486067,0.006705791500961214,16928.88019664254,507.86640589927737
Hungary,Austria,2045-2050,1.0287806919262459e-07,2799.9999835755752,0.002494409631610206,17617.413561896265,528.5224068568888
Hungary,Austria,2050-2055,8.18656365449476e-08,2799.9999836440566,0.0011569962756928765,16793.577087235255,503.8073126170578
Hungary,Austria,2055-2060,1.8066763954934695e-07,2799.9999838113704,0.001121720631328988,18092.03787798696,542.7611363396087
Italy,Austria,2020-2025,0.0,405.0,0.0,2324.9218531449087,69.7476555943472
Italy,Austria,2025-2030,389.99991644673105,794.999916446731,155139709.9285227,4230.8793984426475,126.9263819532789
Italy,Austria,2030-2035,500.00005620070317,1294.9999732350752,133671062.67825481,7112.986527431216,213.3895958229365
Italy,Austria,2035-2040,1.7017827395539977e-05,1294.9999896400645,3.26824351058237,8455.678465701882,253.67035397105656
Italy,Austria,2040-2045,999.9999934951605,2294.99998311732,133053503.0019024,14285.483928683498,428.5645178605056
Italy,Austria,2045-2050,3.58618672596676e-07,2294.999983418947,0.031138715085746928,13771.106299977746,413.1331889993332
Italy,Austria,2050-2055,1.695418038148989e-07,2294.9999837485802,0.008580842617196447,13884.75191591925,416.5425574775771
Italy,Austria,2055-2060,3.800378462897217e-07,2294.9999839899833,0.008449947383211347,14333.055473855055,429.9916642156531
Slovenia,Austria,2020-2025,0.0,950.0,0.0,2946.938039941615,88.40814119824839
Slovenia,Austria,2025-2030,0.0,950.0,0.0,3093.1033042426307,92.79309912727915
Slovenia,Austria,2030-2035,999.9999662014382,1949.9999662014382,97342420.82398003,6219.808133243401,186.5942439973019
Slovenia,Austria,2035-2040,2.401587416633182e-05,1949.9999902039438,1.6793588300690172,10804.608642505575,324.13825927516785
Slovenia,Austria,2040-2045,999.999997695153,2949.999987641178,48446356.93677925,15007.226298904694,450.21678896714025
Slovenia,Austria,2045-2050,2.0941354838685776e-07,2949.999987972312,0.006620752825157253,16464.684943589593,493.94054830768863
Slovenia,Austria,2050-2055,1.9074767644599032e-07,2949.999988412377,0.003515177042524048,13916.358084294614,417.49074252883923
Slovenia,Austria,2055-2060,9.85368478072586e-07,2949.9999892309497,0.00797738645113955,16856.44499059816,505.6933497179425
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9999625394003,999.9999625394003,19498631.441058666,3380.2293100489183,101.4068793014678
Slovakia,Austria,2035-2040,2.5093204977472463e-05,999.9999876192363,0.3514821112409069,5543.936585996574,166.31809757989782
