Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.001828724053575322,41574.19197810392,4.398700170861926e-06
Austria,Hydrorun-of-the-river,2025-2030,764.793000668177,41922.915415291915,1.8242839103437185
Austria,Hydrorun-of-the-river,2030-2035,8957.239948545111,49572.01674362474,18.069145733710876
Austria,Hydrorun-of-the-river,2035-2040,12028.945525122002,53992.78693470106,22.27880094367017
Austria,Hydrorun-of-the-river,2040-2045,11227.590017034388,52705.661896471756,21.30243623367908
Austria,Hydrorun-of-the-river,2045-2050,12069.516954593431,52866.62307606175,22.830126556841808
Austria,Hydrorun-of-the-river,2050-2055,17307.571394923158,58405.72494090859,29.63334743714579
Austria,Hydrorun-of-the-river,2055-2060,2765.9755114966497,41150.616823782606,6.721589431675494
Belgium,Hydrorun-of-the-river,2020-2025,300.21606172637587,771.0160613971469,38.93771826002674
Belgium,Hydrorun-of-the-river,2025-2030,215.03304740184404,685.8330472418976,31.353555834996172
Belgium,Hydrorun-of-the-river,2030-2035,272.6584018217972,743.4584017394842,36.67433190395764
Belgium,Hydrorun-of-the-river,2035-2040,414.5195984101887,885.3195981932553,46.82146416459469
Belgium,Hydrorun-of-the-river,2040-2045,208.9362350118262,679.7362324912789,30.737839918590314
Belgium,Hydrorun-of-the-river,2045-2050,959.6745989195942,1430.47459864822,67.0878462173655
Belgium,Hydrorun-of-the-river,2050-2055,593.8360596534125,1064.6360593887223,55.778315454989645
Belgium,Hydrorun-of-the-river,2055-2060,377.6264920791246,848.4264914329912,44.509040664361386
Bulgaria,Hydrorun-of-the-river,2020-2025,3463.8009415774927,7435.5727160359775,46.584184888774786
Bulgaria,Hydrorun-of-the-river,2025-2030,1996.9738210845921,5213.8188858764515,38.30155716559567
Bulgaria,Hydrorun-of-the-river,2030-2035,3666.3915988632334,5634.584337042065,65.06942446065054
Bulgaria,Hydrorun-of-the-river,2035-2040,4109.012364183888,6047.231192143445,67.94865672611148
Bulgaria,Hydrorun-of-the-river,2040-2045,4649.907913126556,6487.997471725472,71.66938540575481
Bulgaria,Hydrorun-of-the-river,2045-2050,4554.83248196688,6763.245458767192,67.34684567839324
Bulgaria,Hydrorun-of-the-river,2050-2055,5436.220157676029,7141.926056303441,76.11700422014364
Bulgaria,Hydrorun-of-the-river,2055-2060,3981.250119550492,5712.995487882284,69.68761183156961
Switzerland,Hydrorun-of-the-river,2020-2025,0.00102708940194652,1493.088779643816,6.878957339640163e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0020219280852210213,1213.456391541449,0.0001666255251787478
Switzerland,Hydrorun-of-the-river,2030-2035,0.004335407295827819,1102.6511808034932,0.00039318030681911956
Switzerland,Hydrorun-of-the-river,2035-2040,61.99626238919519,16689.886370251843,0.37146006278207927
Switzerland,Hydrorun-of-the-river,2040-2045,306.5778265870088,23448.497693235742,1.3074518913655104
Switzerland,Hydrorun-of-the-river,2045-2050,249.3711590396218,14263.525887007037,1.7483135727806232
Switzerland,Hydrorun-of-the-river,2050-2055,455.34502103603046,19830.302866331458,2.2962081018395852
Switzerland,Hydrorun-of-the-river,2055-2060,437.7288765101924,15342.399155454841,2.853066668875983
CzechR,Hydrorun-of-the-river,2020-2025,53.01225746073475,1304.0285793782089,4.065268069969159
CzechR,Hydrorun-of-the-river,2025-2030,208.25675106689806,1388.052348693391,15.003522832761707
CzechR,Hydrorun-of-the-river,2030-2035,580.857941980997,1417.7148530335921,40.97142247879333
CzechR,Hydrorun-of-the-river,2035-2040,365.02304298499394,1689.1126291144296,21.61034360250854
CzechR,Hydrorun-of-the-river,2040-2045,481.4640853609287,1869.8902241697358,25.748254049229402
CzechR,Hydrorun-of-the-river,2045-2050,578.1243461966446,1754.1266151249192,32.957959887945364
CzechR,Hydrorun-of-the-river,2050-2055,424.8916056590937,1794.2314278512915,23.680981118914463
CzechR,Hydrorun-of-the-river,2055-2060,330.71943296638665,1574.7906094417006,21.00085122323877
Germany,Hydrorun-of-the-river,2020-2025,0.001954737235073863,22677.87185603306,8.619579683151964e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0007544206892258327,19664.385344475224,3.836482432631894e-06
Germany,Hydrorun-of-the-river,2030-2035,0.003106837460421471,22302.471840876802,1.3930462428505988e-05
Germany,Hydrorun-of-the-river,2035-2040,123.51854464994906,21731.391673422637,0.5683876417404574
Germany,Hydrorun-of-the-river,2040-2045,1464.2261974196483,22659.719775189595,6.461801875515016
Germany,Hydrorun-of-the-river,2045-2050,657.3683071517655,21621.04908978109,3.04040892938198
Germany,Hydrorun-of-the-river,2050-2055,1543.5024242587158,23550.846599742,6.5539148145766655
Germany,Hydrorun-of-the-river,2055-2060,1509.6308498374456,18635.12654767979,8.100995965736576
Denmark,Hydrorun-of-the-river,2020-2025,0.000917135013363312,18.544769087339066,0.004945518647570871
Denmark,Hydrorun-of-the-river,2025-2030,0.003572085785350279,24.78297661294511,0.01441346550552947
Denmark,Hydrorun-of-the-river,2030-2035,0.017300794483830505,26.18132021794591,0.06608068019416273
Denmark,Hydrorun-of-the-river,2035-2040,0.013188655956532274,20.776313545956768,0.06347928821616619
Denmark,Hydrorun-of-the-river,2040-2045,0.06471089605069123,18.6191766120186,0.3475497192981167
Denmark,Hydrorun-of-the-river,2045-2050,0.08865238117401912,24.816522318995986,0.35723128339444854
Denmark,Hydrorun-of-the-river,2050-2055,0.1126218930005863,18.285864134209632,0.6158959301786048
Denmark,Hydrorun-of-the-river,2055-2060,0.16546983198694565,24.426069242179512,0.6774312737196718
Estonia,Hydrorun-of-the-river,2020-2025,0.00350248017734721,32.1035019459548,0.0109099629792523
Estonia,Hydrorun-of-the-river,2025-2030,4.166348906922499,36.266348661931325,11.488195146857734
Estonia,Hydrorun-of-the-river,2030-2035,11.250314432042934,43.350313948527166,25.95209447710393
Estonia,Hydrorun-of-the-river,2035-2040,21.78602426893614,53.88602402902538,40.429823245450855
Estonia,Hydrorun-of-the-river,2040-2045,33.50759176839111,65.60759140277692,51.072735718465744
Estonia,Hydrorun-of-the-river,2045-2050,33.41168618209075,65.51168329682196,51.001110795319136
Estonia,Hydrorun-of-the-river,2050-2055,36.02808050783553,68.12807684546277,52.88286735226543
Estonia,Hydrorun-of-the-river,2055-2060,35.34254157970613,67.44253683977831,52.4039326451622
Spain,Hydrorun-of-the-river,2020-2025,1661.6664594754868,20091.299517768348,8.270577311367749
