Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499998749154904,0.0,12404.157931242298
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.720215279365304,0.0,7330.187125901053
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6557981689011887,0.0,4484.472985058556
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.02200301694316252,0.0,104.9726702483457
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,2.2266877149711655e-07,0.0,0.0007365384183076473
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,6.331622509081809e-07,0.0,0.0005235897244150153
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.34751766367322456,0.0,37617.8557452879
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5423266244564796,0.0,36126.40225357558
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5438038525980018,0.0,24338.541489659467
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.05120202895193205,0.0,1598.7930036372238
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,3.550610418466467e-08,0.0,0.0007686881243261468
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,9.485319672529623e-08,0.0,0.0005133802169473053
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499998116328922,0.0,47632.488036804905
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7286723893271638,0.0,28478.759043795853
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6488142290027907,0.0,17037.175407794137
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.034049063331596935,0.0,623.7853881316491
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.0001681397631482027,0.0,2.13571127150847
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,1.7816337173940868e-07,0.0,0.0005657577869584938
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7405086146545169,0.0,123937.86050232137
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7341106101769552,0.0,75610.48351140814
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6786419688339904,0.0,46962.3379847146
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.047048010242781046,0.0,2271.449343807541
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,3.181431424612219e-08,0.0,0.0010649431925521893
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,7.319240731805716e-08,0.0,0.0006125053907878353
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7475706841145863,0.0,13103.9871048804
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6944174026747574,0.0,7490.631379267181
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5254460755690727,0.0,3808.1536588313706
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.05695012760752374,0.0,287.9610919620169
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,2.1456673502736976e-07,0.0,0.0007522177604556721
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,5.730149941410147e-07,0.0,0.0005022121154349628
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499997792511888,0.0,6615.988052704113
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6783489708648739,0.0,3682.420519181353
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.614429467544117,0.0,2240.9941815130715
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.04390799565175202,0.0,111.72879236616717
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,4.282125260310386e-07,0.0,0.0007554799440256247
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,1.2955175868376052e-06,0.0,0.0005714087599561165
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6644764714122084,0.0,1327.1455668221768
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.6664679967484713,0.0,819.1527387974094
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5027695998366216,0.0,415.1863620533904
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.02778440355783715,0.0,16.007663520576095
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,2.7275829630040087e-06,0.0,0.0010895493800697285
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,5.5882958738331205e-06,0.0,0.0005580695791444723
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499482604071448,0.0,5413.306531201262
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7301295030925778,0.0,3243.2307596325895
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.640781450549476,0.0,1912.3895653597344
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.05179289807605062,0.0,107.84237556013615
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,5.193879448457578e-07,0.0,0.0007498133678006879
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,1.418465029378545e-06,0.0,0.0005119410506830696
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999557538813,0.0,49669.197069774156
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7068234724608976,0.0,28806.036035573183
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6414224768347228,0.0,17563.262504040555
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.04435126722381441,0.0,847.2661392281091
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,0.0005061238699596439,0.0,6.703671392479873
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,1.5589133700825953e-07,0.0,0.0005161998664087114
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499998901974451,0.0,16405.287598209645
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6470952846456658,0.0,8710.388350559775
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.6079480389244555,0.0,5498.246756281286
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.05515224788012729,0.0,347.9956233174513
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,1.752107900022304e-07,0.0,0.0007665023522975159
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,6.730158471827396e-07,0.0,0.0007360680098419028
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499999407200585,0.0,37192.767060286445
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7190127488318824,0.0,21942.216036407684
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.6685630575654685,0.0,13708.020734778931
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.044911966453835314,0.0,642.4617071404653
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,7.575509307308966e-08,0.0,0.0007513444674656051
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,2.126510997386409e-07,0.0,0.0005272722295217546
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.749999738207095,0.0,6149.517853465731
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7068822154381158,0.0,3566.758007369015
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.6644461554908152,0.0,2252.5522006525152
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.01966374606402844,0.0,46.50869219064006
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,4.501141108396957e-07,0.0,0.0007381295271709112
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,1.2823943174557434e-06,0.0,0.0005257406335386978
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.034051225033877634,0.034051225033877634,0.7896586673851413,84295.64027061113,0.23554628205181033
BosniaH,Lignite,2025-2030,8.129125791633313e-06,0.034059179505771,0.7714619242159388,15.04650039963911,0.23017215499054622
BosniaH,Lignite,2030-2035,6.044000914928673e-06,0.03406504885278336,0.7219605214073942,8.229109891343853,0.2154401149801488
BosniaH,Lignite,2035-2040,4.940000619350024e-06,0.03406981419950366,0.09426154338031224,4.831681401248355,0.028132505837541052
BosniaH,Lignite,2040-2045,9.523254323828277e-06,0.034079162799929306,0.002373874534097043,6.453163837268152,0.0007086809928155112
BosniaH,Lignite,2045-2050,1.4291800493922548e-05,0.03409327994651318,0.0016742600216563621,6.319980337239123,0.00050002969684509
BosniaH,Lignite,2050-2055,1.4245560110425681e-05,0.034107350852715546,0.0018042022913317133,3.6719237964773983,0.0005390602705031839
BosniaH,Lignite,2055-2060,1.7769219368264573e-05,0.03412494541819347,0.002957108131561109,2.0121321408697947,0.0008839817054065199
Bulgaria,Lignite,2020-2025,0.0007495782312591145,0.0007495782312591145,0.3521477419812745,1855.621255154116,0.002312309586607633
Bulgaria,Lignite,2025-2030,0.00024869316707816985,0.000998096744443575,0.3672456335323183,460.3154058312781,0.0032109488400599785
Bulgaria,Lignite,2030-2035,0.002106233046867388,0.003104155137404181,0.5580071083912094,2867.7069119299217,0.015173551938252688
Bulgaria,Lignite,2035-2040,6.76292228272511e-06,0.0031107434057853094,0.1320722591489851,6.614631926064483,0.0035989838848975004
Bulgaria,Lignite,2040-2045,6.292474901810032e-06,0.003116861226786315,0.025410127393422556,4.263917575074746,0.0006937906057606767
Bulgaria,Lignite,2045-2050,6.340953385850784e-06,0.003123027526268993,0.01621081060881405,2.804034434637412,0.0004434908359290672
Bulgaria,Lignite,2050-2055,3.224126382244201e-05,0.0031550941361864608,0.01825356813421648,8.310481507251389,0.0005045035178743784
Bulgaria,Lignite,2055-2060,0.0002116770793742808,0.0033665965616764687,0.02361332703211428,23.969666087589907,0.0006963897394214704
CzechR,Lignite,2020-2025,0.02849315227041714,0.02849315227041714,0.7849630624229416,70536.33199901694,0.1959267912830041
CzechR,Lignite,2025-2030,2.2383400397403965e-06,0.02849521595655724,0.7712320574647334,4.143026589297646,0.1925134745034793
CzechR,Lignite,2030-2035,3.7378188848985265e-06,0.028498779121531433,0.7126596630858274,5.0891657348687405,0.17791498966546712
CzechR,Lignite,2035-2040,6.484471800564025e-06,0.028505088939443268,0.08640475503873206,6.34228701773462,0.021575662990008012
CzechR,Lignite,2040-2045,7.0411485325514325e-06,0.028511955434073193,0.0032325572258693745,4.771235077635626,0.0008073787814438111
CzechR,Lignite,2045-2050,6.597406333547402e-06,0.028518378186507848,0.0021154583653377316,2.9174405507918366,0.0005284859092964944
CzechR,Lignite,2050-2055,9.334376898088728e-06,0.028527537909504925,0.0020787197485925535,2.4060212720099696,0.0005194746263374052
CzechR,Lignite,2055-2060,1.2809619572890163e-05,0.02854017287519275,0.0030509764175017163,1.450522204760444,0.0007627804548882451
Germany,Lignite,2020-2025,26824.113635267644,26824.113635267644,0.7999999815090887,66404537026.990585,187983.38401097627
Germany,Lignite,2025-2030,5.389876589546492e-05,26824.113688991758,0.7887340292618348,99.76322465336376,185336.1195365524
Germany,Lignite,2030-2035,8.78754342873364e-06,26824.113697604644,0.755190184309885,11.964535010474775,177454.01253705233
Germany,Lignite,2035-2040,1.652086314001123e-05,26824.113713950857,0.12148259662432544,16.158610760794698,28545.887758384288
Germany,Lignite,2040-2045,1.499419828695811e-05,26824.113728770404,6.947633934823834e-05,10.160394216514986,16.32549715846953
Germany,Lignite,2045-2050,1.4762143417770329e-05,26824.113743357888,2.487651286946187e-09,6.527970788249238,0.0005845463998157317
Germany,Lignite,2050-2055,1.6304837733074705e-05,26824.11375948808,2.5187147744764358e-09,4.202721493973646,0.000591845674751153
Germany,Lignite,2055-2060,3.0941025723940855e-05,26824.113790254443,4.435698700417651e-09,3.5036672709331778,0.0010422970953105552
Estonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Greece,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Greece,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Greece,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Greece,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Greece,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Greece,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Lignite,2020-2025,959.8838239293019,959.8838239293019,0.7999997037622166,2376244068.841034,6726.8633471567555
Hungary,Lignite,2025-2030,7.348819631432045e-06,959.8838311034679,0.7411954379263922,13.602202789754264,6232.402885006033
Hungary,Lignite,2030-2035,7.562912894633275e-06,959.8838384917267,0.697363098945216,10.297159478397122,5863.8350977650625
Hungary,Lignite,2035-2040,9.863343290698186e-06,959.8838481804162,0.07732465665582364,9.647070112728962,650.1907555525877
Hungary,Lignite,2040-2045,1.229157059817104e-05,959.8838602973328,8.801828551858212e-08,8.32903503258117,0.0007401090255196883
Hungary,Lignite,2045-2050,1.5182996679544258e-05,959.8838753056755,6.789451117463072e-08,6.714076404571355,0.0005708966153250133
Hungary,Lignite,2050-2055,1.3926570318263148e-05,959.8838890575919,6.559657278322879e-08,3.5897012513759416,0.000551574218114051
Hungary,Lignite,2055-2060,1.5034411206680135e-05,959.8839039173491,8.760577485477653e-05,1.702450815708997,0.7366404289981716
Ireland,Lignite,2020-2025,2538.6225105755307,2538.6225105755307,0.7777017259519284,6284496658.239072,17294.790106211538
Ireland,Lignite,2025-2030,5.58400433284742e-06,2538.622515984882,0.752264798633743,10.335640704717633,16729.115276759392
Ireland,Lignite,2030-2035,7.1224095933038e-06,2538.622522932638,0.5853108126407623,9.697399464267013,13016.33693612004
