Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.035820945271821975,0.035820945271821975
EnergyhubEU,2025-2030,1.2576669441485615e-06,0.0358221156118317
EnergyhubEU,2030-2035,15227.764097071016,15227.799918517103
EnergyhubEU,2035-2040,21.00709571970678,15248.807014577511
EnergyhubEU,2040-2045,18990.992812444863,34239.79982691563
EnergyhubEU,2045-2050,0.045213079771767466,34239.84503991329
EnergyhubEU,2050-2055,7.279563768644898e-06,34239.845049910204
EnergyhubEU,2055-2060,2.2289866168843235e-06,34239.84504864583
EnergyhubNorth,2020-2025,0.03411470476863,0.03411470476863
EnergyhubNorth,2025-2030,1.459670017677777e-06,0.03411607711172278
EnergyhubNorth,2030-2035,0.27647467491562866,0.31059066470047825
EnergyhubNorth,2035-2040,0.06621923908841418,0.37680981646179906
EnergyhubNorth,2040-2045,35675.693081926955,35676.06989237504
EnergyhubNorth,2045-2050,9251.677191535671,44927.74708133748
EnergyhubNorth,2050-2055,1.4232615651932568e-05,44927.747105549424
EnergyhubNorth,2055-2060,3.0533175407276595e-06,44927.74710118091
EnergyhubCentral,2020-2025,0.03733282489898575,0.03733282489898575
EnergyhubCentral,2025-2030,1.3306884462488761e-06,0.037334068260434436
EnergyhubCentral,2030-2035,3162.9958842915094,3163.0332182992693
EnergyhubCentral,2035-2040,0.11077661921268414,3163.1439948273537
EnergyhubCentral,2040-2045,9792.038792677131,12955.182787277894
EnergyhubCentral,2045-2050,10824.731037489018,23779.91382496503
EnergyhubCentral,2050-2055,6.164653780517492e-06,23779.913835140644
EnergyhubCentral,2055-2060,2.3998563061504807e-06,23779.91383256798
