Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,2.6024280941783218e-05,3503.000026024281,3.7554651498794556e-05,124704.00003755465,31.268733396245768,2372.372953344063,593.0932383076247
Austria,HydroPumpStorage,2025-2030,1.5999430866612185e-05,3503.000041936385,1.2944387407574814e-05,124704.0000503244,14.227709324711116,2653.5434514261196,663.3858628292012
Austria,HydroPumpStorage,2030-2035,1751.4985742276112,5254.498616076912,3.9533369662147134e-05,124704.00008968309,1129031600.2382321,6125.614444514321,1531.4036111000917
Austria,HydroPumpStorage,2035-2040,0.0010816327361467747,5254.49969208747,1.0696383901497757e-05,124704.00010020482,546.838272010751,8476.74103750313,2119.1852593877175
Austria,HydroPumpStorage,2040-2045,1.8657824342898153e-06,5254.499692513446,4.384884115963628e-06,124704.00010441506,0.806305014872256,11035.99867500796,2758.999668704634
Austria,HydroPumpStorage,2045-2050,2.744482066691514e-05,5254.49969520192,1.90851435738008e-05,124704.00008594556,6.702931180543066,9920.76467670002,2480.191169215578
Austria,HydroPumpStorage,2050-2055,1.956206627860377e-05,5254.499704382637,1.5850126337762936e-05,124704.00008885129,2.8147708384035357,11375.222911207218,2843.8057277675184
Austria,HydroPumpStorage,2055-2060,1751.4980748928729,5254.499205048971,4.1547764597102104e-05,124704.0000908657,102418012.02471823,10127.18991775402,2531.797479745389
Austria,Li-Ion_BESS,2020-2025,0.002850743049761184,0.002850743049761184,0.005701486099522368,0.005701486099522368,1682.8408249556128,0.008134126386427541,0.0009037857067533444
Austria,Li-Ion_BESS,2025-2030,0.0030187036274527362,0.005869359350257438,0.006037407254857933,0.011738718700514876,1135.5435553774312,0.011132134714575213,0.0012368975432055906
Austria,Li-Ion_BESS,2030-2035,594.6942086979633,594.7000779698786,1189.388417397333,1189.4001559397573,172647652.79312274,452.18744636981836,50.243049590034516
Austria,Li-Ion_BESS,2035-2040,0.00121014391940798,594.6984367150088,0.0024225840336709096,1189.3968734300176,275.4992274453245,479.9245854238813,53.324953929099074
Austria,Li-Ion_BESS,2040-2045,8281.610418110513,8876.305837156933,16563.22083509802,17752.611674313866,1476008216.3062859,7099.339328511804,788.8154809389025
Austria,Li-Ion_BESS,2045-2050,2.9679410737210887e-05,8281.611658094373,5.9463735248696876e-05,16563.223316188745,4.151055726842314,6618.448379956609,735.3831533203702
Austria,Li-Ion_BESS,2050-2055,17899.646763379344,26181.257211113698,35799.29352743771,52362.514422227396,1456992417.6791592,20846.114364105422,2316.2349293408547
Austria,Li-Ion_BESS,2055-2060,6.445395264747099e-05,17899.646857841115,0.00012893521773006734,35799.29371568223,2.3052470493577415,18550.376750242645,2061.1529722407613
BosniaH,HydroPumpStorage,2020-2025,1.4049821857042843e-06,440.0000014049822,1.39615394800785e-06,2199.340001396154,1.6218274595303206,57.96942100889904,14.49235522809204
BosniaH,HydroPumpStorage,2025-2030,1.478193120492658e-07,440.0000014654607,3.4633026761814666e-06,2199.3400047721298,0.4065380821097479,207.63735521019456,51.909338779244905
BosniaH,HydroPumpStorage,2030-2035,2.2163846929446698e-07,440.00000159978566,2.556449676581609e-05,2199.3400301619727,1.7907803888706846,451.5458351512648,112.88645876454689
BosniaH,HydroPumpStorage,2035-2040,2.2604923031177224e-07,440.00000173850907,219.93346196343467,2419.2734911797866,11108134.457079178,593.6347122391406,148.40867803647913
BosniaH,HydroPumpStorage,2040-2045,2.04258802069986e-06,440.00000369376943,3.604324458154249e-05,2419.2735283989173,1.9759542843557278,693.1409578629728,173.28523944273903
BosniaH,HydroPumpStorage,2045-2050,2.625163904224155e-06,440.0000049139511,1.092175408934472e-05,2419.273538952014,0.848866732526512,625.1021747767753,156.275543669767
BosniaH,HydroPumpStorage,2050-2055,1.1619639729725942e-06,440.0000059280957,9.277457909940517e-06,2419.273543071768,0.2781497212315664,694.105755477138,173.52643884683116
BosniaH,HydroPumpStorage,2055-2060,7.787119216706104e-06,440.00001349357655,1.3272816197185679e-05,2419.2735313281482,0.5329602273789582,596.0535026406358,149.01337563658797
BosniaH,Li-Ion_BESS,2020-2025,0.002827883558164777,0.002827883558164777,0.005655767116329554,0.005655767116329554,1669.3464885581652,0.008021845134715712,0.0008913106809148592
BosniaH,Li-Ion_BESS,2025-2030,0.0035570230517928407,0.00638481928287966,0.007114046103317199,0.01276963856575932,1338.042782986277,0.01194400889932559,0.0013271068175662998
BosniaH,Li-Ion_BESS,2030-2035,0.9418694903522294,0.9482542223083031,1.8837389807048857,1.8965084446166063,273437.2629971554,0.7810721920510363,0.08678579385820927
BosniaH,Li-Ion_BESS,2035-2040,623.6828306062197,624.628256465184,1247.3656612122234,1249.256512930368,141867939.8904311,457.27841091931305,50.808712319065364
BosniaH,Li-Ion_BESS,2040-2045,156.14341497522682,780.7681148990072,312.286829950699,1561.5362297980143,27829003.273987263,579.545019645388,64.39389106645572
BosniaH,Li-Ion_BESS,2045-2050,0.00019513288692773163,779.8264405407299,0.0003902672526524489,1559.6528810814598,27.24955427608343,584.371489736596,64.93016552076433
BosniaH,Li-Ion_BESS,2050-2055,20.992547440312922,177.13615737378018,41.98509487891348,354.27231474756036,1708747.8234079531,136.28347393232713,15.142608209606067
BosniaH,Li-Ion_BESS,2055-2060,0.0001404179714951262,20.992882816517128,0.00028083617593409793,41.985765633034255,5.0212270832898565,17.13494404381066,1.9038826661973198
Belgium,HydroPumpStorage,2020-2025,5.9988351495121606e-06,1308.0000059988351,1.5734949556645006e-06,7762.500001573495,6.463993877332533,1167.5064162897304,291.8766040450242
Belgium,HydroPumpStorage,2025-2030,1.8104763445714846e-07,1308.0000060925554,3.705274218769627e-06,7762.500005104116,0.45378216387954434,439.03853257128384,109.75963311636222
Belgium,HydroPumpStorage,2030-2035,1.6640833833026852e-06,1308.000007669312,1.3659081553864098e-05,7762.500018588544,1.9531595619034703,1277.769431962085,319.4423579608259
Belgium,HydroPumpStorage,2035-2040,1.3788480700228092e-06,1308.0000089608334,776.2491441149601,8538.749166870371,39205857.319678545,1629.158173423223,407.28954332668303
Belgium,HydroPumpStorage,2040-2045,6.383467674271184e-07,1308.000009511853,0.0001009449642380774,8538.749264197608,3.7556111532548933,2118.712635618605,529.6781588762605
Belgium,HydroPumpStorage,2045-2050,2.678251406371273e-06,1308.000006191269,6.0786918675127016e-05,8538.749319921917,1.9996769725886747,1751.1915150261882,437.79787872321333
Belgium,HydroPumpStorage,2050-2055,1.8490216425420818e-06,1308.0000078592432,1.9822578488383838e-05,8538.74933862987,0.5099604456385664,1953.5939112654466,488.3984777884271
Belgium,HydroPumpStorage,2055-2060,3.713945263080168e-06,1308.0000099091055,2.6301297219578997e-05,8538.749352372766,0.370966748908245,1857.699659023494,464.4249147274778
Belgium,Li-Ion_BESS,2020-2025,0.0030927061682778523,0.0030927061682778523,0.006185412336555705,0.006185412336555705,1825.6756602479531,0.008501111664291208,0.0009445618813962253
Belgium,Li-Ion_BESS,2025-2030,0.002881590628482501,0.005974209469857852,0.005763181256867816,0.011948418939715703,1083.9658579351576,0.010887924697360172,0.0012097635311956846
Belgium,Li-Ion_BESS,2030-2035,0.22229011486960307,0.22826423701242932,0.44458022973922445,0.45652847402485863,64533.78225313033,0.21356036477312368,0.023728922802348177
Belgium,Li-Ion_BESS,2035-2040,729.9958619039561,730.221033714204,1459.9917238740572,1460.442067428408,166050761.66733748,583.4413680186071,64.82681866211102
Belgium,Li-Ion_BESS,2040-2045,10348.049402388826,11078.26755426676,20696.098804792815,22156.53510853352,1844303845.5649023,7640.760624797092,848.9734027493553
Belgium,Li-Ion_BESS,2045-2050,4846.4547098500525,15924.499973956603,9692.909419587211,31848.999947913206,676786429.0912886,11391.853184467229,1265.7614649398026
Belgium,Li-Ion_BESS,2050-2055,2273.9812884149146,17468.485400489968,4547.96257694285,34936.970800979936,185097144.03752202,12426.12561350522,1380.680623715999
Belgium,Li-Ion_BESS,2055-2060,5.4332765891367906e-05,7120.436052431097,0.00010866571411302149,14240.872104862194,1.9428948919231201,4907.357603655859,545.2619559553707
Bulgaria,HydroPumpStorage,2020-2025,3.4353695355093805e-07,864.000000343537,1.8552066194388317e-06,1499.2000018552067,0.5555104962695616,0.009879498276901526,0.002469850220013466
Bulgaria,HydroPumpStorage,2025-2030,1.1860940404088168e-06,864.0000014423039,5.41343996398009e-06,1499.2000070939926,1.4211675479306036,162.45860607997048,40.614651494171966
Bulgaria,HydroPumpStorage,2030-2035,1.9715257666577916e-06,864.000003326503,79.75563782527375,1578.955644744612,5141120.796943967,388.56824607330674,97.14206149267204
Bulgaria,HydroPumpStorage,2035-2040,8.11408713591732e-08,864.0000033203178,70.16408309567156,1649.1197280977738,3543763.0232754797,399.2266702530503,99.80666753829003
Bulgaria,HydroPumpStorage,2040-2045,2.7708934979380796e-07,864.0000035100792,9.868714566042116e-06,1649.1197376011387,0.44228218163683936,425.94084871257706,106.48521215242147
Bulgaria,HydroPumpStorage,2045-2050,2.1376080930027894e-06,864.0000053041502,6.183111231637721e-06,1649.1197414914895,0.6293232721192022,366.7980476573099,91.69951188834271
Bulgaria,HydroPumpStorage,2050-2055,2.5124544154202474e-06,864.0000066305108,9.676674059431662e-06,1649.1197459508294,0.463219788295718,416.8240367830068,104.20600917082578
Bulgaria,HydroPumpStorage,2055-2060,2.0038084026092204e-06,864.0000066627933,79.75542649705804,1649.1195346226139,466366.15706221,373.1548999699449,93.28872496652268
Bulgaria,Li-Ion_BESS,2020-2025,0.002956028713486447,0.002956028713486447,0.005912057426972894,0.005912057426972894,1744.9926955755425,0.010240232779982804,0.0011377982505171862
Bulgaria,Li-Ion_BESS,2025-2030,0.0024210102069074832,0.005376951593424756,0.004842020413800009,0.010753903186849512,910.7096546235008,0.01316321997369442,0.0014625742564883346
Bulgaria,Li-Ion_BESS,2030-2035,0.005835260571613644,0.011212124838142691,0.01167052114323427,0.022424249676285382,1694.0538959182957,0.021634656931549447,0.0024038450686146447
Bulgaria,Li-Ion_BESS,2035-2040,1666.0376061827174,1666.0458622788858,3332.0752123663665,3332.0917245577716,378970385.8602015,1210.745609548562,134.5272899443099
Bulgaria,Li-Ion_BESS,2040-2045,3150.5426745258624,4816.586115795303,6301.085349056925,9633.172231590606,561512391.785016,3143.528325397107,349.2809250378977
