Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1089539732.213422,-6.646565241668146e-10,1100000000.0,3427901.6139935274,0.317844516822169,42.027178157217136,17182.460714311044,9831.377481858884,16659.563591397964
2020-2025,scenario2,1064927136.0736719,-7.28803246692077e-12,1100000000.0,3444540.65224963,0.30916375899879867,41.29226251923442,21462.308869989625,8884.276134739173,18635.3408312089
2020-2025,scenario3,1093638033.8196368,-3.647113140504669e-10,1100000000.0,3387039.297811446,0.3228890891601569,42.78079134338617,20904.3797062806,7913.5657599708975,17353.30385353112
2025-2030,scenario1,990000000.0672946,-13.128611818909627,990000000.0,4513600.301845629,0.2193370998452146,44.04609531514334,41481.65108170925,12381.09117383749,21579.80867872997
2025-2030,scenario2,987461967.7273089,-1.8242651633715614e-09,990000000.0,4525596.497110373,0.21819487626829204,37.144405084811794,45762.648704656174,14157.84351305895,23952.955272824634
2025-2030,scenario3,989999999.8674594,-41.24626485830269,990000000.0,4602331.578655331,0.21510836039255757,196.69117314114544,26162.64285778825,6968.519637178187,18829.68389640264
2030-2035,scenario1,724498812.8797859,-3.692516603840796e-09,770000000.0,5495559.201756651,0.1318335016112992,25.129953055611256,147166.86302487255,31042.818578127884,47092.03821641395
2030-2035,scenario2,763869064.4103959,-2.02477962283811e-09,770000000.0,5652089.643963912,0.1351480801841535,26.76250330002877,123654.95779977026,23883.564615536507,40178.61688315203
2030-2035,scenario3,770000000.0043575,-36.44401574622728,770000000.0,5543379.508737865,0.1389044352439927,46.75737583856905,68466.03679326079,19137.676633504918,40311.84871822562
2035-2040,scenario1,330000000.0040839,-49.18603165695426,330000000.0,6718955.502799838,0.04911477682306008,30.300776852991977,145058.19018240826,37094.87922221401,53078.38992032359
2035-2040,scenario2,330000000.0032961,-54.68830548846225,330000000.0,6655349.696495412,0.049584171388782225,197.93637464824124,103216.41586016185,38999.677133731,52046.50204468911
2035-2040,scenario3,330000000.07475305,-42.262709873322244,330000000.0,6641589.498386408,0.049686901027970576,191.8509148631327,209241.1057842965,37326.66007454602,51424.37549636844
2040-2045,scenario1,66000000.00420931,-50.538755689287754,66000000.0,7386664.799016201,0.008935020310248114,20.559496588444006,259771.68697410446,82099.17934550792,64634.8683698669
2040-2045,scenario2,66000000.00401872,-54.35191249642308,66000000.0,7381864.333981538,0.008940830800722622,22.918470240938515,461469.1219523514,73463.00859956777,65927.87535952202
2040-2045,scenario3,66000000.00427263,-205.62806889104178,66000000.0,7417238.41730315,0.008898190443805288,36.6383718400582,331759.0109811252,83569.10461587478,65953.24021898568
2045-2050,scenario1,55000000.003297135,-47.8239589841442,55000000.0,7736822.731317204,0.0071088613392513164,13.26791420244407,551015.4062435176,95047.1258247404,70944.93911639928
2045-2050,scenario2,55000000.00780895,-221.8154892640963,55000000.0,8277988.178863758,0.006644126425336331,28.143328010232867,359950.72239980724,85862.90016634432,76712.73716055798
2045-2050,scenario3,54999999.993876144,-103.40938015100461,55000000.0,8213217.318009882,0.006696523160695172,29.708277277730417,284679.81808324053,70480.37604169843,73189.05608261008
2050-2055,scenario1,33000000.002411302,-47.671316391450574,33000000.0,7851911.875402064,0.004202798060659982,11.78098596434835,614378.4953339188,117652.48863851572,70186.77775483129
2050-2055,scenario2,33000000.002351172,-234.92798792118646,33000000.0,8241658.967291098,0.00400404823025529,24.644637483535902,702996.9483144088,90175.96082914775,71411.5096611327
2050-2055,scenario3,33000000.00247334,-79.09806542596675,33000000.0,8189470.802194601,0.004029564400379655,13.695008589250747,712980.3098543027,105474.81634144438,73566.27734760406
2055-2060,scenario1,22000000.002350755,-37.351730580087576,22000000.0,7943229.594471721,0.0027696543000170284,6.679904017777823,788352.5912869788,70318.52149179587,77996.47417432643
2055-2060,scenario2,22000000.005653825,-241.76464522284897,22000000.0,8061814.977944188,0.0027289140306295235,27.246361558602203,709001.6387260417,73508.32261574763,75078.27223517625
2055-2060,scenario3,22000000.002336726,-39.627126071464076,22000000.0,8192220.725787215,0.0026854745176830733,10.141067460328557,853184.5713945167,68649.89151151273,76151.04086218041
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,357455.05350666685
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,225938.62046882662
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,140128.12884193746
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,7017.647533795103
Liginiteexisting,2040-2045,0.0,12263.0,0.0,3.8130097374371834
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.0015325392372782447
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,31966.407546116658,31966.407546116658,79134562370.96628,223521.2473784918
Lignite,2025-2030,8.244350811628442e-05,31966.40762831314,152.5977466231438,219473.6028231591
Lignite,2030-2035,0.00046293745107792633,31966.40809100366,630.304861193727,207073.3468505971
Lignite,2035-2040,8.411633495091689e-06,31966.408099168144,8.227191906243057,32598.497408284125
Lignite,2040-2045,1.0872300650085284e-05,31966.40810979334,7.367306909728027,55.98764578664729
Lignite,2045-2050,2.137870717817249e-05,31966.408130925087,9.453882949114671,0.0011820126379726759
Lignite,2050-2055,4.6550069432394824e-05,31966.40817722812,11.998707411398374,0.0011813113278210884
Lignite,2055-2060,0.00013408698297097196,31966.40831106808,15.183600501325994,13.931504692132531
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,351090.26344743295
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,211856.37375256742
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,130634.52613354311
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,7518.052821263522
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,68.80669198016007
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,4.482643329497183
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.027622215516542096,0.027622215516542096,59145.688926128976,0.13948346485025384
Coal,2025-2030,0.0032624626642150214,0.030884110009092414,5223.112976606063,0.14162953081048402
Coal,2030-2035,0.0006022842297534088,0.03148582606201112,709.287072899405,0.1333252950623552
Coal,2035-2040,9.437287685337509e-05,0.03157963076462631,79.83819186511164,0.020432028258067884
Coal,2040-2045,6.000887329614616e-05,0.031639071458328366,35.17183231852974,0.004884291812548487
Coal,2045-2050,0.00012430822913019827,0.03176281151855004,47.54675410766612,0.003234539990630197
Coal,2050-2055,0.00014966484422962578,0.03191190818852667,33.367689882706486,0.003322326512672253
Coal,2055-2060,0.0005319081821305102,0.032443248196410736,52.097517930369015,0.004922873559811464
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,177873.86415771546
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,86889.58863023091
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,59429.34897264979
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,11557.067321957113
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,408.4865346118268
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01649771862343929,0.01649771862343929,12121.714180233961,0.010630278899897986
GasOCGT,2025-2030,20528.0040572991,20528.020554150866,11817901796.394741,856.2579605032603
GasOCGT,2030-2035,2528.5896692712486,23056.61022292654,1140579379.794577,3236.268877395816
