Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0003945986869834829,41574.19063624549,9.491434010971731e-07
Austria,Hydrorun-of-the-river,2025-2030,761.5706724505227,41919.69312791904,1.8167372316552268
Austria,Hydrorun-of-the-river,2030-2035,8953.430255388337,49568.20708505502,18.062848712734308
Austria,Hydrorun-of-the-river,2035-2040,12037.76877704127,53992.78710546953,22.29514241138671
Austria,Hydrorun-of-the-river,2040-2045,11227.59002315675,52705.661956148244,21.30243622117533
Austria,Hydrorun-of-the-river,2045-2050,12069.517041588068,52866.62313538448,22.83012669577858
Austria,Hydrorun-of-the-river,2050-2055,17313.571164245437,58405.725001037135,29.64361997721626
Austria,Hydrorun-of-the-river,2055-2060,2814.8415495120203,41150.61686767328,6.840338648053847
Belgium,Hydrorun-of-the-river,2020-2025,300.2160615423554,771.0160614564613,38.93771823316399
Belgium,Hydrorun-of-the-river,2025-2030,215.0330481123542,685.8330480632563,31.353555901045045
Belgium,Hydrorun-of-the-river,2030-2035,272.6584021754747,743.4584021291342,36.67433193230838
Belgium,Hydrorun-of-the-river,2035-2040,449.52975266338376,920.3297526036787,48.8444224900512
Belgium,Hydrorun-of-the-river,2040-2045,235.81689332324785,706.616892810799,33.372665686664995
Belgium,Hydrorun-of-the-river,2045-2050,1016.243611214671,1487.0436111373256,68.3398660001252
Belgium,Hydrorun-of-the-river,2050-2055,563.449173022575,1034.249172941846,54.47905473493251
Belgium,Hydrorun-of-the-river,2055-2060,377.62700814583354,848.4270080105067,44.50907439065838
Bulgaria,Hydrorun-of-the-river,2020-2025,3463.7478150199477,7435.5727160359775,46.58347039697202
Bulgaria,Hydrorun-of-the-river,2025-2030,1995.2650723740235,5213.8188858764515,38.268783708213064
Bulgaria,Hydrorun-of-the-river,2030-2035,3665.3763693025694,5634.584337042065,65.05140663537831
Bulgaria,Hydrorun-of-the-river,2035-2040,4107.822446961068,6047.231192143445,67.9289796675534
Bulgaria,Hydrorun-of-the-river,2040-2045,4543.980261441168,6487.997471725472,70.03671442912423
Bulgaria,Hydrorun-of-the-river,2045-2050,4550.525880008919,6763.245458767192,67.28316911979107
