Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999654763434,0.0,12404.15942901741
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.720436644080878,0.0,7332.440125573145
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6560990455382909,0.0,4486.530436901065
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.022460077590267434,0.0,107.15322924695855
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,5.2949766227817094e-08,0.0,0.00017514596593398433
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.468752401456364e-07,0.0,0.00012145759858699307
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.34754743644696234,0.0,37621.07856825401
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5426174222420759,0.0,36145.77338031577
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5433343226092088,0.0,24317.527156902615
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.05108899918685309,0.0,1595.2636279208796
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,8.159681116373401e-09,0.0,0.0001766527225804051
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,2.247070120812747e-08,0.0,0.0001216196592150282
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.749999959727887,0.0,47632.49744231787
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7290652891581398,0.0,28494.114778112933
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6489015461903613,0.0,17039.46826478507
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.03433485583294237,0.0,629.0211617163951
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.6361990524141054e-08,0.0,0.00020783000363763964
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.267937071068588e-08,0.0,0.000135528341691783
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7404039151959614,0.0,123920.33710471036
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7343127822090674,0.0,75631.30642949231
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6785000653751497,0.0,46952.51819975966
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04656642749995911,0.0,2248.1988216382274
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,6.962839481699751e-09,0.0,0.00023307208351264723
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,1.7709668906141895e-08,0.0,0.0001482020891448876
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7476379226532877,0.0,13105.16571308806
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6951214602024964,0.0,7498.225997993288
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5260967583767886,0.0,3812.8694617084684
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.0568823670980146,0.0,287.61846954605625
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,5.1069375433099403e-08,0.0,0.00017903656506333953
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,1.338157341000646e-07,0.0,0.0001172811943631921
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999446338111,0.0,6615.98951159714
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6785959004959468,0.0,3683.7609778233254
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6146477985268923,0.0,2241.7904949841627
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.04387215848738126,0.0,111.63760070420348
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,1.022090346780381e-07,0.0,0.00018032372035721436
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,2.9170078470352586e-07,0.0,0.00012865929830604546
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6637762907309276,0.0,1325.74710995107
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.6666259736226717,0.0,819.3469074443617
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5042393450155647,0.0,416.40007536101405
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.025509649284193164,0.0,14.697090092980751
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,5.845942377192795e-07,0.0,0.00023351967582239223
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,1.1809640645382101e-06,0.0,0.0001179357953410441
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499475178202948,0.0,5413.301171031149
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.73063280273046,0.0,3245.4664135268395
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6405749664326832,0.0,1911.773320819527
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.05232879222632158,0.0,108.95820611530475
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,1.2357071098349853e-07,0.0,0.00017839260976990575
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,3.2135600043827513e-07,0.0,0.00011598123683017883
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999898892156,0.0,49669.19933040719
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7080811165732384,0.0,28857.2903346046
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6391294455302514,0.0,17500.475320577418
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.04482752705849059,0.0,856.364387297533
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,0.00028772174634352957,0.0,3.81090905692961
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,3.698891646449707e-08,0.0,0.00012248065931056
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499999731274122,0.0,16405.28941219656
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6472707461274196,0.0,8712.750193835242
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.6075036757747875,0.0,5494.227961762948
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.055313938515188794,0.0,349.01584707070714
