Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.008587592250843074,0.008587592250843074
EnergyhubEU,2025-2030,2.757931973929748e-07,0.00858785569243288
EnergyhubEU,2030-2035,11525.815080630096,11525.823661473656
EnergyhubEU,2035-2040,2467.3438474188456,13993.167504506137
EnergyhubEU,2040-2045,12927.504085217555,26920.671600970978
EnergyhubEU,2045-2050,1.0852556436253884e-05,26920.671608927652
EnergyhubEU,2050-2055,8.475431051135069e-07,26920.671608497083
EnergyhubEU,2055-2060,4.0515028888451515e-07,26920.671610162673
EnergyhubNorth,2020-2025,0.008149816931184948,0.008149816931184948
EnergyhubNorth,2025-2030,3.3211109121492425e-07,0.008150136690654597
EnergyhubNorth,2030-2035,0.02884135201622119,0.036991476355308237
EnergyhubNorth,2035-2040,2.470592942170996e-06,0.03699393459659983
EnergyhubNorth,2040-2045,9292.542379928518,9292.579374273395
EnergyhubNorth,2045-2050,10446.753469014548,19739.332844968565
EnergyhubNorth,2050-2055,1.1486237142702896e-06,19739.332842234922
EnergyhubNorth,2055-2060,5.023818025660711e-07,19739.332846266778
EnergyhubCentral,2020-2025,0.008991565332473936,0.008991565332473936
EnergyhubCentral,2025-2030,2.9454143363913935e-07,0.00899184752228011
EnergyhubCentral,2030-2035,1931.2556976212782,1931.26468900804
EnergyhubCentral,2035-2040,9.329231023230733e-05,1931.2647827458757
EnergyhubCentral,2040-2045,18632.868142361025,20564.13292633407
EnergyhubCentral,2045-2050,0.026272966972824392,20564.159199740367
EnergyhubCentral,2050-2055,9.725997645244362e-07,20564.159199640366
EnergyhubCentral,2055-2060,4.208907366044966e-07,20564.15920079736
