Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,4.013128545921063e-06,3503.0000040131285,5.780544597655535e-06,124704.00000578054,4.820742155970941,2392.0481025788126,598.0120256381189
Austria,HydroPumpStorage,2025-2030,3.8415217031170354e-06,3503.000007848811,1.821499539524674e-06,124704.00000759037,3.310284630021028,2696.981935972846,674.2454839817549
Austria,HydroPumpStorage,2030-2035,1751.4996518082723,5254.499659669916,3.541311801707372e-06,124704.00001112,1129032292.536254,6114.233887730619,1528.558471915732
Austria,HydroPumpStorage,2035-2040,0.0002462592332192416,5254.4999039920785,3.154162840968061e-06,124704.00001426246,124.53695348523841,8507.523178277013,2126.880794562879
Austria,HydroPumpStorage,2040-2045,5.542863550257918e-07,5254.499904403964,6.002625967406539e-06,124704.00002025341,0.40399704374455964,11098.521126582105,2774.630281831854
Austria,HydroPumpStorage,2045-2050,4.226768546781047e-07,5254.499900409687,6.162062153919373e-06,124704.00002063494,0.23723238662820353,9936.736234166008,2484.184058571448
Austria,HydroPumpStorage,2050-2055,4.759962427339162e-06,5254.499903783713,5.1142084795647135e-06,124704.00002392766,0.7016447038774637,11209.745544038025,2802.436386015698
Austria,HydroPumpStorage,2055-2060,1751.499526742035,5254.499778714838,4.6391713937345574e-06,124704.00002502553,102418096.70508197,10052.884022982242,2513.2210054339007
Austria,Li-Ion_BESS,2020-2025,0.0006147827811969097,0.0006147827811969097,0.0012295655623938194,0.0012295655623938194,362.9164553306843,0.0017554348792268304,0.00019504791110866248
Austria,Li-Ion_BESS,2025-2030,0.0006965185008018823,0.0013112954429469372,0.001393037001603295,0.0026225908858938745,262.00885956443057,0.00242532963248582,0.00026948064809734484
Austria,Li-Ion_BESS,2030-2035,474.32380964744254,474.3251209347858,948.6476192989792,948.6502418695716,137702522.07271823,360.19484722196205,40.021649690887166
Austria,Li-Ion_BESS,2035-2040,7.680283622055415e-05,474.3245831775827,0.0001548661797820975,948.6491663551654,17.596512001723763,379.3676430368684,42.15196033697132
Austria,Li-Ion_BESS,2040-2045,9011.933082425327,9486.256971364137,18023.866167734446,18972.513942728274,1606171578.4219317,7513.879030939851,834.8754478822552
Austria,Li-Ion_BESS,2045-2050,6.5644698669910965e-06,9011.933167378118,1.2996672565466672e-05,18023.866334756236,0.9085625489503935,7123.074912347187,791.4527680410102
Austria,Li-Ion_BESS,2050-2055,17132.85518728051,26144.788281632096,34265.71037743127,52289.57656326419,1394577246.8291538,20879.08554630599,2319.898393953476
Austria,Li-Ion_BESS,2055-2060,1.1970948282599394e-05,17132.855207173496,2.4155688632539716e-05,34265.71041434699,0.431438643485769,17344.540064482102,1927.1711180365792
BosniaH,HydroPumpStorage,2020-2025,4.524856649368303e-07,440.00000045248566,3.030841071449686e-07,2199.3400003030843,0.5069337794338928,59.79831746686229,14.949579365110958
BosniaH,HydroPumpStorage,2025-2030,3.5230566033249764e-07,440.0000007989525,7.56672649555375e-07,2199.340001053918,0.35209438477838717,208.25221109798574,52.06305277362455
BosniaH,HydroPumpStorage,2030-2035,7.583649178914991e-07,440.0000015514781,4.592090481411987e-06,2199.34000563433,0.7848590346593411,451.51547521946446,112.87886880329627
BosniaH,HydroPumpStorage,2035-2040,5.3132224318911936e-08,440.0000015987723,219.93389329984504,2419.273899362201,11108156.155164124,586.0433580522932,146.51083950949112
BosniaH,HydroPumpStorage,2040-2045,6.306523418678825e-08,440.00000165599755,7.261305536597439e-06,2419.273906594511,0.276153527087654,689.8159383427587,172.45398458419584
BosniaH,HydroPumpStorage,2045-2050,9.773905063246e-08,440.00000130125056,2.036740370921612e-06,2419.2739080105957,0.06882867593276602,630.066432770997,157.5166081911017
BosniaH,HydroPumpStorage,2050-2055,2.480493558793335e-07,440.0000011969947,2.009841428140369e-06,2419.2739091532003,0.05976836814319897,696.1988242419949,174.0497060588119
BosniaH,HydroPumpStorage,2055-2060,2.904381712011421e-06,440.00000334301143,2.761956878182932e-06,2419.2739078503955,0.18598274144749702,597.0360015163917,149.25900037745865
BosniaH,Li-Ion_BESS,2020-2025,0.0006101289497281534,0.0006101289497281534,0.0012202578994563067,0.0012202578994563067,360.1692215564084,0.0017305058764065682,0.00019227806662497433
BosniaH,Li-Ion_BESS,2025-2030,0.0007756686742461011,0.0013857917849234155,0.0015513373484925337,0.002771583569846831,291.7827229358538,0.0025832210065114066,0.0002870242030780344
BosniaH,Li-Ion_BESS,2030-2035,0.12016881633923392,0.12155460228510938,0.24033763267847766,0.24310920457021876,34886.608573672456,0.10045183205773695,0.01116131432147138
BosniaH,Li-Ion_BESS,2035-2040,626.4935946683031,626.6145388292215,1252.9871893381298,1253.229077658443,142507299.01264235,451.989765436534,50.2210850480533
BosniaH,Li-Ion_BESS,2040-2045,162.44513358994635,789.0588970634915,324.89026717988304,1578.117794126983,28952140.922701765,590.6798246051508,65.63109162245924
BosniaH,Li-Ion_BESS,2045-2050,3.873896328690192e-05,788.9387669853539,7.747778835398384e-05,1577.8775339707079,5.409720091864542,579.9657751241996,64.44064168010874
BosniaH,Li-Ion_BESS,2050-2055,7.742477296152311,170.1876496133538,15.484954592621234,340.3752992267076,630220.8565166077,129.22212321328263,14.358013690023936
BosniaH,Li-Ion_BESS,2055-2060,2.6279068812409496e-05,7.742542302506322,5.255795933690982e-05,15.485084605012643,0.9397136264529882,5.912772892138217,0.6569747654362683
Belgium,HydroPumpStorage,2020-2025,1.5044156498333905e-07,1308.0000001504416,3.3980541047640145e-07,7762.500000339805,0.19364321133252788,1172.597436778473,293.14935919278986
Belgium,HydroPumpStorage,2025-2030,2.5519816609918335e-07,1308.0000003998002,8.067086291303786e-07,7762.500001134836,0.27632028137430037,449.7008941765209,112.42522354211785
