BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2034.2340852986192,61.027022558958556
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4758.527484035456,142.7558245210638
Switzerland,Austria,2030-2035,968.3915035528698,2168.39150355287,231848489.25281933,7086.042170400605,212.58126511201803
Switzerland,Austria,2035-2040,31.60846065282064,2199.9999641909794,5436252.137794974,13800.061919183905,414.001857575519
Switzerland,Austria,2040-2045,999.9999774445929,3199.9999414595645,119154996.56888822,16737.38293591505,502.12148807745035
Switzerland,Austria,2045-2050,6.639457024045948e-07,3199.999942371847,0.051628119383758234,18313.081779291548,549.3924533787464
Switzerland,Austria,2050-2055,5.211321619265512e-07,3199.999942990567,0.023620384679702015,16380.014435867648,491.40043307602986
Switzerland,Austria,2055-2060,9.044439152372947e-07,3199.999943666193,0.018009213644654253,19878.187818155708,596.3456345446721
CzechR,Austria,2020-2025,0.0,900.0,0.0,4495.648227090541,134.8694468127163
CzechR,Austria,2025-2030,0.0,900.0,0.0,2715.6129650800235,81.46838895240076
CzechR,Austria,2030-2035,999.9999729512365,1899.9999729512365,87917388.63080849,8675.804359257634,260.274130777729
CzechR,Austria,2035-2040,1.4054688353001164e-05,1899.9999869912137,0.887644276835035,9285.512171646284,278.5653651493891
CzechR,Austria,2040-2045,5.322808496144228e-07,1899.9999875087833,0.02329027419356706,9924.479609421733,297.7343882826532
CzechR,Austria,2045-2050,1.144575532356861e-07,1899.9999876085294,0.0032682832711166503,10553.91197494329,316.61735924829935
CzechR,Austria,2050-2055,1.657543193113906e-07,1899.9999877595724,0.0027588331485471915,10790.22783324605,323.7068349973817
CzechR,Austria,2055-2060,1.7345246364507525e-07,1899.9999879183135,0.001268279793832325,11778.208873172727,353.3462661951802
Germany,Austria,2020-2025,0.0,5000.0,0.0,16147.305444360829,484.41916333082503
Germany,Austria,2025-2030,1999.9999166157631,6999.999916615763,891259.9174724199,18720.31657805807,561.6094973417431
Germany,Austria,2030-2035,500.00004791787023,7499.999964496238,149745.3448514211,30908.219557265307,927.24658671796
Germany,Austria,2035-2040,1.739675790799453e-05,7499.999981909165,0.00374278215154437,37397.919913140075,1121.9375973942097
Germany,Austria,2040-2045,699.9999879193839,8199.999965314055,104337.46605376207,38880.09573278748,1166.4028719836256
Germany,Austria,2045-2050,6.3247817640704675e-06,8199.999976179543,0.0006152183360023187,36965.69152791532,1108.9707458374558
Germany,Austria,2050-2055,9.859003520140516e-08,8199.999976052412,5.589874990377546e-06,43326.95479752566,1299.8086439257681
Germany,Austria,2055-2060,1.2784521981459793e-07,8199.999976326266,3.184399796267419e-06,44383.186317725405,1331.4955895317655
Hungary,Austria,2020-2025,0.0,800.0,0.0,2863.0524773217767,85.89157431965326
Hungary,Austria,2025-2030,0.0,800.0,0.0,3894.646857846403,116.83940573539229
Hungary,Austria,2030-2035,1999.9999754877672,2799.999975487767,149305057.37333745,12702.758388106105,381.08275164318417
Hungary,Austria,2035-2040,4.964518024933841e-06,2799.999980437573,0.2662346427716583,15670.774659225555,470.1232397767667
Hungary,Austria,2040-2045,1.9579685841036743e-07,2799.9999806186597,0.0072746016357333595,16882.53197188832,506.4759591566493
Hungary,Austria,2045-2050,1.121544884215286e-07,2799.999980716101,0.0027193282138991822,17525.454248487702,525.7636274546308
Hungary,Austria,2050-2055,9.036795062809703e-08,2799.9999807917657,0.0012771583625481348,16714.811372230593,501.44434116691957
Hungary,Austria,2055-2060,2.013233752251228e-07,2799.999980978371,0.001249966978713559,18039.994294731445,541.1998288419438
Italy,Austria,2020-2025,0.0,405.0,0.0,2327.9758862556764,69.83927658767035
Italy,Austria,2025-2030,389.9999178638657,794.9999178638657,155139710.49225065,4254.816335665402,127.64449006996185
Italy,Austria,2030-2035,500.00005075563905,1294.9999689515175,133671061.22255997,7172.861219803763,215.18583659411257
Italy,Austria,2035-2040,1.916573186323534e-05,1294.999987755264,3.680744746770487,8480.944862411932,254.42834587235845
Italy,Austria,2040-2045,999.9999929153531,2294.9999805606476,133053502.92475699,14317.286053173093,429.51858159519287
Italy,Austria,2045-2050,3.627352771376824e-07,2294.9999809749097,0.03149615820212156,13736.418652001168,412.092559560034
Italy,Austria,2050-2055,1.7617027018859082e-07,2294.999981190628,0.008916322277470246,13747.574629761428,412.42723889284326
Italy,Austria,2055-2060,4.163923822760717e-07,2294.999981567862,0.00925827192042476,14146.498283709252,424.39494851127796
Slovenia,Austria,2020-2025,0.0,950.0,0.0,2955.7079999069488,88.67123999720845
Slovenia,Austria,2025-2030,0.0,950.0,0.0,3085.386204207908,92.56158612623719
Slovenia,Austria,2030-2035,999.9999636055504,1949.9999636055504,97342420.57129003,6205.493870116193,186.16481610348563
Slovenia,Austria,2035-2040,2.526116615929123e-05,1949.9999888520058,1.7664384045998682,10819.0101431216,324.57030429364795
Slovenia,Austria,2040-2045,999.9999973816854,2949.9999857709563,48446356.92159289,14954.20668213904,448.62620046417254
Slovenia,Austria,2045-2050,2.297670860172658e-07,2949.999986292773,0.007264243863853226,16366.615024438694,490.9984507331616
Slovenia,Austria,2050-2055,2.087343513417959e-07,2949.999986828108,0.003846642923750558,13865.493518905032,415.96480556715176
Slovenia,Austria,2055-2060,1.0888177165130889e-06,2949.999987702131,0.008814895029382482,16671.423282656902,500.14269847970735
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9999602939217,999.9999602939217,19498631.397274908,3372.826034993626,101.18478104980889
Slovakia,Austria,2035-2040,2.5387642140013993e-05,999.9999856668525,0.3556063112229652,5552.4239959264005,166.5727198777922
Slovakia,Austria,2040-2045,2.461392182722314e-07,999.9999858982806,0.0023886027720565655,4657.648478676211,139.72945436028664
Slovakia,Austria,2045-2050,1.3381181441346356e-07,999.9999860173809,0.0008474206598565447,5201.1228608913525,156.03368582674057
Slovakia,Austria,2050-2055,1.317557080766519e-07,999.9999861344252,0.000486361708708553,4907.945026009154,147.23835078027477
Slovakia,Austria,2055-2060,2.509105518534538e-07,999.9999863706247,0.000406895494689489,6015.932886621659,180.47798659865015
Croatia,BosniaH,2020-2025,0.0,750.0,0.0,3303.112985619749,99.0933895685925
Croatia,BosniaH,2025-2030,0.0,750.0,0.0,3468.0196858764702,104.04059057629425
Croatia,BosniaH,2030-2035,0.0,750.0,0.0,2861.028019649438,85.83084058948319
Croatia,BosniaH,2035-2040,0.0,750.0,0.0,3305.5139698431667,99.16541909529491
Croatia,BosniaH,2040-2045,1143.9997626725574,1893.9997626725574,58205101.011634685,4429.500374613871,132.88501123841633
Croatia,BosniaH,2045-2050,4.662643275806539e-06,1893.9997673204894,0.1548134811490223,3789.28450385432,113.6785351156292
Croatia,BosniaH,2050-2055,0.00013914543342085863,1893.9999064512112,2.6929661350645486,5318.595115171537,159.55785345514641
Croatia,BosniaH,2055-2060,4.3774431938221066e-06,1893.999910813943,0.03721829487380929,4071.9067967628375,122.15720390288537
Italy,BosniaH,2020-2025,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2025-2030,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2030-2035,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2035-2040,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2040-2045,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2045-2050,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2050-2055,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2055-2060,0.0,0.0,0.0,0.0,0.0
Serbia,BosniaH,2020-2025,0.0,600.0,0.0,951.615086977503,28.548452609325253
Serbia,BosniaH,2025-2030,0.0,600.0,0.0,1952.4962187887397,58.574886563662325
Serbia,BosniaH,2030-2035,0.0,600.0,0.0,2069.216091249755,62.076482737492725
Serbia,BosniaH,2035-2040,0.0,600.0,0.0,2407.0883616709916,72.21265085012999
Serbia,BosniaH,2040-2045,1349.999964782273,1949.999964782273,45466913.27800704,6064.268808067659,181.92806424203027
Serbia,BosniaH,2045-2050,4.92406663547302e-07,1949.9999652599686,0.010822487894146438,6287.485872833729,188.62457618501284
Serbia,BosniaH,2050-2055,2.7820924093727065e-07,1949.9999655234662,0.0035641837565849417,5808.028830567161,174.24086491701493
Serbia,BosniaH,2055-2060,5.869623210097808e-07,1949.9999660957178,0.003303488337913531,6123.172741290019,183.6951822387005
Germany,Belgium,2020-2025,0.0,1000.0,0.0,5988.522345785248,179.6556703735577
Germany,Belgium,2025-2030,999.9999203988941,1999.9999203988941,445629.94184282876,5480.905899142174,164.42717697426485
Germany,Belgium,2030-2035,6.32245176421937e-05,1999.9999836087004,0.01893515258012574,8084.930120596056,242.54790361788133
Germany,Belgium,2035-2040,6.667397531628931e-06,1999.999990261386,0.0014344406360431142,13803.957833524839,414.11873500574546
Germany,Belgium,2040-2045,2.2221933150693458e-07,1999.9999904689405,3.3122574796765136e-05,12690.469267187676,380.7140780156308
Germany,Belgium,2045-2050,6.020389322147721e-08,1999.9999905143893,5.856097552485578e-06,12593.795997148984,377.81387991447
Germany,Belgium,2050-2055,5.972525196726625e-08,1999.9999905593847,3.386312740266277e-06,12896.242241778784,386.8872672533645
Germany,Belgium,2055-2060,6.655423799967042e-08,1999.999990611244,1.6577491300357877e-06,13894.593109894142,416.8377932968244
France,Belgium,2020-2025,0.0,3300.0,0.0,18968.28334682661,569.048500404798
France,Belgium,2025-2030,49.99996629913721,3349.999966299137,22281.48384765867,11618.829866580256,348.564895997407
France,Belgium,2030-2035,2999.999984869957,6349.9999509106665,898471.9784714923,29881.408197497833,896.4422459249375
France,Belgium,2035-2040,4.44796257508181e-06,6349.999955581781,0.0009569458300677508,31368.49029481752,941.0547088445265
France,Belgium,2040-2045,1000.0000156671018,7349.999971031066,149053.52784155175,39359.59509252538,1180.7878527757596
France,Belgium,2045-2050,1.4956968577949183e-06,7349.999972762592,0.00014548804470121068,45997.266022163574,1379.9179806649088
France,Belgium,2050-2055,8.332562495314063e-08,7349.9999726993265,4.724410799038862e-06,49461.15227046821,1483.8345681140452
France,Belgium,2055-2060,8.211799792695334e-08,7349.99997285065,2.0454150436575e-06,44443.296042554466,1333.2988812766348
GreatBrit.,Belgium,2020-2025,0.0,1000.0,0.0,5380.329053692224,161.4098716107675
GreatBrit.,Belgium,2025-2030,0.0,1000.0,0.0,4784.279613639321,143.52838840917988
GreatBrit.,Belgium,2030-2035,0.0,1000.0,0.0,5466.1391747181715,163.98417524154522
