Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,0.0004193030886199267,3503.0004193030886,0.00026489551237318665,124704.00026489551,468.082271850107,2374.009296898479,593.5023240211257
Austria,HydroPumpStorage,2025-2030,0.00036693626555927677,3503.0007855938497,0.00015462364518539415,124704.00041822813,314.6002993220443,2635.719449297424,658.9298621147673
Austria,HydroPumpStorage,2030-2035,1751.4811601819902,5254.481945131779,0.00019551666991815105,124704.00061245382,1129020385.04398,6141.7617120476525,1535.4404277908775
Austria,HydroPumpStorage,2035-2040,0.013082541224870686,5254.494989397204,0.00022209879214140065,124704.0008332616,6618.7898146558755,8435.725860982433,2108.931465011753
Austria,HydroPumpStorage,2040-2045,2.732128692817576e-05,5254.495010736867,5.4574986955141036e-05,124704.00088654559,11.46987528700837,11043.029334109757,2760.75733331225
Austria,HydroPumpStorage,2045-2050,0.0003890537943725227,5254.495000731246,0.00014017587313377904,124704.00076182593,92.04268373766733,9885.507064752439,2471.37676596826
Austria,HydroPumpStorage,2050-2055,0.0006477087608805221,5254.495304227231,0.0002939584509787033,124704.0009011607,90.12565316247692,11282.966979914185,2820.7417447603852
Austria,HydroPumpStorage,2055-2060,1751.4723564142907,5254.4865004573385,0.00032505584700902356,124704.00103069992,102416509.80679016,10060.964689375469,2515.2411721116996
Austria,Li-Ion_BESS,2020-2025,0.038963818119397656,0.038963818119397656,0.07792763623879531,0.07792763623879531,23000.986999849254,0.11112732993858199,0.01234743591100975
Austria,Li-Ion_BESS,2025-2030,0.04459824403292971,0.08356141664758268,0.0891964880661243,0.16712283329516536,16776.489130188,0.15467044206231875,0.01718555800188519
Austria,Li-Ion_BESS,2030-2035,501.3890429113375,501.47260368247765,1002.7780858226628,1002.9452073649553,145559919.9196272,383.16941348130945,42.57437922684252
Austria,Li-Ion_BESS,2035-2040,0.0027111196704276497,501.43635102441505,0.005422233176076838,1002.8727020488301,616.6925851796257,406.11841793137916,45.12426860812843
Austria,Li-Ion_BESS,2040-2045,8332.191871526096,8833.583624268504,16664.38374305371,17667.167248537007,1485023207.0871298,6970.495070153236,774.4994521894754
Austria,Li-Ion_BESS,2045-2050,0.00044510479830641,8332.195026455454,0.0008902031079581174,16664.39005291091,62.15655987582227,6639.336715204286,737.7040794177545
Austria,Li-Ion_BESS,2050-2055,16369.85454869047,24702.046864064898,32739.709097471976,49404.093728129796,1332470649.8906162,19610.589720508433,2178.95441334341
Austria,Li-Ion_BESS,2055-2060,0.0007945203235659016,16369.855787009868,0.0015889274809862605,32739.711574019737,28.409566609191575,16620.264149363768,1846.6960165441756
BosniaH,HydroPumpStorage,2020-2025,7.941260344068723e-05,440.00007941260344,1.936268472491065e-05,2199.340019362685,85.4163155088371,58.16258121843537,14.54064512602531
BosniaH,HydroPumpStorage,2025-2030,3.2507691649582164e-06,440.0000820178678,4.806691487087056e-05,2199.3400667840942,6.628892818975848,207.9162465052642,51.9790614540075
BosniaH,HydroPumpStorage,2030-2035,3.123589777011122e-05,440.0001126082608,0.00044753425461955615,2199.3405130273395,48.98339529274641,451.9783727379182,112.99459301253304
BosniaH,HydroPumpStorage,2035-2040,7.770380216983003e-06,440.0001197331361,219.9273225299447,2419.2678474107915,11107828.184368454,585.9605231071477,146.49013060298375
BosniaH,HydroPumpStorage,2040-2045,1.0803065916242821e-05,440.0001298906971,0.00030785732320982444,2419.2681472117406,14.55265410359733,693.4197622009938,173.35494038023023
BosniaH,HydroPumpStorage,2045-2050,9.74489881915498e-05,440.00014792708214,0.00011559002090779483,2419.268237701762,24.892335279347158,633.4131491007298,158.35328709535676
BosniaH,HydroPumpStorage,2050-2055,1.379654833614801e-05,440.00015847286124,0.00012684760638838856,2419.268315195112,3.5247807309173966,702.6073788294675,175.65184454148095
BosniaH,HydroPumpStorage,2055-2060,0.00012048869070343567,440.00024772565416,0.00016681282443607747,2419.268023369333,8.020948539574146,600.3834307404094,150.09585751066317
BosniaH,Li-Ion_BESS,2020-2025,0.03860888549902141,0.03860888549902141,0.07721777099804282,0.07721777099804282,22791.464397057094,0.109516103843987,0.012168415733005478
BosniaH,Li-Ion_BESS,2025-2030,0.04888456370615529,0.08749280370094277,0.09776912741382303,0.17498560740188554,18388.87089486424,0.1630844851972551,0.018120459309019215
BosniaH,Li-Ion_BESS,2030-2035,11.468795122714164,11.556287280909633,22.93759024542685,23.112574561819265,3329544.040179621,9.48286853953195,1.0536520210775817
BosniaH,Li-Ion_BESS,2035-2040,614.1240881569241,625.6417665523529,1228.2481763138671,1251.2835331047058,139693631.03877938,458.6468587789545,50.96076204740101
BosniaH,Li-Ion_BESS,2040-2045,160.29660861220887,785.8894906008552,320.5932172244292,1571.7789812017104,28569215.33695814,598.0921965746354,66.45468846964322
BosniaH,Li-Ion_BESS,2045-2050,0.0017032166430601668,774.422398694774,0.0034064333614165997,1548.844797389548,237.84683883354103,586.7398719198528,65.19331906133812
BosniaH,Li-Ion_BESS,2050-2055,27.3251197347272,187.62343027257162,54.650239469369964,375.24686054514325,2224205.471272483,157.44956783943616,17.494396388928106
BosniaH,Li-Ion_BESS,2055-2060,0.0016357986323267948,27.328457458993256,0.003271597274064659,54.65691491798651,58.49472347329511,32.59570228127944,3.6217446584683857
Belgium,HydroPumpStorage,2020-2025,0.00011973035589107894,1308.000119730356,2.6062539291160647e-05,7762.500026062539,128.4534403112046,1162.3592655917603,290.5898161953501
Belgium,HydroPumpStorage,2025-2030,5.8459760634402676e-05,1308.0001775446115,5.310471295776352e-05,7762.500077876242,52.463927627010506,435.3970001649953,108.84924984546261
Belgium,HydroPumpStorage,2030-2035,7.68470736894849e-05,1308.0002537461803,0.00023867005311355383,7762.500315255288,64.92119331260517,1295.2622636714893,323.81556569820884
Belgium,HydroPumpStorage,2035-2040,3.9298774562619835e-05,1308.0002923994505,776.2386505911842,8538.73899502252,39205346.47756087,1574.6040699426346,393.6510172657735
Belgium,HydroPumpStorage,2040-2045,5.657238474139182e-05,1308.0003483263304,0.00042821685791751696,8538.739391928053,34.77973852879231,2103.8074871889935,525.9518715872272
Belgium,HydroPumpStorage,2045-2050,6.926223310543337e-05,1308.0002978582077,0.00039133326005843345,8538.739727324992,24.752484594953476,1782.9361900019908,445.7340473038307
Belgium,HydroPumpStorage,2050-2055,8.785930399544445e-05,1308.000327257751,0.0002439232688744669,8538.73994757037,14.941194407111556,1872.7320375070576,468.1830091682967
Belgium,HydroPumpStorage,2055-2060,7.340140753076079e-05,1308.0003238120846,0.00034604262474131794,8538.740054117608,6.315579869384432,2048.993294462385,512.2483234050524
Belgium,Li-Ion_BESS,2020-2025,0.042519454489493624,0.042519454489493624,0.08503890897898725,0.08503890897898725,25099.938023441417,0.11657658762024932,0.012952909228152037
Belgium,Li-Ion_BESS,2025-2030,0.04031699907053028,0.08283580805520456,0.08063399814099516,0.16567161611040912,15166.01631595448,0.14932117713392393,0.01659119844268078
Belgium,Li-Ion_BESS,2030-2035,3.1966776669914143,3.2795128295414635,6.393355333982189,6.559025659082927,928038.1208856554,3.084809876200601,0.3427566040003561
Belgium,Li-Ion_BESS,2035-2040,1147.635422539112,1150.8724159142957,2295.270845078557,2301.7448318285915,261050433.25098428,914.4900594224357,101.61000655358447
Belgium,Li-Ion_BESS,2040-2045,9760.202630715708,10911.034729635525,19520.405261437085,21822.06945927105,1739533562.833513,7717.310832221416,857.4789813110998
Belgium,Li-Ion_BESS,2045-2050,3953.4512438084803,14861.289295773387,7906.902487605464,29722.578591546775,552082359.1871487,10751.81728448743,1194.6463648992449
Belgium,Li-Ion_BESS,2050-2055,0.07195710399302752,13713.7258303346,0.14391420834164867,27427.4516606692,5857.152184532607,10142.051307385138,1126.8945896632167
Belgium,Li-Ion_BESS,2055-2060,0.0015959354355348932,3953.524795558426,0.0031918811518291366,7907.049591116852,57.06941235747845,2949.5934843579266,327.7326093263119
Bulgaria,HydroPumpStorage,2020-2025,1.753753406319447e-05,864.0000175375341,2.589132304819941e-05,1499.200025891323,21.132999686415104,0.13084200728821577,0.03271032184215251
Bulgaria,HydroPumpStorage,2025-2030,2.5650120155230553e-05,864.0000425421493,7.69595006177256e-05,1499.2001015598144,27.433894492112287,162.5285148207418,40.63212851432169
Bulgaria,HydroPumpStorage,2030-2035,4.605866071935632e-05,864.0000879553052,118.97601829762887,1618.176118566432,7669329.910897694,394.377705541988,98.59442619551733
Bulgaria,HydroPumpStorage,2035-2040,4.7893597369888605e-05,864.0001352033978,30.940530303496228,1649.1166498693667,1562731.2200194485,397.3664728555785,99.34161802985119
Bulgaria,HydroPumpStorage,2040-2045,8.301957289237957e-05,864.000217577466,0.00010606120821626754,1649.1167535691577,32.76128172921653,428.296167990609,107.0740418088853
Bulgaria,HydroPumpStorage,2045-2050,6.702828222869438e-05,864.0002670682139,8.108106891427371e-05,1649.116806483373,17.1576430756448,371.8460191062175,92.96150458349081
Bulgaria,HydroPumpStorage,2050-2055,3.115341657490573e-05,864.0002725715104,0.00012521088847499648,1649.1168557902533,5.813272119238894,401.56154370144037,100.39038574129988
Bulgaria,HydroPumpStorage,2055-2060,4.07762485061487e-05,864.0002672890984,118.97354881946059,1649.1143863120838,695694.5178303287,391.4688485110281,97.86721193594435
