Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1088715742.782322,-4.989390296062416e-09,1100000000.0,3427925.735400443,0.31760190471430777,41.20406863870145,17281.596044304104,9779.079003504417,16735.983452301163
2020-2025,scenario2,1064023813.9385363,-5.178284673299961e-08,1100000000.0,3444564.4449376073,0.3088993778305738,40.58034190371338,21312.31288314408,8887.799398464209,18655.61023096555
2020-2025,scenario3,1092647381.41887,-3.6548237229906595e-09,1100000000.0,3387032.0462626903,0.3225972965400404,42.41651008656217,20928.95717178948,7857.956677799254,17401.661362345927
2025-2030,scenario1,990000000.0650226,-13.773091068965922,990000000.0,4514441.217484033,0.21929624340458917,45.189776129492934,41804.37690374767,12036.211220635563,22765.604277461236
2025-2030,scenario2,984368008.664276,-9.395073911339369e-09,990000000.0,4525622.7197449,0.21750995821404975,38.353299937711846,46158.63475314459,13453.685757125244,24683.3356636442
2025-2030,scenario3,990000000.0176607,-41.05542405875103,990000000.0,4603046.094999765,0.21507496983207205,200.45259053624673,27069.941881323524,6990.799461986659,19525.65697192811
2030-2035,scenario1,711275508.2584496,-2.4446305717858353e-07,770000000.0,5503955.454071183,0.12922988098174373,23.152157498942774,144496.65658666124,29528.393340618466,57002.71580434556
2030-2035,scenario2,755050058.7166795,-4.7662732321945276e-09,770000000.0,5661740.065827194,0.13336007127454877,25.49973068323961,114366.8518562722,23071.863140104233,50640.740256170495
2030-2035,scenario3,769999999.9567243,-36.04154541563082,770000000.0,5553593.0067971805,0.13864897896088296,43.35182408849761,52314.51419454658,19114.41215514279,50548.611297359246
2035-2040,scenario1,330000000.0192691,-50.35133843050057,330000000.0,6729635.083890269,0.04903683422734608,29.21156320228358,142464.87536280332,36432.01083007612,64420.83949151268
2035-2040,scenario2,330000000.0521135,-54.68830788020165,330000000.0,6664154.965774551,0.04951865641584029,192.6751632598895,101705.49705075528,37731.367568827045,62120.08086516435
2035-2040,scenario3,330000000.00059116,-43.76062436647409,330000000.0,6652068.180512085,0.04960863163840887,183.2803966769551,202057.05248667992,36910.0647082283,62319.65319436367
2040-2045,scenario1,66000000.0193136,-54.35190716329858,66000000.0,7398180.936459752,0.008921111903880325,19.67839252568838,239149.6320130222,79600.16239058002,78650.02286359822
2040-2045,scenario2,66000000.01931983,-54.35192107417086,66000000.0,7394108.577539943,0.00892602527095678,21.519239446220798,447293.4938842634,71441.23663932372,80193.89102423818
2040-2045,scenario3,66000000.020887375,-200.89437323112418,66000000.0,7431150.847243694,0.008881531458262105,33.27269699985028,308282.59689238423,82373.83386925326,81060.9409989684
2045-2050,scenario1,55000000.01586759,-47.82395936902762,55000000.0,7752902.573983405,0.007094117266536392,18.083309753042048,515289.7103009677,94238.47647219668,87833.43134304597
2045-2050,scenario2,55000000.01976512,-253.60208789809238,55000000.0,8293338.744704098,0.0066318284725666605,27.663220628772546,341392.4225680365,84948.07476213976,92978.12858887485
2045-2050,scenario3,55000000.016314484,-91.96178508209496,55000000.0,8231191.018857772,0.0066819005767586185,32.42113272352845,278856.648310364,70230.72458760483,91412.40859744287
2050-2055,scenario1,33000000.01163481,-47.67141331966821,33000000.0,7867538.578246348,0.004194450358702916,11.453119778854719,554225.0850322556,118233.43194241071,85232.53761703044
2050-2055,scenario2,33000000.01218138,-234.72053943880866,33000000.0,8258816.433254708,0.003995729930417686,23.19578812729927,655865.7815892351,90860.06166919995,87884.87511773848
2050-2055,scenario3,33000000.01199826,-79.09808188341292,33000000.0,8205957.7603934035,0.0040214684227690796,13.606223029984086,673314.2488671648,106519.86381014745,89008.1883830793
2055-2060,scenario1,22000000.011325225,-37.35178456385819,22000000.0,7956059.150976438,0.0027651880904662257,6.202044857473824,704808.979876011,70628.91517826373,90515.63741483357
2055-2060,scenario2,22000000.01216518,-244.04545373982228,22000000.0,8077307.701744152,0.0027236798230944152,26.905424307342642,641440.3061693787,73815.39060976262,90263.92848923638
2055-2060,scenario3,22000000.01131945,-37.351813633106126,22000000.0,8209434.376226207,0.002679843580335981,8.900386265585247,805856.0273834511,69082.6446267131,92931.9386136824
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,357499.8166356632
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,225577.47285798265
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,140128.04051640583
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,5869.054296642663
Liginiteexisting,2040-2045,0.0,12263.0,0.0,6.423037675868515
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.007103709532315043
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,31629.577593490674,31629.577593490674,78300721694.43622,221194.81352423958
Lignite,2025-2030,0.00039672275737258995,31629.577989030196,734.3088642442139,217145.19755253414
Lignite,2030-2035,0.002247141135929865,31629.580234988072,3059.5579996109823,205276.69942166717
Lignite,2035-2040,5.905100417052609e-05,31629.58029285583,57.75619489969014,29716.538641169718
Lignite,2040-2045,4.046055420376135e-05,31629.580332133133,27.41694974692023,91.41684515990495
Lignite,2045-2050,6.010506979331558e-05,31629.58039105496,26.579076542782175,0.005243824267266922
Lignite,2050-2055,9.997898969226863e-05,31629.58048985071,25.77050172496445,0.005337143131610883
Lignite,2055-2060,0.0001011003112628212,31629.58058976776,11.448290525760486,24.87123530986921
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,353211.9486610529
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,216592.5741654021
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,140191.37373557646
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,7820.678533293905
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,79.94254190581871
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,5.220209795588281
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.1260294193462255,0.1260294193462255,269858.7601609467,0.6265391877212693
Coal,2025-2030,0.01631088564783145,0.14233758356424303,26113.27921744183,0.65195522441509
Coal,2030-2035,0.0022190947111672844,0.14455395676646932,2613.3428610854057,0.5918143513193029
Coal,2035-2040,0.0002050834518281742,0.14475631874891334,173.49785787346784,0.08520573022633793
Coal,2040-2045,0.00016270273507554744,0.14491630001457328,95.3617857079618,0.020859762146522156
Coal,2045-2050,0.0002509545196853132,0.14516453306490065,95.98779520209881,0.014938344656074411
Coal,2050-2055,0.0006803323297375304,0.1458421439252666,151.67969680997066,0.015272816992406272
Coal,2055-2060,0.0011875570098817017,0.14702697946576168,116.31476012991108,0.02304715289764959
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,179352.9184726381
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,85454.6472515671
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,58681.555283096684
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,12740.159747112582
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,520.5712456125219
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.0817153823634376,0.0817153823634376,60040.4535770671,0.051968457071321715
GasOCGT,2025-2030,16501.26436257689,16501.346074113626,9499721512.571634,620.3947299625569
GasOCGT,2030-2035,2387.005599803566,18888.351770972455,1076714581.1264787,3050.308499090265
