Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499998582063159,0.0,12404.157654891276
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7197319051713144,0.0,7325.267453415237
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6559731413584904,0.0,4485.6694801009335
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.02186538124458881,0.0,104.3160336226457
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,2.2231121040218663e-07,0.0,0.000735355686299303
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,6.713007083224619e-07,0.0,0.0005551280929430107
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.34753084483154406,0.0,37619.28257035062
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5419298848027378,0.0,36099.973943264646
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5468662098164062,0.0,24475.60066616251
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.05118177266203631,0.0,1598.160497167701
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,3.364974411951593e-08,0.0,0.0007284989239246733
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,1.0090278103340562e-07,0.0,0.0005461227813706507
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499998147585013,0.0,47632.48823531238
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7281245684385852,0.0,28457.34851786733
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6487037566491467,0.0,17034.27452063323
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.02441006018780661,0.0,447.19699688296095
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,7.572457564527278e-05,0.0,0.9618535598462548
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,1.9268493876547547e-07,0.0,0.0006118710230497685
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7406208774833763,0.0,123956.64977032882
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7332648155617991,0.0,75523.37001799633
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6752220437725941,0.0,46725.67758940824
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.03114568355133925,0.0,1503.6946748663456
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,3.078208926902637e-08,0.0,0.0010303907909496796
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,7.82481122368518e-08,0.0,0.0006548136933900138
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
