Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0004108645900364591,41574.190712568176,9.882684016077594e-07
Austria,Hydrorun-of-the-river,2025-2030,741.6318800674297,41899.7543298663,1.7700148650723515
Austria,Hydrorun-of-the-river,2030-2035,8929.853516975836,49544.630354694265,18.02385738483918
Austria,Hydrorun-of-the-river,2035-2040,12045.969644266002,53992.78716740402,22.310331205754597
Austria,Hydrorun-of-the-river,2040-2045,11227.590018928386,52705.661958031,21.302436212391765
Austria,Hydrorun-of-the-river,2045-2050,12069.517036666883,52866.62313755527,22.83012668553246
Austria,Hydrorun-of-the-river,2050-2055,17317.060656274887,58405.725003177264,29.6495945480222
Austria,Hydrorun-of-the-river,2055-2060,2900.4071388097736,41150.61686931754,7.048271349177165
Belgium,Hydrorun-of-the-river,2020-2025,300.21606222509433,771.0160621262041,38.9377182878913
Belgium,Hydrorun-of-the-river,2025-2030,215.03304877950953,685.8330487156799,31.353555968495478
Belgium,Hydrorun-of-the-river,2030-2035,272.6584029383317,743.4584028687001,36.67433199843529
Belgium,Hydrorun-of-the-river,2035-2040,470.8608387822873,941.6608387073613,50.00323040179184
Belgium,Hydrorun-of-the-river,2040-2045,252.19377776800619,722.9937772225991,34.881873912776356
Belgium,Hydrorun-of-the-river,2045-2050,1050.7080608836777,1521.508060780194,69.05701573114894
Belgium,Hydrorun-of-the-river,2050-2055,576.5569375103785,1047.3569374032334,55.048753382955205
Belgium,Hydrorun-of-the-river,2055-2060,377.62702173172545,848.4270215807703,44.5090752800564
Bulgaria,Hydrorun-of-the-river,2020-2025,3463.747935844968,7435.5727160359775,46.583472021931186
Bulgaria,Hydrorun-of-the-river,2025-2030,2000.3204136597406,5213.8188858764515,38.36574413964292
Bulgaria,Hydrorun-of-the-river,2030-2035,3644.2425137983505,5634.584337042065,64.67633273036488
Bulgaria,Hydrorun-of-the-river,2035-2040,3993.0987715708297,6047.231192143445,66.03185234192235
Bulgaria,Hydrorun-of-the-river,2040-2045,4548.416933803697,6487.997471725472,70.10509719872091
Bulgaria,Hydrorun-of-the-river,2045-2050,4542.392589113222,6763.245458767192,67.16291190089694
Bulgaria,Hydrorun-of-the-river,2050-2055,5450.9829458841805,7141.926056303441,76.3237101996199
Bulgaria,Hydrorun-of-the-river,2055-2060,3981.191637196221,5712.995487882284,69.68658815923527
Switzerland,Hydrorun-of-the-river,2020-2025,0.0002293729881855278,1493.0886822011882,1.536231510692147e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.11374825070125737,1213.4563060571875,0.009373905770934011
Switzerland,Hydrorun-of-the-river,2030-2035,0.0010991531778169516,1102.6510999784418,9.968277162544357e-05
Switzerland,Hydrorun-of-the-river,2035-2040,70.69448466359114,16689.88642314529,0.4235767869909112
Switzerland,Hydrorun-of-the-river,2040-2045,360.5649824891453,23448.497762474162,1.5376890500259508
Switzerland,Hydrorun-of-the-river,2045-2050,204.2221624392487,14263.525931580767,1.431778954368372
Switzerland,Hydrorun-of-the-river,2050-2055,487.3303505189662,19830.302918151316,2.457503309608534
Switzerland,Hydrorun-of-the-river,2055-2060,464.6253578449393,15342.399194281197,3.028374845168454
CzechR,Hydrorun-of-the-river,2020-2025,53.01225785194021,1304.0285791731515,4.06526810060818
CzechR,Hydrorun-of-the-river,2025-2030,208.55871330627747,1388.052348655805,15.025277217263925
CzechR,Hydrorun-of-the-river,2030-2035,580.8579869408665,1417.7148526626124,40.97142566080592
CzechR,Hydrorun-of-the-river,2035-2040,365.05281752567805,1689.1126915603895,21.61210553621766
CzechR,Hydrorun-of-the-river,2040-2045,481.4615303425926,1869.8902953077045,25.748116429652068
CzechR,Hydrorun-of-the-river,2045-2050,579.7648962755688,1754.1266784999066,33.05148387409352
CzechR,Hydrorun-of-the-river,2050-2055,424.4267636400333,1794.2314942808982,23.65507265884536
CzechR,Hydrorun-of-the-river,2055-2060,330.71913380710765,1574.7906587452478,21.00083156897921
Germany,Hydrorun-of-the-river,2020-2025,0.0004453955578050957,22677.87036331239,1.964009629959098e-06
Germany,Hydrorun-of-the-river,2025-2030,0.00016980962006494737,19664.385379277417,8.635389145896974e-07
Germany,Hydrorun-of-the-river,2030-2035,0.0009131440069075746,22302.47188042126,4.094362328102291e-06
Germany,Hydrorun-of-the-river,2035-2040,125.70344977741068,21731.391710530137,0.5784417834431651
Germany,Hydrorun-of-the-river,2040-2045,1353.4069800512275,22659.719814794822,5.9727436663518265
Germany,Hydrorun-of-the-river,2045-2050,690.6728853017493,21621.049128151604,3.1944466765142363
Germany,Hydrorun-of-the-river,2050-2055,1538.6880874078975,23550.846640966436,6.533472494068924
Germany,Hydrorun-of-the-river,2055-2060,1355.4904038487946,18635.126580413336,7.273845970402467
Denmark,Hydrorun-of-the-river,2020-2025,0.00013620723582225122,18.54476809036067,0.0007344779679021706
Denmark,Hydrorun-of-the-river,2025-2030,0.0005964223966846803,24.783399468202116,0.002406539899620748
Denmark,Hydrorun-of-the-river,2030-2035,0.0020960834609377818,26.181764778989184,0.008005890659516905
Denmark,Hydrorun-of-the-river,2035-2040,0.0012765659182408166,20.776663344692395,0.006144229692044984
Denmark,Hydrorun-of-the-river,2040-2045,0.007144768795944698,18.619489680987982,0.038372527487904734
Denmark,Hydrorun-of-the-river,2045-2050,0.008791231239360542,24.816937678298927,0.035424319282745344
Denmark,Hydrorun-of-the-river,2050-2055,0.00950433972913651,18.286167940563285,0.05197556841886764
Denmark,Hydrorun-of-the-river,2055-2060,0.015014035082775698,24.426225889742618,0.061466864142448584
Estonia,Hydrorun-of-the-river,2020-2025,0.1535235640171094,32.253523422455096,0.475990055431356
Estonia,Hydrorun-of-the-river,2025-2030,4.343548594554236,36.443548486136116,11.918566591303842
Estonia,Hydrorun-of-the-river,2030-2035,11.567927655088523,43.667927524878024,26.49067247008269
Estonia,Hydrorun-of-the-river,2035-2040,24.43239279011965,56.53239271088266,43.218395009515206
Estonia,Hydrorun-of-the-river,2040-2045,33.507819492728764,65.60781939066857,51.072905339534266
Estonia,Hydrorun-of-the-river,2045-2050,33.41187802491313,65.51187749076003,51.00125245170333
Estonia,Hydrorun-of-the-river,2050-2055,36.02826101555503,68.12826043528959,52.882989798008765
Estonia,Hydrorun-of-the-river,2055-2060,35.34271131608363,67.4427105702694,52.40404932903701
Spain,Hydrorun-of-the-river,2020-2025,1636.1659778341516,20049.446559369087,8.160654075858133
Spain,Hydrorun-of-the-river,2025-2030,5728.697615454432,30482.568672205107,18.793355891552622
Spain,Hydrorun-of-the-river,2030-2035,8736.614517624708,32723.79530849039,26.698047812803487
Spain,Hydrorun-of-the-river,2035-2040,7824.463875975143,35013.43729725779,22.34703153976815
Spain,Hydrorun-of-the-river,2040-2045,13899.764795315,40567.53026061819,34.26327584158728
Spain,Hydrorun-of-the-river,2045-2050,13401.70448831526,40826.0646905087,32.82634412576853
Spain,Hydrorun-of-the-river,2050-2055,12249.693147503212,42343.17682857621,28.929556223651698
Spain,Hydrorun-of-the-river,2055-2060,8373.15504905961,36713.00395352866,22.807055123188373
Finland,Hydrorun-of-the-river,2020-2025,1231.4165664453285,17281.41656619912,7.125669135560724
Finland,Hydrorun-of-the-river,2025-2030,1933.7693157673332,17983.76931544142,10.752858768639449
Finland,Hydrorun-of-the-river,2030-2035,0.004226727868258676,15952.581144088816,2.6495573538109718e-05
Finland,Hydrorun-of-the-river,2035-2040,30.77131937619883,16080.771289867469,0.1913547479876659
Finland,Hydrorun-of-the-river,2040-2045,240.9291034346917,16290.929082679595,1.478915672715351
Finland,Hydrorun-of-the-river,2045-2050,215.34059196070157,16265.34055191264,1.3239230452840391
Finland,Hydrorun-of-the-river,2050-2055,0.005501440341084223,15360.206390204465,3.581618763008686e-05
Finland,Hydrorun-of-the-river,2055-2060,0.007489390607108857,15481.92495697382,4.8375060775212374e-05
France,Hydrorun-of-the-river,2020-2025,0.00512510687986077,60559.900588412645,8.46287201607691e-06
France,Hydrorun-of-the-river,2025-2030,4499.469169145143,65167.207571789615,6.904498960137934
France,Hydrorun-of-the-river,2030-2035,14268.146669054287,75672.31808825469,18.85517323840101
France,Hydrorun-of-the-river,2035-2040,11563.05437534634,74800.93152268286,15.458436332226592
France,Hydrorun-of-the-river,2040-2045,20344.84543359313,82125.46989494299,24.772881615921076
France,Hydrorun-of-the-river,2045-2050,15051.84981233078,76908.40878421215,19.57113669399001
France,Hydrorun-of-the-river,2050-2055,19649.717907771657,81653.41850063195,24.0647829185738
France,Hydrorun-of-the-river,2055-2060,5743.098904696001,67301.6433565426,8.533370982148087
Greece,Hydrorun-of-the-river,2020-2025,0.0001635965331306193,675.1569624384298,2.4230888849870717e-05
Greece,Hydrorun-of-the-river,2025-2030,0.03493754478875272,677.3364604811375,0.005158078270869291
Greece,Hydrorun-of-the-river,2030-2035,0.0073737499727161895,1391.0033374901116,0.0005301029676910181
Greece,Hydrorun-of-the-river,2035-2040,0.006689970081252248,3021.328425709342,0.00022142478865671777
Greece,Hydrorun-of-the-river,2040-2045,0.017097501363969633,2914.2187834769743,0.0005866924426164904
Greece,Hydrorun-of-the-river,2045-2050,0.02097130478623985,3281.7849599165593,0.0006390212961050639
Greece,Hydrorun-of-the-river,2050-2055,0.03624385039224769,2942.712480640226,0.0012316476934356277
Greece,Hydrorun-of-the-river,2055-2060,3.7715451863798886,2858.660905328266,0.13193398277319618
Hungary,Hydrorun-of-the-river,2020-2025,0.0002816969335147247,267.5002814580757,0.00010530715406326552
Hungary,Hydrorun-of-the-river,2025-2030,34.38623166546362,301.8862315349529,11.390460403121207
Hungary,Hydrorun-of-the-river,2030-2035,78.32736002343313,345.82735988498825,22.64926639970951
Hungary,Hydrorun-of-the-river,2035-2040,196.17970316079712,463.67970305992094,42.30931435345683
Hungary,Hydrorun-of-the-river,2040-2045,316.0006727440663,583.5006726282584,54.15600830770365
Hungary,Hydrorun-of-the-river,2045-2050,363.46243705335917,630.9624368585111,57.60444930176772
Hungary,Hydrorun-of-the-river,2050-2055,462.9462870200802,730.4462869099889,63.37855299100561
Hungary,Hydrorun-of-the-river,2055-2060,535.2603604579962,802.7603602907946,66.6774777299793
Ireland,Hydrorun-of-the-river,2020-2025,0.0001864874441174282,659.0468113645039,2.8296539927311206e-05
Ireland,Hydrorun-of-the-river,2025-2030,38.348616623945006,840.848616402895,4.560704016853631
Ireland,Hydrorun-of-the-river,2030-2035,0.007503304197435214,642.1466997887771,0.0011684719706421124
Ireland,Hydrorun-of-the-river,2035-2040,0.0039813752600923735,759.6269447535043,0.0005241224376768669
Ireland,Hydrorun-of-the-river,2040-2045,0.012686734461052169,507.51055473568937,0.0024997971653337135
