Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.008866721933085483,0.008866721933085483
EnergyhubEU,2025-2030,2.9353341819631785e-07,0.008867008107960036
EnergyhubEU,2030-2035,6500.503865307548,6500.5127370541795
EnergyhubEU,2035-2040,2.821368756687449e-05,6500.512763346824
EnergyhubEU,2040-2045,20791.786638888057,27292.299355437568
EnergyhubEU,2045-2050,1.4988202414589973e-05,27292.29938435319
EnergyhubEU,2050-2055,9.005328696869694e-07,27292.2993834408
EnergyhubEU,2055-2060,4.2611507851702806e-07,27292.29939420663
EnergyhubNorth,2020-2025,0.008432535989510577,0.008432535989510577
EnergyhubNorth,2025-2030,3.5706494837665543e-07,0.008432885695914272
EnergyhubNorth,2030-2035,0.02980150273326754,0.03823438107063898
EnergyhubNorth,2035-2040,2.223404414212135e-06,0.038236597116528784
EnergyhubNorth,2040-2045,10178.975543570332,10179.013780916415
EnergyhubNorth,2045-2050,7254.305272803513,17433.31905932947
EnergyhubNorth,2050-2055,9.086453914536491e-07,17433.319050351765
EnergyhubNorth,2055-2060,4.905684422853287e-07,17433.319055834363
EnergyhubCentral,2020-2025,0.009285360570999688,0.009285360570999688
EnergyhubCentral,2025-2030,3.117000133340819e-07,0.009285664912471268
EnergyhubCentral,2030-2035,407.3321774149625,407.3414607334331
EnergyhubCentral,2035-2040,1.4762054219669913e-06,407.34146453935597
EnergyhubCentral,2040-2045,4364.031297064223,4771.372761524916
EnergyhubCentral,2045-2050,0.007651752516076787,4771.380413655799
EnergyhubCentral,2050-2055,9.977269600958773e-07,4771.3804136675635
EnergyhubCentral,2055-2060,4.533058821953812e-07,4771.38041483806
