Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.002682717750507543,41574.19277934887,6.4528438705853315e-06
Austria,Hydrorun-of-the-river,2025-2030,778.6314197512442,41936.75379176194,1.8566802371436735
Austria,Hydrorun-of-the-river,2030-2035,8973.603925860882,49588.38071139959,18.09618260795112
Austria,Hydrorun-of-the-river,2035-2040,12033.8980972859,53992.78611705471,22.287973936363976
Austria,Hydrorun-of-the-river,2040-2045,11227.589898398288,52705.66178325677,21.30243605434626
Austria,Hydrorun-of-the-river,2045-2050,12069.516873136667,52866.62296338077,22.830126451422636
Austria,Hydrorun-of-the-river,2050-2055,17309.804160619555,58405.72482292418,29.637170351193852
Austria,Hydrorun-of-the-river,2055-2060,2752.5069597496263,41150.61673953112,6.688859555063352
Belgium,Hydrorun-of-the-river,2020-2025,300.21607009446666,771.0160695344449,38.93771893441121
Belgium,Hydrorun-of-the-river,2025-2030,215.03306151420747,685.8330612281322,31.353557253297808
Belgium,Hydrorun-of-the-river,2030-2035,272.6584177357551,743.4584174923997,36.67433326740731
Belgium,Hydrorun-of-the-river,2035-2040,438.90042279258427,909.700422434735,48.24669879979884
Belgium,Hydrorun-of-the-river,2040-2045,227.65590326783092,698.4558997385135,32.594169990268576
Belgium,Hydrorun-of-the-river,2045-2050,999.0693126078335,1469.8693121373176,67.96994156950593
Belgium,Hydrorun-of-the-river,2050-2055,562.061342089325,1032.8613416168073,54.41788935671583
Belgium,Hydrorun-of-the-river,2055-2060,377.6265004969323,848.4264995963586,44.50904122827248
Bulgaria,Hydrorun-of-the-river,2020-2025,3463.8314841697256,7435.5727160359775,46.584595651918384
Bulgaria,Hydrorun-of-the-river,2025-2030,2000.5915330989574,5213.8188858764515,38.370944156082906
Bulgaria,Hydrorun-of-the-river,2030-2035,3653.7227644721415,5634.584337042065,64.84458384006018
Bulgaria,Hydrorun-of-the-river,2035-2040,4096.862195219419,6047.231192143445,67.74773553460396
Bulgaria,Hydrorun-of-the-river,2040-2045,4665.711131599872,6487.997471725472,71.91296161770904
Bulgaria,Hydrorun-of-the-river,2045-2050,4553.448877022541,6763.245458767192,67.32638797132384
Bulgaria,Hydrorun-of-the-river,2050-2055,5435.570116398832,7141.926056303441,76.10790245582864
Bulgaria,Hydrorun-of-the-river,2055-2060,3981.2208516820097,5712.995487882284,69.68709952819839
Switzerland,Hydrorun-of-the-river,2020-2025,0.0015028249014431855,1493.0887475094435,0.00010065208139502643
Switzerland,Hydrorun-of-the-river,2025-2030,0.002752434677834016,1213.4564537758658,0.00022682599521963652
Switzerland,Hydrorun-of-the-river,2030-2035,0.006051654292119928,1102.6512393482417,0.0005488275962666996
Switzerland,Hydrorun-of-the-river,2035-2040,62.18713795986044,16689.886297572622,0.3726037245017358
Switzerland,Hydrorun-of-the-river,2040-2045,324.05313568162444,23448.497595333105,1.381978245574761
Switzerland,Hydrorun-of-the-river,2045-2050,212.40459601331725,14263.52583182923,1.4891451000098013
Switzerland,Hydrorun-of-the-river,2050-2055,441.3053857724806,19830.302790115566,2.2254092155993184
Switzerland,Hydrorun-of-the-river,2055-2060,525.6449994468421,15342.399092835925,3.4260939000882207
CzechR,Hydrorun-of-the-river,2020-2025,53.012288083906256,1304.0285809466477,4.065270413430852
CzechR,Hydrorun-of-the-river,2025-2030,208.83281840642493,1388.0523506074107,15.045024657394215
CzechR,Hydrorun-of-the-river,2030-2035,580.8578943101691,1417.7148554393737,40.97141904675545
CzechR,Hydrorun-of-the-river,2035-2040,365.0089919230325,1689.1126082116593,21.609512009355267
CzechR,Hydrorun-of-the-river,2040-2045,481.46427718713215,1869.8901974260634,25.74826467617597
CzechR,Hydrorun-of-the-river,2045-2050,579.5624281897417,1754.1265948297016,33.039943063288895
CzechR,Hydrorun-of-the-river,2050-2055,424.8389783495267,1794.231404110581,23.678048292779923
CzechR,Hydrorun-of-the-river,2055-2060,330.7260561937367,1574.7905972871458,21.00127196361666
Germany,Hydrorun-of-the-river,2020-2025,0.0029216956791185906,22677.87281071561,1.2883464439125212e-05
Germany,Hydrorun-of-the-river,2025-2030,0.0010990502098019255,19664.385294945892,5.589039236758657e-06
Germany,Hydrorun-of-the-river,2030-2035,0.004584963671838172,22302.471784847312,2.0558096501901087e-05
Germany,Hydrorun-of-the-river,2035-2040,121.77158514189699,21731.391620516883,0.5603487676644274
Germany,Hydrorun-of-the-river,2040-2045,1417.7318409347954,22659.719719958048,6.256616844585667
Germany,Hydrorun-of-the-river,2045-2050,705.0788766065986,21621.049036968514,3.2610761642556154
Germany,Hydrorun-of-the-river,2050-2055,1631.6966297370934,23550.846542744614,6.928399056804927
Germany,Hydrorun-of-the-river,2055-2060,1380.0815818173753,18635.12650366455,7.405807422589731
Denmark,Hydrorun-of-the-river,2020-2025,0.0011594264088996234,18.544782452505302,0.006252035643281386
Denmark,Hydrorun-of-the-river,2025-2030,0.0027939061841346746,24.783068378264012,0.011273447425844452
Denmark,Hydrorun-of-the-river,2030-2035,0.017651466575188617,26.181417500983972,0.06741982772523765
Denmark,Hydrorun-of-the-river,2035-2040,0.012889502459370893,20.776392315479054,0.06203917534695287
Denmark,Hydrorun-of-the-river,2040-2045,0.05912913188774657,18.619247219422224,0.317569938198508
Denmark,Hydrorun-of-the-river,2045-2050,0.07641417631291611,24.816617801076585,0.30791535303251977
Denmark,Hydrorun-of-the-river,2050-2055,0.09252735046539107,18.285936171294292,0.5060028078335018
Denmark,Hydrorun-of-the-river,2055-2060,0.13329551781124294,24.426098817578744,0.5457094020896782
Estonia,Hydrorun-of-the-river,2020-2025,0.0033445570618772743,32.10334374047213,0.010418095662916413
Estonia,Hydrorun-of-the-river,2025-2030,4.1215743294932485,36.22157388893482,11.378783103492726
Estonia,Hydrorun-of-the-river,2030-2035,10.795768654224922,42.89576789434938,25.167444678492483
Estonia,Hydrorun-of-the-river,2035-2040,21.36902964556177,53.46902925136806,39.96524706873189
Estonia,Hydrorun-of-the-river,2040-2045,33.507584943258095,65.60758444412063,51.072730732522565
Estonia,Hydrorun-of-the-river,2045-2050,33.41170505291592,65.51170082252484,51.00112595676648
Estonia,Hydrorun-of-the-river,2050-2055,36.02811269248149,68.1281087670359,52.88288981524446
Estonia,Hydrorun-of-the-river,2055-2060,35.342577205001234,67.442570894757,52.403959007068
Spain,Hydrorun-of-the-river,2020-2025,1657.0925025955796,20082.336306308574,8.25149264169542
Spain,Hydrorun-of-the-river,2025-2030,5780.506841999322,30579.565376204715,18.90316873665374
Spain,Hydrorun-of-the-river,2030-2035,9567.564057100237,33676.08064852896,28.410562847129206
Spain,Hydrorun-of-the-river,2035-2040,7761.441488388451,35013.4371418151,22.16703677777262
Spain,Hydrorun-of-the-river,2040-2045,14253.739443481645,40567.53008674565,35.135832556241006
Spain,Hydrorun-of-the-river,2045-2050,13153.819953005614,40826.06451184083,32.21917201740226
Spain,Hydrorun-of-the-river,2050-2055,12222.005857451497,42343.176654620285,28.86416849907715
Spain,Hydrorun-of-the-river,2055-2060,7509.316716731486,36713.00380927206,20.454106004900012
Finland,Hydrorun-of-the-river,2020-2025,1231.416633353128,17281.41656619912,7.125669522726898
Finland,Hydrorun-of-the-river,2025-2030,1933.7693453828153,17983.76931544142,10.752858933318397
Finland,Hydrorun-of-the-river,2030-2035,0.02510811507293267,15952.581144088816,0.00015739217902199112
Finland,Hydrorun-of-the-river,2035-2040,30.771578750580538,16080.771289867469,0.1913563609350615
Finland,Hydrorun-of-the-river,2040-2045,240.92925966682475,16290.929082679595,1.4789166317283837
Finland,Hydrorun-of-the-river,2045-2050,215.34096783428276,16265.34055191264,1.3239253561706756
Finland,Hydrorun-of-the-river,2050-2055,0.07087238208986134,15360.206390204465,0.00046140253776185054
Finland,Hydrorun-of-the-river,2055-2060,0.07378624193354985,15481.92495697382,0.00047659604434597717
France,Hydrorun-of-the-river,2020-2025,0.03117962014095053,60559.90059807507,5.148558672162284e-05
France,Hydrorun-of-the-river,2025-2030,4329.144207634492,64996.88256340563,6.660541301209845
France,Hydrorun-of-the-river,2030-2035,14262.212700336573,75672.31757662723,18.84733170210412
France,Hydrorun-of-the-river,2035-2040,11563.05424312414,74800.93135179214,15.458436190777594
France,Hydrorun-of-the-river,2040-2045,20726.604084881033,82125.46971662936,25.23772972793623
