Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499997432148527,0.0,12404.155753061279
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7199183246171104,0.0,7327.164788088291
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6563679200096013,0.0,4488.369051828862
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.022007735180940898,0.0,104.9951801623153
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,3.4262076431673383e-07,0.0,0.001133312741308549
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.0042833617012511e-06,0.0,0.0008304861002586808
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.34751403946250875,0.0,37617.463434190926
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5417860355815428,0.0,36090.39160930859
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5447787942221177,0.0,24382.176077857275
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.05142041311974371,0.0,1605.6120904341624
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,5.363733311902374e-08,0.0,0.0011612195124163138
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,1.5541759677608019e-07,0.0,0.0008411769165925674
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499997254191068,0.0,47632.48256136737
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7286331941393007,0.0,28477.227175253527
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6487415443515993,0.0,17035.266785731816
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.028211846391793825,0.0,516.846451252738
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.0738995128532505e-07,0.0,0.0013640671612261941
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,2.941825979524584e-07,0.0,0.0009341768397980315
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7406784214010114,0.0,123966.28081296022
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7342307471549304,0.0,75622.8571440276
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6768216693132804,0.0,46836.37241634315
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.039625200642271666,0.0,1913.0806070792537
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.6074867072160346e-08,0.0,0.0015422968308117793
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,1.235586031675141e-07,0.0,0.001033991274387913
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7475633490621773,0.0,13103.858530507096
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6939165389242192,0.0,7485.228597435888
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5255806771377884,0.0,3809.129179403735
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.05706305669346093,0.0,288.53210355175094
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,3.333499053068693e-07,0.0,0.0011686420972293668
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,9.069318137944864e-07,0.0,0.0007948695050184129
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499996113123168,0.0,6615.986571261555
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6779942352355243,0.0,3680.4948351801995
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.614081797100649,0.0,2239.7261312615
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.04274958817352104,0.0,108.78109533082046
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,6.528011695040176e-07,0.0,0.0011517136025138328
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,1.943267296714645e-06,0.0,0.0008571091334927422
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.666494390298754,0.0,1331.1759158558918
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.665272408359606,0.0,817.6832466267539
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5052012146694839,0.0,417.19438584142233
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.02334052392087665,0.0,13.447373543275548
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,3.551933351622401e-06,0.0,0.0014188410889056761
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,7.205952785261964e-06,0.0,0.0007196152689474011
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499463511055622,0.0,5413.292749404201
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7301641085709781,0.0,3243.384476954691
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6415077931339142,0.0,1914.5573091016377
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.051758381367977974,0.0,107.7705054016134
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,7.977034207388056e-07,0.0,0.0011516029479427328
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,2.1266742465561422e-06,0.0,0.0007675422556730715
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999311537204,0.0,49669.195440613774
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7051659766025555,0.0,28738.486092363248
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6398779173026317,0.0,17520.96977889458
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.03559135702243007,0.0,679.9208577763403
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,0.00029113634431995465,0.0,3.8561358168791187
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,2.56105259653777e-07,0.0,0.0008480362241863589
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499998149830178,0.0,16405.285952990333
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6462897897019052,0.0,8699.545783875907
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.6094263000801825,0.0,5511.616064320812
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.05547551237202818,0.0,350.0353339852738
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,2.708670096153146e-07,0.0,0.0011849738251125397
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,9.426376140782786e-07,0.0,0.001030949561590815
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499998899379365,0.0,37192.764541982695
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7186943483423114,0.0,21932.49936262192
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.6691732781894763,0.0,13720.532519377339
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.04507317343332934,0.0,644.7677587215104
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,1.1659726963511416e-07,0.0,0.0011564201152444776
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,3.47588940927447e-07,0.0,0.0008618530356305414
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.749999523191871,0.0,6149.516090478494
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7061572845937981,0.0,3563.1001803120134
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.6647849981225308,0.0,2253.7009178351477
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.019583820004363428,0.0,46.31965107432033
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,6.886106704484274e-07,0.0,0.0011292333573696032
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,1.9590696222992133e-06,0.0,0.0008031558549147625
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.0514400189743519,0.0514400189743519,0.7900042157343783,127342.53556696755,0.3559874069814231
BosniaH,Lignite,2025-2030,2.7752425334375933e-05,0.0514675617795382,0.7716134233048572,51.36799326127072,0.34788641903664747
BosniaH,Lignite,2030-2035,1.4149114147719191e-05,0.0514815012735473,0.723546162617855,19.26449330925082,0.3263033659843847
BosniaH,Lignite,2035-2040,1.9678205624685604e-05,0.051500969859026836,0.09557855522589373,19.246722308962813,0.043120121436676755
BosniaH,Lignite,2040-2045,2.0048748593032935e-05,0.051520808987463515,0.00229554750268577,13.585467215689347,0.0010360317482098966
BosniaH,Lignite,2045-2050,1.4334843252469428e-05,0.05153493421056299,0.0017702540573540032,6.339014285256554,0.000799174155103874
BosniaH,Lignite,2050-2055,1.815525133645512e-05,0.051552879841759575,0.0017946013822120607,4.679682574542559,0.0008104477761282571
BosniaH,Lignite,2055-2060,4.554760379010439e-05,0.051598217825400326,0.0029554062853629757,5.157671568248678,0.0013358447881265101
Bulgaria,Lignite,2020-2025,0.00118722332378999,0.00118722332378999,0.40593793143770807,2939.0352365740946,0.004221785466673849
