BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1989.032543585874,59.67097630757632
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4653.798782770198,139.6139634831058
Switzerland,Austria,2030-2035,899.3723474497174,2099.3723474497174,215324194.0547391,6841.700070388847,205.2510021116659
Switzerland,Austria,2035-2040,100.62737686274299,2199.9997242076515,17306625.545586996,13765.659183909915,412.9697755172974
Switzerland,Austria,2040-2045,999.9998404675101,3199.999565143501,119154980.24738401,17119.575495719593,513.5872648715858
Switzerland,Austria,2045-2050,3.882150051848928e-06,3199.9995710806575,0.30187424305426547,18644.859476123896,559.3457842837192
Switzerland,Austria,2050-2055,3.25190308091167e-06,3199.999573539721,0.14739294045541493,16344.29995756249,490.3289987268743
Switzerland,Austria,2055-2060,5.897149644060366e-06,3199.9995772873463,0.11742356385527335,19934.408652818627,598.0322595845582
CzechR,Austria,2020-2025,0.0,900.0,0.0,4520.854772023714,135.62564316071163
CzechR,Austria,2025-2030,0.0,900.0,0.0,2784.178863114995,83.52536589344989
CzechR,Austria,2030-2035,999.999780256109,1899.999780256109,87917371.68955563,8765.759986472593,262.97279959417784
CzechR,Austria,2035-2040,0.0001230050088851446,1899.9999031563077,7.768560171284518,9424.509377260852,282.7352813178256
CzechR,Austria,2040-2045,3.207233839384735e-06,1899.9999062587317,0.14033447864274487,10015.505156091922,300.4651546827572
CzechR,Austria,2045-2050,7.524542821327141e-07,1899.999906906376,0.02148598911170579,10605.051207033443,318.15153621100467
CzechR,Austria,2050-2055,1.1269294651979692e-06,1899.9999079284955,0.01875673815064839,10792.379152900618,323.7713745870188
CzechR,Austria,2055-2060,1.1664364281829225e-06,1899.9999089901219,0.008528952091920046,11702.744923154594,351.08234769463814
Germany,Austria,2020-2025,0.0,5000.0,0.0,16127.761584376221,483.83284753128675
Germany,Austria,2025-2030,1999.999354744803,6999.999354744803,891259.6670858768,18714.469063928627,561.4340719178571
Germany,Austria,2030-2035,500.000443972378,7499.999784638848,149745.46346604743,31198.169507728464,935.945085231856
Germany,Austria,2035-2040,2.0519626712977145e-06,7499.999800553063,0.0004414643982738354,37711.5228950858,1131.3456868525764
Germany,Austria,2040-2045,700.000030549059,8199.999836203066,104337.47240786544,38708.984795385026,1161.2695438615526
Germany,Austria,2045-2050,7.66912432659641e-06,8199.999839382723,0.0007459839853457715,37179.4212626305,1115.382637878915
Germany,Austria,2050-2055,6.250730457403914e-07,8199.99983846629,3.544050043602717e-05,43177.58749168462,1295.3276247505385
Germany,Austria,2055-2060,7.909346383723971e-07,8199.99983976176,1.97007921371364e-05,44085.413835999716,1322.562415079989
Hungary,Austria,2020-2025,0.0,800.0,0.0,2875.308406360308,86.2592521908096
Hungary,Austria,2025-2030,0.0,800.0,0.0,3917.5890724729384,117.52767217418833
Hungary,Austria,2030-2035,1999.9998160450878,2799.9998160450878,149305045.4705381,12698.254097432286,380.9476229229681
Hungary,Austria,2035-2040,4.1963268972604997e-05,2799.9998579035464,2.250384804394257,15776.2844454232,473.288533362696
Hungary,Austria,2040-2045,1.2911938425331284e-06,2799.9998590899304,0.04797278626020581,16920.418448916942,507.61255346750823
Hungary,Austria,2045-2050,7.426682831829385e-07,2799.999859727789,0.01800693707805071,17583.96235919553,527.5188707758673
Hungary,Austria,2050-2055,5.980214456744343e-07,2799.9998602209994,0.008451758449956034,16740.580559644644,502.2174167893399
Hungary,Austria,2055-2060,1.3750498422820663e-06,2799.9998614912397,0.008537343937413722,18131.05917000909,543.931775100273
Italy,Austria,2020-2025,0.0,405.0,0.0,2304.1946547001708,69.12583964100523
Italy,Austria,2025-2030,389.9992937857312,794.9992937857312,155139462.23758018,4182.660182688731,125.47980548066195
Italy,Austria,2030-2035,500.00046322331525,1294.9997572592354,133671171.49253276,7123.88931245205,213.71667937356162
Italy,Austria,2035-2040,0.00015201780996759796,1294.9999088170161,29.19475026816615,8555.654143106742,256.66962429320256
Italy,Austria,2040-2045,999.9999476300212,2294.999856289447,133053496.89938492,14306.950221071114,429.2085066321343
Italy,Austria,2045-2050,2.3737405868200154e-06,2294.9998584659884,0.20611094030675772,13826.982127110372,414.8094638133107
Italy,Austria,2050-2055,1.2420068659313826e-06,2294.99985956587,0.06286039906517764,13892.553705010267,416.7766111503088
Italy,Austria,2055-2060,3.1445944069996833e-06,2294.9998627881305,0.06991845033357841,14085.732175367184,422.57196526101654
Slovenia,Austria,2020-2025,0.0,950.0,0.0,2951.228539571364,88.53685618714093
Slovenia,Austria,2025-2030,0.0,950.0,0.0,3069.510268061968,92.08530804185912
Slovenia,Austria,2030-2035,999.9996807579655,1949.9996807579655,97342393.03822045,6197.722746055116,185.93168238165407
Slovenia,Austria,2035-2040,0.00023268319818649008,1949.9999133363538,16.27084572382508,10890.278441051229,326.70835323153733
Slovenia,Austria,2040-2045,999.9999837162377,2949.999894936873,48446356.259551734,14990.65007751713,449.7195023255141
Slovenia,Austria,2045-2050,1.5202247257924257e-06,2949.999896867877,0.04806294638382512,16505.97098014069,495.17912940422053
Slovenia,Austria,2050-2055,1.4043760169542858e-06,2949.9999001257647,0.025880421852828503,13874.809582843885,416.24428748531824
Slovenia,Austria,2055-2060,8.22143224978983e-06,2949.9999077790685,0.06655940767125276,16733.121097518328,501.993632925551
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9996794809364,999.9996794809364,19498625.921805795,3372.899874250068,101.18699622750226
Slovakia,Austria,2035-2040,0.00020950397985516583,999.999888880106,2.9345355134576856,5565.028643078257,166.95085929234784
Slovakia,Austria,2040-2045,1.6374450946405222e-06,999.9998904127413,0.015890218225292973,4644.392140582821,139.33176421748468
Slovakia,Austria,2045-2050,8.938907606989449e-07,999.9998912018218,0.005660946319213441,5238.803543665821,157.16410630997424
Slovakia,Austria,2050-2055,8.691765211211774e-07,999.9998919661883,0.003208469554396203,4852.248526197207,145.56745578591608
Slovakia,Austria,2055-2060,1.6806511254671225e-06,999.9998935420296,0.002725470754601021,5974.583828410194,179.237514852306
Croatia,BosniaH,2020-2025,0.0,750.0,0.0,3290.9067563713597,98.7272026911408
Croatia,BosniaH,2025-2030,0.0,750.0,0.0,3459.360038014921,103.78080114044748
Croatia,BosniaH,2030-2035,0.0,750.0,0.0,2873.341333424476,86.20024000273426
Croatia,BosniaH,2035-2040,0.0,750.0,0.0,3303.779979065319,99.11339937195946
Croatia,BosniaH,2040-2045,1143.9979385486647,1893.9979385486647,58205008.20277327,4381.889302917426,131.4566790875229
Croatia,BosniaH,2045-2050,3.3001730070748205e-05,1893.997971445585,1.0957545782459908,3818.2966870675646,114.54890061202694
Croatia,BosniaH,2050-2055,0.0012986212892783283,1893.9992699620639,25.13300701520659,5293.010739365745,158.79032218097248
Croatia,BosniaH,2055-2060,2.416997199640172e-05,1893.9992940272264,0.20550012987566577,4028.3590230402033,120.85077069120636
Italy,BosniaH,2020-2025,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2025-2030,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2030-2035,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2035-2040,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2040-2045,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2045-2050,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2050-2055,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2055-2060,0.0,0.0,0.0,0.0,0.0
Serbia,BosniaH,2020-2025,0.0,600.0,0.0,967.9157973392175,29.037473920176573
Serbia,BosniaH,2025-2030,0.0,600.0,0.0,1960.644410059103,58.81933230177332
Serbia,BosniaH,2030-2035,0.0,600.0,0.0,2053.184860134103,61.595545804023104
Serbia,BosniaH,2035-2040,0.0,600.0,0.0,2395.5165383740814,71.86549615122243
Serbia,BosniaH,2040-2045,1349.9997145353275,1949.9997145353275,45466904.84989113,6003.6132125163385,180.1083963754905
Serbia,BosniaH,2045-2050,3.2433276775928213e-06,1949.9997176738455,0.07128432071700935,6310.412936983667,189.31238810951038
Serbia,BosniaH,2050-2055,1.8368037403295328e-06,1949.9997194058392,0.023531590946661282,5873.006699297522,176.19020097892604
Serbia,BosniaH,2055-2060,3.948380621306833e-06,1949.9997232494095,0.02222191931109247,6178.569272409784,185.35707817229363
