Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1091071103.4565961,-8.385565990927106e-10,1100000000.0,3427832.476482096,0.3182976738047227,42.14295284905183,17101.004497415044,9831.92195719542,16589.88161719574
2020-2025,scenario2,1067097582.8354858,-2.5672000678442084e-10,1100000000.0,3444539.109024698,0.30979400989808953,41.45162640402078,21487.835441392428,8922.882786645487,18595.190968433835
2020-2025,scenario3,1095041160.8650296,-6.280178165707975e-10,1100000000.0,3386971.617937258,0.3233098131279592,42.853012535401184,20969.485119992107,7920.836113951866,17278.353629747835
2025-2030,scenario1,989999999.9751211,-12.647859246753542,990000000.0,4513511.172529391,0.21934143112361132,43.878405489482915,40668.8658125357,12381.968542710149,21489.802010781998
2025-2030,scenario2,988899829.8460944,-2.2102838878991508e-09,990000000.0,4525548.557011285,0.2185149087206355,37.071720121564816,45173.67922598975,14210.69040981438,23852.168285337895
2025-2030,scenario3,990000000.2638022,-41.7361510774229,990000000.0,4602077.372633055,0.2151202424693978,193.4496577720997,26161.999367734534,7021.992467326634,18522.00503036158
2030-2035,scenario1,734556312.5115042,-7.645826117818931e-10,770000000.0,5491281.871914877,0.13376773031237857,25.116180166211187,183020.09311240702,31240.660330663224,42616.86662806472
2030-2035,scenario2,769999999.977791,-0.33770298671722954,770000000.0,5650312.357610545,0.13627565190104846,27.412450737706372,165074.88249630327,25806.319720758842,36478.57544672842
2030-2035,scenario3,769999999.7044209,-37.31419647621839,770000000.0,5539577.260570499,0.13899977624376544,48.8481050302891,105867.78978379324,19894.396608165283,35752.8805865706
2035-2040,scenario1,330000000.0080192,-49.46320248458664,330000000.0,6710787.722840294,0.04917455500564778,31.564301093625055,153417.3531849043,36775.99594483032,45229.49325934646
2035-2040,scenario2,330000000.00139165,-54.68830561212465,330000000.0,6648004.732936307,0.04963895383023368,200.51273549257934,116824.95501869863,39017.645654609914,44683.57001224575
2035-2040,scenario3,330000000.00320274,-40.968216240456734,330000000.0,6634318.193934597,0.049741358547577975,193.7365680490777,224387.5774364794,36663.96851464647,44815.76263836129
2040-2045,scenario1,66000000.00230761,-50.53872209104749,66000000.0,7379047.639272052,0.008944243651585864,20.740859056782615,309511.5535921243,80918.26346461783,58198.62453094724
2040-2045,scenario2,66000000.00233104,-54.35191393365525,66000000.0,7374097.756841402,0.008950247498563184,23.386472729367288,563464.2641885286,71555.0399017028,60069.26694158795
2040-2045,scenario3,66000000.00370116,-203.35751677908004,66000000.0,7409163.444211442,0.008907888252252513,37.73321778909833,381740.2344969038,81574.13302720706,59873.23872304264
2045-2050,scenario1,55000000.001866445,-47.8239589831293,55000000.0,7729824.548357437,0.007115297334084356,11.863949508777258,594115.8118963169,93495.62409166183,65498.25790214265
2045-2050,scenario2,55000000.018513635,-191.75647120191306,55000000.0,8270254.3670129785,0.006650339587847617,26.87046158615743,418312.59082243603,84545.73399625947,70296.09150214565
2045-2050,scenario3,54999999.96980442,-124.55852453804947,55000000.0,8206672.705979297,0.006701863464072784,30.449889630073237,321482.4492253039,70292.53454646755,66832.28562105911
2050-2055,scenario1,33000000.00141741,-44.85438598952247,33000000.0,7845339.834278812,0.004206318744438447,11.620212860716647,713425.4534212658,116403.9317910603,64863.29349910194
2050-2055,scenario2,33000000.00140917,-239.3272311371677,33000000.0,8235135.255321635,0.004007220158294709,25.41225080494422,790222.0948955925,88805.92475850724,66257.83380930506
2050-2055,scenario3,33000000.001439046,-76.71061134320294,33000000.0,8181421.486046235,0.004033528899314184,13.873738398702478,808631.8039762276,102764.6916853756,68227.08587095214
2055-2060,scenario1,22000000.001327813,-37.351729937669994,22000000.0,7937002.233876118,0.002771827366688877,6.764103474103229,811787.5581836019,68587.55339836051,73500.08169192838
2055-2060,scenario2,21999999.99616757,-237.78231645361026,22000000.0,8054627.370668919,0.002731349196398611,27.22153133922781,726336.7148776401,71868.95874275792,69530.02885471784
2055-2060,scenario3,21999999.998221133,-39.62634798233205,22000000.0,8183526.985317756,0.0026883274213785743,10.382523208024702,862475.1194724706,66709.01773608816,69398.17418330771
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,357481.69247158256
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,225217.7677532705
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,135146.9752108803
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,7243.037919327762
Liginiteexisting,2040-2045,0.0,12263.0,0.0,6.16014182127911
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.001426279637641249
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,31665.79022223947,31665.79022223947,78390368005.9338,221418.44970003315
Lignite,2025-2030,9.608622643409884e-05,31665.790318178562,177.84955990329166,217366.96271867462
Lignite,2030-2035,0.00048498517697159884,31665.790803016618,660.3235792228916,204193.77316762807
Lignite,2035-2040,6.602922921878512e-06,31665.790809472008,6.458140865519665,32660.297537601433
Lignite,2040-2045,6.752333706269563e-06,31665.79081607653,4.575527882463312,62.632150306395
Lignite,2045-2050,7.351770798295067e-06,31665.790823282045,3.2510282318082706,0.0011831827482130458
Lignite,2050-2055,2.4561295498193197e-05,31665.79084769618,6.33089922144408,0.0012817122786541056
Lignite,2055-2060,8.458280539840526e-05,31665.790932131807,9.577898599812722,14.722940002382476
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,352192.01819173363
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,212103.0098640666
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,129377.1048016073
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,7861.944161302362
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,76.55642529119697
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,3.1886270062694377
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.027866818816926223,0.027866818816926223,59669.44237762747,0.13951948317678003
Coal,2025-2030,0.003344683084915179,0.031211164282336033,5354.745608302194,0.14149190652002358
Coal,2030-2035,0.000659305986501192,0.03187013060107507,776.439412172469,0.13583197096239685
Coal,2035-2040,0.00010728233639422249,0.03197707474548132,90.7594220115487,0.02198152372370098
Coal,2040-2045,0.0001529048538810028,0.03212964029302432,89.61914440305448,0.005113849003054086
Coal,2045-2050,0.0001444212129251692,0.0322737238261193,55.23978538614518,0.003191889843361748
Coal,2050-2055,0.00011431440544514225,0.03238769973847446,25.486330137538253,0.0035350872008377463
Coal,2055-2060,0.0003705857023328099,0.032757946947728746,36.29685709043077,0.004532992148110866
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,176704.415770985
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,91662.06216466441
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,64918.232059382106
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,12856.587926580549
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,414.0863821424781
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01723551952327027,0.01723551952327027,12663.814081062917,0.011064181257134056
GasOCGT,2025-2030,20534.311657548653,20534.32889392531,11821533060.306812,859.19157249996
GasOCGT,2030-2035,6425.745536601595,26960.074406541913,2898482481.330033,4010.6987292553968
