Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.749999956737994,0.0,12404.159284494903
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7199916417963045,0.0,7327.910993644358
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6488666660046811,0.0,4437.074045934757
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.021757587220717186,0.0,103.8017665768197
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,5.412521681847473e-08,0.0,0.0001790340931869477
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.397663040112952e-07,0.0,0.0001155789065043165
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.3475075563907497,0.0,37616.76165904752
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5354543703600312,0.0,35668.615737698994
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.48900974064853453,0.0,21886.170546165937
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.05013593557455616,0.0,1565.5040370110655
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,8.415237886648879e-09,0.0,0.00018218538967844098
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,2.171531577065892e-08,0.0,0.0001175312367563783
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999528854843,0.0,47632.497007757156
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7283683309849479,0.0,28466.875508217905
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6396820884770743,0.0,16797.375056583613
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.03721552830198166,0.0,681.7956353246694
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,6.565728106131569e-05,0.0,0.8339787840408319
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.137391497444616e-08,0.0,0.00013138286700135402
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7406053393995241,0.0,123954.04918360921
