BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2058.5584900348867,61.756754701046674
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4777.329968343374,143.31989905030107
Switzerland,Austria,2030-2035,1.0212340612270054e-05,1200.0000102123406,2.4449984680816206,4051.485555713341,121.54456667140018
Switzerland,Austria,2035-2040,999.9998425535948,2199.9998527498738,171987220.18092024,13319.557673418965,399.5867302025693
Switzerland,Austria,2040-2045,999.9999012107988,3199.9997557107035,119154987.48525055,16284.572578821599,488.53717736464847
Switzerland,Austria,2045-2050,1.9009284655648398e-06,3199.9997550699563,0.14781534303894112,17744.674080542874,532.3402224162868
Switzerland,Austria,2050-2055,2.37139026855299e-06,3199.9997601368777,0.10748357990773565,16591.610149941756,497.74830449825333
Switzerland,Austria,2055-2060,4.419283144788966e-06,3199.99976258444,0.08799640637732958,20336.38937068107,610.0916811204328
CzechR,Austria,2020-2025,0.0,900.0,0.0,4498.685053872402,134.96055161617204
CzechR,Austria,2025-2030,0.0,900.0,0.0,2698.0055927776966,80.94016778333086
CzechR,Austria,2030-2035,999.9998743854276,1899.9998743854276,87917379.96515973,8622.415682303723,258.6724704691116
CzechR,Austria,2035-2040,7.119432166142166e-05,1899.9999455630057,4.49638089288683,9008.224907094926,270.2467472128466
CzechR,Austria,2040-2045,2.489663823187494e-06,1899.999948035925,0.10893676361613372,9844.268714479458,295.3280614343834
CzechR,Austria,2045-2050,4.930689927970413e-07,1899.9999485122503,0.01407936038390229,10618.303637971732,318.5491091391516
CzechR,Austria,2050-2055,7.677639024203457e-07,1899.99994926327,0.01277874696149558,10666.205522584525,319.98616567753544
CzechR,Austria,2055-2060,8.269572043175565e-07,1899.9999500734834,0.006046689049895227,11813.285594572279,354.39856783716834
Germany,Austria,2020-2025,0.0,5000.0,0.0,15968.365411354842,479.050962340645
Germany,Austria,2025-2030,1999.9996021238221,6999.999602123822,891259.7773253834,18569.482700848606,557.0844810254614
Germany,Austria,2030-2035,500.00026330207464,7499.999863953858,149745.40935697884,30149.703213344015,904.4910964003183
Germany,Austria,2035-2040,5.427829245611626e-05,7499.999919672694,0.01167756804431363,38218.07593912527,1146.5422781737566
Germany,Austria,2040-2045,699.9999785933169,8199.999899801735,104337.4646636789,38315.31024035096,1149.459307210529
Germany,Austria,2045-2050,1.3702418280332488e-05,8199.99991134505,0.001332848988011341,36731.862545963,1101.9558763788966
Germany,Austria,2050-2055,5.306392882972024e-07,8199.999911825755,3.0086278806014628e-05,42371.22528192256,1271.13675845768
Germany,Austria,2055-2060,6.909475636295443e-07,8199.99991312289,1.7210289786698428e-05,44944.811146591695,1348.3443343977522
Hungary,Austria,2020-2025,0.0,800.0,0.0,2812.5944223491165,84.37783267047341
Hungary,Austria,2025-2030,0.0,800.0,0.0,3920.088347466741,117.60265042400226
Hungary,Austria,2030-2035,1999.999894477363,2799.999894477363,149305051.32570586,11793.452916145903,353.80358748437817
Hungary,Austria,2035-2040,2.6930876182186647e-05,2799.9999213914944,1.444235304189025,15723.227665520119,471.69682996560437
Hungary,Austria,2040-2045,7.714466979907763e-07,2799.9999221461976,0.028662193339807168,16903.55841453156,507.10675243594676
Hungary,Austria,2045-2050,4.429291633635332e-07,2799.999922572383,0.010739380899017251,17468.775604625967,524.06326813878
Hungary,Austria,2050-2055,3.6317763132376345e-07,2799.9999229188165,0.005132741704461682,16632.492020521222,498.9747606156367
Hungary,Austria,2055-2060,8.87018440655849e-07,2799.9999237890916,0.005507277826481848,18110.364430808087,543.3109329242424
Italy,Austria,2020-2025,0.0,405.0,0.0,2330.297677171664,69.90893031515004
Italy,Austria,2025-2030,389.9996486291042,794.9996486291042,155139603.39222056,4246.842856885839,127.40528570657528
Italy,Austria,2030-2035,500.0002001130998,1294.9998492840266,133671101.15209648,6928.75702951694,207.8627108855086
Italy,Austria,2035-2040,0.00010154039166554366,1294.9999502491542,19.50065178178259,8211.478178636686,246.3443453591015
Italy,Austria,2040-2045,999.9999705056812,2294.9999203557913,133053499.9430716,13815.545398255521,414.4663619476671
Italy,Austria,2045-2050,1.3004733850930125e-06,2294.9999217157597,0.11291958090690758,13385.559449133225,401.56678347399696
Italy,Austria,2050-2055,6.975401689728682e-07,2294.999922912812,0.03530387358426117,13611.932445049435,408.35797335148294
Italy,Austria,2055-2060,1.727536473161468e-06,2294.999924413513,0.0384108910291646,14465.754276890022,433.9726283067014
Slovenia,Austria,2020-2025,0.0,950.0,0.0,3036.303343866866,91.089100316006
Slovenia,Austria,2025-2030,0.0,950.0,0.0,3125.7391130068745,93.77217339020643
Slovenia,Austria,2030-2035,999.9997912473259,1949.999791247326,97342403.79352263,5944.649104687212,178.33947314061604
Slovenia,Austria,2035-2040,0.000163574402714542,1949.9999548049848,11.43827268869677,10821.074937841917,324.6322481352574
Slovenia,Austria,2040-2045,999.9999866201485,2949.999940124509,48446356.40023564,15024.936461334162,450.74809384002543
Slovenia,Austria,2045-2050,9.491013106414803e-07,2949.999942269271,0.03000648827258201,16544.672314751722,496.3401694425517
Slovenia,Austria,2050-2055,8.41941658532896e-07,2949.999943725158,0.015515648968114443,13837.194433038343,415.1158329911504
