Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00021870443545547649,34412.58852503742,6.355361361333067e-07
Austria,Hydrorun-of-the-river,2025-2030,0.0002315065147629793,38682.86659164707,5.984730066850043e-07
Austria,Hydrorun-of-the-river,2030-2035,797.6510106804188,41960.72870773825,1.9009465165301547
Austria,Hydrorun-of-the-river,2035-2040,0.0003324240792870413,40595.19184117292,8.188754978363875e-07
Austria,Hydrorun-of-the-river,2040-2045,2469.6029560138877,43772.856643919346,5.641859237343034
Austria,Hydrorun-of-the-river,2045-2050,74.17659802776494,41318.21435414954,0.17952517839221546
Austria,Hydrorun-of-the-river,2050-2055,0.0006011200196979612,41589.76576868158,1.44535562676966e-06
Austria,Hydrorun-of-the-river,2055-2060,185.1477480181563,41192.787799328675,0.4494664185393485
Belgium,Hydrorun-of-the-river,2020-2025,149.98252464099664,620.7825245214158,24.16023626899351
Belgium,Hydrorun-of-the-river,2025-2030,173.69071811651202,644.4907180090664,26.950072865761364
Belgium,Hydrorun-of-the-river,2030-2035,0.00018616559989593362,369.09104802347434,5.043893665069152e-05
Belgium,Hydrorun-of-the-river,2035-2040,184.292489556787,655.092489397499,28.13228552296246
Belgium,Hydrorun-of-the-river,2040-2045,0.0002847392515103183,365.0705597495236,7.799567615248928e-05
Belgium,Hydrorun-of-the-river,2045-2050,238.95121784075369,709.7512176178719,33.66689790864218
Belgium,Hydrorun-of-the-river,2050-2055,186.50162270567486,657.3016224143337,28.3738266186893
Belgium,Hydrorun-of-the-river,2055-2060,0.00046615849044535814,452.9115360223506,0.00010292484367683534
Bulgaria,Hydrorun-of-the-river,2020-2025,2151.525605970214,6123.354976262716,35.13638543430256
Bulgaria,Hydrorun-of-the-river,2025-2030,3009.31403311162,6420.576654790379,46.86984043507022
Bulgaria,Hydrorun-of-the-river,2030-2035,4871.824022349981,7404.355536533077,65.79673272457556
Bulgaria,Hydrorun-of-the-river,2035-2040,4025.1917689449865,6793.175851973325,59.2534604823416
Bulgaria,Hydrorun-of-the-river,2040-2045,4220.600380266831,6144.4921580614955,68.68916538089249
Bulgaria,Hydrorun-of-the-river,2045-2050,2951.7987431237884,5332.613992827774,55.353692337264235
