Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00036057345467709485,40976.77030657222,8.799460083833468e-07
Austria,Hydrorun-of-the-river,2025-2030,4712.466040275651,46163.713645006916,10.208160627010892
Austria,Hydrorun-of-the-river,2030-2035,6062.805805976682,47320.044354803125,12.812341764766941
Austria,Hydrorun-of-the-river,2035-2040,8931.096881020076,49688.58598240825,17.974141755980018
Austria,Hydrorun-of-the-river,2040-2045,17050.65039046346,58459.19061440083,29.166757547038642
Austria,Hydrorun-of-the-river,2045-2050,14864.494388519808,55627.630118064604,26.721423071540645
Austria,Hydrorun-of-the-river,2050-2055,6320.891593646074,47320.81878533589,13.357527946251086
Austria,Hydrorun-of-the-river,2055-2060,20322.954017601936,61819.90809060639,32.874448774358555
Belgium,Hydrorun-of-the-river,2020-2025,159.22842435875938,630.0284241846815,25.27321280223453
Belgium,Hydrorun-of-the-river,2025-2030,36.93235035414309,507.7323502533613,7.273980146373112
Belgium,Hydrorun-of-the-river,2030-2035,125.0654681851443,595.8654680704154,20.98887666542289
Belgium,Hydrorun-of-the-river,2035-2040,348.67243299097834,819.4724328541669,42.548402973920176
Belgium,Hydrorun-of-the-river,2040-2045,553.626375667303,1024.426375130075,54.04257339596583
Belgium,Hydrorun-of-the-river,2045-2050,586.62877392415,1057.4287737185755,55.47690667251274
Belgium,Hydrorun-of-the-river,2050-2055,546.6634754634098,1017.463475082133,53.728068756402415
Belgium,Hydrorun-of-the-river,2055-2060,590.3661815770328,1061.1661813249498,55.63371618570749
Bulgaria,Hydrorun-of-the-river,2020-2025,2158.58243917143,6130.4091570653,35.2110664046569
Bulgaria,Hydrorun-of-the-river,2025-2030,4830.324535192885,7242.361646091979,66.69543404808232
Bulgaria,Hydrorun-of-the-river,2030-2035,4087.769659756155,6516.1407619611355,62.73298581299947
Bulgaria,Hydrorun-of-the-river,2035-2040,4275.765015328268,5768.784715454792,74.11899084868486
Bulgaria,Hydrorun-of-the-river,2040-2045,4401.812784485681,6715.436405425018,65.54768028075893
Bulgaria,Hydrorun-of-the-river,2045-2050,3900.397081163479,6359.419063876885,61.33260038355901
Bulgaria,Hydrorun-of-the-river,2050-2055,3866.407946728868,5765.303088124899,67.06339437197524
Bulgaria,Hydrorun-of-the-river,2055-2060,5038.455125831678,6661.131211200086,75.63963185952521
Switzerland,Hydrorun-of-the-river,2020-2025,0.0003034881779488269,1476.656031885509,2.055239482964151e-05
Switzerland,Hydrorun-of-the-river,2025-2030,92.21311937596259,26335.992587411496,0.3501410439340726
Switzerland,Hydrorun-of-the-river,2030-2035,0.0011750142717075,19820.66411428351,5.928228564555216e-06
Switzerland,Hydrorun-of-the-river,2035-2040,105.57233179734634,22230.57622801931,0.4748969649481397
Switzerland,Hydrorun-of-the-river,2040-2045,109.65627870384321,21763.898973740765,0.5038448250295088
Switzerland,Hydrorun-of-the-river,2045-2050,62.907934934945146,18349.065512156278,0.34283999309538987
Switzerland,Hydrorun-of-the-river,2050-2055,270.62366886346206,15484.054690466679,1.7477571235270912
Switzerland,Hydrorun-of-the-river,2055-2060,236.39981861446444,21241.30008780164,1.1129253747995542
CzechR,Hydrorun-of-the-river,2020-2025,129.63218285504433,1370.9987372307978,9.455310157096203
CzechR,Hydrorun-of-the-river,2025-2030,77.22711008965092,1424.8261101887829,5.420107726648741
CzechR,Hydrorun-of-the-river,2030-2035,204.0085798379532,1439.569867988492,14.171495553947233
CzechR,Hydrorun-of-the-river,2035-2040,247.98362013772643,1703.9719985653558,14.553268501273148
CzechR,Hydrorun-of-the-river,2040-2045,534.0950805596203,1974.8738209104913,27.044516713142837
CzechR,Hydrorun-of-the-river,2045-2050,424.8973810157532,1885.653760077492,22.533160117278996
CzechR,Hydrorun-of-the-river,2050-2055,229.2073325989905,1653.6575913705858,13.860628330500916
CzechR,Hydrorun-of-the-river,2055-2060,666.6659571963529,1826.8598166432569,36.49245284847913
Germany,Hydrorun-of-the-river,2020-2025,0.000341909287034122,21900.97838199256,1.5611598763790704e-06
Germany,Hydrorun-of-the-river,2025-2030,203.9037238447628,22765.051963218473,0.8956874957905228
Germany,Hydrorun-of-the-river,2030-2035,0.0007398088315789593,21220.67084067877,3.4862650532272036e-06
Germany,Hydrorun-of-the-river,2035-2040,130.5730223141438,20625.73571985028,0.6330587383046893
Germany,Hydrorun-of-the-river,2040-2045,1043.0013617162617,21851.897201035736,4.773047173527915
Germany,Hydrorun-of-the-river,2045-2050,662.9985126581091,22366.54950829452,2.964241365939076
Germany,Hydrorun-of-the-river,2050-2055,1089.4412379830246,21742.851231059907,5.010572102092781
Germany,Hydrorun-of-the-river,2055-2060,1284.019894181491,23856.492611012418,5.382266015033465
Denmark,Hydrorun-of-the-river,2020-2025,0.00023079800010285522,17.098267694328122,0.001349832651055148
Denmark,Hydrorun-of-the-river,2025-2030,0.00012530378733440978,20.406186399647044,0.0006140480385721513
Denmark,Hydrorun-of-the-river,2030-2035,0.003117984348470937,18.624769536987987,0.016741062713709048
Denmark,Hydrorun-of-the-river,2035-2040,0.004464066346172255,20.077268378209496,0.02223443081040471
Denmark,Hydrorun-of-the-river,2040-2045,0.005919000739285253,14.819866220208457,0.039939636777652346
Denmark,Hydrorun-of-the-river,2045-2050,0.00555217367762736,19.05835781932848,0.029132487333176697
Denmark,Hydrorun-of-the-river,2050-2055,0.017076367849686486,20.61972008432274,0.0828157112698621
Denmark,Hydrorun-of-the-river,2055-2060,0.01792680279603671,20.541061700805066,0.08727300982370403
Estonia,Hydrorun-of-the-river,2020-2025,0.6192268130550913,32.71922659704722,1.8925472190439065
Estonia,Hydrorun-of-the-river,2025-2030,4.250758775308081,36.35075859023594,11.693727834471833
Estonia,Hydrorun-of-the-river,2030-2035,8.18422265357499,40.284222505902875,20.31619861193982
Estonia,Hydrorun-of-the-river,2035-2040,20.45533276201881,52.55533265582886,38.921517053227376
Estonia,Hydrorun-of-the-river,2040-2045,29.738998233140574,61.83899758403939,48.0910095489908
Estonia,Hydrorun-of-the-river,2045-2050,27.307483593138436,59.407482801316604,45.9664040714636
Estonia,Hydrorun-of-the-river,2050-2055,35.63443510370343,67.73443473274878,52.60903888000502
Estonia,Hydrorun-of-the-river,2055-2060,30.81920110471763,62.91920073312786,48.98218786255319
Spain,Hydrorun-of-the-river,2020-2025,46.658254055168406,25335.007655175592,0.18416514686008698
Spain,Hydrorun-of-the-river,2025-2030,3133.524266444357,26417.55251861924,11.861523751058437
Spain,Hydrorun-of-the-river,2030-2035,8849.142150452502,35686.37578658156,24.79697631211929
Spain,Hydrorun-of-the-river,2035-2040,14431.667769073218,38671.412746565526,37.318698087529576
Spain,Hydrorun-of-the-river,2040-2045,15775.503371783332,42278.89414137717,37.31295175089333
Spain,Hydrorun-of-the-river,2045-2050,14084.577232871727,42542.39681861659,33.107154946917106
Spain,Hydrorun-of-the-river,2050-2055,11654.436657057307,37412.69051917209,31.151025214519134
Spain,Hydrorun-of-the-river,2055-2060,14788.090640244145,40766.01521611794,36.2755362814987
Finland,Hydrorun-of-the-river,2020-2025,562.1519259903721,16612.151923588863,3.3839801644971095
Finland,Hydrorun-of-the-river,2025-2030,1014.0217515828431,17064.02174550424,5.942454637635477
Finland,Hydrorun-of-the-river,2030-2035,536.7462607834417,16586.746242247744,3.2359948898012734
Finland,Hydrorun-of-the-river,2035-2040,0.005287333139072698,15988.302353837455,3.3070009698707325e-05
Finland,Hydrorun-of-the-river,2040-2045,0.004731850612148943,15858.409646060703,2.983811566076145e-05
Finland,Hydrorun-of-the-river,2045-2050,0.008845128969279496,15568.824473423665,5.681308170940157e-05
Finland,Hydrorun-of-the-river,2050-2055,1831.2811058308587,17881.28105675227,10.241330584865096
Finland,Hydrorun-of-the-river,2055-2060,1363.069763591169,17413.06970081695,7.827854519684253
France,Hydrorun-of-the-river,2020-2025,0.00048589160206815766,62047.88075568396,7.830913741943508e-07
France,Hydrorun-of-the-river,2025-2030,10005.12868246228,73101.66385675155,13.686595016589658
France,Hydrorun-of-the-river,2030-2035,11621.424961051536,74863.25843340385,15.52353611670485
France,Hydrorun-of-the-river,2035-2040,16176.745479237949,76843.22349142087,21.0516226990972
France,Hydrorun-of-the-river,2040-2045,13770.531443048354,76983.52629323583,17.887634025226905
France,Hydrorun-of-the-river,2045-2050,15411.937426873912,77219.13890748378,19.95870148893909
France,Hydrorun-of-the-river,2050-2055,14654.786235299125,74648.49742850615,19.631722995274757
France,Hydrorun-of-the-river,2055-2060,16052.23307515446,79224.87470558792,20.261607398947714
Greece,Hydrorun-of-the-river,2020-2025,0.00017777373412982962,634.4591795057512,2.8019727647146154e-05
Greece,Hydrorun-of-the-river,2025-2030,0.001208535893712686,702.2833602479732,0.0001720866479430692
Greece,Hydrorun-of-the-river,2030-2035,0.008141727935945262,613.3650978928155,0.0013273868963062543
Greece,Hydrorun-of-the-river,2035-2040,0.019984907126230047,603.853771930161,0.0033095607008216906
Greece,Hydrorun-of-the-river,2040-2045,0.01812380217448114,543.334694723417,0.0033356607539496465
Greece,Hydrorun-of-the-river,2045-2050,0.017116786328637015,3145.7206313564193,0.0005441292579518207
Greece,Hydrorun-of-the-river,2050-2055,130.38700298242435,3525.8033445550655,3.6980792812447225
Greece,Hydrorun-of-the-river,2055-2060,0.03711508708916534,3111.3151107312865,0.0011929067216994865
Hungary,Hydrorun-of-the-river,2020-2025,0.0003529850494596009,258.74035448814277,0.00013642442832618792
Hungary,Hydrorun-of-the-river,2025-2030,35.70709759106632,294.4470994388009,12.126829457353114
Hungary,Hydrorun-of-the-river,2030-2035,64.23637988685756,322.9763818371118,19.8888784131758
Hungary,Hydrorun-of-the-river,2035-2040,120.5340760162661,379.2900718438926,31.77886397877434
Hungary,Hydrorun-of-the-river,2040-2045,292.79498094156565,552.3819316903318,53.00589395558073
Hungary,Hydrorun-of-the-river,2045-2050,406.1241838012328,667.9050432983476,60.80567707583854
Hungary,Hydrorun-of-the-river,2050-2055,401.0064987308797,661.9324365108705,60.58118270266911
Hungary,Hydrorun-of-the-river,2055-2060,346.468844680072,606.660772535028,57.110803988907534
Ireland,Hydrorun-of-the-river,2020-2025,0.00020360907229175065,692.1334056885828,2.9417605134834677e-05
Ireland,Hydrorun-of-the-river,2025-2030,0.0012878240713239072,728.0353380084218,0.00017689032442392376
Ireland,Hydrorun-of-the-river,2030-2035,0.0060480229516481476,651.2763433325022,0.0009286415841086975
Ireland,Hydrorun-of-the-river,2035-2040,0.014676703803366628,690.1303076060814,0.00212665689966248
Ireland,Hydrorun-of-the-river,2040-2045,0.016899537493227586,497.8066578688676,0.0033947994117988008
Ireland,Hydrorun-of-the-river,2045-2050,0.016522352096562914,615.3981952084152,0.002684822969129335
Ireland,Hydrorun-of-the-river,2050-2055,0.03300831624267281,619.1770455555328,0.0053309980529167335
Ireland,Hydrorun-of-the-river,2055-2060,0.03392248056609349,545.85626712805,0.006214544488894869
Italy,Hydrorun-of-the-river,2020-2025,1907.193451320491,38962.78506055502,4.894910485367967
Italy,Hydrorun-of-the-river,2025-2030,11236.381380197183,48150.45343256549,23.335982486506982
Italy,Hydrorun-of-the-river,2030-2035,3212.363475981095,41223.683517959194,7.792519255543046
Italy,Hydrorun-of-the-river,2035-2040,9147.471847248751,44968.660102816786,20.34188216045104
Italy,Hydrorun-of-the-river,2040-2045,6771.076670505598,44559.06716842529,15.195732542856296
Italy,Hydrorun-of-the-river,2045-2050,2985.9553940031296,40742.355930722435,7.3288726824742145
Italy,Hydrorun-of-the-river,2050-2055,4658.675983292853,42176.639261375734,11.045631100245453
Italy,Hydrorun-of-the-river,2055-2060,8209.50165798352,46068.90287161188,17.820050286116746
Luxemb.,Hydrorun-of-the-river,2020-2025,0.00024249013187825145,109.71300779102523,0.0002210222258605216
Luxemb.,Hydrorun-of-the-river,2025-2030,0.0003106938846623139,104.25659555809152,0.0002980088530602326
Luxemb.,Hydrorun-of-the-river,2030-2035,12.39248422805569,122.3536496076578,10.128414042240449
Luxemb.,Hydrorun-of-the-river,2035-2040,0.04435676275674323,108.28433421095936,0.0409632317361138
Luxemb.,Hydrorun-of-the-river,2040-2045,12.789583034926718,118.00461340020485,10.838205953483948
Luxemb.,Hydrorun-of-the-river,2045-2050,13.584852256447167,121.80618876321499,11.152842391986688
Luxemb.,Hydrorun-of-the-river,2050-2055,11.027890243461062,117.20254987320567,9.409257951632851
Luxemb.,Hydrorun-of-the-river,2055-2060,14.199905316382127,122.2367068101238,11.616727648299236
Latvia,Hydrorun-of-the-river,2020-2025,0.00017121146594289632,3246.907175513359,5.273063154810595e-06
Latvia,Hydrorun-of-the-river,2025-2030,0.0002934252555501669,2911.0505501935995,1.0079703203046497e-05
Latvia,Hydrorun-of-the-river,2030-2035,183.9989577169367,3447.498953877183,5.337172256716852
Latvia,Hydrorun-of-the-river,2035-2040,0.0093005705128317,2589.8150457230827,0.00035912103175827207
Latvia,Hydrorun-of-the-river,2040-2045,0.014047167571678688,2538.02226154663,0.0005534690449530797
Latvia,Hydrorun-of-the-river,2045-2050,6.312142023659216,3269.8120510296367,0.1930429616488683
Latvia,Hydrorun-of-the-river,2050-2055,0.027934134044337724,1987.3013652979982,0.0014056315027061316
Latvia,Hydrorun-of-the-river,2055-2060,0.034986265123687736,2736.4617502889973,0.0012785219862836688
Netherlands,Hydrorun-of-the-river,2020-2025,0.0002748761619725009,92.81916955968157,0.0002961415872135755
Netherlands,Hydrorun-of-the-river,2025-2030,0.00021756276595671564,203.30021717483623,0.00010701551084405077
Netherlands,Hydrorun-of-the-river,2030-2035,8.281291660457697,211.58128979566956,3.9139999895336635
Netherlands,Hydrorun-of-the-river,2035-2040,46.95733644948848,250.25733581262352,18.763620373808777
Netherlands,Hydrorun-of-the-river,2040-2045,0.00757918014562272,184.72534590189665,0.004102945434270751
Netherlands,Hydrorun-of-the-river,2045-2050,34.25688964200374,237.55688861761902,14.420499376528284
Netherlands,Hydrorun-of-the-river,2050-2055,85.51589588018032,288.8158514716128,29.609142103679005
Netherlands,Hydrorun-of-the-river,2055-2060,84.41408105773127,287.7140806627177,29.33957241970665
Poland,Hydrorun-of-the-river,2020-2025,0.00039508331990191324,3089.814239107431,1.2786636649588448e-05
