Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Austria,Hydrorun-of-the-river,2020-2025,0.0014617307441281736
Austria,Hydrorun-of-the-river,2025-2030,6371.335987647432
Austria,Hydrorun-of-the-river,2030-2035,3199.632951332571
Austria,Hydrorun-of-the-river,2035-2040,6448.190375612378
Austria,Hydrorun-of-the-river,2040-2045,9286.192425435422
Austria,Hydrorun-of-the-river,2045-2050,10238.726204452281
Austria,Hydrorun-of-the-river,2050-2055,14262.819965563855
Austria,Hydrorun-of-the-river,2055-2060,6532.115361328034
Belgium,Hydrorun-of-the-river,2020-2025,149.18058520516792
Belgium,Hydrorun-of-the-river,2025-2030,288.9132877639873
Belgium,Hydrorun-of-the-river,2030-2035,95.86408316833891
Belgium,Hydrorun-of-the-river,2035-2040,308.0771860510266
Belgium,Hydrorun-of-the-river,2040-2045,624.7302440120444
Belgium,Hydrorun-of-the-river,2045-2050,265.5708219318626
Belgium,Hydrorun-of-the-river,2050-2055,1172.7859219013096
Belgium,Hydrorun-of-the-river,2055-2060,526.8646463444711
Bulgaria,Hydrorun-of-the-river,2020-2025,2780.464079448786
Bulgaria,Hydrorun-of-the-river,2025-2030,3482.683205118148
Bulgaria,Hydrorun-of-the-river,2030-2035,4746.813054871406
Bulgaria,Hydrorun-of-the-river,2035-2040,5741.1682854292485
Bulgaria,Hydrorun-of-the-river,2040-2045,3307.5287190833546
Bulgaria,Hydrorun-of-the-river,2045-2050,4177.429870374579
Bulgaria,Hydrorun-of-the-river,2050-2055,4125.433385164586
Bulgaria,Hydrorun-of-the-river,2055-2060,3812.9693127003084
Switzerland,Hydrorun-of-the-river,2020-2025,0.0013789200727297999
Switzerland,Hydrorun-of-the-river,2025-2030,0.0016833499557428022
Switzerland,Hydrorun-of-the-river,2030-2035,0.004092527776920441
Switzerland,Hydrorun-of-the-river,2035-2040,15.810631922532044
Switzerland,Hydrorun-of-the-river,2040-2045,401.47928283647366
Switzerland,Hydrorun-of-the-river,2045-2050,273.5551241118475
Switzerland,Hydrorun-of-the-river,2050-2055,158.54832160248216
Switzerland,Hydrorun-of-the-river,2055-2060,122.18649304417389
CzechR,Hydrorun-of-the-river,2020-2025,1.1011180768215638
CzechR,Hydrorun-of-the-river,2025-2030,124.45237291237233
CzechR,Hydrorun-of-the-river,2030-2035,154.3048600112858
CzechR,Hydrorun-of-the-river,2035-2040,416.2330688304561
CzechR,Hydrorun-of-the-river,2040-2045,414.16108431832214
CzechR,Hydrorun-of-the-river,2045-2050,189.03788932242605
CzechR,Hydrorun-of-the-river,2050-2055,376.3691853492378
CzechR,Hydrorun-of-the-river,2055-2060,189.32711848344124
Germany,Hydrorun-of-the-river,2020-2025,0.0024128607840217865
Germany,Hydrorun-of-the-river,2025-2030,1395.6075781506322
Germany,Hydrorun-of-the-river,2030-2035,0.0037004814195354964
Germany,Hydrorun-of-the-river,2035-2040,49.29500712622928
Germany,Hydrorun-of-the-river,2040-2045,776.4622431774256
Germany,Hydrorun-of-the-river,2045-2050,829.7709290767582
Germany,Hydrorun-of-the-river,2050-2055,1380.4617863132985
Germany,Hydrorun-of-the-river,2055-2060,1216.405991444348
Denmark,Hydrorun-of-the-river,2020-2025,0.0019111631171761093
Denmark,Hydrorun-of-the-river,2025-2030,0.003756093337236771
Denmark,Hydrorun-of-the-river,2030-2035,0.03868204830642201
Denmark,Hydrorun-of-the-river,2035-2040,0.0402590568408903
Denmark,Hydrorun-of-the-river,2040-2045,0.1516384487784229
Denmark,Hydrorun-of-the-river,2045-2050,0.10292992783944543
Denmark,Hydrorun-of-the-river,2050-2055,0.20722413356696026
Denmark,Hydrorun-of-the-river,2055-2060,0.3098058016965482
Estonia,Hydrorun-of-the-river,2020-2025,0.0031578231015264436
Estonia,Hydrorun-of-the-river,2025-2030,5.499122946527548
Estonia,Hydrorun-of-the-river,2030-2035,12.198187966328977
Estonia,Hydrorun-of-the-river,2035-2040,13.269983593573954
Estonia,Hydrorun-of-the-river,2040-2045,30.789914323571626
Estonia,Hydrorun-of-the-river,2045-2050,30.32860477203483
Estonia,Hydrorun-of-the-river,2050-2055,34.61408966232224
Estonia,Hydrorun-of-the-river,2055-2060,37.54663144724324
Spain,Hydrorun-of-the-river,2020-2025,0.002542691762134075
Spain,Hydrorun-of-the-river,2025-2030,2728.4982199601227
Spain,Hydrorun-of-the-river,2030-2035,7015.128983265002
Spain,Hydrorun-of-the-river,2035-2040,19476.902389325434
Spain,Hydrorun-of-the-river,2040-2045,6022.649467433443
Spain,Hydrorun-of-the-river,2045-2050,9721.065854898614
Spain,Hydrorun-of-the-river,2050-2055,12943.872305993118
Spain,Hydrorun-of-the-river,2055-2060,6480.790075858828
Finland,Hydrorun-of-the-river,2020-2025,725.1293034645832
Finland,Hydrorun-of-the-river,2025-2030,748.137516973897
Finland,Hydrorun-of-the-river,2030-2035,0.03080285541465889
Finland,Hydrorun-of-the-river,2035-2040,1400.5149498017458
Finland,Hydrorun-of-the-river,2040-2045,365.918646305829
Finland,Hydrorun-of-the-river,2045-2050,0.07519370588863632
Finland,Hydrorun-of-the-river,2050-2055,0.08120096349333958
Finland,Hydrorun-of-the-river,2055-2060,555.6801839154097
France,Hydrorun-of-the-river,2020-2025,0.002230248186512277
France,Hydrorun-of-the-river,2025-2030,15014.516448429147
