Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Austria,Hydrorun-of-the-river,2020-2025,0.0011615211599058392
Austria,Hydrorun-of-the-river,2025-2030,1279.6098155574011
Austria,Hydrorun-of-the-river,2030-2035,5541.896725864227
Austria,Hydrorun-of-the-river,2035-2040,15637.90178121233
Austria,Hydrorun-of-the-river,2040-2045,9647.65146207048
Austria,Hydrorun-of-the-river,2045-2050,3976.1774772047193
Austria,Hydrorun-of-the-river,2050-2055,13050.037399415693
Austria,Hydrorun-of-the-river,2055-2060,12551.653202792184
Belgium,Hydrorun-of-the-river,2020-2025,198.3703946997397
Belgium,Hydrorun-of-the-river,2025-2030,101.22092221324982
Belgium,Hydrorun-of-the-river,2030-2035,162.5034710053314
Belgium,Hydrorun-of-the-river,2035-2040,281.1868882684429
Belgium,Hydrorun-of-the-river,2040-2045,673.1230882603377
Belgium,Hydrorun-of-the-river,2045-2050,360.1729224182829
Belgium,Hydrorun-of-the-river,2050-2055,894.2521243236179
Belgium,Hydrorun-of-the-river,2055-2060,705.5243922765976
Bulgaria,Hydrorun-of-the-river,2020-2025,2401.1632319945584
Bulgaria,Hydrorun-of-the-river,2025-2030,2742.723377893386
Bulgaria,Hydrorun-of-the-river,2030-2035,4583.647200715257
Bulgaria,Hydrorun-of-the-river,2035-2040,4171.118875601063
Bulgaria,Hydrorun-of-the-river,2040-2045,4546.074973861855
Bulgaria,Hydrorun-of-the-river,2045-2050,4258.150060652453
Bulgaria,Hydrorun-of-the-river,2050-2055,3612.455800328083
Bulgaria,Hydrorun-of-the-river,2055-2060,4597.649177252794
Switzerland,Hydrorun-of-the-river,2020-2025,0.000805656915850408
Switzerland,Hydrorun-of-the-river,2025-2030,22.339235253024462
Switzerland,Hydrorun-of-the-river,2030-2035,1.871501685313001
Switzerland,Hydrorun-of-the-river,2035-2040,0.006721797048967932
Switzerland,Hydrorun-of-the-river,2040-2045,263.04037853870653
Switzerland,Hydrorun-of-the-river,2045-2050,177.11369636713752
Switzerland,Hydrorun-of-the-river,2050-2055,539.5796353081535
Switzerland,Hydrorun-of-the-river,2055-2060,505.05458041954415
CzechR,Hydrorun-of-the-river,2020-2025,0.0008803790879302534
CzechR,Hydrorun-of-the-river,2025-2030,8.344215813809678
CzechR,Hydrorun-of-the-river,2030-2035,315.66133363745024
CzechR,Hydrorun-of-the-river,2035-2040,389.687491199346
CzechR,Hydrorun-of-the-river,2040-2045,270.9230377339036
CzechR,Hydrorun-of-the-river,2045-2050,175.03357827622295
CzechR,Hydrorun-of-the-river,2050-2055,389.2939972667362
CzechR,Hydrorun-of-the-river,2055-2060,272.17446073333576
Germany,Hydrorun-of-the-river,2020-2025,0.0008681020987320594
Germany,Hydrorun-of-the-river,2025-2030,57.51420897932501
Germany,Hydrorun-of-the-river,2030-2035,1.9641625186210028
Germany,Hydrorun-of-the-river,2035-2040,0.00811388299384159
Germany,Hydrorun-of-the-river,2040-2045,513.5686551639184
Germany,Hydrorun-of-the-river,2045-2050,256.16629361449884
Germany,Hydrorun-of-the-river,2050-2055,1191.6920766501617
Germany,Hydrorun-of-the-river,2055-2060,1306.2152253374086
Denmark,Hydrorun-of-the-river,2020-2025,0.0007709200912173089
Denmark,Hydrorun-of-the-river,2025-2030,0.0005057257993658477
Denmark,Hydrorun-of-the-river,2030-2035,0.01189460849474435
Denmark,Hydrorun-of-the-river,2035-2040,0.026486865068585
Denmark,Hydrorun-of-the-river,2040-2045,0.03963409710429515
Denmark,Hydrorun-of-the-river,2045-2050,0.08509896244178881
Denmark,Hydrorun-of-the-river,2050-2055,0.10869940894249176
Denmark,Hydrorun-of-the-river,2055-2060,0.1737725551816381
Estonia,Hydrorun-of-the-river,2020-2025,0.0026192890562754924
