Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0003321402110482461,41241.81771682838,8.053481379719085e-07
Austria,Hydrorun-of-the-river,2025-2030,2096.127064525254,43156.77591378031,4.857005696424008
Austria,Hydrorun-of-the-river,2030-2035,6110.814162894439,47260.26204820101,12.930131781034104
Austria,Hydrorun-of-the-river,2035-2040,11026.123771007546,51997.72888525865,21.20501030985115
Austria,Hydrorun-of-the-river,2040-2045,10501.095120818372,51928.5569348094,20.222197073570413
Austria,Hydrorun-of-the-river,2045-2050,13212.722742176657,53781.06226205714,24.567612067228193
Austria,Hydrorun-of-the-river,2050-2055,6327.675423906735,48659.90725744308,13.003878923215261
Austria,Hydrorun-of-the-river,2055-2060,13028.704948509256,53813.89192294879,24.210672157226377
Belgium,Hydrorun-of-the-river,2020-2025,341.35724585435133,812.1572457588865,42.03093029544843
Belgium,Hydrorun-of-the-river,2025-2030,0.0003436705814892031,407.47977228166985,8.434052555905554e-05
Belgium,Hydrorun-of-the-river,2030-2035,160.99332555145335,631.7933254444464,25.481960487347617
Belgium,Hydrorun-of-the-river,2035-2040,385.8836293362664,856.6836292354902,45.04388973565788
Belgium,Hydrorun-of-the-river,2040-2045,499.30395854650425,970.1039584161498,51.46911876967268
Belgium,Hydrorun-of-the-river,2045-2050,792.1688661983836,1262.9688660544139,62.72275489047991
Belgium,Hydrorun-of-the-river,2050-2055,640.1416652780171,1110.9416647628163,57.62153725818592
Belgium,Hydrorun-of-the-river,2055-2060,373.7165918815348,844.516591610794,44.25213140794832
Bulgaria,Hydrorun-of-the-river,2020-2025,3169.2584822739127,7141.083567187156,44.38063849072517
Bulgaria,Hydrorun-of-the-river,2025-2030,2803.6731961505993,5606.336561782407,50.00900615319526
Bulgaria,Hydrorun-of-the-river,2030-2035,3682.635526544841,5868.109522476859,62.75676199360445
Bulgaria,Hydrorun-of-the-river,2035-2040,5113.890229281446,7280.6920678405995,70.23906768245163
Bulgaria,Hydrorun-of-the-river,2040-2045,4520.061555531881,6771.162821194243,66.75458373831673
Bulgaria,Hydrorun-of-the-river,2045-2050,4613.3756499878555,6465.117745329094,71.35795250319947
Bulgaria,Hydrorun-of-the-river,2050-2055,4681.9262904689895,7293.570789888972,64.19251180724142
Bulgaria,Hydrorun-of-the-river,2055-2060,4294.4205323616425,6028.265300198688,71.23808124735487
Switzerland,Hydrorun-of-the-river,2020-2025,0.00024185569545956965,1483.5478310124831,1.6302520916667e-05
Switzerland,Hydrorun-of-the-river,2025-2030,8.174113166458996,1299.9514796630774,0.6288014048476309
Switzerland,Hydrorun-of-the-river,2030-2035,14.445562133982973,19700.125589082887,0.0733272591012729
Switzerland,Hydrorun-of-the-river,2035-2040,5.717011478182076,16449.245246993134,0.03475546380601946
Switzerland,Hydrorun-of-the-river,2040-2045,159.66023744401758,16544.028596159227,0.9650626297943141
