Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgPowerPrice_Euro,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh,AvgH2MarginalCost_EuroPerKg
2020-2025,scenario1,37862840.643844925,0.0,3402797.843801367,0.01112697326784224,36.02640870044063,6679.122143347537,9293.74306320491,15560.296849395536,0.0
2020-2025,scenario2,37862840.649089985,0.0,3383199.1086000213,0.011191431374183056,35.8047633848975,6520.68437709115,12275.23910515271,18080.846844429736,0.0
2020-2025,scenario3,37862840.63151954,0.0,3419033.1571053243,0.011074136719859032,31.77738494003102,13978.67359104899,7494.459472677217,16791.56392546357,0.0
2025-2030,scenario1,37862840.62152634,0.0,4480231.872226039,0.008451089519775266,36.2937625683945,18583.698005856884,7312.313267446814,23100.124483291067,0.7285047870495311
2025-2030,scenario2,37862840.64681301,0.0,4422262.966104593,0.008561870005701737,43.08204181104829,7214.091841415272,10209.843730315088,22424.90272920465,0.8325458998656955
2025-2030,scenario3,37862840.6546533,0.0,4659773.119969574,0.008125468704131127,47.55016098820272,7849.7996447482155,9315.58560295285,22972.086153025124,0.8922770586397986
2030-2035,scenario1,36738756.58407136,0.0,6008570.475026147,0.00611439222303835,38.54288627516557,20777.42404094768,8295.46200626275,31561.19616524482,4.114345233171548
2030-2035,scenario2,36749110.74597302,0.0,5980905.70981242,0.006144405635034223,86.12068729438143,14507.020076169105,8891.120091699919,31178.127197914175,6.0607875165131055
2030-2035,scenario3,36738756.60265633,0.0,6018656.059939626,0.0061041462141690535,42.98088333942234,18315.945937331457,8109.559110987993,32639.415839358408,5.235898734889818
2035-2040,scenario1,36705327.2220708,0.0,7090228.57020886,0.005176889131093243,41.10837282913172,33125.32273155122,9179.180573176962,34726.581674105044,5.922364471570715
2035-2040,scenario2,36749227.65458931,0.0,7028780.349427493,0.005228393238606708,34.77162632227024,16264.88443114079,6381.618235092899,32519.071550781835,3.142588175390622
2035-2040,scenario3,36735810.137952,0.0,7170557.878838979,0.005123145333833267,220.02915935895157,18690.683451702833,9774.619954170188,32490.02732764452,5.809006468119463
2040-2045,scenario1,36623433.043791264,0.0,8767693.081876067,0.0041770888535657595,44.92690847234952,24297.696888913735,17865.77952681714,38429.2915735197,5.5185366578854484
2040-2045,scenario2,36695033.51538262,0.0,8665420.845070302,0.004234651054051922,109.31985024863266,20560.19983124822,16125.805054168211,37677.63398295802,3.7475946978743195
2040-2045,scenario3,36636469.339174785,0.0,8614560.430418197,0.00425285418044269,46.609145627602935,29258.244210281613,13140.861170273201,35028.3132376192,3.4384427931334183
2045-2050,scenario1,36498776.331299335,0.0,9436742.012629362,0.00386773065136823,500.99939180523086,36466.76498258999,25734.456985936195,47163.867478773354,3.5175350781233536
2045-2050,scenario2,35886243.21563372,0.0,9399246.438619494,0.003817991521977744,31.338353779244855,49115.356867495975,16263.94491385731,47461.540897731276,3.273854087015602
2045-2050,scenario3,36523555.79215127,0.0,9601178.637687178,0.003804070017901965,53.52248898290185,24529.400424129486,18986.783440244133,45440.4100402331,7.27798008356216
2050-2055,scenario1,32999999.99937533,87.71916190793547,10062713.341974534,0.0032794335760049204,39.98015121420364,38399.3920496563,17774.01530718557,45980.952287993365,4.82846728082158
2050-2055,scenario2,32999999.999572575,85.02479931323832,10099747.144958554,0.0032674085327030586,37.66453364164425,106070.39668569321,17912.136754139014,47866.849312313294,4.917344914316192
2050-2055,scenario3,32999999.99934073,87.19433346411961,9994517.49302414,0.003301810219690892,44.20910113894891,36656.39456992731,16476.081914576593,43556.82052350225,5.248919748115205
2055-2060,scenario1,21999999.99119925,95.31078725856554,10049906.490107514,0.0021890750936692026,109.90628032826241,49775.99991410191,16547.50874327204,43026.82613523675,5.936398881654579
2055-2060,scenario2,21999999.991769858,104.63064491951297,10115817.962391263,0.0021748117723709316,49.838518300492765,31650.14848852313,21208.374612099455,44972.938210115026,6.3582453250661946
2055-2060,scenario3,21999999.99308089,125.36472332331518,9991264.681616547,0.002201923449546952,52.61933390804587,29109.976272361117,18535.752948475496,46950.578179887285,6.9800561790047375
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,118669.8095628007
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,80880.24303040333
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,54050.94321488139
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,34738.48958390197
Liginiteexisting,2040-2045,0.0,12263.0,0.0,26297.57234816379
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,6473.418214992701
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,38530.10927200328,38530.10927200328,91915649429.35718,89648.17708883688
Lignite,2025-2030,126995.7872787647,165525.8965495361,237373393615.2307,385903.18745287944
Lignite,2030-2035,150607.6447947207,316133.5413426194,210479122858.70502,737257.920394511
Lignite,2035-2040,73762.56470315834,389896.10604638926,75828890260.05437,907523.9983034042
Lignite,2040-2045,155053.55209335286,544949.6581386586,114504711532.16463,1271023.5803418101
Lignite,2045-2050,65084.16863765453,610033.8267776241,33299140329.938217,1423363.7681433873
Lignite,2050-2055,78346.43439837443,688380.2611725983,26158833245.063137,1607248.0860102517
Lignite,2055-2060,6.085406124937284e-07,688380.2611707819,0.11843335943178182,1606224.4366374593
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,91457.33422493115
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,68528.88621351212
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,45971.50184387625
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,27583.079636431346
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,17228.71351842504
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,5186.146004445183
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,1081.7531403806677,1081.7531403806677,2229748776.9795346,1783.4967402358843
Coal,2025-2030,99917.06539179881,100998.81853072607,161369310934.8379,209017.35976842983
Coal,2030-2035,42012.76198907382,143011.58051951916,50731977625.080536,281511.3887048806
Coal,2035-2040,115077.72948977916,258089.31000996457,102218270029.48758,515230.2840574193
Coal,2040-2045,12028.786939081867,270118.0969471086,7675417711.566025,475792.26761936286
Coal,2045-2050,34513.09086342166,304631.18781166174,15257383592.198904,559071.8150595917
Coal,2050-2055,8.910870869930992e-05,304631.1879006696,25.707380978302993,560911.4626933462
Coal,2055-2060,1.8168610520511679e-06,304631.18791124376,0.30552358869409,608990.1770282652
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,24492.843358234208
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,65202.11211153506
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,15839.141768759602
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,6217.662086453786
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,3837.0099218845967
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.001281699392833075,0.001281699392833075,916.0958391285358,0.00019867402959629853
GasOCGT,2025-2030,0.0009609503612970119,0.002242630576180908,538.1572446008142,0.0009833416013677394
