Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1099999993.810432,-0.014967947058902125,1100000000.0,3437861.8559446973,0.31996631624636035,38.32530471475661,6861.654654208768,12737.737999039686,19795.57043256319
2020-2025,scenario2,1051838310.3578172,-2.3301608662963957e-09,1100000000.0,3407684.676161882,0.30866656111579316,39.475861693219144,16637.479574280733,9728.674555827556,17341.96094046301
2025-2030,scenario1,990000000.0648832,-7.763045151182635,990000000.0,4515064.756412021,0.2192659581812062,134.87613360634936,58712.93374592549,17842.563871598508,25458.406064374285
2025-2030,scenario2,990000000.0341742,-25.396295265350233,990000000.0,4596860.446631364,0.21536437999975713,47.65586330094372,43615.16653326676,11640.719638362763,24582.87200971516
2030-2035,scenario1,770000000.0635568,-15.518762591851358,770000000.0,5710528.354171482,0.13483866155765914,118.42077816732653,114252.7934126828,29594.21767666577,55309.87170191309
2030-2035,scenario2,762680378.4121994,-8.47376149608723e-09,770000000.0,5448286.374019813,0.1399853689866709,24.566043241821614,116044.0968380767,32406.912675008727,52072.9903136178
2035-2040,scenario1,330000000.0564221,-52.559483291015646,330000000.0,6609327.536789154,0.04992943657574193,235.4688519319608,153930.45345118805,33116.527814584966,60931.83443347915
2035-2040,scenario2,330000000.09559864,-47.91502975895815,330000000.0,6751855.436172513,0.048875454045956924,24.077615205419452,194254.78254821466,35210.77524783755,65954.5905368016
2040-2045,scenario1,66000000.05808701,-169.1564145040385,66000000.0,7397221.978720618,0.008922268420218532,31.512154973303353,154955.5700167011,51722.614300111585,78326.04102821271
2040-2045,scenario2,66000000.056708254,-100.57283548487388,66000000.0,7372022.524050693,0.008952767010869672,19.286553115762437,304438.85835804325,59481.79411423961,81304.55331829577
2045-2050,scenario1,55000000.04943056,-222.12198341524848,55000000.0,8169645.698438604,0.006732238101824028,26.98587556153353,554333.6492846776,66795.11379560795,82140.54939500845
2045-2050,scenario2,55000000.04725365,-85.51878609944737,55000000.0,7968406.846964477,0.00690225801763683,21.08241749024494,369172.8399470591,70805.45655334901,80092.74365758194
2050-2055,scenario1,33000000.034149468,-47.671311279986206,33000000.0,7966379.825688803,0.004142408566528023,12.09681307733999,589258.8329993195,89671.61467406103,84162.29995004208
2050-2055,scenario2,33000000.034067336,-250.21964510971634,33000000.0,8212903.268108206,0.004018067540404512,23.735040916288106,604544.810850687,81586.84680151557,85875.33686015617
2055-2060,scenario1,22000000.0343903,-61.97541093369542,22000000.0,8235692.042545968,0.002671299499876608,34.60552061415929,276019.17154651537,71588.41688797236,81906.33542920787
2055-2060,scenario2,22000000.03392851,-43.07409977891296,22000000.0,7909801.971843204,0.0027813591430281706,9.515256148585303,460754.80611797905,74631.09287764817,84009.24488397193
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,357632.63109950436
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,221840.2592121126
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,142224.20289780028
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,2649.248340583305
Liginiteexisting,2040-2045,0.0,12263.0,0.0,0.008157253280634776
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.008083459474869424
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,31722.040544780695,31722.040544780695,78529618107.33333,222029.6449895746
Lignite,2025-2030,5252.90280034992,36974.94333745337,9722792524.954117,254022.5042430256
Lignite,2030-2035,0.0044140918804264845,36974.94775543636,6009.934046746462,240679.3602424393
Lignite,2035-2040,0.00016369654785687812,36974.94791575636,160.1071782444899,25471.171622026293
Lignite,2040-2045,0.00012014395032306077,36974.94802955952,81.41214790748496,0.006657829959960641
Lignite,2045-2050,0.00014788902470969247,36974.948174081976,65.39803865303091,0.006718420177937421
Lignite,2050-2055,0.00018793824973262647,36974.9483586468,48.442807502378024,16.02007903564205
Lignite,2055-2060,0.0008442869370994291,36974.94919959752,95.60447389818616,351.6497729760904
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,355614.1440795004
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,238946.8092700304
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,144983.30321778203
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6198.311845358891
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,0.015071280094292398
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,0.01441189770103414
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.18908310475351658,0.18908310475351658,404871.5933193737,0.9382297587028671
Coal,2025-2030,0.04813680826816618,0.2372121652464235,77065.70521189258,1.1809430591161965
Coal,2030-2035,0.0060197099747376255,0.24322412744585348,7089.181856767734,1.0557827077769912
Coal,2035-2040,0.0009410545176667185,0.2441574341882862,796.1195319313515,0.1472505911244929
Coal,2040-2045,0.0013323932695567674,0.2454820796825378,780.9297145146701,0.01952072878182165
Coal,2045-2050,0.0017197906691656668,0.24719412257651355,657.8041051189606,0.019462212539170357
Coal,2050-2055,0.0012755925060293064,0.24846196730709838,284.392604308834,0.026730473358449844
Coal,2055-2060,0.012170714861875553,0.2606249343938551,1192.0554187142952,0.04217058166500762
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,177629.75381202984
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,126846.04397247748
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,50807.43775007079
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,12861.609720304763
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,3221.7343583144157
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.13809090991969475,0.13809090991969475,101462.42456750294,0.08495311531277369
GasOCGT,2025-2030,23296.64975038339,23296.787830179186,13411801585.423233,2631.2292387825605
GasOCGT,2030-2035,92606.25823033159,115903.04609476916,41772213679.93439,4112.409480988108
GasOCGT,2035-2040,78202.37884455232,194105.42488011776,25340201483.075783,9561.016342018938
GasOCGT,2040-2045,0.0011546768897285626,194105.4260097218,259.2188598837689,3459.2792239763503
GasOCGT,2045-2050,0.001431361206039432,194105.42744671137,209.699231102113,912.7304588461994
GasOCGT,2050-2055,0.0018173420058378098,194105.29115227167,155.19209954552892,1229.1619430870362
GasOCGT,2055-2060,40081.48497724241,210890.12640440217,1503663875.733364,5516.220881552589
GasCCGT,2020-2025,294.287418693937,294.287418693937,293733009.48208296,977.0776745046143
GasCCGT,2025-2030,121941.81190836396,122236.09927042814,95364603572.7098,444334.87506821303
GasCCGT,2030-2035,70844.36471708048,193080.46433209244,42040351874.84898,512047.5528562203
GasCCGT,2035-2040,32840.57351317073,225921.03746195565,13999570454.526571,733624.0857086628
GasCCGT,2040-2045,0.0016468251850287109,225921.03915482675,470.5209991337691,159913.88761886145
GasCCGT,2045-2050,0.0008232541568174199,225921.03987715236,153.49948260052253,131255.3155727163
GasCCGT,2050-2055,0.010560869587221706,225626.76300166696,1122.0025274092484,72824.01693910276
GasCCGT,2055-2060,18964.696932669252,122649.6481325128,885144309.416816,34435.88699708998
GasCCSadv,2020-2025,0.0,0.0,0.0,0.0
GasCCSadv,2025-2030,0.0,0.0,0.0,0.0
GasCCSadv,2030-2035,0.0,0.0,0.0,0.0
GasCCSadv,2035-2040,0.0,0.0,0.0,0.0
GasCCSadv,2040-2045,0.0,0.0,0.0,0.0
GasCCSadv,2045-2050,0.0,0.0,0.0,0.0
GasCCSadv,2050-2055,0.0,0.0,0.0,0.0
GasCCSadv,2055-2060,0.0,0.0,0.0,0.0
Oilexisting,2020-2025,0.0,16049.0,0.0,103.24688329142506
Oilexisting,2025-2030,0.0,8916.111111111117,0.0,79.26003907647193
Oilexisting,2030-2035,0.0,5349.666666666669,0.0,64.11835307158263
Oilexisting,2035-2040,0.0,3863.6481481481514,0.0,41.25714061073441
Oilexisting,2040-2045,0.0,2407.35,0.0,0.007915083610619133
Oilexisting,2045-2050,0.0,802.4500000000007,0.0,0.008211776012407548
Oilexisting,2050-2055,0.0,0.0,0.0,0.0
Oilexisting,2055-2060,0.0,0.0,0.0,0.0
Bioexisting,2020-2025,0.0,34841.0,0.0,893.0841881382675
Bioexisting,2025-2030,0.0,24886.428571428572,0.0,279.313539435712
Bioexisting,2030-2035,0.0,19909.14285714286,0.0,2608.887367272702
Bioexisting,2035-2040,0.0,14931.857142857141,0.0,22150.549973115747
Bioexisting,2040-2045,0.0,9954.57142857143,0.0,22428.36330337671
Bioexisting,2045-2050,0.0,4977.2857142857165,0.0,12144.807730132125
Bioexisting,2050-2055,0.0,0.0,0.0,0.0
Bioexisting,2055-2060,0.0,0.0,0.0,0.0
Bio10cofiring,2020-2025,9045.23703110212,9045.23703110212,20476174332.864735,61498.44707308404
Bio10cofiring,2025-2030,0.1156840205485152,9045.352707374892,195803.9841603665,58589.86978231686
Bio10cofiring,2030-2035,0.005035200461514075,9045.35773482758,6269.048061566349,47924.09670368446
Bio10cofiring,2035-2040,0.0010469583955905475,9045.358774038197,936.3909406695078,13466.625132320598
Bio10cofiring,2040-2045,0.0009600969244653138,9045.359726387343,594.920426776564,871.4901260030376
Bio10cofiring,2045-2050,0.0008628632213332981,9045.360581502797,348.92110048581577,0.030849435982704114
Bio10cofiring,2050-2055,0.0007605551916769988,9045.361334310208,179.26741612538646,0.038425824894273895
Bio10cofiring,2055-2060,0.004831825756091046,9045.36615838819,500.3292663992641,115.84155502018736
Nuclear,2020-2025,0.0129396412114813,117634.01293964122,101872.37343636253,725944.3054083535
Nuclear,2025-2030,0.012176280545608695,84024.31081892263,71675.06905691847,537072.3780636613
Nuclear,2030-2035,0.010622673739309212,67219.46428812819,45470.104787787655,380717.83319117175
Nuclear,2035-2040,117498.33836074914,167912.9454659786,361299019164.54065,930372.667740212
Nuclear,2040-2045,186.41836017550284,151294.50675528852,390700921.4376404,663917.1864666899
Nuclear,2045-2050,66985.19134766782,201474.8407885259,91616991751.19167,927332.8666822807
Nuclear,2050-2055,0.05043914431296477,184670.03437510517,39927.63438318102,761569.9721396571
Nuclear,2055-2060,0.004409033466745225,184670.0385775156,1533.286403048834,735645.0906154182
Wave,2020-2025,0.0012962992564738104,243.00129629925647,8194.985920241897,702.4645435313487
Wave,2025-2030,1.4883857419720254e-06,243.0012961017197,7.035220681643916,702.4651500368799
Wave,2030-2035,0.007173101648463857,243.00846752069276,13611.207788353531,702.4727872780145
Wave,2035-2040,3.6779753718646884e-05,243.00850261614752,50.13504869793132,702.4689088424043
Wave,2040-2045,2108.990972274259,2351.999471178915,1366008964.3980322,6797.941642775744
Wave,2045-2050,4.705689401932348e-05,2351.9995098792597,19.890401978957925,6797.603464175952
Wave,2050-2055,2.2013814814458653e-05,2351.999542711543,5.13255980765241,6796.917631271526
Wave,2055-2060,2.2099555499383264e-05,2351.9995593235662,2.2635821880180633,6797.00222133145
Geo,2020-2025,0.009572771899109026,937.009572771899,64634.41713520002,6566.547016974895
Geo,2025-2030,382.4394709547945,1319.449037744048,2023216413.1184373,9075.107937209392
Geo,2030-2035,67.01095096901662,1386.4599852798087,261178683.71822605,9408.931474450119
Geo,2035-2040,274.93948612379563,1661.3994668892567,769789547.4577464,11116.061544762211
Geo,2040-2045,8.500749789109693e-05,1661.3995501648706,140.81112358170117,10175.667889378019
Geo,2045-2050,6.967116094681053e-05,1661.3996172289164,75.31374630530712,9880.779947861458
Geo,2050-2055,0.009420482038121304,1661.3994646810147,5426.5229896678275,8479.868187065531
Geo,2055-2060,382.438651319497,1661.3986450457232,96779710.5077963,10095.101150530269
Hydroregulated,2020-2025,0.0008004067563270132,98787.00080040673,2653.2340641544597,255822.08960133765
Hydroregulated,2025-2030,31.11028207498629,98818.1110792816,77105978.2597965,261822.2709259239
Hydroregulated,2030-2035,1286.7051139825899,100104.81618981194,2345847701.6436763,267492.7900260238
Hydroregulated,2035-2040,2232.8924330645173,102337.70860745515,2924364704.752826,224370.9287559071
Hydroregulated,2040-2045,1713.321335386498,104051.0299884259,1554599692.6653097,224378.0752600549
Hydroregulated,2045-2050,1136.1787413409995,105187.20864451918,672771966.6017485,243591.5512564772
Hydroregulated,2050-2055,52.14654081753328,105239.35521422865,17998324.604666345,230640.55595005615
Hydroregulated,2055-2060,0.00033249404875203905,105239.35555607133,50.415545585373714,250177.51316943386
Hydrorun-of-the-river,2020-2025,9709.359511391707,76291.35951139171,25033569604.348476,292506.0051963525
Hydrorun-of-the-river,2025-2030,12372.462308566573,88663.82182126402,23851056582.36611,327370.7865961805
Hydrorun-of-the-river,2030-2035,8883.17331028621,97546.99510782755,12293981278.592113,325826.61723091
Hydrorun-of-the-river,2035-2040,19902.496380904908,117449.49167009845,19786770260.120125,373435.5913337581
Hydrorun-of-the-river,2040-2045,2160.167260057693,119609.65870675704,1458712019.5764136,378116.8019779114
Hydrorun-of-the-river,2045-2050,1732.6779447221086,121342.33644020282,763557069.4609556,355679.6922907574
Hydrorun-of-the-river,2050-2055,300.7557887381535,121643.09262712595,75652665.56921497,377744.693221526
Hydrorun-of-the-river,2055-2060,25.306919278809666,121668.39931042909,2796556.1184595725,352655.4800399259
Bio,2020-2025,0.024063715416243463,0.024063715416243463,71127.75648868344,0.029674866797800015
Bio,2025-2030,0.0039232621708591665,0.02797821923248882,8670.478035021655,0.04362295625612486
Bio,2030-2035,0.0363707544344067,0.06434021531215814,52259.0850951484,0.06509316030600391
Bio,2035-2040,0.2625844971835993,0.3269159541413161,271032.5930290948,0.6038838140790209
Bio,2040-2045,142634.6725673245,142634.99947446154,97265873405.92789,417037.43261443306
Bio,2045-2050,58972.47139431156,201607.4707394988,26243767588.3539,611069.0495228878
Bio,2050-2055,3646.9545131390128,205254.4255439371,940529824.2411326,432800.8880868001
Bio,2055-2060,0.0030596257702496963,205254.4284075802,346.64469205425485,456507.9073924077
Windonshore,2020-2025,60970.85313893436,251550.72813893433,95537118143.59828,545866.0838466138
Windonshore,2025-2030,357121.45980316174,608672.1877957869,438449235970.37964,1454169.5341591637
Windonshore,2030-2035,198666.6123492916,807338.7995938653,173948929023.278,1771798.8280165368
Windonshore,2035-2040,185468.18904233188,992806.9900006829,127238871609.49115,2302836.109107263
Windonshore,2040-2045,552101.6743740061,1544908.6635255483,230518553741.35333,3144440.717666462
Windonshore,2045-2050,324146.240897097,1712794.1148667475,88322079272.426,2934456.7937355307
Windonshore,2050-2055,350482.52874400065,1610865.2452295285,51881621665.24364,3105292.066665369
Windonshore,2055-2060,183720.2544990724,1595918.8874877286,11947532660.525167,3342922.455182086
Windoffshoregrounded,2020-2025,0.16181347055249645,23904.721813470547,525368.3594858489,101932.12398295422
Windoffshoregrounded,2025-2030,0.0021629688901539657,23904.723945789607,5502.410898991743,101181.46839743272
Windoffshoregrounded,2030-2035,164898.31721760638,188803.0406924795,242364363248.42944,786150.6434156571
Windoffshoregrounded,2035-2040,33099.95154722784,221902.99279953266,38118289264.502075,900535.8149165584
Windoffshoregrounded,2040-2045,19416.286477747657,241319.27913001622,14572153709.596378,728750.2781968525
Windoffshoregrounded,2045-2050,28121.82365685074,245536.37987157263,13773443322.204601,711133.8186077976
