Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1080377369.316589,-1.9110115370702444e-09,1100000000.0,3413252.4956949423,0.31652430363091344,43.74612457021752,13616.718058989256,9684.678871931743,17047.667016083855
2020-2025,scenario2,1059817693.8137299,-1.3641001239758157e-09,1100000000.0,3405278.2739638756,0.3112279257518267,42.690335901282644,15261.96775961926,10567.190695491206,18633.488190032665
2020-2025,scenario3,1083494257.1967406,-2.3267699525475014e-09,1100000000.0,3447977.215780496,0.31424055015146535,41.95162929928072,11509.548734186388,11676.614264786733,18966.171891755843
2025-2030,scenario1,990000000.1113775,-43.83989424230864,990000000.0,4652301.787811514,0.2127978891449059,59.47302783807062,27718.5276213997,10959.191256059983,20853.598165396088
2025-2030,scenario2,989999999.9763621,-0.2272179585079006,990000000.0,4483931.176719182,0.22078840217630807,95.35781950641845,61531.06833985034,15004.079735748843,22127.086965850256
2025-2030,scenario3,990000000.1194957,-16.0630396405727,990000000.0,4511734.2570970645,0.21942781726608754,100.15195522585061,40380.876699888264,12767.933605987762,22882.847272730975
2030-2035,scenario1,770000000.1186358,-11.575904669513143,770000000.0,5554642.477350542,0.1386227832409166,95.87658434303022,92705.08916945313,23503.866042355832,49952.64763799927
2030-2035,scenario2,770000000.1406261,-25.31617790028488,770000000.0,5537323.829529209,0.13905634271096248,101.31909191292895,54685.422118707625,20818.984355104894,47148.712269533185
2030-2035,scenario3,728280824.7963886,-5.645175456311532e-08,770000000.0,5624302.510577329,0.1294882029241552,22.351412757200464,134926.9484766069,28691.74644816334,59397.86890908463
2035-2040,scenario1,330000000.12229186,-39.48226698947438,330000000.0,6600455.185318147,0.04999655188271307,141.24781577438944,183596.2400702967,40941.15734376939,66981.35198805189
2035-2040,scenario2,330000000.1183944,-42.57767624661184,330000000.0,6801258.367627649,0.04852043287888146,132.30532420904507,127194.49169851876,34199.42656698385,65321.42273893471
2035-2040,scenario3,330000000.1185602,-46.486168205445715,330000000.0,6646172.716357346,0.049652636818537106,139.28679192228284,124081.8457865641,33282.18900636081,63770.62882598771
2040-2045,scenario1,66000000.11741886,-118.90858397380171,66000000.0,7301101.613185758,0.00903973175749632,37.51238952193958,384479.8959535801,55768.95418633706,84270.2586826191
2040-2045,scenario2,66000000.11697591,-50.538720553498834,66000000.0,7515671.653256375,0.008781650285158359,16.452376565192942,549988.740152838,54766.78291825922,89992.05535089679
2040-2045,scenario3,66000000.11732008,-201.68977887300147,66000000.0,7359308.27882064,0.008968234189518086,32.52817091359997,269807.308460618,56626.07376204609,87075.89787778666
2045-2050,scenario1,55000000.097691625,-59.5969265341741,55000000.0,7997118.003411887,0.006877477620591155,18.777660342722104,319609.01888571604,49879.74306470219,86681.7465649434
2045-2050,scenario2,55000000.09987896,-378.24173658872303,55000000.0,8117591.83474736,0.006775408424016573,28.441347518764932,251567.04434760995,57838.68176859514,92528.25413855154
2045-2050,scenario3,55000000.097599335,-94.82487760246255,55000000.0,8068569.065469462,0.006816574246477239,19.70816077026902,433940.6043382299,54163.966315021324,89267.35363099273
2050-2055,scenario1,33000000.072937988,-54.974607629202225,33000000.0,8091315.486251805,0.0040784468395788755,12.016171414902052,579845.233505787,92297.55605378388,94885.95793407974
2050-2055,scenario2,33000000.072238076,-212.25991444698866,33000000.0,8419704.374061767,0.0039193775227904315,24.646931588060937,430519.5967306978,84865.72908584404,91608.64556435036
2050-2055,scenario3,33000000.07303061,-67.62467800552696,33000000.0,7780266.374608784,0.004241500031506119,13.102723505462652,421032.5041916647,76924.0383965515,97388.7059359278
2055-2060,scenario1,22000000.07329707,-148.57053391986673,22000000.0,8370058.505123214,0.0026284165229946733,20.28222340642704,488264.3347767975,83155.25453598672,99066.07206148178
2055-2060,scenario2,22000000.07273486,-55.74464459644326,22000000.0,7874016.683246594,0.0027939996773872267,8.572198905461049,587307.7673651024,78646.56823419673,101428.63120377822
2055-2060,scenario3,22000000.073082156,-60.10637634957659,22000000.0,8045011.011726503,0.002734614041051686,10.41731465029439,498074.95054756524,81264.35146037172,94144.1477511693
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,357965.46534132794
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,218489.58884269887
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136899.2118757578
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,9089.100074531812
Liginiteexisting,2040-2045,0.0,12263.0,0.0,62.41040171110154
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.4347863307800313
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,27760.847237680304,27760.847237680304,68723471476.47987,194432.5800256587
Lignite,2025-2030,0.0002609376439515556,27760.84749172587,482.97916216758557,189708.7270312038
Lignite,2030-2035,0.0014445227432098267,27760.848929356653,1966.7661474137,175555.0835524075
Lignite,2035-2040,1.4434659214938202e-05,27760.848936899278,14.118150955080559,34587.84402122726
Lignite,2040-2045,2.5114686196880354e-05,27760.848955121877,17.018256495001943,178.61430891126852
Lignite,2045-2050,3.301845026868628e-05,27760.848981248375,14.60109638060947,73.27615896684804
Lignite,2050-2055,3.172226653126259e-05,27760.849006078635,8.176705194560506,0.004852288685587743
Lignite,2055-2060,0.00026942777821617204,27760.84926861439,30.509178875922956,0.006965002301823199
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,361753.53273407405
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,214949.05368583786
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,145428.13433997278
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,9979.08158531509
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,173.45903977381923
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,3.64961994464776
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.09516681803870364,0.09516681803870364,203774.63974371736,0.4780370199509792
Coal,2025-2030,0.0056956249828523115,0.10084659094939692,9118.538913601773,0.48009942053927157
Coal,2030-2035,0.0015651496646062668,0.10239588970784873,1843.2168225832272,0.4433856302875923
Coal,2035-2040,4.2616459528061856e-05,0.10242265419784116,36.052954894015045,0.08757810959990363
Coal,2040-2045,6.091241271445247e-05,0.10246771511774248,35.70140628265035,0.013834153362623376
Coal,2045-2050,3.5256028967349626e-05,0.1024871193682202,13.48510675321092,0.011351151012436271
Coal,2050-2055,2.9371984844587206e-05,0.1025006397122859,6.548466920060692,0.012535557496141632
Coal,2055-2060,0.0009397723655161392,0.10342456043250514,92.0455998003984,0.014024349632970884
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,198366.61831782493
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,138992.10185554554
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,61870.08573258746
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,9543.902278480802
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,2134.1460077545803
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.06067070043489427,0.06067070043489427,44577.85385801839,0.040786405793987984
GasOCGT,2025-2030,13386.15510356825,13386.215751527636,7706363755.76067,1415.144535942639
GasOCGT,2030-2035,71734.77996782896,85120.99567471934,32357646572.60007,4781.418569136026
