Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1066953042.1957843,-2.0150868011384898e-08,1100000000.0,3545117.419806165,0.3009640911285313,46.03251502421089,4521.31721672116,10417.123420400498,24379.46435946389
2020-2025,scenario2,862607879.7398826,-1.8272752160254654e-08,1100000000.0,3372174.9335399736,0.25580164040732434,35.39244867908487,12613.806841065834,12629.214041844929,27852.607284025602
2020-2025,scenario3,837222777.0842323,-2.7521363840541044e-08,1100000000.0,3379392.956529805,0.24774354088255005,28.025598011680316,18086.446654769792,12996.192584586734,28590.585809192442
2025-2030,scenario1,990000000.1005656,-4.672092823596816,990000000.0,4572752.095181137,0.2164998188167402,40.3150334551943,46174.536665189844,14687.309471000579,36337.807151061796
2025-2030,scenario2,990000000.0369295,-42.51780981418584,990000000.0,4636061.496833401,0.21354332782536728,201.25718168253462,11242.115927390712,7636.434273711552,34595.23780953733
2025-2030,scenario3,990000000.0664442,-4.6569042409133,990000000.0,4485957.568167254,0.22068866792044328,38.81091389603169,63675.78136918194,17049.16196103502,39463.14534845706
2030-2035,scenario1,738124326.9448619,-1.6485507046907015e-06,770000000.0,5524807.509990317,0.133601817911327,26.592743907482987,101184.17153285061,21589.668758218293,78718.8663845127
2030-2035,scenario2,770000000.070151,-8.593497152407052,770000000.0,5626046.374831435,0.13686342926621178,96.87620045219639,106955.90105077147,15440.646769889945,74300.82127061347
2030-2035,scenario3,770000000.1205051,-7.904918328383767,770000000.0,5613441.838892446,0.13717074518980624,101.75976362392133,76190.64953984538,20895.367329898192,70136.63395854869
2035-2040,scenario1,330000000.0982094,-50.47940255165481,330000000.0,6882821.2654360365,0.04794545541309137,27.463940745623596,171080.20987779842,35445.66656340952,91851.0704400243
2035-2040,scenario2,330000000.08085984,-63.29218538867359,330000000.0,6617691.490836248,0.04986633186781754,203.97449139136125,133029.6003442667,32082.28478509929,82738.37881192735
2035-2040,scenario3,330000000.0971478,-42.57768794006701,330000000.0,6600904.527461503,0.04999314847295091,28.38595400601705,193709.5561842384,29225.534727053142,87329.67615126049
2040-2045,scenario1,66000000.09601647,-86.12861141967375,66000000.0,7285191.192558964,0.009059473986547599,15.660772589254277,299149.6606616574,51384.9930432498,109828.37469787528
2040-2045,scenario2,66000000.09550269,-50.53872200898773,66000000.0,7522116.768871993,0.008774125970581107,15.620280366800726,439632.38264367025,48007.338458237726,107802.02722961832
2040-2045,scenario3,66000000.084476076,-353.39084202339126,66000000.0,7401789.288033859,0.00891676289558361,46.93685553012564,149581.28830210364,43515.72656198313,103375.60494632367
2045-2050,scenario1,55000000.07928043,-47.823984705463246,55000000.0,7849507.401057375,0.007006809124337139,34.82475227245568,303131.8900236606,68769.48348513058,110089.88690601825
2045-2050,scenario2,55000000.09071686,-325.8931832377604,55000000.0,8267274.233992563,0.006652736867560557,55.80767251909537,312260.1083470436,58362.93755569276,117372.55071395454
2045-2050,scenario3,55000000.07950488,-47.82396363131994,55000000.0,8177711.8341510175,0.006725597721579584,13.660424342455311,325320.91849816375,60926.64884834444,122834.22623903678
2050-2055,scenario1,33000000.059639778,-74.39488047317867,33000000.0,8250427.694690034,0.003999792650855803,19.591269656052205,470181.9796689302,65469.33441299273,125921.54077662916
2050-2055,scenario2,33000000.05284241,-115.48234515910252,33000000.0,8150213.314683636,0.004048973784942257,20.11056974412841,271040.0241534116,55355.652840996954,124724.44166934866
2050-2055,scenario3,33000000.059302617,-44.85450332387445,33000000.0,7907333.81497516,0.004173340955557447,7.08106518129216,732076.3732113208,63560.053393393966,119207.44849955697
2055-2060,scenario1,22000000.05837968,-44.985324369686026,22000000.0,8172197.690755117,0.0026920543152386105,20.975017359929275,470406.4611708306,61697.921807318715,111956.41094032663
2055-2060,scenario2,22000000.061191704,-177.0285792767145,22000000.0,8198910.341532144,0.002683283405326464,13.159585114783221,390368.5395933783,68624.9233766925,124411.31656128484
2055-2060,scenario3,22000000.059355978,-49.454952327656756,22000000.0,7931106.83026022,0.002773887747346717,20.485262441396223,504812.4449901565,70940.92404520935,106755.42965049177
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,357307.066705615
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,222045.38284512755
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,144251.8631227492
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,8224.800660575105
Liginiteexisting,2040-2045,0.0,12263.0,0.0,0.006410593291439054
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,30.627255111233588
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,14400.050486314965,14400.050486314965,35648100015.9428,100495.38306373879
Lignite,2025-2030,22691.412442632136,37091.462966016676,42000376810.240074,255553.57736622263
Lignite,2030-2035,0.0025874391111637756,37091.465443510286,3522.8851025379195,244103.22115677857
Lignite,2035-2040,4.441442731517712e-05,37091.46554472604,43.44055374512758,42546.314004935775
Lignite,2040-2045,6.724508858906874e-05,37091.465602514974,45.56673161936828,0.005999608983683227
Lignite,2045-2050,6.480863158049287e-05,37091.46567413325,28.659039667273785,394.3258265053038
Lignite,2050-2055,7.642759471256594e-05,37091.465732496355,19.699913626226326,25.39860280737296
Lignite,2055-2060,0.00018724001650359588,37091.46591735557,21.202487709547107,434.4580684494485
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,336190.15268963383
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,222002.02314450478
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,146585.01235161617
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,10111.32593262985
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,4.076662572027624
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,51.77778755021693
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.09841839200932576,0.09841839200932576,210737.027770541,0.48661779752947304
Coal,2025-2030,0.03269401964470263,0.13109944532577525,52342.226054178405,0.6237394818566973
Coal,2030-2035,0.002401871197243715,0.13348835019532007,2828.5917293100797,0.6066326419918621
Coal,2035-2040,0.00015151202770184917,0.13362689589544907,128.17714941896185,0.105913996532906
Coal,2040-2045,0.00018005245411721366,0.13379398202014223,105.53063866901671,0.015074888936166339
Coal,2045-2050,0.0001383541219574814,0.13391936981503946,52.91917890330845,0.02315578744269065
Coal,2050-2055,0.0004281628099287633,0.13433456629462845,95.4586491874565,0.019329639620848698
Coal,2055-2060,0.0025682676642342674,0.13688986763284045,251.54787082143835,0.01953664009191906
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,122286.86944877861
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,127123.8347444174
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,49589.00881791877
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,17587.599012998468
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1655.539170012394
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.06748760996668618,0.06748760996668618,49586.58450878198,0.04133149839885509
GasOCGT,2025-2030,34258.8810596971,34258.948528782836,19722720771.477524,797.213359547101
GasOCGT,2030-2035,59674.93939828794,93933.8879053598,26917774044.29347,3016.4193453186485
