Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Switzerland,Austria,2020-2025,0.05045588108665224,0.05045588108665224,357.33378000931776,0.14249498782189182
Switzerland,Austria,2025-2030,0.004682117518067886,0.055137923875517934,25.981133455182924,0.15470871782398884
Switzerland,Austria,2030-2035,0.015064827657461014,0.07020267681652408,62.50276578067526,0.196732651321238
Switzerland,Austria,2035-2040,0.019028185351046355,0.08923078745906854,58.07231304232085,0.24948991027586737
Switzerland,Austria,2040-2045,0.02596394341555033,0.11519465615324628,56.92268153519827,0.3329216939141948
Switzerland,Austria,2045-2050,0.027137881766036414,0.14233246321246093,41.21987454616706,0.37832099263887103
Switzerland,Austria,2050-2055,0.015334951667802228,0.15766734018189313,15.200385572644892,0.46224316997858333
Switzerland,Austria,2055-2060,0.0001491402222079508,0.1578164056770173,0.0861692527321492,0.4618929525197883
CzechR,Austria,2020-2025,0.1389791431000581,0.1389791431000581,360.6575753721995,0.4011422318591194
CzechR,Austria,2025-2030,0.014270768616989268,0.1532498369924809,29.016584995165836,0.44754083728022115
CzechR,Austria,2030-2035,0.04160779333936128,0.19485755558284082,63.25471473827302,0.5657070435895752
CzechR,Austria,2035-2040,0.05297985943177417,0.2478373403238332,59.2469097507742,0.718704559980612
CzechR,Austria,2040-2045,0.06665700666704052,0.31449427231454047,53.54804922216867,0.9099004377404616
CzechR,Austria,2045-2050,0.08352993445601453,0.39802413201993053,46.4896214916414,1.1176280370137015
CzechR,Austria,2050-2055,0.03616963094970601,0.43419368825909604,13.137097416823558,1.2955765139597246
CzechR,Austria,2055-2060,0.00040708670276434625,0.43460070025341124,0.08618419064698403,1.2981082290485484
Germany,Austria,2020-2025,0.0023178441224271373,0.0023178441224271373,0.0,0.0038771020472312245
Germany,Austria,2025-2030,0.03029550405426082,0.032613348176687956,0.0,0.0
Germany,Austria,2030-2035,61311.32559745854,61311.35821080672,0.0,231459.1919496765
Germany,Austria,2035-2040,10182.807339078121,71494.16554988484,0.0,259174.39499912737
Germany,Austria,2040-2045,134188.7428401604,205682.90839004525,0.0,795104.8002168577
Germany,Austria,2045-2050,36075.55063801943,241758.45902806468,0.0,843196.8376133661
Germany,Austria,2050-2055,60357.66771653568,302116.12674460036,0.0,1043643.6343419276
Germany,Austria,2055-2060,-2.9103830456733704e-11,302116.12674460036,-0.0,1034803.4660398765
Hungary,Austria,2020-2025,0.16376284502846347,0.16376284502846347,360.63401391583426,0.47183907832689514
Hungary,Austria,2025-2030,0.017093677989135105,0.18085644831768266,29.494452178510617,0.5290182517317704
Hungary,Austria,2030-2035,0.0489795382243913,0.22983591179452423,63.18860768486303,0.6679353687308904
Hungary,Austria,2035-2040,0.062249898590667686,0.29208573568597984,59.07441526224274,0.8470009907216647
Hungary,Austria,2040-2045,0.07844334487183759,0.3705290058573003,53.47611305124671,1.0718122374899535
Hungary,Austria,2045-2050,0.09856260238864217,0.46909153352138677,46.55131069230656,1.3174680207457867
Hungary,Austria,2050-2055,0.042469848119135976,0.5115613069663305,13.090068905945538,1.5256479426615412
Hungary,Austria,2055-2060,0.00048004698272440124,0.512041279185148,0.08624428323549899,1.5293252857365935
Italy,Austria,2020-2025,0.044838749331878716,0.044838749331878716,354.63911395054515,0.12456732627382933
Italy,Austria,2025-2030,0.0042415372167366894,0.0490802118146768,26.28511790172436,0.1358983745511498
Italy,Austria,2030-2035,0.01319313366676966,0.06227327077073853,61.12992937557688,0.17062643758602597
Italy,Austria,2035-2040,0.017339164158124004,0.07961236021670674,59.09772642582019,0.2207191173951769
Italy,Austria,2040-2045,0.022706889678515724,0.10231917519136685,55.595957009244216,0.29069427636394807
Italy,Austria,2045-2050,0.02464750917997519,0.12696660965856907,41.80946596871469,0.33468044975382616
Italy,Austria,2050-2055,0.013676170183742864,0.1406427051297014,15.139361280691746,0.4074012435758986
Italy,Austria,2055-2060,0.00013530228316605954,0.1407779326964914,0.08730387688238529,0.4112772484710238
Slovenia,Austria,2020-2025,0.1255566519796286,0.1255566519796286,360.87452897218566,0.36164979566244326
Slovenia,Austria,2025-2030,0.017510604846357816,0.1430671821015907,39.43402938824278,0.5363377678316287
Slovenia,Austria,2030-2035,0.037478920437419024,0.18054602782485185,63.10682998587031,0.5960993957499576
Slovenia,Austria,2035-2040,0.045316512252364674,0.22586246536619836,56.12837295521896,0.6116902162474479
Slovenia,Austria,2040-2045,0.7867494116683432,1.012611802313035,700.0117792876526,6.3210669175718
Slovenia,Austria,2045-2050,0.0004541959399138343,1.0130659235477837,0.27998076239293707,1.6585141663519807
Slovenia,Austria,2050-2055,0.00014079629438321613,1.0132066451336064,0.056639269318548756,3.1298196270663974
Slovenia,Austria,2055-2060,0.00016617554877057433,1.0133727459625579,0.03896537740016986,5.243498324159764
Slovakia,Austria,2020-2025,0.6337133717094348,0.6337133717094348,360.35227493933746,1.8258914303912916
Slovakia,Austria,2025-2030,0.06581719859688266,0.6995304956006752,29.324275769907988,2.044963912250611
Slovakia,Austria,2030-2035,949.064528695183,949.7640591160352,316157.0916238289,3078.1356046461415
Slovakia,Austria,2035-2040,0.0019299862036369372,949.7659890275373,0.4729313173692248,2.365709723905187
Slovakia,Austria,2040-2045,0.002208541523825704,949.7681974943424,0.3887696770957175,874.4499584021953
Slovakia,Austria,2045-2050,297.2813836544395,1247.0495810737516,36255.22054473697,6977.097380836605
Slovakia,Austria,2050-2055,0.00021724697050865666,1247.0497982246973,0.017290121288858554,6.276571995661815
Slovakia,Austria,2055-2060,0.00030509631152213776,1247.050103267901,0.01415359017278905,4537.974946920252
Croatia,BosniaH,2020-2025,0.12015097723013228,0.12015097723013228,362.72865576914614,0.3494566058002873
Croatia,BosniaH,2025-2030,0.032399369796038864,0.15255027230963605,76.63808186033475,0.2680680790388218
Croatia,BosniaH,2030-2035,0.18929901544832503,0.34184921304980775,334.79248658531344,0.7042928788187064
Croatia,BosniaH,2035-2040,0.1562158905091905,0.49806502884042336,203.23066588825372,0.47556610069285027
Croatia,BosniaH,2040-2045,0.0008932123193342807,0.49895816644840335,0.8347600974427237,1.470955273399901
Croatia,BosniaH,2045-2050,0.016290967491219832,0.5152490592086738,10.547994062366023,0.6749882660161314
Croatia,BosniaH,2050-2055,0.0686332831782693,0.5838822676824684,29.00008343209214,0.7128612485735167
Croatia,BosniaH,2055-2060,0.0005040472352926405,0.5843862402005177,0.12414266316319017,0.9338539230597125
Italy,BosniaH,2020-2025,0.203225524576686,0.203225524576686,357.1896631666817,0.5720932172198081
Italy,BosniaH,2025-2030,1.2635376770874507,1.4667631269502348,1740.0524133070503,0.28595999699863245
Italy,BosniaH,2030-2035,0.0002464505219374177,1.4670095027529313,0.2537599966961062,4.874198732305565
Italy,BosniaH,2035-2040,0.0002316726969455048,1.4672411007386856,0.175470840200699,1.2991836390518658
Italy,BosniaH,2040-2045,1500.3177036557774,1501.7849450388771,816312.1877064774,0.7272903494404034
Italy,BosniaH,2045-2050,0.00011767614223816416,1501.7850622833762,0.04435856538786913,1.3288954582068497
Italy,BosniaH,2050-2055,0.00015734836735660702,1501.7852192274838,0.03870729156114172,1.8374353506554177
Italy,BosniaH,2055-2060,0.0026807763846491443,1501.7879002587133,0.38439389353158315,1.5285722785400793
Serbia,BosniaH,2020-2025,0.18248505687104027,0.18248505687104027,364.1298848705414,0.5328229807578652
Serbia,BosniaH,2025-2030,1.3449560878253912,1.5274410699668044,2102.764450991921,12.7761170186179
Serbia,BosniaH,2030-2035,0.12390094019377916,1.6513419354626728,144.83596167750798,4.681943486353545
Serbia,BosniaH,2035-2040,0.0002729095815298994,1.651614770329909,0.23466983735449531,7.5687671750525904
Serbia,BosniaH,2040-2045,0.0004794780780055033,1.6520941737011678,0.2961762227663233,6.588689824152657
Serbia,BosniaH,2045-2050,0.0004914824888404867,1.6525855814605246,0.21033207485383199,5.204312554143169
Serbia,BosniaH,2050-2055,0.3256663615354065,1.9782518682787973,90.95191183067466,2.5091770269661793
Serbia,BosniaH,2055-2060,0.00026218633005715297,1.9785139798955187,0.04268097412985938,6.036391590770538
Germany,Belgium,2020-2025,0.0032745344465042216,0.0032745344465042216,0.0,0.0018430255517417654
Germany,Belgium,2025-2030,1028.4267194181632,1028.4299939526097,0.0,6569.145814449961
Germany,Belgium,2030-2035,351522.2872466233,352550.71724057593,0.0,1818456.1028112667
Germany,Belgium,2035-2040,46219.84875772969,398770.5659983056,0.0,1972060.4739711636
Germany,Belgium,2040-2045,674247.7484893373,1073018.3144876428,0.0,5282852.726485929
Germany,Belgium,2045-2050,264950.4539449739,1337968.7684326167,0.0,5882037.624465646
Germany,Belgium,2050-2055,269601.46477013757,1607570.2332027543,0.0,7643498.281623567
Germany,Belgium,2055-2060,0.0,1607570.2332027543,0.0,7739965.746596681
France,Belgium,2020-2025,0.0039170239753435615,0.0039170239753435615,0.0,7.58212679769301e-05
France,Belgium,2025-2030,1028.4271551632214,1028.4310721871968,0.0,0.0
France,Belgium,2030-2035,219285.95727525966,220314.38834744686,0.0,84.39871915671954
France,Belgium,2035-2040,63541.53237393079,283855.92072137765,0.0,330.13227338439316
France,Belgium,2040-2045,444644.7795684819,728500.7002898596,0.0,67.84835928413408
France,Belgium,2045-2050,0.0,728500.7002898596,0.0,31.776465392838727
France,Belgium,2050-2055,243897.51312377502,972398.2134136346,0.0,31.64766191969483
France,Belgium,2055-2060,22298.315475608455,994696.528889243,0.0,0.0
GreatBrit.,Belgium,2020-2025,0.0023068730616857477,0.0023068730616857477,0.0,0.0013132411922673506
GreatBrit.,Belgium,2025-2030,685.5371731163667,685.5394799894284,0.0,0.0
GreatBrit.,Belgium,2030-2035,133452.2858707972,134137.82535078665,0.0,84610.56691542605
GreatBrit.,Belgium,2035-2040,26639.290312144294,160777.11566293094,0.0,130070.54797976236
GreatBrit.,Belgium,2040-2045,237406.7905021946,398183.90616512555,0.0,381381.41047023697
GreatBrit.,Belgium,2045-2050,190553.3772113257,588737.2833764512,0.0,262677.6064091932
GreatBrit.,Belgium,2050-2055,109991.74587705242,698729.0292535037,0.0,48229.91704655273
GreatBrit.,Belgium,2055-2060,103985.48871805507,802714.5179715587,0.0,19586.670921819034
Luxemb.,Belgium,2020-2025,0.0004720297191067452,0.0004720297191067452,0.0,0.0020725086201670243
Luxemb.,Belgium,2025-2030,0.0010396845372095467,0.001511714256316292,0.0,0.007181636685678728
Luxemb.,Belgium,2030-2035,11698.199203081025,11698.20071479528,0.0,0.0
Luxemb.,Belgium,2035-2040,2866.5903093267516,14564.791024122032,0.0,0.0
Luxemb.,Belgium,2040-2045,24085.84010248525,38650.63112660728,0.0,0.0
Luxemb.,Belgium,2045-2050,14119.503525619322,52770.1346522266,0.0,0.0
Luxemb.,Belgium,2050-2055,24592.622776933677,77362.75742916028,0.0,0.0
Luxemb.,Belgium,2055-2060,0.0,77362.75742916028,0.0,0.0
Netherlands,Belgium,2020-2025,0.0025814360986336693,0.0025814360986336693,0.0,0.001384970248424371
Netherlands,Belgium,2025-2030,0.008996447906445923,0.011577884005079591,0.0,0.004900751076356977
Netherlands,Belgium,2030-2035,153656.46362058606,153656.47519847006,0.0,0.0
Netherlands,Belgium,2035-2040,12965.433058339404,166621.90825680946,0.0,0.0
Netherlands,Belgium,2040-2045,274636.49490076373,441258.4031575732,0.0,0.0
Netherlands,Belgium,2045-2050,40194.81632725528,481453.21948482847,0.0,0.0
Netherlands,Belgium,2050-2055,50205.85567860998,531659.0751634385,0.0,0.0
Netherlands,Belgium,2055-2060,261708.09884401417,793367.1740074526,0.0,0.0
NO2,Belgium,2020-2025,0.002369170369122986,0.002369170369122986,0.0,0.0068677695415590035
NO2,Belgium,2025-2030,0.009092212800390714,0.0114613831695137,0.0,0.026993566744513527
NO2,Belgium,2030-2035,105919.92239246985,105919.93385385301,0.0,0.004634900289672799
NO2,Belgium,2035-2040,45994.42566661841,151914.35952047142,0.0,0.04965519924426238
NO2,Belgium,2040-2045,262204.1305766871,414118.49009715853,0.0,0.04907305510094123
NO2,Belgium,2045-2050,71526.25625533395,485644.7463524925,0.0,0.03504815315504317
NO2,Belgium,2050-2055,87348.07288262527,572992.8192351178,0.0,373136.71449394204
NO2,Belgium,2055-2060,0.0,572992.8192351178,0.0,392424.09397084353
Greece,Bulgaria,2020-2025,0.06733945272341843,0.06733945272341843,365.51111947470343,0.1993001552187553
Greece,Bulgaria,2025-2030,1408.9744159536708,1409.0417554032667,5992218.249572699,0.0826589251233764
Greece,Bulgaria,2030-2035,8.703941127111397e-05,1409.0418422107186,0.27677046575591285,4114.424742177987
Greece,Bulgaria,2035-2040,0.0028437752377423204,1409.0446837855202,6.651747445376033,0.21783898026684226
Greece,Bulgaria,2040-2045,4.889888887542715e-05,1409.044735951452,0.08216415998366944,600.713414931672
Greece,Bulgaria,2045-2050,6.515947960428668e-05,1409.0447999089733,0.07585375048083665,39.87643972499877
Greece,Bulgaria,2050-2055,4.8680551103992846e-05,1409.0448478994385,0.0369825123485072,4086.0092880184307
Greece,Bulgaria,2055-2060,0.0006762926024934551,1409.0455247333555,0.29947523184840397,4114.450524186999
Macedonia,Bulgaria,2020-2025,0.20864836640176962,0.20864836640176962,373.19240743555196,0.645506619478865
Macedonia,Bulgaria,2025-2030,0.31182136989226866,0.5204696615746595,436.9957271000017,0.3038407597148395
Macedonia,Bulgaria,2030-2035,0.0008728837231070091,0.521342470575266,0.9146332694817448,1.5346628440065697
Macedonia,Bulgaria,2035-2040,0.045563345397886534,0.5669057412556591,35.11906030053052,0.7099246036700472
Macedonia,Bulgaria,2040-2045,0.18353931857752326,0.7504449851341806,101.62471565058274,1.3065144548739756
Macedonia,Bulgaria,2045-2050,0.0009658179875290404,0.751410728395,0.37049430851332693,1.5067133920449165
Macedonia,Bulgaria,2050-2055,0.12316981128002692,0.8745804649746155,30.834151398594454,2.7590473571114553
Macedonia,Bulgaria,2055-2060,0.12510649668221566,0.9996868869267659,18.25546650001452,3.2071172499830096
Romania,Bulgaria,2020-2025,0.12287937613052316,0.12287937613052316,374.7768195016004,0.3838519953121914
Romania,Bulgaria,2025-2030,302.9441849462059,303.0670642476498,723952.1275822732,0.21780581820783562
Romania,Bulgaria,2030-2035,775.6536631911152,1078.720727165002,1385907.8676463903,169.09173954864914
Romania,Bulgaria,2035-2040,4.8518541162689224e-05,1078.7207756849616,0.06376919431737343,8850.136826877804
Romania,Bulgaria,2040-2045,3.885037855428525e-05,1078.7208145894924,0.036681019363671526,48.43919252629812
Romania,Bulgaria,2045-2050,0.0003181515968873817,1078.7211330388266,0.20811159203967905,3492.8886067664093
Romania,Bulgaria,2050-2055,3.0457438500158723e-05,1078.7211630640536,0.013001606366322532,846.0784847573036
Romania,Bulgaria,2055-2060,4.9731850575699326e-05,1078.721212700176,0.012374384473782708,2626.297814137588
Serbia,Bulgaria,2020-2025,0.11068996519470933,0.11068996519470933,375.3650231076956,0.3473978856249454
Serbia,Bulgaria,2025-2030,1.5067371353635541,1.6174270258490262,4003.469719594359,0.12069910951168525
Serbia,Bulgaria,2030-2035,0.00021049072130790552,1.617637441853716,0.41816848214282004,5.168283429208959
Serbia,Bulgaria,2035-2040,0.00013483936590137955,1.6177722065085247,0.19704786109442352,1.2934769907241008
Serbia,Bulgaria,2040-2045,0.0011271399763760784,1.618899271772248,1.183248117671434,4.541498308492577
