Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Austria,2020-2025,5.72185266589012e-06,5.72185266589012e-06,0.00010403368483436582,0.00010403368483436582,0.018680294382871852,0.3396417160522155,0.0
Austria,2025-2030,5.251211704238282e-06,1.0972546046107438e-05,0.00010002308008072919,0.0002090008770687131,0.04942946727307348,0.9415136623442568,0.0
Austria,2030-2035,7.974734247662438e-05,9.071937020005454e-05,0.00151899699955475,0.0017279880038105627,0.5640118074450864,10.743082046573074,2.871675847569816
Austria,2035-2040,3.601358524089079e-07,9.107898773050928e-05,7.5818074191349034e-06,0.0019174523732738797,0.5039402429845522,10.609268273358994,2.170886643039715
Austria,2040-2045,1.6413704407580358e-05,0.00010177045083294413,0.00034555167173853387,0.0021425358070093505,0.5328498334414038,11.217891230345343,1.4505785669225801
Austria,2045-2050,1.0877186414357296e-07,9.662801093769199e-05,2.289933981969957e-06,0.0020342739144777263,0.4334008464601869,9.12422834653025,1.2601914677327888
Austria,2050-2055,7.127993573722709e-05,8.816060376587777e-05,0.0015006302260468863,0.0018560127108605848,0.5016827762575693,10.56174265805409,1.0508288226484492
Austria,2055-2060,1.5292890354021043e-07,8.79533972401664e-05,3.2195558640044304e-06,0.0018516504682140294,0.5523059687861384,11.627494079708176,1.0611616819784286
BosniaH,2020-2025,5.8813079744691295e-06,5.8813079744691295e-06,0.0001069328722630751,0.0001069328722630751,0.0195739037692318,0.3558891594405782,0.0
BosniaH,2025-2030,7.873558295894623e-06,1.375434794629481e-05,0.0001499725389694214,0.00026198757992942494,0.06961893754514324,1.3260750008598714,0.0
BosniaH,2030-2035,33.568964784291104,33.56897851889609,639.4088530341163,639.4091146456398,224230.11076326887,4271049.728824169,0.0
BosniaH,2035-2040,1.4090155787185544e-07,33.56897855100612,2.9663485867759044e-06,706.7153379159183,234062.46084184732,4927630.754565206,0.0
BosniaH,2040-2045,2.1426858176658394e-07,33.568972988792545,4.510917510875451e-06,706.7152208166852,233165.8754008037,4908755.271595867,0.0
BosniaH,2045-2050,2.206082634166732e-07,33.56896535810181,4.644384492982594e-06,706.7150601705646,279142.9882400425,5876694.489264053,0.0
BosniaH,2050-2055,177.75761274764866,177.75761332148338,3742.265531529446,3742.265543610177,1354268.762599235,28510921.31787863,0.0
BosniaH,2055-2060,0.02684930227479624,177.7844624828567,0.5652484689430788,3742.830789112773,1477084.5818667694,31096517.51298462,0.0
Belgium,2020-2025,5.61133538737532e-06,5.61133538737532e-06,0.00010202427977046038,0.00010202427977046038,0.01739207718189116,0.31621958512529386,0.0
Belgium,2025-2030,3.8131196899984957e-06,9.423936754043542e-06,7.263085123806658e-05,0.000179503557219877,0.03807482760659065,0.7252348115541076,0.0
Belgium,2030-2035,2.9670097672929212e-05,3.909351610294022e-05,0.000565144717579604,0.000744638401960766,0.21117862989291297,4.0224500931983425,2.8716758481208817
Belgium,2035-2040,5.757249460465057e-06,4.4850247240907807e-05,0.00012120525179926436,0.0009442157313875329,0.2364414294908214,4.977714305069924,2.170886643564219
Belgium,2040-2045,4.219617986657091e-05,8.143483258566013e-05,0.000888340628769914,0.0017144175281191608,0.38176380878306637,8.037132816485608,1.450578567024162
Belgium,2045-2050,1.5919602291045773e-07,7.77809087460224e-05,3.3514952191675314e-06,0.0016374928157057349,0.332023083355664,6.989959649592926,1.260191467835226
Belgium,2050-2055,5.7047383449248154e-05,0.00010515819540861008,0.0012009975462999613,0.002213856745444423,0.6301362402590908,13.2660261107177,1.0508288227372888
Belgium,2055-2060,1.506822495927583e-07,9.955162867983297e-05,3.1722578861633325e-06,0.0020958237616806943,0.6406121510454323,13.48657160095647,1.0611616820772123
Bulgaria,2020-2025,7.222738427191606e-06,7.222738427191606e-06,0.0001313225168580292,0.0001313225168580292,0.03215571950975864,0.5846494456319752,0.0
Bulgaria,2025-2030,89.98708307579662,89.98709029870321,1714.0396776342213,1714.0398152133944,788286.8597076202,15014987.803954672,0.0
Bulgaria,2030-2035,739.0538893688257,829.0409797123398,14077.216940358585,15791.256756425519,5853010.223122697,111485909.0118609,2.8476635671085626
Bulgaria,2035-2040,37.06366578974594,866.1046454602587,780.2877008367567,18233.782009689658,6258367.398709011,131755103.13071603,2.1585056336013984
Bulgaria,2040-2045,1570.7260539287915,2436.830692366963,33067.916924816665,51301.69878667291,16007984.670944337,337010203.59882814,1.4600697268070046
Bulgaria,2045-2050,2.441035934415571e-07,2346.843609553298,5.139023019822255e-06,49407.23388533259,18062727.117396563,380267939.31361187,1.2399319047213222
Bulgaria,2050-2055,1886.1195976869526,3493.909318558315,39707.781003935845,73555.98565385927,28399939.44088803,597893461.9134321,1.0435203803946222
Bulgaria,2055-2060,1.2615700623851802e-07,3456.84565158113,2.655936973442485e-06,72775.69792802379,28143206.215511046,592488551.9054958,1.068442043046572
Switzerland,2020-2025,5.655347174308398e-06,5.655347174308398e-06,0.00010282449407833452,0.00010282449407833452,0.018150663170061317,0.3300120576374785,0.0
Switzerland,2025-2030,4.323519886799883e-06,9.978348737871936e-06,8.23527597485692e-05,0.00019006378548327497,0.04218658135778041,0.8035539306243888,0.0
Switzerland,2030-2035,3.433829867885086e-05,4.4316129095512696e-05,0.0006540628319781116,0.0008441167446764323,0.24973320562006368,4.75682296419169,0.0
Switzerland,2035-2040,1.0413474741956288e-06,4.535695824719126e-05,2.1923104719907977e-05,0.0009548833315198162,0.2418187655575678,5.090921380159322,0.0
Switzerland,2040-2045,6.351486024993392e-05,0.00010321621208146331,0.001337154952630188,0.0021729728859255434,0.5142974027375274,10.827313741842683,0.0
Switzerland,2045-2050,9.28844932762542e-08,9.898557630360873e-05,1.955463016342194e-06,0.0020839068695496575,0.42667982483074685,8.982733154331513,0.0
Switzerland,2050-2055,3.1128910006855194e-05,9.577618715376487e-05,0.0006553454738285304,0.002016340782184524,0.5541339013352099,11.665976870214946,0.0
Switzerland,2055-2060,1.6149257274236782e-07,9.489633264275098e-05,3.399843636681428e-06,0.0019978175293210733,0.6028872406087245,12.692362960183672,0.0
CzechR,2020-2025,5.896698213669587e-06,5.896698213669587e-06,0.0001072126947939925,0.0001072126947939925,0.019791824891179127,0.3598513616578023,0.0
CzechR,2025-2030,7.348463437581783e-06,1.3244643327695644e-05,0.00013997073214441492,0.00025227892052753607,0.06876552111115991,1.3098194497363793,0.0
CzechR,2030-2035,12550.218694779975,12550.21870722021,239051.7846624757,239051.7848994326,103000509.69049358,1961914470.295116,2.8716758464561347
CzechR,2035-2040,1.4069178399482588e-07,12550.218707557011,2.9619322946279136e-06,264215.13068541075,101326919.48440507,2133198304.9348435,2.1708866423313378
CzechR,2040-2045,26988.881428319288,39539.10012696531,568186.9774383008,832402.107936112,337349967.86187017,7102104586.565688,1.4505785667045341
CzechR,2045-2050,2151.906198848569,41691.00631837246,45303.288396811986,877705.3961762624,362925571.9582654,7640538357.016114,1.2601914675309436
CzechR,2050-2055,27143.184937758313,56283.97256229807,571435.4723738593,1184925.7381536437,490077498.95356077,10317421030.601278,1.0508288225494242
CzechR,2055-2060,3.39734914059238e-07,56283.9725620618,7.152313980194485e-06,1184925.7381486695,491026654.8315374,10337403259.611315,1.061161681872107
