Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Switzerland,Austria,2020-2025,0.08283669012060617,0.08283669012060617,586.6580261163506,0.21973948328092355
Switzerland,Austria,2025-2030,0.0034082336933697736,0.08624486356621855,18.912334876727286,0.19652274443209555
Switzerland,Austria,2030-2035,0.02433022856996804,0.11057503188837325,100.94417355952028,0.25575913181514964
Switzerland,Austria,2035-2040,0.026621669139947384,0.13719664078061522,81.24694370391467,0.28707473131365663
Switzerland,Austria,2040-2045,0.04580667635801888,0.18300325689089508,100.42537871777047,0.4257380043268712
Switzerland,Austria,2045-2050,0.047780800807429046,0.2307839974505073,72.5745152837431,0.5272294241987671
Switzerland,Austria,2050-2055,0.021610810767496057,0.25239474797024786,21.421173233504216,0.6197105626396795
Switzerland,Austria,2055-2060,0.00022196097818152067,0.2526166487006939,0.12824314824293506,0.5895620565597627
CzechR,Austria,2020-2025,0.22715896727392648,0.22715896727392648,589.4884695186532,0.6111711413343721
CzechR,Austria,2025-2030,0.00818655540105256,0.2353454021793666,16.645626243948666,0.5359622792250213
CzechR,Austria,2030-2035,0.06554174972767436,0.30088703141151313,99.64058051954764,0.6931286823913694
CzechR,Austria,2035-2040,0.071008411139514,0.3718953220555245,79.40808019217826,0.7678163924230669
CzechR,Austria,2040-2045,0.12537791979972307,0.4972731213597635,100.72073974675477,1.1588918138292117
CzechR,Austria,2045-2050,0.12643889044187495,0.6237118913061284,70.37113337567851,1.3940582626263915
CzechR,Austria,2050-2055,0.057694181677784825,0.6814059524885023,20.954985306288748,1.6396554469630307
CzechR,Austria,2055-2060,0.0006177262866654532,0.682023558279587,0.13077862700037,1.5854930036009693
Germany,Austria,2020-2025,0.0037241115319246914,0.0037241115319246914,0.0,0.005716283865324587
Germany,Austria,2025-2030,0.025044491908098914,0.028768603440023605,0.0,0.0
Germany,Austria,2030-2035,110153.72242629858,110153.75119490203,0.0,315320.1612025127
Germany,Austria,2035-2040,26707.246544689435,136860.99773959146,0.0,354358.3819023661
Germany,Austria,2040-2045,156116.77554337465,292977.7732829661,0.0,1164570.4906472673
Germany,Austria,2045-2050,72644.38025765505,365622.15354062116,0.0,1248654.1289684703
Germany,Austria,2050-2055,155127.4929307924,520749.64647141355,0.0,1686493.8925820377
Germany,Austria,2055-2060,41677.565699555445,562427.212170969,0.0,1686494.6235354529
Hungary,Austria,2020-2025,0.2654637365012226,0.2654637365012226,584.5969079670765,0.6981373880231202
Hungary,Austria,2025-2030,0.012288560420885324,0.27775217642658157,21.20341554970869,0.6372146185515067
Hungary,Austria,2030-2035,0.0758244796268677,0.35357653555797947,97.82132436816325,0.8091772327538843
Hungary,Austria,2035-2040,0.08672445226773634,0.4403008673301945,82.30047634845239,0.9251503553703325
Hungary,Austria,2040-2045,0.146784527927919,0.5870852747626923,100.06541692570481,1.374198613899824
Hungary,Austria,2045-2050,0.15110912743870916,0.738194281705733,71.36913767866679,1.6772439102172976
Hungary,Austria,2050-2055,0.06692188176217134,0.80511604297252,20.62668180787892,1.9519338278947524
Hungary,Austria,2055-2060,0.0007220490703076394,0.8058379715471292,0.12972189550307403,1.8669724055234538
Italy,Austria,2020-2025,0.07305519522108679,0.07305519522108679,577.8089284098411,0.18636788849781585
Italy,Austria,2025-2030,0.004031897381177242,0.07708703235449027,24.985964431413013,0.17538888695966703
Italy,Austria,2030-2035,0.021529577600788222,0.09861654970750781,99.75655454299915,0.22564285319714428
Italy,Austria,2035-2040,0.023970164434821112,0.12258665389457671,81.69841448137306,0.25817898945938306
Italy,Austria,2040-2045,0.04076826687478433,0.16335486052161352,99.81775772031064,0.3765432920014722
Italy,Austria,2045-2050,0.04352116521469998,0.20687596548852888,73.82476917550498,0.4743259103290517
Italy,Austria,2050-2055,0.01909156221801468,0.22596746745880508,21.13413725831735,0.5603348376512955
Italy,Austria,2055-2060,0.0001964353841572873,0.22616384259519917,0.12675004584190064,0.5227716177772745
Slovenia,Austria,2020-2025,0.2027174197080571,0.2027174197080571,582.6497616667205,0.5295974951776852
Slovenia,Austria,2025-2030,0.010361181962059405,0.21307854142236374,23.33346892204962,0.5624806417424097
Slovenia,Austria,2030-2035,0.829070467376692,1.0421489485512732,1395.9849542200407,0.3580556833331336
Slovenia,Austria,2035-2040,0.0027515122681440974,1.0449004005716747,3.4079830750698066,0.3612885933173175
Slovenia,Austria,2040-2045,0.5314331993500739,1.5763335396739946,472.84369575912297,0.4934395391346513
Slovenia,Austria,2045-2050,0.002890204152104147,1.579223683578327,1.781613376224511,0.6087852639565655
Slovenia,Austria,2050-2055,0.37458131236948683,1.953804935700118,150.68586801898033,0.6629513919579214
Slovenia,Austria,2055-2060,0.0003550328317651002,1.9541599082840682,0.08324924082710661,0.7450332142523808
Slovakia,Austria,2020-2025,1.0143337743258711,1.0143337743258711,576.7867610875132,2.6003707200774033
