Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Switzerland,Austria,2020-2025,0.0838631047913581,0.0838631047913581,593.9272012106654,0.22794816691410258
Switzerland,Austria,2025-2030,0.0033279720019080967,0.08719103287217378,18.466961664893628,0.20748125511697765
Switzerland,Austria,2030-2035,0.022963322024354013,0.11015431097553921,95.27298756209716,0.25420265102539397
Switzerland,Austria,2035-2040,0.030747653617257127,0.14090192067173019,93.83907783303235,0.32115059182645433
Switzerland,Austria,2040-2045,0.045143687417344903,0.18604556416823298,98.97185882183892,0.4454009053570765
Switzerland,Austria,2045-2050,0.052889475825122385,0.23893499607231203,80.33410923959859,0.5714760926310091
Switzerland,Austria,2050-2055,0.015373709269541444,0.2543086614209212,15.238803071641259,0.6731507406600692
Switzerland,Austria,2055-2060,0.00020760473861764042,0.2545162222384419,0.11994849494988581,0.5925544958964717
CzechR,Austria,2020-2025,0.2298502562569227,0.2298502562569227,596.4724941541665,0.6387983173008537
CzechR,Austria,2025-2030,0.0077302071210218785,0.23758037553604303,15.717738685100302,0.5701764989391305
CzechR,Austria,2030-2035,0.0627131629016708,0.3002934505955027,95.34038965549546,0.6997081750929994
CzechR,Austria,2035-2040,0.08488624798865478,0.38517961074208246,94.92754279845113,0.8985874612361111
CzechR,Austria,2040-2045,0.12244808511246036,0.5076276080128008,98.3670947229086,1.2427916876153866
CzechR,Austria,2045-2050,0.1349352242387746,0.642562744409204,75.09987337597745,1.5099672083317566
CzechR,Austria,2050-2055,0.04811082200125599,0.6906734785685819,17.47423290861903,1.824950918467062
CzechR,Austria,2055-2060,0.0005776044397630679,0.6912509951661664,0.12228444411730498,1.6560227753652164
Germany,Austria,2020-2025,0.0035987554993515865,0.0035987554993515865,0.0,0.005855776162713709
Germany,Austria,2025-2030,0.030414360808728762,0.03401311630808035,0.0,2.5604256701878305e-05
Germany,Austria,2030-2035,78485.82346118146,78485.85747429777,0.0,315320.30108004104
Germany,Austria,2035-2040,37771.45855460936,116257.31602890712,0.0,354358.84336670797
Germany,Austria,2040-2045,305786.1154987688,422043.43152767594,0.0,1164568.7696563771
Germany,Austria,2045-2050,56522.448591963795,478565.88011963974,0.0,1248654.7449551788
Germany,Austria,2050-2055,0.0,478565.88011963974,0.0,1686494.2697338993
Germany,Austria,2055-2060,45940.72320363176,524506.6033232715,0.0,1686494.456805249
Hungary,Austria,2020-2025,0.2672423879727242,0.2672423879727242,588.5138051082653,0.7186580434541997
Hungary,Austria,2025-2030,0.010347066435099006,0.27758936656582683,17.85344595539215,0.6595653586344247
Hungary,Austria,2030-2035,0.0793529827891391,0.3569422615129845,102.373453892417,0.8502898458698527
Hungary,Austria,2035-2040,0.09921230111534261,0.4561544747862783,94.15129675551098,1.0789719265577484
Hungary,Austria,2040-2045,0.142539003380022,0.5986933903243659,97.17117330241064,1.462463753085331
Hungary,Austria,2045-2050,0.16473458267188906,0.7634278851540789,77.80446694668704,1.8347964921675863
Hungary,Austria,2050-2055,0.05211677623137615,0.8155445735436426,16.063447886856668,2.185511554385363
Hungary,Austria,2055-2060,0.0006729845000134449,0.8162174702012936,0.1209070526865118,1.9473305666233631
Italy,Austria,2020-2025,0.07363398407653383,0.07363398407653383,582.3866913920539,0.19165740654056004
Italy,Austria,2025-2030,0.003976292253059383,0.07761023240857626,24.64137536527182,0.18320052256363903
Italy,Austria,2030-2035,0.021143069480699182,0.09875325796836101,97.96568251206982,0.2295592486286943
Italy,Austria,2035-2040,0.02765572214220293,0.12640893618952131,94.26003966302136,0.29302881737267555
Italy,Austria,2040-2045,0.04111062665159815,0.16751951892006267,100.65599755425161,0.4086303251112615
Italy,Austria,2045-2050,0.046600637818997995,0.21412011281800966,79.04846557869328,0.5179759450189029
Italy,Austria,2050-2055,0.013414366283367575,0.22753443518036992,14.849547408882279,0.6050748800917394
Italy,Austria,2055-2060,0.00018629381100425935,0.22772068507030543,0.1202061898682436,0.533934424719315
Slovenia,Austria,2020-2025,0.20533340317647386,0.20533340317647386,590.1686130145335,0.5547017513337266
Slovenia,Austria,2025-2030,0.009995279793553023,0.21532863904901023,22.50945416112583,0.6186596400573567
Slovenia,Austria,2030-2035,0.7722680421730926,0.9875966373010763,1300.341297778705,0.35939401959188316
Slovenia,Austria,2035-2040,0.06183942836117866,1.0494360217412373,76.59341652473843,0.44133657298327716
Slovenia,Austria,2040-2045,0.39195581075223984,1.441391788572409,348.7434250570155,0.5975111070739768
Slovenia,Austria,2045-2050,0.5563090577236676,1.9977008023750988,342.92652227828677,1.1161598821966205
