Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Switzerland,Austria,2020-2025,0.08453073680425682,0.08453073680425682,598.655440331386,0.2248454154729162
Switzerland,Austria,2025-2030,0.003677085143077664,0.08820775117823712,20.40419520862313,0.20575427147394124
Switzerland,Austria,2030-2035,0.024622540392398057,0.11283022080151331,102.15695194555228,0.2579956985409074
Switzerland,Austria,2035-2040,0.026603919558987756,0.13943406959141075,81.19277357666179,0.2905936579142478
Switzerland,Austria,2040-2045,0.04983586477232723,0.1892698635946148,109.25886773298765,0.45500358695049525
Switzerland,Austria,2045-2050,0.0477929240096942,0.23706271683520766,72.59292928085516,0.5579573578745447
Switzerland,Austria,2050-2055,0.029150437742008897,0.2662130838081429,28.89463904997224,0.725032261074591
Switzerland,Austria,2055-2060,0.00021324521648699888,0.26642625825550564,0.1232074130060568,0.6380230349155332
CzechR,Austria,2020-2025,0.23202659876718956,0.23202659876718956,602.1202078716643,0.6291184097474996
CzechR,Austria,2025-2030,0.007273870573448842,0.23930032780243005,14.789874981719265,0.5492602219564936
CzechR,Austria,2030-2035,0.06754576066832035,0.3068459469325772,102.68720064066379,0.6967304737588136
CzechR,Austria,2035-2040,0.0811916673252979,0.3880374727196224,90.79592581274086,0.865029319654837
CzechR,Austria,2040-2045,0.12323366057316627,0.5112709917545628,98.99817666824308,1.2081946823740843
CzechR,Austria,2045-2050,0.12882205431614446,0.6400929045325364,71.69751280107701,1.477731837333664
CzechR,Austria,2050-2055,0.07985398488258866,0.7199467478769495,29.003601943929972,1.917613557043142
CzechR,Austria,2055-2060,0.0005945016579013173,0.7205411079966272,0.1258617485577145,1.7295282221605086
Germany,Austria,2020-2025,0.004737302856120784,0.004737302856120784,0.0,0.007561975103626833
Germany,Austria,2025-2030,0.03014961636142066,0.034886919217541446,0.0,1.5489025046611185e-05
Germany,Austria,2030-2035,94970.77467015256,94970.80955707179,0.0,315320.69194443536
Germany,Austria,2035-2040,61454.12626199877,156424.93581907055,0.0,354358.97666080977
Germany,Austria,2040-2045,114074.54847498937,270499.4842940599,0.0,1164571.0871051538
Germany,Austria,2045-2050,3195.4642720968113,273694.94856615673,0.0,1248658.13993244
Germany,Austria,2050-2055,303386.2048581207,577081.1534242774,0.0,1686494.0549742086
Germany,Austria,2055-2060,5.820766091346741e-11,577081.1534242774,0.0,1686495.2318317872
Hungary,Austria,2020-2025,0.269292509527743,0.269292509527743,593.0285261689141,0.700940388650998
Hungary,Austria,2025-2030,0.012680977714682637,0.28197334570422916,21.88051576847273,0.6544051544739079
Hungary,Austria,2030-2035,0.08193474195806547,0.36390794612413613,105.70418695312284,0.8396471666937126
Hungary,Austria,2035-2040,0.0865693238814177,0.4504771284672556,82.1532613501982,0.96221875071966
Hungary,Austria,2040-2045,0.1530893040817578,0.603566291010873,104.36348609800156,1.4312528187644482
Hungary,Austria,2045-2050,0.15108279094555127,0.7546489404182202,71.35669890122152,1.7488734664214873
Hungary,Austria,2050-2055,0.09873674294088436,0.8533855418208725,30.43266754849658,2.3106850387638236
Hungary,Austria,2055-2060,0.0006932703935377339,0.8540786706761692,0.12455157584727583,2.072923524473098
Italy,Austria,2020-2025,0.07433491613686095,0.07433491613686095,587.93051071168,0.1889339499781112
Italy,Austria,2025-2030,0.00431701426949553,0.07865185963725753,26.75285474553005,0.18181728894496346
Italy,Austria,2030-2035,0.022340095533573547,0.10099188440171482,103.51206140287448,0.23079728931887653
Italy,Austria,2035-2040,0.024264474955755407,0.1252562885883888,82.70152411755852,0.26432945756541226
Italy,Austria,2040-2045,0.043271574981432984,0.16852779280072083,105.94690230367519,0.3996127880616842
Italy,Austria,2045-2050,0.04271362668626392,0.21124134871785985,72.45494497231515,0.49222120451736767
Italy,Austria,2050-2055,0.02762127252068214,0.2388625504694537,30.57642732613369,0.6525766269624381
Italy,Austria,2055-2060,0.00019179725851763374,0.2390542769588683,0.12375729257614551,0.5806860891700738
Slovenia,Austria,2020-2025,0.20666672884931672,0.20666672884931672,594.0008534141243,0.53893261837451
Slovenia,Austria,2025-2030,0.011754040858338062,0.2184206989385453,26.470198871212542,0.6254040559242413
Slovenia,Austria,2030-2035,0.8520481560997671,1.070468784269171,1434.6746784381273,0.3521885017537028
Slovenia,Austria,2035-2040,0.06608986259923774,1.1365585760993302,81.85794255019317,0.37577601188560994
Slovenia,Austria,2040-2045,0.4480775876860876,1.5846360930163463,398.67788238942035,0.518664079708758
Slovenia,Austria,2045-2050,0.5552205288670797,2.1398565511142977,342.2555186158322,0.6606478492167346
Slovenia,Austria,2050-2055,0.05174058356049921,2.191597063905719,20.81410494374014,1.1644524709640596
Slovenia,Austria,2055-2060,0.00039564352800743264,2.191992636664591,0.09277176756027151,0.8279934925056521
Slovakia,Austria,2020-2025,1.0466035975512822,1.0466035975512822,595.1365462274407,2.7683121807075826
Slovakia,Austria,2025-2030,0.03516826018611124,1.081771716199162,15.668909981444378,2.447879609495622
Slovakia,Austria,2030-2035,9493.83916687468,9494.920938449282,3162634.8773883204,1.7658801000233
Slovakia,Austria,2035-2040,3890.776667499452,13385.697605807145,953411.0303392129,1.965835975024646
Slovakia,Austria,2040-2045,31841.70264196927,45227.40024763419,5605096.540296336,2.4741936797740127
Slovakia,Austria,2045-2050,2685.1139475032696,47912.514194996074,327465.50476110366,3.028390938924659
Slovakia,Austria,2050-2055,35905.93282476312,83818.44701961656,2857659.7964804494,4.667470639472464
Slovakia,Austria,2055-2060,0.002164162474686938,83818.44918363923,0.10039671925638904,3.9895288244012974
Croatia,BosniaH,2020-2025,0.19614938472611196,0.19614938472611196,592.163328937157,0.5059380109957463
Croatia,BosniaH,2025-2030,0.025398551088853222,0.22154786504585708,60.078212932382584,0.3306986758988499
Croatia,BosniaH,2030-2035,0.2240216474559649,0.44556944173273433,396.2026121641118,0.31078951498989055
Croatia,BosniaH,2035-2040,0.00021351025432470955,0.4457828812179341,0.27776835646453196,0.8088196055658949
Croatia,BosniaH,2040-2045,0.6056684008904817,1.0514512113393248,566.0331842737418,0.787014276853269
Croatia,BosniaH,2045-2050,0.00027787011344488347,1.0517290106836503,0.17991394975806554,0.7392072278505761
Croatia,BosniaH,2050-2055,0.00014536829754445278,1.0518743082121333,0.06142344591355786,1.4248082969765414
Croatia,BosniaH,2055-2060,0.00017943834261142355,1.0520536757856287,0.04419417896903662,1.5737432377996086
Italy,BosniaH,2020-2025,0.33372050542070897,0.33372050542070897,586.5479504670085,0.8410925135627328
Italy,BosniaH,2025-2030,1.7273126615101015,2.0610330253925646,2378.7296728061515,0.39815527840002896
Italy,BosniaH,2030-2035,0.009718442489304112,2.0707513263437005,10.00668172495634,1.2247460259048217
Italy,BosniaH,2035-2040,0.0004775483338671529,2.0712287331393835,0.36169910604452493,12.817255780169548
Italy,BosniaH,2040-2045,0.2848395478705777,2.356068139471821,154.97917134549957,4.912778835436909
Italy,BosniaH,2045-2050,0.0003100531800317682,2.3563780511135803,0.1168759784147264,2.371892106680042
Italy,BosniaH,2050-2055,0.00023504894143039706,2.3566129585169366,0.05782143189617325,7.701766397683165
Italy,BosniaH,2055-2060,0.0003066580450241042,2.356919475023619,0.04397139596745088,10.496109074828343
Serbia,BosniaH,2020-2025,0.29696487550111045,0.29696487550111045,592.5624145939286,0.7677543638948713
Serbia,BosniaH,2025-2030,1.8116255677361082,2.1085903016990333,2832.3763703712107,17.431590328456526
Serbia,BosniaH,2030-2035,0.28666548599920755,2.3952556461599555,335.1021491807053,11.310327888158815
Serbia,BosniaH,2035-2040,0.00013402939908558234,2.395389534020762,0.11524936980158194,0.8172466705638775
Serbia,BosniaH,2040-2045,0.8713598846756748,3.2667492771581617,538.2437511780848,9.199609571591237
Serbia,BosniaH,2045-2050,9.527091950428993e-05,3.266844406539235,0.04077160555576442,13.49776726287875
Serbia,BosniaH,2050-2055,0.00010345488462629751,3.2669477198854153,0.02889281994192279,5.7778144638111755
Serbia,BosniaH,2055-2060,0.0001675946713895878,3.267115173019085,0.027282520153976007,4.1279350062977676
Germany,Belgium,2020-2025,0.005589964420488147,0.005589964420488147,0.0,0.00228417409926967
Germany,Belgium,2025-2030,1028.6734040529227,1028.6789940173433,0.0,6509.377370422049
Germany,Belgium,2030-2035,787404.948368106,788433.6273621233,0.0,116127.80791193829
Germany,Belgium,2035-2040,518958.00301970553,1307391.6303818289,0.0,194274.83980872482
Germany,Belgium,2040-2045,1292926.8348536969,2600318.4652355257,0.0,511387.94780343404
Germany,Belgium,2045-2050,69931.77887701616,2670250.244112542,0.0,702266.7257227347
Germany,Belgium,2050-2055,683695.3590559214,3353945.6031684633,0.0,592584.5697661141
