BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,2046.6697720152529,61.40009316045766
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4050.9075152974287,121.52722545892264
Switzerland,Austria,2030-2035,999.9997169348039,2199.999716934804,239416003.52126938,6769.875046251205,203.09625138753714
Switzerland,Austria,2035-2040,0.00014159816283678444,2199.999858468947,24.35307824332847,10867.13750802675,326.0141252408019
Switzerland,Austria,2040-2045,999.9999639311147,3199.9998222992663,119154994.95868972,17273.592133229977,518.2077639969001
Switzerland,Austria,2045-2050,1.743369663010624e-07,3199.9998223285647,0.013556364137302076,16804.84646637102,504.1453939911306
Switzerland,Austria,2050-2055,2.2197413145725284e-07,3199.999822047059,0.010061007086148764,17908.68421714886,537.2605265144673
Switzerland,Austria,2055-2060,4.4517108695937003e-07,3199.999822985636,0.008864210459496343,19466.65507774178,583.9996523322536
CzechR,Austria,2020-2025,0.0,900.0,0.0,4759.460115104187,142.78380345312485
CzechR,Austria,2025-2030,0.0,900.0,0.0,2421.313015275792,72.63939045827378
CzechR,Austria,2030-2035,999.9997796004841,1899.999779600484,87917371.6319148,7693.167445688505,230.795023370656
CzechR,Austria,2035-2040,0.00010763280071238138,1899.9998871692646,6.7977060147100445,8267.284244757926,248.01852734273797
CzechR,Austria,2040-2045,2.0400986232457508e-05,1899.9999075062306,0.8926576327465293,11176.787848007683,335.30363544023163
CzechR,Austria,2045-2050,2.43224931954567e-07,1899.9999076854358,0.00694517708751571,10531.912287973919,315.95736863921746
CzechR,Austria,2050-2055,4.935287343141303e-07,1899.9999081149447,0.00821434661638284,11932.371418440702,357.9711425532223
CzechR,Austria,2055-2060,2.872677818409753e-07,1899.9999083381924,0.0021004943687249022,11935.077108751444,358.05231326254443
Germany,Austria,2020-2025,0.0,5000.0,0.0,16982.339434533886,509.470183036016
Germany,Austria,2025-2030,1999.9997551523902,6999.99975515239,891259.8455195007,20785.63009323671,623.5689027971033
Germany,Austria,2030-2035,500.0001746993281,7499.9999265062215,149745.38282128374,29034.34034185823,871.0302102557441
Germany,Austria,2035-2040,1.4891948557192489e-06,7499.999931205299,0.00032038911822738754,31322.61944326921,939.6785832980778
Germany,Austria,2040-2045,699.9999878605125,8199.999918698619,104337.46604498707,44153.93110481732,1324.617933144519
Germany,Austria,2045-2050,9.399917867852175e-07,8199.999919942542,9.143401377214772e-05,46511.89639732809,1395.3568919198412
Germany,Austria,2050-2055,1.046908562110377e-07,8199.99991962502,5.935780402753632e-06,44101.72047359677,1323.0516142079055
Germany,Austria,2055-2060,2.0333531484569724e-07,8199.999920054579,5.064725424287434e-06,42937.1391398224,1288.1141741946728
Hungary,Austria,2020-2025,0.0,800.0,0.0,3656.592858448192,109.69778575344593
Hungary,Austria,2025-2030,0.0,800.0,0.0,4157.477183201394,124.72431549604167
Hungary,Austria,2030-2035,1999.9998620617507,2799.9998620617507,149305048.9057984,12590.0047770687,377.7001433120613
Hungary,Austria,2035-2040,4.9984174661667895e-05,2799.9999119819045,2.680525847312775,15572.306403957822,467.1691921187349
Hungary,Austria,2040-2045,1.678656582231361e-07,2799.99991208575,0.00623685079427619,17885.710608244353,536.5713182473336
Hungary,Austria,2045-2050,8.14834653452773e-08,2799.9999121032133,0.0019756702509032657,17525.902637827458,525.7770791348245
Hungary,Austria,2050-2055,1.1834952791421141e-07,2799.999912157544,0.0016726183146645731,17334.820017770897,520.0446005331285
Hungary,Austria,2055-2060,1.8327750206600136e-07,2799.999912276801,0.001137924621358225,17849.162773889453,535.4748832166823
Italy,Austria,2020-2025,0.0,405.0,0.0,2327.3664715493414,69.82099414648046
