Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499998780381625,0.0,12404.157982887798
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7090008706137699,0.0,7216.049427062563
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6862061420498893,0.0,4692.4085063549965
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.03508399462778766,0.0,167.37980107777693
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,0.0013700529587092171,0.0,4.531828295547337
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,6.355609207355744e-07,0.0,0.0005255732900367588
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2368237763623686,0.0,25635.53910350577
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.4274267205751593,0.0,28472.490460707686
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5788731800065594,0.0,25908.107935483316
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.07070910263768422,0.0,2207.9050558079557
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.001215100029664665,0.0,26.30626434862409
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,9.17939613488408e-08,0.0,0.0004968225154097813
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7486661852818054,0.0,47547.78942724735
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7148369845392326,0.0,27938.028854207198
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6495812134811775,0.0,17057.315608963003
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.03435648363038126,0.0,629.4173871246679
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.0017438354177650743,0.0,22.15019747645198
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,1.761643295591268e-07,0.0,0.0005594098285150081
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7314772054978075,0.0,122426.28655699258
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7174038566226577,0.0,73889.75410546498
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6662880001878722,0.0,46107.437643068464
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.09964196027059233,0.0,4810.653290211425
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,0.0016552703788326828,0.0,55.4080439431761
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,8.360215775174747e-08,0.0,0.0006996186377901415
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7418558234751239,0.0,13003.81268429783
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.5656985686973326,0.0,6102.150426485555
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.602359125483286,0.0,4365.578532783415
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.12435952074969917,0.0,628.8081325778338
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.0013700056815639354,0.0,4.802900158154128
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.0021958686481294435,0.0,1.9245427262292742
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7497119947038752,0.0,6613.449413121175
