Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1094974067.393186,-2.0836377769613744e-09,1100000000.0,3475680.5959494617,0.31503874915004826,43.942005952224946,10218.176986994316,10797.44737191044,15850.115117659238
2020-2025,scenario2,1007363359.6230862,-3.715497260400155e-10,1100000000.0,3360321.0845966777,0.299781876273831,39.61018884972643,16523.372747561378,11169.06663922327,18117.96390062368
2020-2025,scenario3,1029063580.1218625,-6.503800036446922e-09,1100000000.0,3428143.783066011,0.3001809857582625,44.988728613137624,9489.098326276651,10257.880630557709,16535.160990978908
2025-2030,scenario1,990000000.016029,-30.92212991915079,990000000.0,4535000.162150957,0.21830208701611672,52.706539883072615,28032.1812671151,12061.404826973952,19439.386217368625
2025-2030,scenario2,969336818.303372,-8.066002278762667e-09,990000000.0,4506864.72076493,0.2150800785826112,39.3050844860329,98456.79699215706,16691.35682493306,20498.955032123245
2025-2030,scenario3,989999999.9704643,-38.692077143903276,990000000.0,4602505.981762602,0.21510020929758586,152.97166729718353,34847.61431501201,12191.445016024774,18890.96009890515
2030-2035,scenario1,657944233.7707542,-1.1333905808306555e-10,770000000.0,5572520.313208312,0.11806941864550428,84.26798302424403,111101.38062523514,32656.434232184503,59841.01322034603
2030-2035,scenario2,678006530.9341022,-8.680060382950136e-08,770000000.0,5534137.699728529,0.12251349130097167,86.76185712437851,136076.17762647005,34647.733314633224,52503.5840533578
2030-2035,scenario3,770000000.0181161,-36.44401352110616,770000000.0,5634157.676261989,0.13666639172386566,51.75491350565159,43102.60429478724,22425.745186549186,50815.70364051506
2035-2040,scenario1,330000000.01926863,-37.81783320211655,330000000.0,6586823.799653437,0.0501000193806067,136.24233002669743,152859.59485805754,36521.93037453344,67502.61588705647
2035-2040,scenario2,330000000.0185448,-36.65088973769076,330000000.0,6467223.804243713,0.05102653163201161,210.17707973590223,144778.82396677101,36783.687370091146,68391.84208264435
2035-2040,scenario3,330000000.0168743,-70.41237496760824,330000000.0,7007312.9550289605,0.04709365803050453,38.720920536378514,88208.50608443284,35613.237438925826,69751.84530869176
2040-2045,scenario1,66000000.019629516,-248.26170445275682,66000000.0,7474936.614131113,0.008829506312449008,44.62992555746891,296382.3328089275,52802.90102720943,88493.95166653968
2040-2045,scenario2,66000000.01869146,-50.53872120066522,66000000.0,7213541.052403568,0.00914945926546123,20.39107434333908,224268.66709807323,59120.2314262906,87180.42672333035
2040-2045,scenario3,66000000.0186769,-50.53872009184257,66000000.0,7500718.10925642,0.008799157501631063,14.148157146295327,489621.914413121,53577.00917178371,95317.53392237396
2045-2050,scenario1,55000000.0133104,-207.6134582566912,55000000.0,8138181.155666334,0.006758266861018767,28.170271660993293,298715.42485193134,55081.403336441086,104561.42510382913
2045-2050,scenario2,55000000.015786104,-47.82398249623544,55000000.0,7952748.015951628,0.0069158484470350865,15.071844476215443,429842.7813171548,51769.631721379425,102540.85931797652
2045-2050,scenario3,55000000.014883764,-117.51145553266939,55000000.0,8125858.651753854,0.006768515472885293,19.77424401461821,354347.61381446884,51130.901926499944,101140.08954718095
2050-2055,scenario1,33000000.010727942,-183.57265317189956,33000000.0,8203103.110646903,0.0040228678788524,15.362767210968554,721208.7690295491,66120.19355097399,104054.80979927412
2050-2055,scenario2,33000000.01157532,-44.854372057372956,33000000.0,7863789.473611965,0.004196450085841457,9.647520085884832,968636.1995909925,56995.70042443161,93193.80952108593
2050-2055,scenario3,33000000.01239815,-209.5073826223318,33000000.0,8175529.113020399,0.004036435997744057,26.89090396871911,456356.27703298733,63637.25277764061,102471.8928574741
2055-2060,scenario1,22000000.01415012,-106.12817129041863,22000000.0,8330438.5957443565,0.002640917373232768,13.680076442988565,437319.4641291472,92697.86421007261,101497.79615342886
2055-2060,scenario2,22000000.01145916,-35.1445738374015,22000000.0,8044796.586092635,0.0027346869216669178,34.81259036546388,581200.7254498922,87179.48598031962,98921.73415052643
2055-2060,scenario3,22000000.011492845,-46.88435689904543,22000000.0,7941334.2843527105,0.0027703153177723963,11.996013392186532,456890.3437019395,87079.86600792095,95008.02915149122
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,357084.23807387904
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,216748.17877070067
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,133258.93306079996
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,10512.76558946651
Liginiteexisting,2040-2045,0.0,12263.0,0.0,26.673361464301248
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,136.43271374673216
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,22159.26436573165,22159.26436573165,54856451589.52962,154453.29308308824
Lignite,2025-2030,7.210556779416179e-05,22159.26443673226,133.4628694942453,150466.1659523427
Lignite,2030-2035,0.0004559974106843337,22159.264891624778,620.8557635094136,136507.4942463826
Lignite,2035-2040,7.458348362520457e-06,22159.264897978086,7.2948094229111,54343.83148937901
Lignite,2040-2045,6.653126621321519e-06,22159.264903525873,4.508303008358495,152.49983523618732
Lignite,2045-2050,8.638876234361784e-06,22159.26491106029,3.8201994185565287,86.6929544224586
Lignite,2050-2055,9.028188104038114e-06,22159.264918983576,2.3270983015985545,19.873331692118892
Lignite,2055-2060,1.5902275568024272e-05,22159.26493378088,1.800725125862135,124.8226032443388
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,383803.51624242286
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,215992.79917673682
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,134642.65941422893
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,12340.250350900342
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,104.30157578667514
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,20.605623291844562
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.027293408423228187,0.027293408423228187,58441.63526156314,0.13946085179221168
Coal,2025-2030,0.00031948541938408475,0.02761035261217324,511.4873675413998,0.12761712624710816
Coal,2030-2035,0.0006068080161145054,0.028214619182887934,714.6145628584198,0.1160868992977009
Coal,2035-2040,3.1878467562798126e-05,0.028243956073921578,26.968757279686475,0.024185881372635967
Coal,2040-2045,2.3625271624106994e-05,0.02826503861304811,13.847020388835965,0.004898449476523471
Coal,2045-2050,2.9021100694300668e-05,0.02829151988979554,11.100304045040268,0.00377387497509641
Coal,2050-2055,4.4426387819990644e-05,0.028333404953584287,9.904837298409843,0.0027781508480681704
Coal,2055-2060,0.0007261912251011026,0.02905705477917018,71.12648694187335,0.005426856375310678
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,192841.9927145298
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,140335.3498582751
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,80665.01888202596
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,12051.063053962316
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1129.9480046565402
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01668705856394385,0.01668705856394385,12260.831878510016,0.010878144335691373
GasOCGT,2025-2030,4427.256893272403,4427.273576684823,2548756666.5547934,172.5747537150169
GasOCGT,2030-2035,84283.29507526066,88710.56863460233,38017947155.37603,6882.679365864606
