Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,924277604.1876531,-1.8540894778790619e-09,1100000000.0,3458382.439150888,0.26725719912415774,33.41005323609955,18829.543439875033,20816.228507311425,27519.059880538854
2020-2025,scenario2,999121982.2055401,-2.0155216889039852e-09,1100000000.0,3354996.9960597963,0.2978011555238389,39.027277840301444,14120.09554373163,19217.166408739642,23422.529254208643
2020-2025,scenario3,1037498691.059985,-3.3633679632947344e-08,1100000000.0,3496752.939030652,0.29670345865144293,38.441031814481555,11082.995252264607,15645.786878703117,24326.345102270465
2025-2030,scenario1,959055137.2151446,-6.9829304761345685e-09,990000000.0,4405321.8835669,0.2177037598075927,33.07149842706929,65966.97891444268,19202.652255600937,32388.203368391725
2025-2030,scenario2,990000000.0777469,-37.8692587737728,990000000.0,4598374.992926984,0.2152934464023674,53.67125849597379,21889.16885891074,10859.231074456431,29629.646576252784
2025-2030,scenario3,990000000.1662844,-26.763162873760734,990000000.0,4676812.23910391,0.21168264825530658,166.2675263044738,28632.206696165584,15261.356842001387,29581.527214906055
2030-2035,scenario1,770000000.1153535,-0.43785021156359744,770000000.0,5661871.646119643,0.13599743128107686,43.11695595424462,128096.98949311028,20087.80872796257,69356.36307064464
2030-2035,scenario2,762801342.185589,-4.370186120047101e-09,770000000.0,5631825.880683416,0.13544476664342436,121.76277370645231,165619.15132771598,22933.765859346044,65310.85846129846
2030-2035,scenario3,770000000.0940489,-28.09345808582193,770000000.0,5461765.4425343,0.14098005639304026,34.923198480851305,101602.62161573747,25961.853602754873,66861.90990715942
2035-2040,scenario1,330000000.1193079,-44.02607922991815,330000000.0,6609044.458965241,0.04993157515708011,89.13998474997945,127538.4656979076,33000.969368651524,86511.14440527155
2035-2040,scenario2,330000000.1204593,-44.0634759325978,330000000.0,6655563.123012411,0.04958258137157513,247.05325836560115,255704.20188028258,37225.04760737494,94809.58978211165
2035-2040,scenario3,330000000.12121964,-57.699413291747156,330000000.0,6848362.381114667,0.04818670241972312,33.00717088837073,144320.4136005154,32570.29961339302,86377.64763802283
2040-2045,scenario1,66000000.119041234,-54.351912173471824,66000000.0,7163042.576276974,0.009213961723140368,20.8259504578146,274919.8569697076,63653.88733773619,105050.16024532357
2040-2045,scenario2,66000000.11389934,-184.24700308200983,66000000.0,7493918.3324174825,0.008807141629552668,41.44862062168506,316814.1334728143,63709.80073519367,106977.48599996734
2040-2045,scenario3,66000000.12208153,-58.283349467751655,66000000.0,7599388.219440879,0.008684909655391669,12.011618788532738,366263.6186612732,56563.32860673236,110366.07785016963
2045-2050,scenario1,55000000.09927555,-51.100971798200135,55000000.0,8082192.101241524,0.006805084488257605,16.846249388140688,344573.0305324147,59644.394303186986,117920.32750861654
2045-2050,scenario2,55000000.09760588,-461.0772358406078,55000000.0,8327561.090622396,0.006604574796760185,60.57609180144199,302362.671116603,59234.60778889248,115986.47255520256
2045-2050,scenario3,55000000.09928906,-47.82395936093361,55000000.0,7880176.635175796,0.0069795389932994405,11.712702951775807,582041.2203481197,73428.80823991662,103590.06340298022
2050-2055,scenario1,33000000.07420423,-53.569194683970125,33000000.0,8066217.464536222,0.004091136920036161,13.623770746370253,231173.51927952873,77548.68435165205,120502.91570963773
2050-2055,scenario2,33000000.074203935,-50.57545148973398,33000000.0,8356375.605937436,0.003949080514135512,10.753744456550807,413960.49610310077,86075.57531209229,119089.64950782394
2050-2055,scenario3,33000000.071035523,-49.20369935628227,33000000.0,7935510.96072958,0.004158522398159896,14.675474840390558,326867.0028995009,87103.13197358123,110013.5458168621
2055-2060,scenario1,22000000.093018997,-176.61725196799986,22000000.0,8268100.75708997,0.0026608287367755144,16.761806936769368,281185.9611334559,114548.47359749829,123647.10328244639
2055-2060,scenario2,22000000.07394453,-53.16679703345349,22000000.0,8296267.265196567,0.0026517950025835516,26.83190379001348,354404.9339265987,89833.04740688526,118134.87996118536
2055-2060,scenario3,22000000.07374303,-37.351737037437495,22000000.0,7856374.252681489,0.002800273938863676,10.426765849698118,392379.5751669685,91473.59425474078,128391.60102406684
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,350942.18918737286
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,227894.23283723168
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,146814.38641780365
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,5861.701631848509
Liginiteexisting,2040-2045,0.0,12263.0,0.0,35.13259283359835
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,105.95486640092116
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,21000.996706151815,21000.996706151815,51989097658.15459,145781.090273483
Lignite,2025-2030,0.00021863079596042153,21000.99691778258,404.67184825429354,143042.10347266385
Lignite,2030-2035,0.0015318359021751458,21000.998442618424,2085.6459408153305,136320.20678985302
Lignite,2035-2040,2.9938419682487903e-05,21000.998465556782,29.28196101758325,16511.51212975488
Lignite,2040-2045,2.464600732857369e-05,21000.998483202697,16.700669520906253,66.28901243361989
Lignite,2045-2050,3.531830568363398e-05,21000.99851152099,15.61811596517079,28.550826918658718
Lignite,2050-2055,4.822794540759982e-05,21000.998552748886,12.431195335575119,0.007280418762141766
Lignite,2055-2060,6.197071726435664e-05,21000.998607719546,7.017374788172521,40.502076018930495
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,332272.6506863092
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,240851.9172920577
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,146223.93674329354
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,9885.10237684055
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,133.42074856101252
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,45.46374625850965
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.0642524488889531,0.0642524488889531,137579.67214657943,0.31543015426852583
Coal,2025-2030,0.009871858556136042,0.07410820728062537,15804.573978222063,0.34968452445411136
Coal,2030-2035,0.0016336613314909113,0.07572576852835256,1923.900389018238,0.34812954374670096
Coal,2035-2040,0.00014033979697476324,0.07585000821676845,118.7255916187666,0.060833640078058686
Coal,2040-2045,8.572318279974662e-05,0.07591963120674099,50.24325979866365,0.01527901309239811
Coal,2045-2050,0.00010955541043266006,0.0760130865719184,41.90393666979446,0.014417608302873978
Coal,2050-2055,0.0001684497905769626,0.07616543624367374,37.555782733820685,0.017891370549066442
Coal,2055-2060,0.0016443717901516986,0.07779370791503991,161.05728714021078,0.01437936115334191
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,138638.68748942378
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,163373.15136567556
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,58725.1404869715
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10487.956468861272
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,3144.1294012843505
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.04901642430136122,0.04901642430136122,36014.863574774026,0.029848243223184686
GasOCGT,2025-2030,9449.354669870567,9449.403663164601,5439961197.207947,751.3989794878936
GasOCGT,2030-2035,71842.06382696306,81291.46755933296,32406039460.93629,2342.224458630924
