BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,3885.277902008084,116.55833706024247
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4262.15052901338,127.86451587040129
Switzerland,Austria,2030-2035,4.763113793160301e-06,1200.0000047631138,1.1403659914733963,4649.8498607356805,139.49549582207067
Switzerland,Austria,2035-2040,999.9997228508555,2199.999727263961,171987199.59357563,13040.743766311867,391.22231298935753
Switzerland,Austria,2040-2045,999.9998548319945,3199.9995808210056,119154981.95898415,19872.59908721608,596.1779726164841
Switzerland,Austria,2045-2050,8.866706788917421e-07,3199.999581259208,0.0689471134433297,18804.26950837292,564.1280852511862
Switzerland,Austria,2050-2055,7.965973133779227e-07,3199.9995869532577,0.036105879374713414,17150.607422100627,514.5182226630219
Switzerland,Austria,2055-2060,3.146645647316538e-06,3199.999585524923,0.06265575208350761,18186.86629081552,545.6059887244656
CzechR,Austria,2020-2025,0.0,900.0,0.0,4486.635627592155,134.59906882776465
CzechR,Austria,2025-2030,0.0,900.0,0.0,3607.2642678354737,108.21792803506442
CzechR,Austria,2030-2035,999.9995367201504,1899.9995367201504,87917350.27850953,7061.448998503695,211.84346995511083
CzechR,Austria,2035-2040,0.0002947544529944244,1899.9998311246013,18.615646017954823,10127.147232274112,303.8144169682237
CzechR,Austria,2040-2045,1.5818469059996336e-05,1899.9998465930676,0.6921467905460955,10452.469909277163,313.5740972783155
CzechR,Austria,2045-2050,7.407156547513923e-07,1899.9998469837808,0.021150797956455025,11077.334049640616,332.3200214892182
CzechR,Austria,2050-2055,3.0652528515472018e-06,1899.999849699031,0.05101840610042004,12407.152622233281,372.2145786669979
CzechR,Austria,2055-2060,2.1204652141268505e-06,1899.999851469493,0.015504785161797706,10749.958857184827,322.4987657155451
Germany,Austria,2020-2025,0.0,5000.0,0.0,23121.509795061433,693.6452938518432
Germany,Austria,2025-2030,1999.999776076079,6999.999776076079,891259.8548437236,32178.825217975726,965.3647565392715
Germany,Austria,2030-2035,500.0000839824495,7499.999863989306,149745.35565242576,23935.561597291864,718.0668479187578
Germany,Austria,2035-2040,1.960705711034177e-05,7499.999878966057,0.004218311468436017,33867.03955469668,1016.011186640902
Germany,Austria,2040-2045,699.9999826162277,8199.999864798338,104337.46526330794,42549.49209878623,1276.4847629635863
Germany,Austria,2045-2050,3.789929451531914e-06,8199.999864165575,0.00036865052071568464,45085.72046908587,1352.5716140725815
Germany,Austria,2050-2055,2.048852824306551e-07,8199.999863981666,1.1616621434569038e-05,43143.21165978886,1294.296349793673
Germany,Austria,2055-2060,3.650074774956837e-07,8199.999864542804,9.091694931253267e-06,44982.618999471575,1349.4785699841482
Hungary,Austria,2020-2025,0.0,800.0,0.0,2261.521289732872,67.84563869198627
Hungary,Austria,2025-2030,0.0,800.0,0.0,4416.534308363081,132.4960292508926
Hungary,Austria,2030-2035,1999.9997367034666,2799.9997367034666,149305039.54748538,13043.439893516319,391.30319680549024
Hungary,Austria,2035-2040,8.743400508986865e-05,2799.999823787469,4.6888662694515535,14689.624189645265,440.68872568935916
Hungary,Austria,2040-2045,1.468845011552909e-06,2799.9998249063115,0.054573206181309154,17878.224308660458,536.3467292598149
Hungary,Austria,2045-2050,3.431965455466946e-07,2799.9998248995053,0.008321236736511365,17610.82815546599,528.3248446639805
Hungary,Austria,2050-2055,4.5808080924433e-07,2799.9998250075823,0.006473995837937183,16450.734957464894,493.52204872394634
Hungary,Austria,2055-2060,9.849740518267703e-07,2799.9998256425547,0.0061154599573766885,17212.479795827778,516.374393874833
Italy,Austria,2020-2025,0.0,405.0,0.0,2535.177644466791,76.05532933400391
Italy,Austria,2025-2030,1.642222468944965e-05,405.0000164222247,6.532665950071379,2115.0016427477353,63.45004928243205
Italy,Austria,2030-2035,889.9991837588248,1294.9991998318842,237934246.607499,6493.830960517626,194.81492881552958
Italy,Austria,2035-2040,0.0006216038002242885,1294.9998210855636,119.3779052412295,7902.87362185163,237.08620865554877
Italy,Austria,2040-2045,1000.0000027021797,2294.999822996785,133053504.22692855,15526.05007010698,465.78150210321013
Italy,Austria,2045-2050,2.993975269741208e-07,2294.999822964806,0.025996566833287615,14561.24058450006,436.8372175350023
Italy,Austria,2050-2055,3.2700198267119213e-07,2294.9998233601036,0.016550210542033407,13706.502769375285,411.1950830812587
Italy,Austria,2055-2060,7.903560360202492e-07,2294.9998238052603,0.017573162735174726,14429.872464673794,432.896173940214
Slovenia,Austria,2020-2025,0.0,950.0,0.0,2604.5557422929814,78.13667226878931
Slovenia,Austria,2025-2030,0.0,950.0,0.0,3610.474627501137,108.31423882503395
Slovenia,Austria,2030-2035,853.2787069379233,1803.2787069379233,83060217.77820878,4833.303406618845,144.99910219856554
