Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00042856772563904877,40897.51710474794,1.0479064646917033e-06
Austria,Hydrorun-of-the-river,2025-2030,163.00053215409315,41455.330069298776,0.3931955960346074
Austria,Hydrorun-of-the-river,2030-2035,12854.903106710757,53481.9445771293,24.035968041835094
Austria,Hydrorun-of-the-river,2035-2040,13761.658786854401,55475.59041080214,24.806691889077666
Austria,Hydrorun-of-the-river,2040-2045,15009.119165758173,55557.17230194254,27.01562830481454
Austria,Hydrorun-of-the-river,2045-2050,15348.36512015338,55497.30290464216,27.656055910546858
Austria,Hydrorun-of-the-river,2050-2055,14231.684032618776,54669.25223131716,26.03233710313343
Austria,Hydrorun-of-the-river,2055-2060,11240.86578835618,53212.27810809351,21.124571598911604
Belgium,Hydrorun-of-the-river,2020-2025,410.68236484371334,881.4823647511171,46.5899694952681
Belgium,Hydrorun-of-the-river,2025-2030,45.787319912379516,516.5873198931914,8.863423113414092
Belgium,Hydrorun-of-the-river,2030-2035,258.1169741065621,728.9169740292974,35.411025302339525
Belgium,Hydrorun-of-the-river,2035-2040,234.10520016727574,704.9052001029135,33.210877169454456
Belgium,Hydrorun-of-the-river,2040-2045,557.883857982191,1028.6838579554342,54.232780427897055
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841308612964,1879.9841307762258,74.95723542514473
Belgium,Hydrorun-of-the-river,2050-2055,818.1151608100068,1288.915160745715,63.47315833702181
Belgium,Hydrorun-of-the-river,2055-2060,515.7963176894684,986.5963164251211,52.28038145919992
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.5004409116395,6836.323336996808,41.90118430194105
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.328825727915,5523.441236174871,52.219779344034244
Bulgaria,Hydrorun-of-the-river,2030-2035,4624.8730971190935,7434.066967398047,62.2118837158904
Bulgaria,Hydrorun-of-the-river,2035-2040,4113.5014647308135,5931.506879705053,69.35002433876228
Bulgaria,Hydrorun-of-the-river,2040-2045,4200.066120726187,6112.502434696144,68.71271080213444
Bulgaria,Hydrorun-of-the-river,2045-2050,5443.309435770521,7066.370593240877,77.03119110363606
Bulgaria,Hydrorun-of-the-river,2050-2055,4822.414138127609,6488.368388368894,74.32398793466028
Bulgaria,Hydrorun-of-the-river,2055-2060,4268.860537586818,5667.7636264277335,75.31825282342247
Switzerland,Hydrorun-of-the-river,2020-2025,0.00027690777962766387,1347.124907146035,2.0555464319512108e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0001995796392734057,19731.604352973376,1.011471929515609e-06
Switzerland,Hydrorun-of-the-river,2030-2035,0.5769900745470629,19379.388665602608,0.002977338885674912
Switzerland,Hydrorun-of-the-river,2035-2040,0.0016717780760772223,17539.12324291348,9.53170835807137e-06
Switzerland,Hydrorun-of-the-river,2040-2045,48.90882685869511,19918.02188839423,0.24555062311279588
Switzerland,Hydrorun-of-the-river,2045-2050,196.49334283821278,13012.330524605664,1.5100549626114532
Switzerland,Hydrorun-of-the-river,2050-2055,324.4930146770876,19271.65690853868,1.6837836840760418
Switzerland,Hydrorun-of-the-river,2055-2060,30.699206127650818,17078.512197788612,0.1797533987277057
CzechR,Hydrorun-of-the-river,2020-2025,85.05706492845198,1340.1125369558695,6.347009119223913
CzechR,Hydrorun-of-the-river,2025-2030,151.37565123408663,1372.6125265666442,11.02828717531283
CzechR,Hydrorun-of-the-river,2030-2035,310.38048942834325,1465.5933443126603,21.177804241046598
CzechR,Hydrorun-of-the-river,2035-2040,419.13894816377456,1951.995809730029,21.47232827419561
CzechR,Hydrorun-of-the-river,2040-2045,300.51217497992764,1769.2863896369952,16.984936793730935
CzechR,Hydrorun-of-the-river,2045-2050,510.4748380353299,1766.4206596073566,28.898826293664342
CzechR,Hydrorun-of-the-river,2050-2055,279.68065196328814,1606.063130895995,17.414050953729266
CzechR,Hydrorun-of-the-river,2055-2060,263.2300523011429,1735.32415963208,15.168926845169517
Germany,Hydrorun-of-the-river,2020-2025,0.0004954768122412576,22743.06016000005,2.1785846264993417e-06
Germany,Hydrorun-of-the-river,2025-2030,0.00019343656617505376,21792.57834166172,8.876258841077724e-07
Germany,Hydrorun-of-the-river,2030-2035,441.74561975584373,23254.427684434875,1.8996194004444231
Germany,Hydrorun-of-the-river,2035-2040,0.0019416100053249287,22720.14050706286,8.54576583591705e-06
Germany,Hydrorun-of-the-river,2040-2045,493.3869462169244,23008.45462289623,2.1443723809505393
