Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1058754260.2844204,-4.96568127143797e-09,1100000000.0,3343801.935182274,0.31663187019080336,39.622669244616006,23124.3403419761,8687.447692659407,17688.769337404923
2020-2025,scenario2,1099999999.6286385,-0.014978061637868703,1100000000.0,3510950.1247055903,0.31330550436709337,46.31969320345054,13885.347281472721,8173.601854131421,16251.585980325539
2020-2025,scenario3,1072734014.4761043,-3.1413764723730058e-09,1100000000.0,3396969.085834998,0.3157915151330489,39.580978746506474,27812.410680439516,6447.884443747604,17115.448937232777
2025-2030,scenario1,989999999.725909,-0.3708790935722001,990000000.0,4469286.616240429,0.22151186189949915,43.63739785252355,54650.33512525321,13081.094979146292,22410.37991909291
2025-2030,scenario2,990000000.0234334,-12.865604315805198,990000000.0,4634048.461920328,0.2136360912404322,43.37854424321506,52287.15753615589,15443.846199063059,23012.734026947204
2025-2030,scenario3,989999999.9728752,-37.86949130037974,990000000.0,4547766.54153343,0.21768927470913013,56.73085420357172,59313.51065276228,9201.888512702497,21578.337726794438
2030-2035,scenario1,770000000.004387,-33.46195848343988,770000000.0,5463907.438773832,0.14092478846552084,42.65839336758705,55217.69338886213,17560.461576511952,51991.50759500545
2030-2035,scenario2,736135493.0653926,-1.0441953643654757e-07,770000000.0,5728623.501608085,0.12850128706464836,26.511970352583745,155633.05241295413,28365.048969679036,58165.30648066289
2030-2035,scenario3,678893676.0240988,-1.3805568834800044e-08,770000000.0,5534327.633081219,0.12266958536499444,151.78695379265275,204637.45836792284,26658.718486075995,58801.100859305014
2035-2040,scenario1,329999999.9486571,-63.59764214659624,330000000.0,6687941.427266631,0.04934253739173848,183.29774338069777,105486.78663202732,39046.02843542159,65966.91686199649
2035-2040,scenario2,330000000.0064445,-35.66314439278958,330000000.0,6577983.667902185,0.050167348638565486,31.22708515787797,190529.21134725685,35966.033478551195,65736.06092259257
2035-2040,scenario3,330000000.006365,-37.81783255029349,330000000.0,6792409.728403101,0.048583641623743616,173.99258386699398,183607.0495505959,35111.79897497574,69072.26320170981
2040-2045,scenario1,66000000.00651814,-50.53873001032965,66000000.0,7305660.798475538,0.009034090389234431,20.55839512080868,632404.1716550598,42311.496546772265,95664.04923343583
2040-2045,scenario2,66000000.00643897,-103.70699178992174,66000000.0,7465225.742506211,0.008840991857840404,29.760508167295832,329569.3652063455,48253.0680240917,96643.66848721581
2040-2045,scenario3,66000000.00580689,-293.4903431908018,66000000.0,7406461.884221559,0.008911137468540171,34.37806672015589,256298.46995296326,49872.55454480872,96123.956778195
2045-2050,scenario1,55000000.00532156,-47.82395919368478,55000000.0,7956996.255575298,0.006912156074823666,11.005511448079385,654917.5478243248,56432.01337483835,101606.72489276061
2045-2050,scenario2,55000000.00533871,-47.823960885224196,55000000.0,8243051.399677708,0.006672286431149713,15.844196153846722,456091.4712044197,54283.45335727104,102242.78878499714
2045-2050,scenario3,55000000.003406964,-771.9464212792512,55000000.0,8029817.19678272,0.00684947099735262,62.42604679250539,512816.8798058049,61673.938452055416,99960.52275061297
2050-2055,scenario1,33000000.004018154,-47.67132631769495,33000000.0,8092627.76145142,0.004077785482882477,18.142366448444616,485613.76353055524,66177.56958015652,98204.58031036286
2050-2055,scenario2,33000000.000510048,-61.6261000589831,33000000.0,8181724.726672619,0.004033379403847383,23.381945270561793,464239.91322574025,54501.70325878816,99140.64958101149
2050-2055,scenario3,33000000.003965054,-44.854377303048445,33000000.0,7966715.899881125,0.004142233816127045,13.330978388745368,478900.64984359656,68732.27465721668,98242.2584973503
2055-2060,scenario1,22000000.00404376,-37.35177299049313,22000000.0,8377494.760954365,0.0026260834093960344,47.90678536637523,439787.3943262739,63749.506120772596,103125.50754255128
2055-2060,scenario2,22000000.022804093,-37.45993409227617,22000000.0,7903758.560110357,0.0027834858384764628,8.67792521964925,431746.68050659145,68666.81113493704,97534.0138023316
2055-2060,scenario3,22000000.00350214,-58.52844712078833,22000000.0,7967449.861468047,0.00276123482243657,11.733411677697461,482906.81950848975,58005.34880076708,103502.53452319272
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352128.79160198866
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223338.22019641113
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136517.93872343402
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4624.789494114678
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.392265094326838
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.3066678252610715
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28751.02127578476,28751.02127578476,71174700600.78627,200996.8340800188
Lignite,2025-2030,6.203430646970604e-05,28751.021337434013,114.82159841202646,197692.66079502352
Lignite,2030-2035,0.0004105929714201509,28751.02174764212,559.036097113116,180769.531424745
Lignite,2035-2040,4.861980337966826e-06,28751.021752119013,4.755371867803609,77579.1291236772
Lignite,2040-2045,3.4687744593168974e-06,28751.02175520268,2.350516865279385,2.5447340379581553
Lignite,2045-2050,3.228602564024674e-06,28751.021758046423,1.427721071958195,7.35103548939406
Lignite,2050-2055,5.750495335317e-06,28751.02176341192,1.482242923381396,0.001791798044545643
Lignite,2055-2060,2.61340425757344e-05,28751.021789160972,2.9593391779163194,187.3301863188293
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,359509.24425147055
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246868.99045487345
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,135248.2458609981
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6945.252329454519
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,18.872462929811977
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,11.612197796928196
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.019660243839543505,0.019660243839543505,42097.22661996853,0.09415905718661095
Coal,2025-2030,0.002547558583946373,0.02220691702139374,4078.5712107684944,0.10366360730628993
Coal,2030-2035,0.00043304160259240735,0.022639073223303777,509.9765120401571,0.0892906064110471
Coal,2035-2040,1.2250808312918336e-05,0.02265043818319446,10.364020015084444,0.01676682300843942
Coal,2040-2045,2.791813066730357e-05,0.022677470758930517,16.3631102625662,0.002761374127996947
Coal,2045-2050,1.2004236084160341e-05,0.022688589750044393,4.591509872979833,0.003194169613480145
Coal,2050-2055,7.005723019949096e-05,0.022757761502504942,15.61921868405795,0.004504491684825018
Coal,2055-2060,0.00044176380279929386,0.023198639802586896,43.26836550086618,0.004909473624046133
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,187600.16264021356
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116380.567679175
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51395.80557134111
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10360.488437852578
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1199.2610094722556
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.013709184604499576,0.013709184604499576,10072.836203164932,0.008863034893043532
GasOCGT,2025-2030,9620.60980581319,9620.623513726941,5538552193.831337,1597.2956902054532
GasOCGT,2030-2035,83278.59012876234,92899.21361733852,37564751542.54897,10659.897716557152
