BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1668.053069327859,50.04159207983598
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3884.6712433172447,116.54013729951724
Switzerland,Austria,2030-2035,372.0390446811757,1572.0390446811757,89072126.444657,6666.3359158754365,199.9900774762635
Switzerland,Austria,2035-2040,627.9607322232264,2199.999776885171,108001237.72225457,9835.862528373924,295.0758758512177
Switzerland,Austria,2040-2045,1000.0001418769534,3199.9999187161616,119155016.16182601,16397.484300956185,491.92452902868496
Switzerland,Austria,2045-2050,2.587649634870604e-07,3199.9999190259186,0.0201214472491649,14606.091525138865,438.18274575416456
Switzerland,Austria,2050-2055,2.9749070035060806e-07,3199.999918886133,0.013483805633753412,14459.357288142553,433.78071864427915
Switzerland,Austria,2055-2060,8.723310972454991e-07,3199.999920113611,0.017369785825855327,16539.9632002612,496.19889600783574
CzechR,Austria,2020-2025,0.0,900.0,0.0,4580.71674971062,137.4215024913186
CzechR,Austria,2025-2030,0.0,900.0,0.0,3364.9810127508495,100.94943038252559
CzechR,Austria,2030-2035,999.9998932250601,1899.99989322506,87917381.62149107,8289.193955981944,248.67581867945876
CzechR,Austria,2035-2040,5.805510610852016e-05,1899.9999512609159,3.6665546317343045,8105.425637139951,243.1627691141983
CzechR,Austria,2040-2045,4.0162342592055774e-07,1899.9999516432895,0.01757327869117481,7775.124913105228,233.25374739315635
CzechR,Austria,2045-2050,8.772040668863366e-06,1899.9999603960803,0.25048162363357546,11170.358480591383,335.1107544177418
CzechR,Austria,2050-2055,1.6681250881817442e-07,1899.9999605436433,0.0027764457712582506,7790.557834311168,233.71673502933515
CzechR,Austria,2055-2060,5.256862251997054e-07,1899.9999610500802,0.0038438036756920126,11090.580149753283,332.7174044925993
Germany,Austria,2020-2025,0.0,5000.0,0.0,15107.942167262496,453.23826501787397
Germany,Austria,2025-2030,1999.9990275756827,6999.999027575683,891259.521289509,18057.760945122503,541.7328283536758
Germany,Austria,2030-2035,500.00094032930815,7499.9999612401525,149745.61212031252,34113.13961235294,1023.3941883705916
Germany,Austria,2035-2040,1.7550663640558324e-07,7499.9999680437195,3.7758938170573685e-05,36136.58429640711,1084.0975288922134
