Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1059440342.3997452,-1.2005651427347357e-08,1100000000.0,3343857.208747495,0.31683181316123316,39.413504069719565,22975.622065127453,8746.99503656748,17684.495481245434
2020-2025,scenario2,1099999998.1957858,-0.014978167916564788,1100000000.0,3510947.1478072368,0.31330576960772377,46.0525274805337,13996.331499792575,8166.818258067794,16255.392608445052
2020-2025,scenario3,1073272871.7806135,-2.552452978409706e-09,1100000000.0,3396964.403188767,0.31595057951539757,39.26980588786168,27550.296817509145,6451.9382539379885,17106.712416053204
2025-2030,scenario1,989999999.9674956,-0.888105602896359,990000000.0,4469272.443855653,0.22151256438362896,43.212931453269675,55445.31707132303,13076.141922099774,22401.160848379594
2025-2030,scenario2,990000000.0355626,-13.55502193973189,990000000.0,4634103.014718373,0.2136335763126748,43.453752967852694,52312.61828392814,15531.618502220532,22979.514459152062
2025-2030,scenario3,990000000.0117967,-37.86941848977965,990000000.0,4547665.525620192,0.21769411018343915,57.23671785493228,59321.85312391461,9114.158268973126,21565.052006030186
2030-2035,scenario1,770000000.0270227,-30.68498127378093,770000000.0,5470363.94030099,0.14075845929633762,40.55484817568136,52593.18254546739,17767.765448288912,58240.705156888005
2030-2035,scenario2,730211870.4790252,-3.608994262943569e-08,770000000.0,5733430.107693805,0.12736038580101,26.33325772500505,136218.68321375354,27351.907625720403,63985.05387294451
2030-2035,scenario3,677639786.1076075,-1.0804690901493718e-09,770000000.0,5539622.31685939,0.1223259903559173,151.6141576589992,184094.24298825872,26254.960467148994,64494.28853580186
2035-2040,scenario1,330000000.0654714,-63.5843260366635,330000000.0,6691849.440662895,0.04931372156406001,183.6265022877941,101469.72056177528,38803.14629755403,70117.812350384
2035-2040,scenario2,330000000.0260626,-35.663151643254814,330000000.0,6581634.743147779,0.050139518965197596,30.89174580818252,187600.52987612228,36106.0336865147,69247.13597796118
2035-2040,scenario3,330000000.025562,-37.81783212568075,330000000.0,6796408.863422965,0.04855505409651874,173.30431974577715,178922.76079604734,35172.45050295346,73010.74674856356
2040-2045,scenario1,66000000.026129715,-50.5388204326668,66000000.0,7307908.008211505,0.009031312374481555,20.39393060598426,624320.2049404811,41791.28198099652,98431.473674918
2040-2045,scenario2,66000000.026039645,-103.70699312318985,66000000.0,7468770.635220501,0.008836795672208577,29.470905955864023,325695.51404600206,47900.67507708123,100540.95404501772
2040-2045,scenario3,66000000.02597262,-294.7750089722186,66000000.0,7409909.140694147,0.00890699180959045,33.65556475520915,251314.27768413478,49558.75719750752,99885.01056867241
2045-2050,scenario1,55000000.021191694,-47.8239593898709,55000000.0,7960403.231602493,0.006909197740491505,10.710130259501225,652452.003690358,55957.48499817271,105488.22944707006
2045-2050,scenario2,55000000.02121856,-47.82396425896162,55000000.0,8246219.541029308,0.006669722986098425,15.801135849608816,449006.69109596,54208.86362284507,105485.52007282594
2045-2050,scenario3,55000000.023931034,-780.3520043954032,55000000.0,8033937.65309258,0.006845958034383642,61.742947620859894,511003.9528129694,61648.0053154601,104106.91229590448
2050-2055,scenario1,33000000.015801147,-47.67142309612419,33000000.0,8095550.495270269,0.004076313282843514,17.946162406513082,477622.5227220862,65443.533242562364,101861.35070860997
2050-2055,scenario2,33000000.014224023,-64.65624591471943,33000000.0,8184429.947465635,0.004032046242199455,23.44927025287803,451980.28743896517,54221.3973817211,102126.17652323615
2050-2055,scenario3,33000000.0156047,-44.85438929217021,33000000.0,7969592.5583343245,0.004140738660609776,13.28953093845671,469786.96512007643,68220.8351219616,101630.35670044903
2055-2060,scenario1,22000000.015391327,-37.3517564922066,22000000.0,8379088.192559072,0.0026255840146100604,47.772058060517075,446921.3165251151,62892.04359790056,105576.40191155628
2055-2060,scenario2,22000000.015600074,-37.35187955447486,22000000.0,7906827.301803871,0.002782405530797534,8.507277756101299,431385.907651982,68203.1520746464,101066.41486195965
2055-2060,scenario3,22000000.00715072,-58.269650358804945,22000000.0,7969799.529764846,0.002760420751486545,11.404155411658266,489360.21662424767,57486.196232039794,106371.35559286222
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,351879.6894297076
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,222993.87877198285
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,137500.86200266035
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4656.222760221427
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.420322534240217
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,1.9774494184789007
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28898.03991948564,28898.03991948564,71538653166.08026,202017.76575376128
Lignite,2025-2030,0.00034329154808665296,28898.040261227063,635.4110574589505,198637.39458025896
Lignite,2030-2035,0.0024357141145061392,28898.042695391032,3316.3064324924644,181855.70327662028
Lignite,2035-2040,6.786600429134476e-05,28898.042761706893,66.37790882598627,75309.19902570173
Lignite,2040-2045,7.598811984302311e-05,28898.042836144876,51.491199369321535,0.7982645978884955
Lignite,2045-2050,0.0001035009177778937,28898.042938095663,45.7691643205243,7.424275125783719
Lignite,2050-2055,0.0002145036846662808,28898.043151049194,55.2902924176187,0.009426973536853723
Lignite,2055-2060,0.0005756914391983638,28898.0437251905,65.1895406335877,188.31682008545042
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,358530.57638465776
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246656.72220885023
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,136591.639110117
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6834.968967878547
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,20.899732795002027
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,11.710666894661228
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.09717711104454158,0.09717711104454158,208079.1519832392,0.48128733622672626
Coal,2025-2030,0.015464349594936812,0.11263789531857238,24757.998284563255,0.537384939415795
Coal,2030-2035,0.0027835538957708635,0.1154178838934433,3278.0848268223767,0.4831488115681156
Coal,2035-2040,0.0003280318852671889,0.11574235045783669,277.51058849807106,0.09166914811709495
Coal,2040-2045,0.000322030486369542,0.11606081562330682,188.74545789499933,0.014244730559872349
Coal,2045-2050,0.0005220676858007829,0.11657931798829617,199.6860872205761,0.01667397662218707
Coal,2050-2055,0.001627072402826785,0.11820282507009973,362.7548448915389,0.023746325791052358
Coal,2055-2060,0.007067283900404264,0.12526654364965553,692.2020793994479,0.025022943739734033
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,186323.25721319875
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,115493.0854098967
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,52179.351794415015
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10179.038426652174
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1207.1665025595744
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.06469333618718799,0.06469333618718799,47533.48923727722,0.0421690473398091
GasOCGT,2025-2030,9418.893160367186,9418.957848597542,5422424610.266708,1559.5425803411192
GasOCGT,2030-2035,86180.33860978497,95599.29645028106,38873652912.757645,11484.405443294494
