BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1651.1912208911258,49.53573662673367
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3858.3542442661574,115.750627327985
Switzerland,Austria,2030-2035,525.4142240235492,1725.4142240235492,125792609.3164567,7650.147003023796,229.50441009071366
Switzerland,Austria,2035-2040,474.58468786066834,2199.998911806742,81622514.0567575,9889.829434512325,296.69488303536866
Switzerland,Austria,2040-2045,1000.000704212311,3199.9996153289335,119155083.16689514,16351.7462995702,490.5523889871064
Switzerland,Austria,2045-2050,1.2458948853406571e-06,3199.999616221908,0.09688022627004518,15338.503967574256,460.1551190272283
Switzerland,Austria,2050-2055,1.5212644223539806e-06,3199.9996188636674,0.06895151265027874,14303.547820220343,429.1064346066117
Switzerland,Austria,2055-2060,5.960718885979606e-06,3199.9996244370113,0.1186893494276733,16705.989842624087,501.17969527872117
CzechR,Austria,2020-2025,0.0,900.0,0.0,4555.9219154025595,136.67765746207698
CzechR,Austria,2025-2030,0.0,900.0,0.0,3444.217456827967,103.3265237048388
CzechR,Austria,2030-2035,999.9995139552916,1899.9995139552916,87917348.27708253,8411.143533327788,252.33430599983367
CzechR,Austria,2035-2040,0.0002607455102107189,1899.9997746232941,16.4677617913565,8061.364646428355,241.84093939285063
CzechR,Austria,2040-2045,1.799137182226405e-06,1899.9997763449248,0.07872234801655581,7675.803947558584,230.2741184267574
CzechR,Austria,2045-2050,4.6570721328215674e-05,1899.9998228381394,1.3298057239387768,11311.358291640445,339.3407487492127
CzechR,Austria,2050-2055,7.419546555846127e-07,1899.9998235025869,0.012349175014259067,7810.003397815885,234.30010193447703
CzechR,Austria,2055-2060,2.3441212205780365e-06,1899.9998257692014,0.017140151923331307,11137.562337919418,334.1268701375836
Germany,Austria,2020-2025,0.0,5000.0,0.0,15045.189187581675,451.3556756274514
Germany,Austria,2025-2030,1999.9966816651704,6999.99668166517,891258.4758814606,18287.080874530013,548.6124262358989
Germany,Austria,2030-2035,500.0031672480943,7499.999850121026,149746.27906169178,35332.178854650396,1059.9653656395142
Germany,Austria,2035-2040,8.026392724239602e-07,7499.999849562001,0.00017268182720278286,36120.31190267148,1083.609357080144
Germany,Austria,2040-2045,699.9999337992589,8199.999782774621,104337.45798696663,41289.97764529733,1238.6993293589223
Germany,Austria,2045-2050,4.0872636985713984e-07,8199.999782852032,3.9757254324921914e-05,38056.38907004419,1141.6916721013254
Germany,Austria,2050-2055,3.672794771619903e-07,8199.999784262915,2.0824075776752433e-05,31372.649549836024,941.1794864950842
Germany,Austria,2055-2060,6.721999378596463e-07,8199.999784499802,1.6743319369120527e-05,39341.12306162625,1180.2336918487895
Hungary,Austria,2020-2025,0.0,800.0,0.0,3672.5973245624095,110.17791973687274
Hungary,Austria,2025-2030,0.0,800.0,0.0,4109.731527848055,123.29194583544196
Hungary,Austria,2030-2035,1999.9995895654793,2799.9995895654793,149305028.56326243,10487.223629205286,314.6167088761595
Hungary,Austria,2035-2040,0.00023748729237393857,2799.999826975265,12.735847494244219,14476.779789276748,434.3033936783018
Hungary,Austria,2040-2045,6.349306744631343e-07,2799.9998275326884,0.023590101294404798,15304.162943496449,459.12488830489383
Hungary,Austria,2045-2050,7.193525999783282e-07,2799.999828174534,0.017441618685028984,15056.58162911998,451.6974488735997
Hungary,Austria,2050-2055,5.169419265743183e-07,2799.999828613968,0.007305872268733968,15717.952751687193,471.53858255061544
Hungary,Austria,2055-2060,1.1720905987668608e-06,2799.999829708552,0.007277220257612465,15864.014761625745,475.92044284877267
Italy,Austria,2020-2025,0.0,405.0,0.0,2178.6866911852244,65.3606007355569
Italy,Austria,2025-2030,389.99883864707067,794.9988386470707,155139281.18605477,4357.039852499671,130.7111955749901
Italy,Austria,2030-2035,500.00026271739046,1294.9991012873436,133671117.8888587,6658.88746713672,199.76662401410175
Italy,Austria,2035-2040,0.0007478189411733389,1294.9998490288222,143.61729877580498,7876.783648250425,236.30350944751322
Italy,Austria,2040-2045,999.999995288488,2294.9998441603348,133053503.2405109,13910.99210410377,417.32976312311257
Italy,Austria,2045-2050,9.080724036583859e-07,2294.999843934946,0.07884756153383281,12537.917591496016,376.1375277448799
Italy,Austria,2050-2055,1.3080199472911873e-06,2294.999847021969,0.0662014503521104,13226.251904440089,396.78755713320237
Italy,Austria,2055-2060,1.4528594838723618e-06,2294.999847675588,0.0323035884814535,15086.894769773244,452.6068430931977
Slovenia,Austria,2020-2025,0.0,950.0,0.0,1996.5071266695472,59.89521380008666
Slovenia,Austria,2025-2030,0.0,950.0,0.0,4148.210432535633,124.44631297606894
Slovenia,Austria,2030-2035,999.982181973875,1949.982181973875,97340689.66415803,6348.446793104812,190.45340379314428
Slovenia,Austria,2035-2040,0.017633897132641692,1949.9998157935008,1233.0861101756736,9588.086548003888,287.64259644011554
Slovenia,Austria,2040-2045,999.9999624877863,2949.9997780987064,48446355.2311106,13311.148271954691,399.33444815864067
Slovenia,Austria,2045-2050,9.54084689882149e-06,2949.9997884989352,0.30164041221952487,12909.032105269136,387.27096315807466
Slovenia,Austria,2050-2055,1.5859408790591922e-06,2949.9997899855384,0.029226374196216157,14414.85394518501,432.44561835555027
Slovenia,Austria,2055-2060,4.638909546643533e-06,2949.9997937367875,0.03755587375581747,13573.632150871845,407.2089645261572
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9994372468864,999.9994372468864,19498621.198573153,4096.732009554175,122.90196028662548
Slovakia,Austria,2035-2040,0.0003263340354110933,999.9997635034151,4.5709815003316185,4687.418949662259,140.622568489868
Slovakia,Austria,2040-2045,7.916235865745119e-07,999.9997642175314,0.0076821333332826374,3609.6107441751833,108.2883223252557
Slovakia,Austria,2045-2050,1.831719824967421e-06,999.9997659717443,0.011600150775550856,5468.290944125471,164.04872832376424
Slovakia,Austria,2050-2055,1.0406655111648339e-06,999.999766934903,0.0038415023044749592,4218.907547026812,126.56722641080412
Slovakia,Austria,2055-2060,3.6483222200663528e-06,999.9997705057182,0.005916394761219842,5159.412343328446,154.78237029985345
Croatia,BosniaH,2020-2025,0.0,750.0,0.0,3734.061546049343,112.02184638147999
Croatia,BosniaH,2025-2030,0.0,750.0,0.0,3229.5081041318176,96.88524312395452
Croatia,BosniaH,2030-2035,0.0,750.0,0.0,2523.368188225683,75.70104564677035
Croatia,BosniaH,2035-2040,0.0,750.0,0.0,2286.946014801776,68.60838044405337
Croatia,BosniaH,2040-2045,1143.9994485240197,1893.9994485240197,58205085.028198354,5238.297312930256,157.14891938790763
Croatia,BosniaH,2045-2050,2.2738489991710694e-05,1893.9994711850022,0.7549847979910088,5906.617279758843,177.19851839276532
Croatia,BosniaH,2050-2055,2.1203520946020808e-05,1893.9994923110164,0.41036462676472013,5094.615963616092,152.83847890848338
Croatia,BosniaH,2055-2060,2.2961846718833754e-06,1893.9994945296942,0.019522829747622185,4928.2896052885635,147.8486881586569
Italy,BosniaH,2020-2025,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2025-2030,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2030-2035,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2035-2040,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2040-2045,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2045-2050,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2050-2055,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2055-2060,0.0,0.0,0.0,0.0,0.0
Serbia,BosniaH,2020-2025,0.0,600.0,0.0,938.267873322177,28.14803619966527
Serbia,BosniaH,2025-2030,0.0,600.0,0.0,1817.4784514328142,54.524353542984585
Serbia,BosniaH,2030-2035,0.0,600.0,0.0,2205.011281473193,66.15033844419582
Serbia,BosniaH,2035-2040,0.0,600.0,0.0,2170.990726219,65.12972178657027
Serbia,BosniaH,2040-2045,1349.9981908046404,1949.9981908046404,45466853.531866826,5797.595308351208,173.92785925053664
Serbia,BosniaH,2045-2050,1.5395932154694847e-05,1949.998206123065,0.3383834982307843,6132.280472926579,183.96841418779755
Serbia,BosniaH,2050-2055,0.0009698963902104584,1949.999175941949,12.425500130450121,7219.739502177992,216.5921850653401
Serbia,BosniaH,2055-2060,3.502757309281796e-06,1949.9991793671988,0.01971390242195968,5608.730805091337,168.2619241527403
