Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.010930382077800015,0.010930382077800015
EnergyhubEU,2025-2030,1.1504640336976142e-05,0.010941844236804488
EnergyhubEU,2030-2035,48785.56283075986,48785.573777924976
EnergyhubEU,2035-2040,9337.108595784202,58122.68236650375
EnergyhubEU,2040-2045,15780.986860827012,73903.66922568943
EnergyhubEU,2045-2050,1.3017399887245257e-06,73903.66922773798
EnergyhubEU,2050-2055,4.193043242272455e-07,73903.66922960342
EnergyhubEU,2055-2060,4.355862598350008e-07,73903.6692306193
EnergyhubNorth,2020-2025,0.010073913768819545,0.010073913768819545
EnergyhubNorth,2025-2030,1.4128253111475502e-05,0.01008799954060749
EnergyhubNorth,2030-2035,119.94982202933046,119.95990998562924
EnergyhubNorth,2035-2040,4053.141336251568,4173.101246195624
EnergyhubNorth,2040-2045,56754.77843645185,60927.879743057965
EnergyhubNorth,2045-2050,7.898620170184646e-06,60927.87977208916
EnergyhubNorth,2050-2055,4.6818781757508167e-07,60927.879752634035
EnergyhubNorth,2055-2060,4.1706571747585447e-07,60927.879732283625
EnergyhubCentral,2020-2025,0.012280129028447773,0.012280129028447773
EnergyhubCentral,2025-2030,9.252795077307649e-06,0.012289339342174525
EnergyhubCentral,2030-2035,63227.18240826815,63227.194650253216
EnergyhubCentral,2035-2040,0.00012796003677369944,63227.19478047306
EnergyhubCentral,2040-2045,10916.592283951624,74143.78705262342
EnergyhubCentral,2045-2050,1.0127068207874385e-06,74143.78707113447
EnergyhubCentral,2050-2055,4.3272678154820127e-07,74143.78707356517
EnergyhubCentral,2055-2060,4.0922645995308564e-07,74143.78707084153
