Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.0913775863767721,0.0913775863767721
EnergyhubEU,2025-2030,0.016987696858102006,0.10836517226058832
EnergyhubEU,2030-2035,24059.879143791626,24059.98750874633
EnergyhubEU,2035-2040,19016.755777644074,43076.743286264405
EnergyhubEU,2040-2045,17851.23831450707,60927.98159998995
EnergyhubEU,2045-2050,2.8491834614388054e-05,60927.981625159686
EnergyhubEU,2050-2055,5.816938279326318e-06,60927.98163811223
EnergyhubEU,2055-2060,4.811405650207626e-06,60927.98163923496
EnergyhubNorth,2020-2025,0.08457362952718721,0.08457362952718721
EnergyhubNorth,2025-2030,0.011738663249849384,0.09631218180276502
EnergyhubNorth,2030-2035,0.18885785536903896,0.28516992619739884
EnergyhubNorth,2035-2040,153.339713201644,153.62488301684724
EnergyhubNorth,2040-2045,48825.07725402825,48978.70213714175
EnergyhubNorth,2045-2050,11949.171856380368,60927.873992663626
EnergyhubNorth,2050-2055,5.852900409217805e-06,60927.8739990474
EnergyhubNorth,2055-2060,5.078137264890499e-06,60927.87400382256
EnergyhubCentral,2020-2025,0.09843105762528032,0.09843105762528032
EnergyhubCentral,2025-2030,0.019436546824371282,0.11786749347540862
EnergyhubCentral,2030-2035,34306.703740831705,34306.82160867531
EnergyhubCentral,2035-2040,13337.826315994564,47644.64792409038
EnergyhubCentral,2040-2045,13283.622190176298,60928.27011475981
EnergyhubCentral,2045-2050,2.948127583944845e-05,60928.270143557354
EnergyhubCentral,2050-2055,5.59774825453581e-06,60928.27015494844
EnergyhubCentral,2055-2060,4.189733427135444e-06,60928.2701535086
