Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1057172225.5888556,-6.150156583014272e-10,1100000000.0,3343760.830498611,0.31616263219137697,39.714507703522564,23356.66241876787,8625.91430626646,17709.198035038542
2020-2025,scenario2,1099999999.6719227,-0.014977833553031327,1100000000.0,3511008.5341385845,0.31330029220273964,46.456994357600266,13857.053684642362,8207.116429055857,16276.480833379857
2020-2025,scenario3,1070837582.5695094,-6.116432931070345e-10,1100000000.0,3396967.4614576832,0.31523339411385054,39.80176844782213,27702.175094038877,6417.558887719144,17144.151748306474
2025-2030,scenario1,989999999.9759464,-0.2272159012811445,990000000.0,4469480.743792409,0.22150224080300898,43.04691102059438,54053.26639788722,13173.82916350134,22511.77328551565
2025-2030,scenario2,990000000.2192026,-12.113825129601175,990000000.0,4634404.308052028,0.2136196875397934,43.03336444567775,51721.79635694191,15663.380987680586,23149.04536092006
2025-2030,scenario3,989999999.9644346,-37.86949309373402,990000000.0,4547881.738923441,0.21768376065969236,57.02305649585986,58615.925049573256,9234.189542760649,21661.234093501786
2030-2035,scenario1,770000000.0076303,-36.44401496268118,770000000.0,5451756.320810039,0.14123888792836795,45.411042801887845,62371.95414970015,17878.024926473154,39522.82622677213
2030-2035,scenario2,747054334.6712759,-1.3339596255484266e-09,770000000.0,5717827.484902819,0.13065352822268747,26.955569803575226,190228.7002710972,29323.735965843633,46410.60276677731
2030-2035,scenario3,676212129.4373636,-7.64901586611368e-09,770000000.0,5523313.241239287,0.12242871260467963,149.3181244350505,235059.89803160707,27313.26467889783,47123.47914677828
2035-2040,scenario1,329999999.83438617,-64.3687537517483,330000000.0,6680527.146752848,0.04939729943239648,185.27585867512627,118601.24552158808,39144.53488405562,58454.129743759055
2035-2040,scenario2,330000000.00640726,-36.3540748133113,330000000.0,6570983.932329764,0.050220789368052854,31.230249480028114,197692.55845789245,36487.893797499964,58214.465088716875
2035-2040,scenario3,330000000.00737125,-37.81783282517433,330000000.0,6784991.397990083,0.04863676026253369,173.75015385710518,194592.24172830212,35228.006563480434,61537.72527010779
2040-2045,scenario1,66000000.007403046,-50.53872083848939,66000000.0,7299399.869474717,0.009041839217961983,21.248369088573654,713535.8743896873,42931.25841253148,88783.35841676849
2040-2045,scenario2,66000000.00738628,-106.93882388549933,66000000.0,7458465.213116889,0.008849005542228472,30.206448462902962,344435.54450311256,49882.56561218211,88253.64149640047
2040-2045,scenario3,66000000.00645448,-292.77808188447835,66000000.0,7400329.300287903,0.008918522045212714,35.286315591904774,280581.5276449842,52103.57506366964,87760.35240681712
2045-2050,scenario1,55000000.00610974,-47.82395900139787,55000000.0,7951676.155859672,0.006916780679703292,11.465895487498361,676116.9269554378,56996.70121875229,95721.93736269607
2045-2050,scenario2,55000000.00611961,-47.82395938658849,55000000.0,8238712.201748963,0.00667580061777676,16.162550365453406,491071.4219443733,54986.273227502235,97200.77105903324
2045-2050,scenario3,55000000.015076384,-778.2472624958347,55000000.0,8024073.967119049,0.006854373506582781,63.4777644679566,531720.4595903697,61995.93041912021,93895.30114120306
2050-2055,scenario1,33000000.004570935,-47.671319081181366,33000000.0,8088396.647974208,0.004079918609436002,18.47191987212675,515829.87328612135,67896.84952765351,92254.18695023302
2050-2055,scenario2,33000000.00447812,-58.76114154121542,33000000.0,8176989.334339457,0.004035715182590937,23.428265472564345,509006.852307588,54613.329858913574,94293.63066834064
2050-2055,scenario3,33000000.004530095,-44.85437320293225,33000000.0,7962934.8030348085,0.004144200702478902,13.441947290192418,512869.13649120147,70296.37701740427,92897.05938125316
2055-2060,scenario1,22000000.005678445,-37.351819639354034,22000000.0,8373614.605573144,0.0026273002809366836,48.27253985062967,438449.1295628011,64481.16709652526,98513.69113735862
2055-2060,scenario2,22000000.004644897,-37.35173448396183,22000000.0,7898095.435883429,0.002785481662413535,9.337163956327156,450034.1779563571,68781.47888453335,91756.22178500271
2055-2060,scenario3,22000000.00331327,-60.10463974946895,22000000.0,7963565.188225924,0.0027625817687584636,12.664309514508707,480247.13063384686,59069.33590306408,98553.87411426356
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352648.254995076
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223751.52141690147
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,134080.41185869044
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,3660.2716017118305
Liginiteexisting,2040-2045,0.0,12263.0,0.0,4.8903865896220555
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.1273460596483456
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28655.07366694042,28655.07366694042,70937177131.0162,200343.0627117354
Lignite,2025-2030,8.772831924797083e-05,28655.073754224926,162.3795995361321,197144.29069801475
Lignite,2030-2035,0.0005406892437587773,28655.074294470352,736.1665338217588,177960.52777472013
Lignite,2035-2040,1.9108920517009965e-05,28655.074313135443,18.689919895621014,76745.69236961768
Lignite,2040-2045,1.258450581165034e-05,28655.07432527611,8.52753429155372,0.0013982002605973645
Lignite,2045-2050,1.8734118628940588e-05,28655.074343566426,8.284418847069537,7.316817895531559
Lignite,2050-2055,7.295487614125917e-05,28655.074416077478,18.804788558373215,0.002266480325452153
Lignite,2055-2060,0.00017794140118070656,28655.07459357506,20.149540904794073,195.56214617265283
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,360287.1609978799
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,247709.26925592753
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,123039.33659303385
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6049.717505142893
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,17.242355500721544
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,11.172318592908505
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.024545140766341386,0.024545140766341386,52556.94495413205,0.12195965469503979
Coal,2025-2030,0.0037468575592001984,0.0282909775382749,5998.615878003268,0.1356611813815279
Coal,2030-2035,0.0007314267696680408,0.02902138352067522,861.3732966418846,0.11539892154969397
Coal,2035-2040,0.00011915488060172525,0.029139517614011082,100.80343565159413,0.02136643966803197
Coal,2040-2045,0.00011356841106905436,0.029252065243197047,66.56364119836194,0.0034668271056623743
Coal,2045-2050,0.00019982845555272527,0.02945087290612816,76.43254598960405,0.004006490637795245
Coal,2050-2055,0.00044515351527125996,0.02989500563410441,99.24671705118966,0.005704272684140063
Coal,2055-2060,0.0012370661450347381,0.03113105099186364,121.16391106047433,0.005470904806474008
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,188575.97439456356
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,118022.5087672429
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51348.42694766873
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10140.033695026856
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1138.071814411633
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01564370698416611,0.01564370698416611,11494.228329968906,0.010181155897300806
GasOCGT,2025-2030,10047.393467712007,10047.409109954118,5784250089.766457,1738.0893224479871
GasOCGT,2030-2035,82258.95157260165,92306.36067211053,37104819776.57937,10357.718083946078
