Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999680276251,0.0,12404.159471212708
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7272448058101367,0.0,7401.7320454874725
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6304542734691453,0.0,4311.166593258778
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.003270458794508361,0.0,15.60280544634186
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,4.383768513835175e-08,0.0,0.00014500524279619686
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,2.068938141346488e-07,0.0,0.00017108959823576298
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2884421153854061,0.0,31223.085965600905
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.47271824228648807,0.0,31489.527903152662
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5278485206161587,0.0,23624.44300071684
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.0019791188223985774,0.0,61.798358217173636
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.00025336497840766707,0.0,5.485215978897563
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,1.8281861873050718e-05,0.0,0.09894812761839605
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999882658772,0.0,47632.49925476593
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7378469776954966,0.0,28837.33018673298
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6427062988005594,0.0,16876.787620994335
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.01697467391500921,0.0,310.97929048333776
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.212824232603805e-08,0.0,0.00015405293402533517
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,5.348685300853324e-08,0.0,0.00016984750172859806
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499954480105239,0.0,125525.6581400759
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7441516718871223,0.0,76644.67307405552
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6381295800509964,0.0,44158.86195174252
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.0329990859711151,0.0,1593.1758173947303
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,5.03307220651804e-09,0.0,0.00016847560951618965
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.687972200751149e-08,0.0,0.00022494101827987592
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7492853788237327,0.0,13134.043576910317
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.620209458277144,0.0,6690.155534689292
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5466626014813112,0.0,3961.9197530835254
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.05216476683816734,0.0,263.7645226044794
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00018158852677251544,0.0,0.6366043409097993
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.00013239969190139957,0.0,0.11604012117067895
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999444016251,0.0,6615.98950954896
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6656814215780684,0.0,3613.654669412341
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.5989643096880554,0.0,2184.5884741010577
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.0171722772355742,0.0,43.696774795302474
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,8.201997176437061e-08,0.0,0.00014470488346489526
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.75231283538172e-07,0.0,0.00016550176130504743
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6803973662231863,0.0,1358.9440516102445
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5673045743540649,0.0,697.2714340097771
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5363792472578683,0.0,442.9411571867052
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.016320133574783555,0.0,9.40265664987797
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,4.1281151276376726e-07,0.0,0.00016490003564256369
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,1.891968767153545e-06,0.0,0.00018893956896302153
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499999068449433,0.0,5413.679327584443
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7029717637783091,0.0,3122.596248723165
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.5979767502469886,0.0,1784.6404519348202
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.002361368638102824,0.0,4.916805449509423
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.00024379332807325887,0.0,0.3519517504863038
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,5.06969199613279e-07,0.0,0.00018297126777082782
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999894796489,0.0,49669.199303283465
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7338744161711714,0.0,29908.47602189884
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6111304491246788,0.0,16733.814123814474
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.04645249054545965,0.0,887.4069397694412
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,1.1960007344903728e-08,0.0,0.00015841173248413136
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,5.337722959674626e-08,0.0,0.00017674695281911395
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499999743230109,0.0,16405.289438348722
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6993794986534966,0.0,9414.173124484269
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.5848524522047193,0.0,5289.371611308607
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.009355957430715722,0.0,59.03353649174859
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,0.00027414703305404217,0.0,1.1993230879709713
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,0.0019288248433128594,0.0,2.109528727583469
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499999872946304,0.0,37192.769369936104
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7312370186082633,0.0,22315.265844991103
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.6284032395882485,0.0,12884.595612335996
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.002828652015433791,0.0,40.463616853871315
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,1.5246488260317808e-08,0.0,0.00015121576831298637
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,7.663234442673685e-08,0.0,0.00019001127738829432
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.7499999382536334,0.0,6149.519493719303
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7300360846115749,0.0,3683.5868742897114
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.637794632306479,0.0,2162.2003388748394
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.003365655992263465,0.0,7.960449552901547
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,8.656907331310957e-08,0.0,0.0001419621993921152
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,4.065673691693355e-07,0.0,0.00016667961120361464
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.003751138449614707,0.003751138449614707,0.7804160785517653,9286.145125157365,0.02564445112842876
BosniaH,Lignite,2025-2030,7.799756761399698e-07,0.0037517677679046357,0.7688600173111301,1.4436859046796529,0.025268957863371758
BosniaH,Lignite,2030-2035,1.0849358369709015e-06,0.0037527020149390675,0.6789239640536195,1.4771765181964787,0.022318722112355225
BosniaH,Lignite,2035-2040,8.4425998319086e-07,0.003753395612109849,0.0626152985870226,0.8257479245292573,0.002058775085835106
BosniaH,Lignite,2040-2045,1.0362317812011347e-06,0.0037542811709108522,0.004652673978620971,0.7021731469192785,0.00015301482969595434
BosniaH,Lignite,2045-2050,1.3764467635249914e-06,0.0037555069513158577,0.00561715583245079,0.6086788354227021,0.00018479454571244543
BosniaH,Lignite,2050-2055,2.961881889438998e-06,0.0037583181635404955,0.007994952945452207,0.7634522270715761,0.000263216773394731
BosniaH,Lignite,2055-2060,6.278415211511946e-06,0.0037644459090882946,0.008466637958301989,0.7109485666754317,0.0002792004774825474
Bulgaria,Lignite,2020-2025,0.00018575656544991034,0.00018575656544991034,0.40797928439152725,459.85037552955083,0.0006638751164351551
Bulgaria,Lignite,2025-2030,5.689746637641804e-05,0.00024250336216129467,0.41139652890918244,105.31363058157534,0.0008739417630315939
Bulgaria,Lignite,2030-2035,0.0005482296522027856,0.0007905823446943951,0.5536322469807582,746.4330527360922,0.00383418086806831
Bulgaria,Lignite,2035-2040,9.74990660193542e-07,0.0007914066656964173,0.15293489744593533,0.9536120746211196,0.001060255187965284
Bulgaria,Lignite,2040-2045,1.076720188525332e-06,0.0007923327162463321,0.020691176630038832,0.7296089705451733,0.00014361403455091483
Bulgaria,Lignite,2045-2050,1.3831780794849553e-06,0.000793565224646536,0.025824805691546812,0.611655492179757,0.0001795245293153734
Bulgaria,Lignite,2050-2055,2.9174809405769085e-05,0.0008225893643944864,0.031514973644202124,7.520074752015838,0.00022709320753670453
Bulgaria,Lignite,2055-2060,0.00014303929256832953,0.0009654779872987814,0.02859358839626275,16.197332703204907,0.00024183276632838875
CzechR,Lignite,2020-2025,0.006117860169534118,0.006117860169534118,0.7866025088479367,15145.092124112072,0.04215595962527479
CzechR,Lignite,2025-2030,4.168144097156888e-06,0.00612187764514129,0.7801610810945929,7.714972486730771,0.041838203973989414
CzechR,Lignite,2030-2035,8.85613112753494e-07,0.006122612588639706,0.6990235692101727,1.205791946202841,0.037491490420314105
CzechR,Lignite,2035-2040,1.217654138970316e-06,0.006123679571904695,0.07171191939539417,1.190954679918653,0.0038468735469655846
CzechR,Lignite,2040-2045,1.0273700770452319e-06,0.006124556275193403,0.0030150729271825605,0.6961682638351047,0.00016176201823115332
CzechR,Lignite,2045-2050,1.2101665030052482e-06,0.006125615769163671,0.003298661215432883,0.5351480037124038,0.0001770074609474462
CzechR,Lignite,2050-2055,3.427655580159775e-06,0.0061288927550657195,0.005049868882616191,0.8835096685111055,0.000271122918124196
CzechR,Lignite,2055-2060,9.478172170450204e-06,0.006138220257577434,0.005374410950917379,1.073279273872968,0.000288986427182051
Germany,Lignite,2020-2025,25267.67322781237,25267.67322781237,0.7999999967548413,62551485027.86395,177075.85326221134
Germany,Lignite,2025-2030,5.550448051566254e-06,25267.673233212136,0.7989863542697512,10.273530139246112,176851.48878915576
Germany,Lignite,2030-2035,3.1407159732954536e-06,25267.673236202187,0.7186426946858085,4.276190100817062,159067.83613824623
Germany,Lignite,2035-2040,2.845862577022444e-06,25267.67323889738,0.32229059949303956,2.783461449386871,71337.35395019632
Germany,Lignite,2040-2045,2.8888383208327103e-06,25267.673241635548,8.22493372441506e-10,1.9575395500115231,0.00018205464549758183
Germany,Lignite,2045-2050,3.5336184827606824e-06,25267.673245018494,1.0622379537665762e-09,1.562602230548131,0.0002351208661522623
Germany,Lignite,2050-2055,5.57523707507545e-06,25267.673250443066,1.2953532460293082e-09,1.4370684991171512,0.00028671972806562813
Germany,Lignite,2055-2060,1.8839544081256977e-05,25267.673269131945,0.0007305949682155665,2.1333324430071863,161.7134101527387
Estonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Greece,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Greece,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Greece,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Greece,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Greece,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Greece,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Lignite,2020-2025,0.02021545542627124,0.02021545542627124,0.7969223978705766,50044.44794054095,0.14112490710018463
Hungary,Lignite,2025-2030,8.795657394643707e-07,0.02021618433134521,0.7259803631394385,1.6280208462244075,0.12856660289735533
Hungary,Lignite,2030-2035,1.3709698163891012e-06,0.020217404621007115,0.6780272728276663,1.866621371435474,0.12008165705699363
Hungary,Lignite,2035-2040,1.2989925328878021e-06,0.020218552945180532,0.11667975401357679,1.2705095697620148,0.02066567906919033
Hungary,Lignite,2040-2045,1.0828362488906969e-06,0.02021948510886371,0.000909331362754811,0.7337533458011789,0.00016106321666661445
Hungary,Lignite,2045-2050,1.2449741895267463e-06,0.020220579416486046,0.0010721268267565298,0.5505403186620981,0.00018990826464998587
Hungary,Lignite,2050-2055,3.4517006830665166e-06,0.02022388044750775,0.0014885224800745866,0.8897075143569416,0.00026370841796079556
Hungary,Lignite,2055-2060,8.660677256851784e-06,0.020232390455094694,0.0022330471221262346,0.9807086461735471,0.00039577576000827567
Ireland,Lignite,2020-2025,2487.713399557464,2487.713399557464,0.7786541784325328,6158468413.892326,16968.71947577826
Ireland,Lignite,2025-2030,1.097422728186358e-06,2487.7134005042153,0.6467888199877625,2.03126042596413,14095.060881471643
Ireland,Lignite,2030-2035,2.448305777560946e-06,2487.7134028018527,0.617834332934397,3.333450403919876,13464.074016587923
Ireland,Lignite,2035-2040,1.2929710841315187e-06,2487.713403944154,0.17395137364799831,1.2646201530987164,3790.8125954015395
Ireland,Lignite,2040-2045,1.1656453170365066e-06,2487.71340495913,7.185626132989177e-05,0.789866567792881,1.5659181925758145
Ireland,Lignite,2045-2050,2.451537298308378e-06,2487.7134072599974,0.00031673427444439944,1.0840948645977675,6.9023903254091215
Ireland,Lignite,2050-2055,3.7247381759066228e-06,2487.7134108340665,1.2548111460724702e-08,0.9600854327763357,0.0002734530812146126
Ireland,Lignite,2055-2060,1.0797971122151673e-05,2487.713421481367,0.0008604095490909978,1.2227292770029674,18.750362877220994
Macedonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Lignite,2020-2025,0.004148062527549223,0.004148062527549223,0.7823828231899723,10268.752043264529,0.028429466350595036
Poland,Lignite,2025-2030,6.229400703002809e-06,0.00415414125858992,0.7707572309297261,11.530228781022645,0.028048069461048375
Poland,Lignite,2030-2035,1.7961569773363229e-06,0.00415578675029207,0.648432347714905,2.4455279469094924,0.023605979857666826
Poland,Lignite,2035-2040,1.8195060604379657e-06,0.004157455582300393,0.14927860727492726,1.7796098156832798,0.005436624009206622
Poland,Lignite,2040-2045,1.6427315981470924e-06,0.004158947647599453,0.004494163745722453,1.113150587292001,0.00016373308762662498
Poland,Lignite,2045-2050,2.052300236392622e-06,0.004160849274802763,0.005007892439657162,0.907548152916643,0.00018253287008233925
Poland,Lignite,2050-2055,2.4590632809840406e-06,0.004163157668422694,0.007560551899125624,0.63384611826395,0.00027572774183924875
Poland,Lignite,2055-2060,1.052105007442357e-05,0.004173528048836244,0.007409670949056347,1.1913715831690894,0.00027089835315755517
Romania,Lignite,2020-2025,0.003448057261522606,0.003448057261522606,0.7811855369758162,8535.85133165117,0.02359569477908526
Romania,Lignite,2025-2030,1.0392695800692715e-06,0.003448945872752708,0.7417909534517799,1.923622607481288,0.0224115563828106
Romania,Lignite,2030-2035,1.2926731316290215e-06,0.0034500878636187318,0.6404584134922361,1.7600178099722132,0.019356427123988496
Romania,Lignite,2035-2040,1.3086421313382437e-06,0.0034512458373684757,0.10952663969019659,1.279947581810007,0.0033113094275709076
Romania,Lignite,2040-2045,1.0815595583447183e-06,0.0034521767170385825,0.0050645434786954525,0.7328882325759574,0.00015315720393713845
Romania,Lignite,2045-2050,1.2849078573837186e-06,0.0034533109654549437,0.009713395530423979,0.5681993949805245,0.00029383996760184446
Romania,Lignite,2050-2055,4.89522515726835e-06,0.0034580555209514697,0.008243508073796946,1.2617891893863447,0.0002497170153938291
Romania,Lignite,2055-2060,8.086045993503887e-06,0.0034659908972642854,0.008575997023678053,0.9156391566158951,0.00026038510994273566
Serbia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Lignite,2020-2025,900.0193778124961,900.0193778124961,0.7999999224200716,2228046410.4648356,6307.335188056643
Slovenia,Lignite,2025-2030,2.676403704722822e-06,900.0193803382299,0.789508626148971,4.95385487258112,6224.620044829779
Slovenia,Lignite,2030-2035,2.0474472512789945e-06,900.0193822349972,0.7130805893442097,2.78766808024277,5622.048439186786
Slovenia,Lignite,2035-2040,1.1588427039192595e-06,900.0193832431804,0.060868432681159705,1.13343280111486,479.8970585483257
