Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0019148824529844934,41574.19219433375,4.605940252629797e-06
Austria,Hydrorun-of-the-river,2025-2030,761.4279005278701,41919.55031242143,1.816402835557725
Austria,Hydrorun-of-the-river,2030-2035,8953.261450904503,49568.03825278682,18.062569685014985
Austria,Hydrorun-of-the-river,2035-2040,12036.559937074966,53992.78640684575,22.292903808255485
Austria,Hydrorun-of-the-river,2040-2045,11227.590022930957,52705.661893097895,21.302436246230453
Austria,Hydrorun-of-the-river,2045-2050,12069.516980917057,52866.6230733014,22.83012660782637
Austria,Hydrorun-of-the-river,2050-2055,17307.155994510576,58405.72493765315,29.63263620644311
Austria,Hydrorun-of-the-river,2055-2060,2874.7261014609967,41150.61682264031,6.985863939418219
Belgium,Hydrorun-of-the-river,2020-2025,300.21606346976307,771.0160630395161,38.93771840319965
Belgium,Hydrorun-of-the-river,2025-2030,215.03305022474933,685.8330499182704,31.35355612424547
Belgium,Hydrorun-of-the-river,2030-2035,272.6584055767729,743.4584052491163,36.67433223589842
Belgium,Hydrorun-of-the-river,2035-2040,464.27345252323113,935.0734521403764,49.651014202201175
Belgium,Hydrorun-of-the-river,2040-2045,247.13691748271032,717.9369148426726,34.42320799688472
Belgium,Hydrorun-of-the-river,2045-2050,1040.066024513882,1510.8660241367875,68.83906368257301
Belgium,Hydrorun-of-the-river,2050-2055,551.6020852081938,1022.4020847301924,53.95158063999441
Belgium,Hydrorun-of-the-river,2055-2060,377.62668416276466,848.4266834066797,44.509053233272176
Bulgaria,Hydrorun-of-the-river,2020-2025,3463.8144386450263,7435.5727160359775,46.584366408989155
Bulgaria,Hydrorun-of-the-river,2025-2030,1995.0722059414218,5213.8188858764515,38.265084568737315
Bulgaria,Hydrorun-of-the-river,2030-2035,3663.723119697404,5634.584337042065,65.02206552508032
Bulgaria,Hydrorun-of-the-river,2035-2040,4099.947694009869,6047.231192143445,67.7987588656527
Bulgaria,Hydrorun-of-the-river,2040-2045,4543.21631523028,6487.997471725472,70.02493966789447
Bulgaria,Hydrorun-of-the-river,2045-2050,4549.681476242388,6763.245458767192,67.27068393391872
Bulgaria,Hydrorun-of-the-river,2050-2055,5447.650999187884,7141.926056303441,76.27705686451071
Bulgaria,Hydrorun-of-the-river,2055-2060,3981.317323535316,5712.995487882284,69.68878816690834
Switzerland,Hydrorun-of-the-river,2020-2025,0.0010369085636942304,1493.088695923862,6.944721814082412e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.002233518911847657,1213.4563407103815,0.00018406256878925785
Switzerland,Hydrorun-of-the-river,2030-2035,0.0044384211820981696,1102.6511357168783,0.00040252270535345446
Switzerland,Hydrorun-of-the-river,2035-2040,65.18534305119192,16689.886382440996,0.39056792573358534
Switzerland,Hydrorun-of-the-river,2040-2045,304.46406844354675,23448.49771288867,1.2984374187698833
Switzerland,Hydrorun-of-the-river,2045-2050,209.0556721023593,14263.525900824337,1.4656661582552828
Switzerland,Hydrorun-of-the-river,2050-2055,511.9608107772764,19830.302879726914,2.5817094871539688
Switzerland,Hydrorun-of-the-river,2055-2060,454.6937514941223,15342.399166506671,2.963641778312903
CzechR,Hydrorun-of-the-river,2020-2025,53.01225147990714,1304.0285796352116,4.065267610525589
CzechR,Hydrorun-of-the-river,2025-2030,212.64933250143164,1388.0523495052228,15.319979291647856
CzechR,Hydrorun-of-the-river,2030-2035,580.8579391953226,1417.71485431481,40.97142224527616
