Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,1.6434710232715588e-06,3503.000001643471,6.817266694270074e-06,124704.00000681727,2.4414575773334914,3459.72480105328,864.9312001809848
Austria,HydroPumpStorage,2025-2030,4.75630154674212e-06,3503.000006379686,6.426509666693708e-07,124704.00000741975,3.9658921074318205,2366.5454109316047,591.6363527088585
Austria,HydroPumpStorage,2030-2035,1751.4997473583526,5254.4997537158715,3.646354718187737e-07,124704.00000774418,1129032353.9239163,7232.06304841657,1808.0157622472595
Austria,HydroPumpStorage,2035-2040,0.0001732145201099776,5254.4999241004725,4.872256111299599e-07,124704.00000819124,87.50971130525339,7306.743507840209,1826.6858770719334
Austria,HydroPumpStorage,2040-2045,1.6549540718450502e-06,5254.499925373614,6.639943078634097e-07,124704.00000881508,0.6023319541700144,10580.802835591734,2645.2007087724983
Austria,HydroPumpStorage,2045-2050,8.023759869394441e-06,5254.49993248299,1.152920033477629e-06,124704.00000315072,1.8585794265866742,10643.60969757561,2660.9024243820213
Austria,HydroPumpStorage,2050-2055,1.4612582760044114e-05,5254.499944788979,1.8516703784343211e-06,124704.00000435975,1.9696467194200202,11804.500286934148,2951.1250718612287
Austria,HydroPumpStorage,2055-2060,1751.4996260946768,5254.499823520146,3.6702212505945437e-06,124704.00000766532,102418102.50901428,10108.382233200966,2527.0955582930947
Austria,Li-Ion_BESS,2020-2025,0.0006468812478643589,0.0006468812478643589,0.0012937624957287178,0.0012937624957287178,381.86471169177076,0.0018238742509247678,0.00020265124843229192
Austria,Li-Ion_BESS,2025-2030,0.0012667860683593208,0.0019136472293341316,0.002533572136736868,0.0038272944586682633,476.52599708835595,0.0029479411463782476,0.00032754762083082775
Austria,Li-Ion_BESS,2030-2035,922.0152553811166,922.0171690078294,1844.030510761011,1844.0343380156587,267673314.03691164,827.2465910020858,91.91628788733541
Austria,Li-Ion_BESS,2035-2040,4374.260157626094,5296.276679829293,8748.520310718846,10592.553359658586,995004586.2586498,3989.995965524625,443.33288505697686
Austria,Li-Ion_BESS,2040-2045,13536.421575968132,18832.69699217416,27072.843160241784,37665.39398434832,2412558483.6031804,14600.180301939241,1622.2422557710165
Austria,Li-Ion_BESS,2045-2050,1.677206178846441e-05,17910.681747908464,2.816134950854611e-05,35821.36349581693,2.0109899996934097,13911.438825070936,1545.715425211512
Austria,Li-Ion_BESS,2050-2055,22475.979856244438,36012.40145066455,44951.95971626228,72024.8029013291,1829496004.3194711,29937.602850231975,3326.4003165867803
Austria,Li-Ion_BESS,2055-2060,5.002509823113563e-06,22475.979877876838,1.002191252660765e-05,44951.959755753676,0.17915148774903453,18454.311412773022,2050.4790458602083
BosniaH,HydroPumpStorage,2020-2025,1.406730575581605e-06,440.0000014067306,3.472846401564311e-07,2199.340000347285,1.5135319915771086,142.51109174668582,35.62777293130363
BosniaH,HydroPumpStorage,2025-2030,3.602152094900643e-07,440.00000174685766,8.450764871313294e-07,2199.340001172274,0.36587459604028905,221.78982761318017,55.44745689785796
BosniaH,HydroPumpStorage,2030-2035,6.803162076778744e-08,440.0000017948037,3.979391022905431e-05,2199.340040905924,2.6090047238135616,522.2408856690845,130.56022141194015
BosniaH,HydroPumpStorage,2035-2040,4.6754829340553685e-08,440.00000182147096,219.9338508259188,2419.273892517778,11108154.006721208,585.7425138357157,146.43562845358593
BosniaH,HydroPumpStorage,2040-2045,7.350483126118435e-08,440.00000187488945,9.709472962185834e-06,2419.2739014383615,0.3654722228875227,733.5008545937758,183.37521364329206
BosniaH,HydroPumpStorage,2045-2050,1.2477303382713907e-07,440.000000592932,2.169942554522471e-06,2419.273903155132,0.07804369138649463,569.5880732321835,142.39701830269362
BosniaH,HydroPumpStorage,2050-2055,1.6588665445798182e-07,440.00000039860345,2.0583528788160248e-06,2419.2739043767538,0.04947785401602883,613.6811352720803,153.420283812962
BosniaH,HydroPumpStorage,2055-2060,4.4657370247653644e-07,440.00000077714554,3.153445690674811e-06,2419.2738677860425,0.044552806326386384,575.2040704305332,143.8010176022136
BosniaH,Li-Ion_BESS,2020-2025,0.0006554536896731557,0.0006554536896731557,0.0013109073793463114,0.0013109073793463114,386.9251660342301,0.0018041298600758784,0.0002004576597061353
BosniaH,Li-Ion_BESS,2025-2030,0.0006719413162506701,0.0013273749190253,0.0013438826324842258,0.0026547498380506,252.76367786423393,0.0025207281983645213,0.00028007969608826957
BosniaH,Li-Ion_BESS,2030-2035,0.008610624100617584,0.009937978932765872,0.017221248201243825,0.019875957865531743,2499.778908742752,0.011656762359406377,0.0012951946153716492
BosniaH,Li-Ion_BESS,2035-2040,134.16405339993656,134.17333588151084,268.3281068556664,268.3466717630217,30518040.472892545,102.4674804501408,11.38527560435445
BosniaH,Li-Ion_BESS,2040-2045,1106.23638950446,1240.4090534772222,2212.4727789267313,2480.8181069544444,197161411.57268032,906.4649590443994,100.71832878155463
BosniaH,Li-Ion_BESS,2045-2050,2.0801697132090376e-05,1240.4004636788402,4.1735034900383086e-05,2480.8009273576804,2.912965710962888,802.1811747746468,89.13124164040693
BosniaH,Li-Ion_BESS,2050-2055,0.00014802362977773772,1106.2365582847633,0.00029603019957793336,2212.4731165695266,12.048190590329876,765.8161562781856,85.0906840297458
BosniaH,Li-Ion_BESS,2055-2060,0.043404137212197026,0.0435729223653124,0.08680815984372882,0.0871458447306248,1552.0920451112383,0.07092271284197159,0.007880300198263161
Belgium,HydroPumpStorage,2020-2025,1.3759445209871046e-06,1308.0000013759445,5.394667823566124e-07,7762.500000539467,1.5013857591839022,1364.9901709830715,341.24754273995507
Belgium,HydroPumpStorage,2025-2030,3.2876735674385495e-07,1308.000001684625,2.213420767690021e-06,7762.500002712714,0.4525763923573871,222.37557918242166,55.59389479029868
Belgium,HydroPumpStorage,2030-2035,1.8464218101277831e-06,1308.00000351096,2.135310277997766e-06,7762.50000480785,1.3278639663162577,1441.7275210044745,360.43188024441054
Belgium,HydroPumpStorage,2035-2040,1.826828469504716e-06,1308.0000053177014,776.2497035478299,8538.749708981724,39205885.80110052,1402.3680074761646,350.59200186741964
Belgium,HydroPumpStorage,2040-2045,1.3937753300992085e-06,1308.0000066913897,2.555823570179134e-06,8538.749710333297,0.5771393483604106,1829.122034702993,457.2805086711465
Belgium,HydroPumpStorage,2045-2050,1.165088679593459e-06,1308.0000064805342,4.0552351253850815e-06,8538.749715794707,0.35865449109850284,1857.1792994750717,464.2948248650232
Belgium,HydroPumpStorage,2050-2055,4.665665549094299e-07,1308.000006618333,4.066566728142227e-06,8538.74971620038,0.11622991936603659,1810.1883903934238,452.5470975916835
Belgium,HydroPumpStorage,2055-2060,6.315198738474112e-07,1308.0000054034317,1.2419133889931884e-05,8538.749726020873,0.10954811354714351,1960.1539411984318,490.03848529400386
Belgium,Li-Ion_BESS,2020-2025,0.0007288191556110669,0.0007288191556110669,0.0014576383112221338,0.0014576383112221338,430.23401536477576,0.001933596350898891,0.00021484269394134582
Belgium,Li-Ion_BESS,2025-2030,0.0009308764119221414,0.0016596754806322447,0.0018617528238293263,0.0033193509612644894,350.16710511024104,0.0024874566889362963,0.00027638271262046273
Belgium,Li-Ion_BESS,2030-2035,0.046853153391541294,0.04851280878527705,0.09370630678309602,0.0970256175705541,13602.094724797747,0.04968208113260197,0.005520229812335388
Belgium,Li-Ion_BESS,2035-2040,1.93435599723043e-05,0.04780333318963021,3.868711989186993e-05,0.09560666637926042,4.400042562426564,0.04505519665830829,0.005006131436645752
Belgium,Li-Ion_BESS,2040-2045,3860.7774915434607,3860.824364057733,7721.554983043004,7721.648728115466,688095552.8526952,2823.357434974152,313.7063816622765
Belgium,Li-Ion_BESS,2045-2050,2389.083439394648,6249.860950232943,4778.166878841745,12499.721900465885,333625164.492932,4505.184334378155,500.576037151503
