Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499998114566807,0.0,12404.156881704717
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7120175358975779,0.0,7246.752359449686
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6662640645581422,0.0,4556.040776131654
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.019403159077362078,0.0,92.56918834655824
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,0.0004303215854042157,0.0,1.4234074124820146
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,0.0004315836675760873,0.0,0.3568955244000404
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.34412171801630015,0.0,37250.25372906026
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.5656091715892975,0.0,37677.33968736117
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.6139214005565425,0.0,27476.72972056129
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.04787758490473133,0.0,1494.9866117335457
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.00043003125892942666,0.0,9.309946259067305
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,0.0004302189523654803,0.0,2.3285024303385478
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999069585569,0.0,47632.49409093804
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7418103955962653,0.0,28992.232753427066
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6049396645679994,0.0,15885.075751525805
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.02041909677029403,0.0,374.08177958116477
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,0.0004992300488978389,0.0,6.341220081100344
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,0.00016984242584814802,0.0,0.5393346232807943
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7493891873024335,0.0,125424.18915837903
