BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1964.7152207409422,58.94145662222829
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,4495.952188135327,134.8785656440603
Switzerland,Austria,2030-2035,425.9704870600576,1625.9704870600576,101984180.49809964,5427.385413972279,162.82156241916883
Switzerland,Austria,2035-2040,574.0291033651554,2199.9995902525143,98725685.33472346,13528.17793707797,405.8453381123393
Switzerland,Austria,2040-2045,999.9998130928052,3199.999397128332,119154976.98555107,18508.83656407568,555.2650969222709
Switzerland,Austria,2045-2050,8.168328311815885e-06,3199.999411652803,0.6351655379662029,15722.101549477573,471.66304648432765
Switzerland,Austria,2050-2055,1.6225186425548255e-05,3199.9994281332156,0.7354087367291372,19833.392082457955,595.0017624737395
Switzerland,Austria,2055-2060,1.1083830789047829e-05,3199.9994381317815,0.2207003367685746,18090.63548856519,542.7190646569558
CzechR,Austria,2020-2025,0.0,900.0,0.0,4018.231962013072,120.5469588603919
CzechR,Austria,2025-2030,0.0,900.0,0.0,1809.5793311669686,54.28737993500913
CzechR,Austria,2030-2035,999.9996758468374,1899.9996758468374,87917362.51016486,8380.743017472101,251.422290524164
CzechR,Austria,2035-2040,0.0001359740048183683,1899.999811648034,8.587635964876531,9221.64610445459,276.64938313363825
CzechR,Austria,2040-2045,1.908120749701774e-06,1899.9998133833456,0.08349099068129408,11515.612416565404,345.46837249696216
CzechR,Austria,2045-2050,8.794675047145641e-07,1899.9998140900047,0.025112793799030256,11763.639556300097,352.9091866890034
CzechR,Austria,2050-2055,9.647974391991923e-07,1899.9998148819936,0.016058194850993922,10563.497643037019,316.90492929111065
CzechR,Austria,2055-2060,2.848100492480044e-06,1899.999817557286,0.02082523493472958,11026.08448833039,330.7825346499125
Germany,Austria,2020-2025,0.0,5000.0,0.0,18105.143570305176,543.1543071091573
Germany,Austria,2025-2030,1999.9986411603368,6999.998641160337,891259.3490912472,19367.715968172597,581.0314790451781
Germany,Austria,2030-2035,500.00118782837325,7499.99981337389,149745.6862439711,29454.335145654964,883.6300543696498
Germany,Austria,2035-2040,3.0103883469950815e-05,7499.999858748084,0.0064766250320541585,35858.52820346433,1075.755846103931
Germany,Austria,2040-2045,699.9998620364444,8199.999719871748,104337.44729046614,44720.27786819964,1341.6083360459868
Germany,Austria,2045-2050,6.835522480469484e-06,8199.999725806432,0.0006648986357174211,45688.09504090324,1370.6428512270982
Germany,Austria,2050-2055,6.329107387258222e-07,8199.999726797789,3.588488331825271e-05,39915.09471017273,1197.452841305184
Germany,Austria,2055-2060,1.0635447096220353e-06,8199.999728630823,2.6491030024847172e-05,49018.35591122246,1470.5506773366774
Hungary,Austria,2020-2025,0.0,800.0,0.0,4390.549825954055,131.71649477862204
Hungary,Austria,2025-2030,0.0,800.0,0.0,3755.5562725900277,112.66668817770103
Hungary,Austria,2030-2035,1999.9996794703843,2799.9996794703843,149305035.27489102,13744.298541890843,412.32895625672694
Hungary,Austria,2035-2040,8.298247927439757e-05,2799.999762280055,4.450142111473187,16545.581986222154,496.36745958666296
Hungary,Austria,2040-2045,8.53583976046138e-07,2799.9997629608297,0.03171390715251756,16405.85893353576,492.1757680060736
