Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0006714040847047414,40877.967408019715,1.642459562637209e-06
Austria,Hydrorun-of-the-river,2025-2030,2534.5467963017504,44119.328016411026,5.7447538533655305
Austria,Hydrorun-of-the-river,2030-2035,9675.730599518947,50824.65268373031,19.037475100378376
Austria,Hydrorun-of-the-river,2035-2040,8224.687692169653,49511.10513530605,16.611803896707368
Austria,Hydrorun-of-the-river,2040-2045,11120.384724037296,52419.51744094448,21.214206591209955
Austria,Hydrorun-of-the-river,2045-2050,11503.265019090411,51543.115169024684,22.317752781080266
Austria,Hydrorun-of-the-river,2050-2055,8169.650896370087,49425.78491046697,16.529127278745527
Austria,Hydrorun-of-the-river,2055-2060,11576.323470640287,52415.02248265193,22.085888591332306
Belgium,Hydrorun-of-the-river,2020-2025,375.7706485458964,846.5706483201718,44.387393927669045
Belgium,Hydrorun-of-the-river,2025-2030,44.564175362755414,515.3641752305074,8.647123239178036
Belgium,Hydrorun-of-the-river,2030-2035,195.514880811823,666.3148806499552,29.342715657364355
Belgium,Hydrorun-of-the-river,2035-2040,401.17709952641513,871.9770993770426,46.00775637491212
Belgium,Hydrorun-of-the-river,2040-2045,916.5500092045692,1387.3500090582845,66.06480003029024
Belgium,Hydrorun-of-the-river,2045-2050,647.9181600715585,1118.718159918233,57.916120725072965
Belgium,Hydrorun-of-the-river,2050-2055,1049.8837510091337,1520.6837508183783,69.04024261744911
Belgium,Hydrorun-of-the-river,2055-2060,493.4577059689286,964.2577057059533,51.17487815227339
Bulgaria,Hydrorun-of-the-river,2020-2025,3565.33345059636,7537.144554162264,47.30350366741292
Bulgaria,Hydrorun-of-the-river,2025-2030,4192.684365176494,6703.684385257133,62.542985681084915
Bulgaria,Hydrorun-of-the-river,2030-2035,4069.1005467656278,6154.263552483862,66.11839925385284
Bulgaria,Hydrorun-of-the-river,2035-2040,3324.311370037308,5117.097208551871,64.96478832728843
Bulgaria,Hydrorun-of-the-river,2040-2045,4640.3834677340155,6410.454826419641,72.38774148457351
Bulgaria,Hydrorun-of-the-river,2045-2050,3821.336511278194,5742.173976884792,66.54860209149082
Bulgaria,Hydrorun-of-the-river,2050-2055,3819.714148818588,5951.455754413281,64.181173589102
Bulgaria,Hydrorun-of-the-river,2055-2060,3225.3495677868896,5250.921189158402,61.42445204560072
Switzerland,Hydrorun-of-the-river,2020-2025,0.00039960885613628564,1413.2364550060713,2.827614973564837e-05
Switzerland,Hydrorun-of-the-river,2025-2030,12.811249971376812,17029.661153663168,0.0752290363018823
Switzerland,Hydrorun-of-the-river,2030-2035,1.2347296829265266,18467.92163650603,0.006685807462415282
Switzerland,Hydrorun-of-the-river,2035-2040,0.0007272192500575894,13302.485931072533,5.4667921005570746e-06
